"","X16.C9.3.neg","X19.C9.2.neg","X21.C9.4.neg","X45.C9.1.neg","X13.D9.4.neg","X20.D9.1.neg","X49.D9.2.neg","X48.D9.3.neg","X26.F9.1.neg","X36.F9.3.neg","X14.X9.2.neg","X23.X9.1.neg","X27.X9.3.neg","X40.X9.4.neg"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas"
"M375.07T470.729","-0.05783292","-0.93524010"," 0.20122262","-0.41238333"," 0.19135060"," 1.17575926","-0.54793210","-0.14616669","-0.45022812"," 0.68803489","-0.39326767"," 0.57938431","-0.09651139"," 0.20381065"
"M562.053T1195.871","-0.01812287","-0.39706521","-0.01863052","-0.15953888"," 0.11859188"," 1.11729109","-0.12495671","-0.73569601","-0.53164866"," 0.95526575","-0.45990649"," 0.40103396","-0.38807754"," 0.24146021"
"M943.502T1194.413","-3.084679e-01","-4.361067e-01"," 2.725123e-05"," 6.531237e-02"," 1.227699e-01"," 1.581026e+00","-2.014771e-01","-6.606539e-01","-3.650113e-01"," 2.474956e-01","-9.560383e-02"," 3.264096e-01","-5.947808e-01"," 3.190609e-01"
"M1096.565T894.076"," 0.19372051","-0.26036388"," 0.94281396","-0.50466628"," 0.55581094"," 1.62757326","-0.82670127","-0.65611010","-1.16217977","-0.56830439"," 0.02028518"," 0.82393247","-0.56102718"," 0.37521656"
"M354.093T469.671","-0.02816793","-0.91558623"," 0.19545909","-0.44542312"," 0.21874789"," 1.22041606","-0.54063162","-0.19424819","-0.43326828"," 0.69533763","-0.32368960"," 0.50062818","-0.09298566"," 0.14341178"
"M437.041T470.729","-0.05249772","-0.76594456"," 0.27617258","-0.37906254"," 0.18425459"," 1.28726456","-0.50773466","-0.16430160","-0.41914868"," 0.72766564","-0.48677560"," 0.54326764","-0.34572434"," 0.10256470"
"M444.996T106.721","-0.168994604","-0.237938494"," 0.006720992","-0.060670144","-0.125453330"," 1.346884196","-0.193890002","-0.669992652","-0.435602229"," 0.814579751","-0.437209096"," 0.676194403","-0.372624153","-0.142004638"
"M808.155T1200.534","-0.14270272"," 0.23899641"," 0.14144409"," 0.07231492"," 0.47073349"," 0.82486256","-0.40996829","-1.37224594","-0.94452314"," 0.78474856"," 0.43175405"," 0.21704456","-0.24543157","-0.06702700"
"M631.151T795.429","-0.35444631","-0.36541149","-0.10568155","-0.41866473"," 0.05154369"," 1.36962903","-0.21682303","-0.19806692","-0.24858656"," 0.68296867","-0.40424115"," 0.47724771","-0.29317410"," 0.02370672"
"M757.441T1176.453"," 0.08541735","-0.17761303"," 0.69631763","-0.18421227","-0.83690872"," 0.85334673","-0.45497671"," 0.28937545","-0.40037527"," 0.25066560","-0.46309465"," 0.80709436","-0.58756161"," 0.12252514"
"M881.515T1351.787","-0.033179942","-0.449795817"," 0.318682168"," 0.002882795"," 0.053386416"," 1.321739831","-0.138837516","-0.314341419","-0.598495267"," 0.229210670","-0.784767546"," 0.765181419","-0.405938969"," 0.034273176"
"M967.577T1245.908","-0.19808011","-0.70613360"," 0.08082260"," 0.09668442","-0.17159714"," 1.31860968","-0.26289055","-0.21144368","-0.51663989"," 0.52494933","-0.26574863"," 0.58116465","-0.44863002"," 0.17893294"
