"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"M375.07T470.729",0.0236,0.0065914,0.010403,0.0030603,-0.0085056,0.018188,-0.0010504,-0.0070351,0.013344,-0.0073752,0.011647,0.0082732,0.011862,0.82527
"M562.053T1195.871",0.021934,-0.012537,0.012561,-0.0029992,-0.0014588,-0.008105,-0.01501,-0.013388,0.012075,0.00026928,0.0090047,-0.0050362,0.017323,-0.40723
"M943.502T1194.413",0.021383,-0.012855,0.014144,0.016265,0.016436,0.014734,-0.0018587,-0.013704,0.0034777,0.010458,-0.018501,-0.021601,-0.008379,-0.13073
"M1096.565T894.076",0.018782,0.00015045,0.050918,0.012437,0.016142,0.073017,-0.019803,-0.048681,0.020762,0.0021653,-0.0030133,-0.022164,-0.0035379,-0.11296
"M354.093T469.671",0.023584,0.0053038,0.0096263,0.002397,-0.0075199,0.0188,-0.00070235,-0.011418,0.0085372,-0.0087246,0.01236,0.010346,0.0081065,0.037519
"M437.041T470.729",0.023797,0.0026507,0.017099,0.0034088,-0.0066164,0.011621,0.0035712,-0.01125,0.013215,-0.012216,0.0015174,0.010404,0.013673,-0.26518
"M444.996T106.721",0.021696,-0.014224,0.023035,0.011647,-0.0018334,-0.01068,-0.0050219,-0.0043065,0.012027,0.0015932,0.012715,0.0073964,-0.0058113,-0.090901
"M808.155T1200.534",0.014865,-0.029314,0.018103,-0.020789,0.0082571,0.022657,-0.044013,-0.019435,0.0022433,0.0085494,0.013467,0.011616,-0.031982,0.012166
"M631.151T795.429",0.021075,-0.0068253,0.011398,0.012298,-0.013045,-0.00013681,0.014749,-0.013595,0.011169,0.008767,-0.00057855,0.0085769,9.6718e-05,-0.10349
"M757.441T1176.453",0.012635,0.0055581,0.040348,0.0093909,-0.0089761,0.0006651,0.02522,0.01256,0.030976,-0.032646,0.0088169,-0.030442,-0.0037367,0.12098
"M881.515T1351.787",0.019539,-0.0017518,0.030219,0.019837,0.013,0.0030393,0.00032638,-0.0088424,0.026839,0.0029119,0.0054803,0.0026537,0.025714,0.04978
"M967.577T1245.908",0.021823,-0.0032673,0.013662,0.012747,0.0098723,0.0054917,0.0045436,0.0035692,0.024066,-0.0081815,0.00044775,-0.011341,-0.007279,0.056005
