"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"X16.C9.3.neg",-10.569,5.5801,1.011,4.1074,0.91982,-2.0936,-6.8618,-6.9075,-2.0374,-10.789,4.4561,-1.9818,2.8618,2.9907e-14
"X19.C9.2.neg",-40.321,-26.94,10.055,0.70828,-7.3169,0.26429,1.9777,-1.9978,1.094,1.2849,-0.60901,0.17418,0.72785,-1.2212e-15
"X21.C9.4.neg",-0.39675,12.183,19.057,-12.263,6.1538,3.3314,3.8669,1.3744,-3.1057,-0.3435,0.52863,-0.030948,0.67845,4.1633e-15
"X45.C9.1.neg",-7.2722,-11.415,-2.4928,3.9905,12.701,-0.4689,-3.7181,11.296,2.1386,-2.9129,-2.4706,1.1896,0.77877,1.6584e-14
"X13.D9.4.neg",3.6795,2.1152,-4.7294,-2.8087,1.4421,5.5806,-6.9418,-6.9199,0.3659,3.6696,-6.503,7.5115,3.2822,4.2466e-15
"X20.D9.1.neg",48.7,-11.824,3.7651,10.499,3.5093,4.0105,7.1692,-4.4853,-2.1718,-0.1048,0.44951,-0.50409,-0.57977,-9.7117e-14
"X49.D9.2.neg",-10.536,2.1,-4.4362,-1.2645,8.9018,-12.169,2.9534,-6.2674,2.8207,6.5708,1.9173,-1.9381,-0.21298,1.4738e-14
"X48.D9.3.neg",-15.572,14.45,-6.447,2.3587,-3.5437,1.9959,11.46,0.83407,8.0741,-4.7941,-2.627,2.316,0.48291,1.7014e-14
"X26.F9.1.neg",-7.0084,8.9959,-2.0243,5.3171,-5.3822,-6.232,1.7625,3.7059,-12.472,0.89279,-5.8695,-0.043944,-0.17771,1.6792e-14
"X36.F9.3.neg",36.268,-10.607,-4.9128,-12.43,-7.1128,-7.4501,-0.40298,2.8796,1.2319,-3.6043,1.678,2.9381,-0.071842,-3.9725e-15
"X14.X9.2.neg",-9.8802,-1.4954,-7.3514,-4.4659,1.2163,5.478,-2.2089,-2.3427,-1.5849,-1.2472,-0.59233,-2.4272,-10.897,-5.8981e-16
"X23.X9.1.neg",13.454,12.415,12.014,8.1658,-6.1653,-2.7127,-7.5581,3.0394,7.0146,3.5698,0.81573,0.4954,-3.4097,-1.9276e-14
"X27.X9.3.neg",-9.6661,3.4518,-7.7399,1.5887,-1.8988,5.581,0.6292,4.0105,-3.5726,4.8948,11.349,3.195,1.7613,6.8834e-15
"X40.X9.4.neg",9.1209,0.9902,-5.7688,-3.5031,-3.4249,4.8849,-2.1272,1.7809,2.205,2.9133,-2.5224,-10.894,4.7755,1.1002e-14
