"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"M375.07T470.729",0.030196,-0.016967,-0.0049705,0.0095795,-0.019608,-0.001927,0.0033529,-0.013803
"M562.053T1195.871",0.024049,-0.030755,0.011755,0.0036451,-0.0099575,-0.0051074,-0.0070562,-0.016412
"M943.502T1194.413",0.02266,-0.033425,0.0095977,0.0094094,0.013637,-0.0011594,0.0060358,-0.024509
"M1096.565T894.076",0.018521,-0.037001,-0.0098527,0.048323,-0.01298,-0.005611,0.031589,-0.082496
"M354.093T469.671",0.029919,-0.017934,-0.0042209,0.0077962,-0.017779,0.001344,0.0042854,-0.014691
"M437.041T470.729",0.028618,-0.024781,-0.0063076,0.0091059,-0.023044,0.0048784,0.00037813,-0.01065
"M444.996T106.721",0.02251,-0.035696,0.012248,0.015102,-0.0081068,0.0056723,-0.0038716,0.0029383
"M808.155T1200.534",0.012133,-0.035705,0.033105,0.013573,0.005395,-0.0081104,0.037524,-0.021546
"M631.151T795.429",0.02448,-0.024166,0.0085225,0.006291,-0.012686,0.014771,-0.017994,0.0017137
"M757.441T1176.453",0.01292,-0.023741,-0.014437,0.034937,-0.023072,0.030143,-0.0043665,-0.0097168
"M881.515T1351.787",0.020449,-0.033404,-0.0095751,0.019689,-0.011073,-0.014564,-0.0087189,-0.014523
"M967.577T1245.908",0.025064,-0.02708,-0.00035145,0.010035,0.0043167,0.0039327,0.0068219,-0.0084073
"M511.24T944.134",0.023161,-0.030485,0.011802,0.011363,-0.012095,-0.01793,0.0013594,-0.023787
"M557.187T899.436",0.025763,-0.019531,0.0092448,0.0085723,0.035559,-0.035291,-0.01364,-0.003558
"M1029.931T1194.947",0.027164,-0.02427,0.00049832,0.01338,-0.014757,0.0073231,0.010451,-0.029613
"M563.252T904.514",0.022934,-0.024999,0.0074311,0.021474,-0.00459,-0.013181,0.004921,-0.021634
"M337.092T724.593",0.031903,-0.01956,-0.013636,-0.00015825,-0.0079656,-0.013672,0.02206,-0.027115
