"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"X16.C9.3.neg",-8.3136,-1.2191,-9.8718,-5.3805,-4.4628,2.5236,3.2664,-8.9563
"X19.C9.2.neg",-39.46,-10.014,14.536,2.4943,-6.0145,2.3394,-3.2368,-0.25189
"X21.C9.4.neg",-5.3193,-10.39,-14.693,11.855,-0.66181,-1.6041,0.026155,0.67178
"X45.C9.1.neg",-11.91,-9.9474,-0.25524,-5.4724,5.4222,-7.5445,8.1025,4.417
"X13.D9.4.neg",4.0374,1.4546,-3.003,-6.6139,-4.2326,-5.4411,3.0534,-0.64092
"X20.D9.1.neg",25.814,-20.641,2.1614,-1.1815,2.7639,2.448,-2.4582,-2.5555
"X49.D9.2.neg",-8.0501,-0.21349,-5.3034,-1.6203,11.402,0.39395,-10.187,0.74191
"X48.D9.3.neg",-4.6363,11.117,-10.846,-7.4227,-3.4714,5.1453,-1.8745,2.9753
"X26.F9.1.neg",0.5284,9.6026,-2.1959,0.19397,-2.91,1.7942,-1.6299,5.5425
"X36.F9.3.neg",24.183,-6.2644,8.4182,-6.4126,-4.6617,2.9567,-0.70954,5.6568
"X14.X9.2.neg",-2.8445,9.1594,7.1792,2.018,9.53,7.8789,8.7466,-1.5856
"X23.X9.1.neg",13.57,4.5332,0.20061,15.511,-3.4129,0.36154,2.6078,1.9436
"X27.X9.3.neg",0.55497,14.318,6.4677,1.1091,1.1202,-7.0008,-2.7994,1.438
"X40.X9.4.neg",11.846,8.5051,7.2056,0.92253,-0.41086,-4.2511,-2.907,-9.3967
