"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"M433.038T831.69",3.6815,2.6647,2.3603,2.3677,2.348,2.3475,2.3474,2.3474
"M246.097T864.37",3.5854,3.2424,2.9887,2.9592,2.9329,2.9306,2.9305,2.9304
"M469.036T876.272",3.5573,2.564,2.2967,2.2283,2.2177,2.2162,2.2161,2.2161
"M1701.804T908.08",3.4983,2.5744,2.4832,2.388,2.3677,2.3657,2.3656,2.3656
"M463.02T875.074",3.4293,2.5137,2.2783,2.2021,2.1826,2.1841,2.184,2.184
"M516.992T825.04",3.3626,2.4173,2.221,2.1617,2.1445,2.1433,2.1432,2.1432
"M449.004T832.738",3.2326,2.6478,2.4061,2.3996,2.3843,2.3835,2.3835,2.3835
"M1712.298T909.092",3.2132,2.6904,2.3931,2.3041,2.2842,2.283,2.2831,2.2831
"M1176.528T983.06",3.142,2.0923,1.853,1.794,1.7877,1.7874,1.7873,1.7873
"M1130.437T924.326",3.1004,2.2099,1.9789,1.91,1.8951,1.8935,1.8934,1.8934
"M895.29T938.858",3,2.1388,1.9123,1.8411,1.8529,1.8527,1.8527,1.8527
"M374.109T731.372",2.9671,2.5699,2.3004,2.221,2.2003,2.1988,2.1988,2.1988
"M379.565T877.71",2.8488,2.0231,1.857,1.7956,1.7789,1.7786,1.7785,1.7785
"M967.36T964.868",2.8297,1.8234,1.6196,1.5583,1.5463,1.545,1.5449,1.5449
"M642.302T1183.207",2.8077,1.8382,1.6492,1.6006,1.5922,1.593,1.593,1.593
"M380.071T778.258",2.7961,1.8617,1.6529,1.6133,1.6071,1.6058,1.6057,1.6057
"M365.528T823.98",2.7822,1.9664,1.7413,1.8298,1.8152,1.8166,1.8165,1.8165
"M721.9T1109.959",2.7601,2.3344,2.3412,2.3002,2.2799,2.2782,2.2782,2.2782
"M1612.706T937.864",2.7321,1.7871,1.7204,1.6722,1.6569,1.6558,1.6557,1.6557
"M975.202T831.412",2.6905,1.7644,1.5883,1.5783,1.5645,1.5636,1.5635,1.5635
"M683.185T619.574",2.6455,1.958,1.7693,1.78,1.7635,1.762,1.762,1.762
"M1063.398T908.83",2.6449,1.7943,1.5915,1.5338,1.5201,1.5195,1.5194,1.5194
"M1613.665T937.741",2.608,2.0263,1.7982,1.7288,1.7157,1.7142,1.7141,1.7141
"M404.065T806.181",2.5989,1.811,1.6791,1.6754,1.6602,1.6588,1.659,1.659
"M1074.113T1194.359",2.5934,1.6829,1.6634,1.6373,1.6582,1.6573,1.6572,1.6572
"M365.052T459.24",2.5866,1.8672,1.6551,1.6634,1.6487,1.6475,1.6474,1.6474
"M661.142T919.275",2.5786,1.7072,1.5226,1.4944,1.5179,1.5173,1.5172,1.5172
"M1168.035T908.053",2.5722,2.2567,2.0131,1.9999,1.9917,1.9901,1.9907,1.9907
"M387.034T831.689",2.5697,1.7859,1.6348,1.8261,1.8092,1.8085,1.8085,1.8085
"M1042.847T909.803",2.5575,1.9115,1.7075,1.6417,1.6435,1.6442,1.6441,1.6441
"M751.251T911.327",2.5544,2.195,1.9682,1.9178,1.9229,1.9245,1.9244,1.9244
"M1125.372T909.368",2.5418,1.7215,1.5314,1.4781,1.4652,1.4647,1.4646,1.4646
