"",f.value,p.value,-log10(p),FDR,Fisher's LSD (top 1000)
M283.086T201.788,15.846,6.4094e-05,4.1932,0.13979,First-tp_Drought - First-tp_Control; Other - First-tp_Control; First-tp_Drought - First-tp_Fusarium; First-tp_Drought - First-tp_Xanthomonas; Other - First-tp_Fusarium; Other - First-tp_Xanthomonas
M374.109T731.372,7.1827,0.002793,2.5539,0.69292,First-tp_Drought - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Other - First-tp_Control
M698.86T68.208,6.1456,0.0052907,2.2765,0.69292,First-tp_Control - First-tp_Fusarium; First-tp_Drought - First-tp_Fusarium; First-tp_Xanthomonas - First-tp_Fusarium; Other - First-tp_Fusarium
M392.288T1179.554,5.9833,0.0058806,2.2306,0.69292,Other - First-tp_Control; Other - First-tp_Drought; Other - First-tp_Fusarium; Other - First-tp_Xanthomonas
M437.29T1178.675,5.8862,0.0062698,2.2027,0.69292,Other - First-tp_Control; Other - First-tp_Drought; Other - First-tp_Xanthomonas
M315.405T313.892,5.5982,0.0076086,2.1187,0.69292,First-tp_Control - First-tp_Fusarium; First-tp_Drought - First-tp_Fusarium; First-tp_Xanthomonas - First-tp_Fusarium; Other - First-tp_Fusarium
M1712.298T909.092,5.4339,0.008519,2.0696,0.69292,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Other - First-tp_Control
M459.275T1179.554,5.4199,0.0086017,2.0654,0.69292,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; Other - First-tp_Control; First-tp_Drought - First-tp_Xanthomonas; Other - First-tp_Xanthomonas
M467.051T320.771,5.2274,0.0098449,2.0068,0.69292,First-tp_Fusarium - First-tp_Control; First-tp_Control - Other; First-tp_Drought - Other; First-tp_Fusarium - Other; First-tp_Xanthomonas - Other
M435.234T1304.756,5.1588,0.010336,1.9856,0.69292,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Other - First-tp_Control
M1231.291T836.99,5.1091,0.010711,1.9702,0.69292,First-tp_Fusarium - First-tp_Control; First-tp_Fusarium - First-tp_Drought; First-tp_Fusarium - First-tp_Xanthomonas; First-tp_Fusarium - Other
M698.888T1003.439,5.052,0.011159,1.9524,0.69292,First-tp_Control - First-tp_Drought; First-tp_Fusarium - First-tp_Drought; First-tp_Xanthomonas - First-tp_Drought; Other - First-tp_Drought
M387.034T831.689,4.962,0.011911,1.924,0.69292,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Other - First-tp_Control
M246.097T864.37,4.8524,0.012907,1.8892,0.69292,First-tp_Xanthomonas - First-tp_Control; First-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - Other
M401.027T415.826,4.7695,0.013722,1.8626,0.69292,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; Other - First-tp_Control
M338.196T1226.316,4.7032,0.014418,1.8411,0.69292,First-tp_Fusarium - First-tp_Control; Other - First-tp_Control; First-tp_Fusarium - First-tp_Xanthomonas; Other - First-tp_Xanthomonas
M463.02T875.074,4.6326,0.015203,1.8181,0.69292,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Other - First-tp_Control
M593.306T1591.72,4.5883,0.015721,1.8035,0.69292,Other - First-tp_Control; Other - First-tp_Drought; Other - First-tp_Xanthomonas
M516.992T825.04,4.5463,0.016231,1.7897,0.69292,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Other - First-tp_Control
M272.073T418.674,4.5127,0.016652,1.7785,0.69292,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Other - First-tp_Control
M539.034T616.33,4.45,0.017472,1.7577,0.69292,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Other - First-tp_Control
