"","X16.C9.3.neg","X19.C9.2.neg","X21.C9.4.neg","X45.C9.1.neg","X13.D9.4.neg","X20.D9.1.neg","X49.D9.2.neg","X48.D9.3.neg","X26.F9.1.neg","X36.F9.3.neg","X14.X9.2.neg","X23.X9.1.neg","X27.X9.3.neg","X40.X9.4.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Other"
"M375.07T470.729"," 0.1387574","-0.6072471"," 0.3590161","-0.1626947"," 0.3506226"," 1.1876038","-0.2779433"," 0.0636527","-0.1948717"," 0.7729222","-0.1464418"," 0.6805434"," 0.1058715"," 0.3612166","-1.9286144","-0.3260586","-0.2301095","-0.1462249"
"M562.053T1195.871"," 0.14703873","-0.19826532"," 0.14657615"," 0.01817607"," 0.27161746"," 1.18166325"," 0.04968841","-0.50683624","-0.32090194"," 1.03402072","-0.25552825"," 0.52898747","-0.19007548"," 0.38357891","-1.47508633","-0.24834184","-0.42735080","-0.13896098"
"M943.502T1194.413","-0.14601879","-0.26586156"," 0.14363385"," 0.20493143"," 0.25887951"," 1.62806684","-0.04556282","-0.47669360","-0.19910854"," 0.37598715"," 0.05384382"," 0.45008116","-0.41484402"," 0.44318130","-1.42295761","-0.26179927","-0.17664170","-0.14911716"
"M1096.565T894.076"," 0.24919423","-0.22387966"," 1.02961427","-0.47839864"," 0.62642704"," 1.74300976","-0.81390091","-0.63617573","-1.16340891","-0.54469805"," 0.06850595"," 0.90576124","-0.53711651"," 0.43828033","-0.77887748"," 0.45553609"," 0.01379997","-0.35367298"
"M354.093T469.671"," 0.18282602","-0.50929788"," 0.35723937","-0.14260370"," 0.37540300"," 1.15663376","-0.21685964"," 0.05329509","-0.13312378"," 0.74710949","-0.04766011"," 0.59524981"," 0.13227274"," 0.31664613","-2.34160189","-0.18726731","-0.19728781","-0.14097330"
"M437.041T470.729"," 0.08157470","-0.63683574"," 0.41253163","-0.24726209"," 0.31997415"," 1.43065798","-0.37682941","-0.03100702","-0.28762713"," 0.86716582","-0.35572454"," 0.68148492","-0.21369196"," 0.23771593","-0.52912566","-0.47823126","-0.45490587","-0.41986445"
"M444.996T106.721"," 0.031834568","-0.031342963"," 0.192853587"," 0.131098940"," 0.071734118"," 1.420927646"," 0.009021382","-0.427260791","-0.212474414"," 0.933144309","-0.213946886"," 0.806333293","-0.154763725"," 0.056567135","-1.384886560","-0.434235045","-0.458455530","-0.336149063"
"M808.155T1200.534"," 0.04231879"," 0.37465008"," 0.28971489"," 0.22952668"," 0.57641497"," 0.88474204","-0.19037945","-1.02819896","-0.65579656"," 0.84981626"," 0.54247702"," 0.35553742","-0.04712342"," 0.10820684","-2.05926533"," 0.01198055","-0.01579280","-0.26882903"
"M631.151T795.429","-0.29718539","-0.30831552","-0.04467846","-0.36236985"," 0.11491192"," 1.45282523","-0.15749184","-0.13845358","-0.18973319"," 0.75583543","-0.34772930"," 0.54701980","-0.23499146"," 0.08665620","-0.86193269","-0.09041329","-0.02255302"," 0.09859900"
"M757.441T1176.453"," 0.24634916"," 0.03724864"," 0.73199486"," 0.03200246","-0.48686983"," 0.85682785","-0.18324640"," 0.40848917","-0.13984005"," 0.37771611","-0.18969989"," 0.82005873","-0.28864705"," 0.27584864","-2.17912016","-0.28407956","-0.21731515"," 0.18228247"
"M881.515T1351.787"," 0.12201873","-0.27937779"," 0.46102699"," 0.15676406"," 0.20542274"," 1.42744204"," 0.02022092","-0.14887167","-0.42264511"," 0.37482397","-0.60211269"," 0.89121521","-0.23712307"," 0.18700772","-1.06481943","-0.49762332","-0.23026070","-0.36310859"
"M967.577T1245.908"," 0.06554410","-0.29306023"," 0.26240471"," 0.27360061"," 0.08423683"," 1.13608399"," 0.01979831"," 0.05611156","-0.15930805"," 0.57588699"," 0.01778097"," 0.61556600","-0.11130398"," 0.33165488","-2.66245396","-0.05752004","-0.11974789","-0.03527479"
"M511.24T944.134"," 0.09834001","-0.04077660"," 0.38863952"," 0.20042032"," 0.21144388"," 1.07029656","-0.12204155","-0.12478450","-0.44797911"," 0.76291344","-0.10725753"," 0.52345236"," 0.13366280"," 0.52092156","-2.70127035"," 0.01124844","-0.19647534","-0.18075391"
"M557.187T899.436","-0.09861956","-0.73546070","-0.04597641"," 0.44206414","-0.16356014"," 1.32170805"," 0.41189472","-0.58268827","-0.20168289"," 0.54954763","-0.20439403"," 0.57775006"," 0.49372969"," 0.35690968","-1.50918374","-0.22704293","-0.28872007","-0.09627523"
"M1029.931T1194.947"," 0.30563151","-0.45280999"," 0.40304060","-0.24946439"," 0.42010823"," 1.20076536","-0.20916045","-0.36633514","-0.29049869"," 0.83396594"," 0.03266441"," 0.65529241","-0.18190832"," 0.36078034","-1.58995431","-0.32133226","-0.22790568","-0.32287960"
"M563.252T904.514"," 0.15895495","-0.15397250"," 0.43498496"," 0.07888642"," 0.17780813"," 0.91292164","-0.05230159","-0.32552072","-0.15147965"," 0.60310937"," 0.03168035"," 0.53033501"," 0.15515770"," 0.38418836","-2.71312103","-0.08856792","-0.09952500"," 0.11646152"
"M337.092T724.593"," 0.32026455","-0.79130121"," 0.52880991"," 0.02047881"," 0.68079725"," 1.02434207","-0.13801271","-0.03385430","-0.39057832"," 0.83390296"," 0.05873274"," 0.49052069"," 0.02111361"," 0.40849600","-2.63645244","-0.17948712","-0.14869450","-0.06907799"
"M758.447T1173.243"," 0.312213180","-0.044254018"," 0.594263670"," 0.098959236","-0.475638953"," 0.979860271","-0.169501180"," 0.057412927","-0.812811392"," 0.557173012","-0.021521978"," 0.802572893","-0.401935511"," 0.447893644","-1.156029220","-0.498557766","-0.276539068"," 0.006440256"
"M852.114T1329.753"," 0.33078186"," 0.05203988"," 0.40521060"," 0.29548143","-0.16550222"," 0.82059086"," 0.12166870","-0.08743280","-0.14315609"," 0.70013153","-0.34347433"," 0.76338093","-0.11046606"," 0.26559779","-2.39106997"," 0.02987634","-0.41958324","-0.12407522"
"M854.516T1290.85"," 0.016553058","-0.552171656"," 0.159027097"," 0.126692638"," 0.086989659"," 1.116915387","-0.143758017"," 0.170832862"," 0.040104959"," 0.638579770","-0.012137907"," 0.662748027","-0.005140464"," 0.462050458","-2.578211910","-0.057632769","-0.112142717","-0.019298476"
