"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18"
"M375.07T470.729",0.025944,0.0070611,0.0092195,0.0080876,0.0031462,0.0072217,-0.0059848,0.0080014,0.016548,-0.0067978,-0.0095229,0.0012527,-0.0033512,-0.0183,0.010764,-0.0031289,0.00063396,0.26341
"M562.053T1195.871",0.022605,-0.010683,0.0088825,0.014912,-0.0018628,0.0032521,0.015849,0.0026297,0.010298,0.010308,-0.010937,-0.0029888,-0.0040622,-0.012096,-0.0037649,-0.014919,-0.0036457,-0.47874
"M943.502T1194.413",0.022071,-0.011859,0.0072115,0.014644,0.014348,-0.015975,-0.008613,0.0047087,0.01411,0.0077311,-0.0041274,-0.00030678,0.023007,0.0026214,-0.018361,0.010153,-0.00076368,-0.15074
"M1096.565T894.076",0.016652,-0.00040244,0.0007452,0.044841,0.0053787,-0.022954,-0.064217,0.053438,0.046647,0.044215,-0.020654,0.00088213,-0.010588,0.028004,-0.029435,-0.0054752,0.013742,-0.1775
"M354.093T469.671",0.027862,0.0080266,0.018384,0.0010109,0.002547,0.0064013,-0.0079564,0.0076894,0.016847,-0.003478,-0.002985,0.0015375,-0.0058538,-0.012095,0.011263,-0.0034542,-0.0034637,-0.2006
"M437.041T470.729",0.018431,-0.0026987,-0.015641,0.035048,0.0037944,0.0048784,0.0025157,0.005422,0.024421,-0.013442,-0.011273,0.0058801,-0.001426,-0.010273,0.012154,-0.0098758,0.00032721,-0.6947
"M444.996T106.721",0.022189,-0.012039,0.011404,0.026797,0.011224,0.003348,0.012339,-0.0040871,0.0053354,-0.0013829,-0.0097295,-0.0090661,-0.0067557,-0.0073274,0.0082469,0.0064562,-0.0082171,-0.027466
"M808.155T1200.534",0.022402,-0.018677,0.032981,0.003628,-0.017759,-0.0054778,-0.00068657,0.039453,0.0089345,0.026105,0.0003028,-0.010943,-0.0093033,0.0082802,0.011386,0.026354,-0.0039687,-0.0092535
"M631.151T795.429",0.018282,-0.010478,-0.0094633,0.013799,0.0088834,0.012137,-0.015745,-0.018005,0.0098395,0.010947,-0.011654,-0.0045389,-0.00058661,0.0036186,0.0071627,0.0011324,0.005159,0.19169
"M757.441T1176.453",0.021833,0.012256,0.032659,0.013761,0.0040205,0.0082723,-0.019801,-0.02286,0.00037234,-0.013493,-0.024034,0.020771,-0.015856,-0.016122,-0.026187,0.011135,-0.0003049,0.079752
"M881.515T1351.787",0.01923,-0.0018833,0.0052938,0.033824,0.018387,-0.012662,-0.0010084,-0.0031757,0.014269,-0.0011093,-0.023979,-0.0061673,-0.0010802,-0.011281,0.0056728,-0.011277,0.027478,-0.15942
"M967.577T1245.908",0.028243,0.004563,0.030477,-0.0051268,0.0089443,-0.0052314,-0.0082916,-0.003288,0.0033765,-0.0043847,-0.014034,0.0041392,-0.0035423,0.001089,-0.0072926,0.0050559,-0.0030193,0.11615
"M511.24T944.134",0.028589,-0.0006008,0.034598,-0.0021761,-0.0028273,0.00062673,-0.010711,0.011512,0.0083863,-0.0054206,-0.016121,-0.0076639,-0.011471,-0.0081745,-0.0045215,-0.01701,0.0015695,-0.031096
"M557.187T899.436",0.022607,-0.0050859,0.0036568,0.0021626,0.020489,-0.022861,0.010823,-0.00034046,-0.014738,-0.0012351,-0.0060277,-0.042081,-0.010146,-0.03043,-0.011536,-0.0026764,-0.012402,-0.073391
