"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18"
"X16.C9.3.neg",-3.5961,7.2903,4.9899,1.9937,5.1206,-0.20255,6.515,3.8503,5.2982,3.1153,3.6161,6.7114,-8.0306,-3.5541,-2.4101,-1.4856,1.3553,1.0519e-14
"X19.C9.2.neg",-31.521,-19.8,23.893,5.5784,0.0081827,7.4209,-2.7617,-2.0188,2.1052,0.52432,-0.41764,-0.78534,0.97543,0.35475,0.39457,-0.62932,0.3754,1.4461e-14
"X21.C9.4.neg",5.5575,14.857,6.3727,16.438,-13.379,-6.7753,-5.4547,-0.99734,-1.0898,-1.3512,2.6214,0.18707,-0.22711,-0.9019,-0.072906,-0.48691,0.23622,1.0825e-14
"X45.C9.1.neg",-1.2571,-9.7069,7.5331,-2.0622,4.7765,-11.94,3.8395,3.5768,-8.6066,-5.8033,-3.8772,3.6675,1.1291,-0.2194,1.0128,-0.48643,0.082934,1.0228e-14
"X13.D9.4.neg",8.7801,1.6733,-1.4905,-2.0658,-1.9499,-1.3771,1.9366,7.1832,5.7467,5.666,-0.77688,1.4044,6.9274,1.4272,7.973,-2.8598,0.76809,1.7764e-15
"X20.D9.1.neg",47.976,-16.073,-8.6241,8.6056,9.4061,-4.3946,-6.8187,-3.5089,5.0091,-0.43214,2.7203,-0.38975,-0.019282,-0.15718,-0.51665,0.18316,-0.84977,1.0347e-13
"X49.D9.2.neg",-3.8484,3.307,3.9147,-3.9325,-0.027577,-7.7017,9.9043,-9.7933,3.3388,3.6682,-0.76968,-7.3283,0.39806,1.4063,-1.3415,-0.13477,0.35579,-1.0547e-14
"X48.D9.3.neg",-8.2466,15.039,-0.31345,-6.0049,2.7417,2.9295,-3.3602,-6.3105,6.0946,-9.8391,-5.7349,3.5013,-0.18473,1.7098,2.3406,-0.7851,-0.39273,-2.7534e-14
"X26.F9.1.neg",-0.90201,9.3758,-0.15123,-0.36938,5.7076,5.698,2.9147,-4.1534,-6.2797,-1.1188,11.292,2.2226,5.9911,1.1954,0.085019,-0.3334,-1.0494,1.3878e-15
"X36.F9.3.neg",37.301,-13.763,-7.5262,-0.29147,-11.529,7.4781,8.1863,-2.3323,-2.3303,-3.3406,-0.53535,1.4079,-3.6645,0.31005,2.4465,-0.025809,-0.014536,5.6011e-14
"X14.X9.2.neg",-3.4511,-0.72972,2.2617,-6.2438,-3.502,-1.4044,0.35326,5.9691,4.0744,-1.2486,2.282,-0.011615,0.75492,2.314,-2.2701,9.0561,-4.9107,-2.387e-15
"X23.X9.1.neg",18.028,12.677,0.5457,12.703,7.7057,6.7106,2.0561,2.7886,-4.6839,3.4614,-8.0988,-3.0291,-0.69358,1.8356,0.18899,3.2987,0.14375,2.7867e-14
"X27.X9.3.neg",-3.3408,3.5312,0.14567,-6.6518,2.2264,1.442,-3.1306,4.3728,-1.7737,-3.3381,2.8859,-8.8889,-3.9226,-7.2565,4.1445,-1.4954,-1.6173,-1.2601e-14
"X40.X9.4.neg",13.545,0.21352,-2.5423,-3.4511,-2.7294,3.0966,0.39787,5.1289,1.7253,-2.6733,-2.6595,-1.8987,5.9985,-2.6462,-9.6369,-3.7775,1.778,8.743e-15
"X53.Blank.neg",-67.673,-7.3716,-21.878,9.5167,-0.077946,-0.52154,1.5039,0.51382,0.26682,-0.67154,-0.47505,-0.26136,0.098244,-0.086706,-0.16373,-0.076423,-0.13921,-1.7314e-13
"X10.QC1.neg",-2.4841,0.52542,-1.4887,-7.1152,-1.0572,-0.25922,-5.478,2.0342,-3.2997,3.7331,0.39023,-0.78292,-5.2402,8.9751,-1.9872,-5.3359,-2.9401,-6.3005e-15
"X24.QC.2.neg",-2.5919,-0.66566,-2.6744,-8.3994,-0.8084,-0.41597,-5.2893,0.0048107,-1.8357,1.168,2.0059,-0.50083,-1.5112,1.9335,0.35876,4.2174,9.4283,-2.8311e-15
"X39.QC3.neg",-2.275,-0.38055,-2.9677,-8.2481,-2.6326,0.21702,-5.3142,-6.3079,-3.7598,8.4803,-4.469,4.7746,1.2211,-6.6396,-0.54553,1.1571,-2.6101,-1.1879e-14
