"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"M375.07T470.729",-0.041496,0.01627,-0.0030871,0.0053465,-0.013987,-0.0059219,0.006364,0.0069935
"M562.053T1195.871",-0.037743,0.010869,-0.0031378,0.0015614,0.013603,-0.012226,-0.0011973,-0.015055
"M943.502T1194.413",-0.036613,0.011099,-0.0035594,0.0046595,0.021612,-0.0032172,-0.0020456,0.019999
"M1096.565T894.076",-0.028034,0.0075582,0.0018655,0.047114,0.012772,-0.025806,-0.010314,0.033431
"M354.093T469.671",-0.045904,0.014835,0.0067305,-0.0013603,-0.018541,0.00026816,0.0046469,0.0073288
"M437.041T470.729",-0.027453,0.015231,-0.038237,0.022089,0.0082118,-0.029753,0.014292,0.0026777
"M444.996T106.721",-0.039011,0.0065239,-0.0067852,0.010763,0.019444,-0.014778,0.0040609,0.0017349
"M808.155T1200.534",-0.041764,0.0022874,0.03641,-0.0095862,0.019107,-0.0032787,0.0015987,-0.0059954
"M631.151T795.429",-0.025845,0.018517,-0.0029865,0.0082911,0.014424,-0.022454,0.0058241,0.0068203
"M757.441T1176.453",-0.041322,0.00065827,0.017125,0.013017,-0.020386,0.0045181,0.01783,0.015978
"M881.515T1351.787",-0.033866,0.0052773,-0.022624,0.022319,0.010317,-0.013633,-0.013095,0.009538
"M967.577T1245.908",-0.049083,0.0099207,0.019331,-0.0069524,-0.01132,0.014869,-0.0032859,0.013561
"M511.24T944.134",-0.050744,0.0079373,0.026458,-0.0095584,-0.010091,0.0023837,-0.0043127,-0.0032325
"M557.187T899.436",-0.035237,0.016101,-0.0022527,0.004072,0.018979,0.016851,-0.029236,0.0016823
"M1029.931T1194.947",-0.039066,0.013026,-0.0066178,0.011174,0.0008541,-0.0083792,0.013502,-0.00095103
"M563.252T904.514",-0.048359,0.0086003,0.031858,-0.0048846,-0.013838,0.01077,-0.0060825,0.0018209
"M337.092T724.593",-0.050383,0.016658,0.0026744,-0.0063561,-0.022641,0.0094958,-0.0039389,-0.00077626
"M758.447T1173.243",-0.031298,0.0019889,-0.0026421,0.01952,0.0092607,-0.0030186,0.026637,0.0070343
"M852.114T1329.753",-0.046136,0.0012095,0.01919,0.0016524,-0.010084,0.0061963,-0.010066,-0.0065925
"M854.516T1290.85",-0.047112,0.01616,0.016934,-0.0050315,-0.017937,0.012314,0.0006891,0.015991
"M1013.86T1346.532",-0.048144,0.011235,0.032305,-0.0040833,-0.011346,0.018304,-0.0041575,0.01711
"M852.067T1329.714",-0.050172,0.0050933,0.027555,-0.0032068,-0.0078096,0.0097553,-0.0047958,0.0040669
"M627.643T1193.32",-0.042511,0.0086601,0.021678,-0.0059392,0.012438,-0.0064204,-0.0037735,-0.013879
"M941.508T1318.851",-0.039386,0.0027489,0.0055227,0.0072683,0.0071442,-0.0087825,-0.0048987,0.010702
"M701.418T1268.098",-0.0369,-0.00066086,-0.0022926,0.016818,0.0094031,-0.0085183,0.0053966,0.0037371
"M1013.583T1248.821",-0.045842,0.010442,0.012855,-0.0038435,-0.006395,0.012327,-0.0075432,0.016075
"M968.577T1247.645",-0.035124,0.023937,-0.02586,0.0099848,0.00011949,0.011563,-0.014248,0.018317
"M559.618T1204.987",-0.0422,0.0063009,0.019522,0.014343,0.0030503,-0.00070174,0.011124,-0.017468
"M923.451T1327.672",-0.03695,0.0035817,-0.000984,0.013524,0.0089308,-0.010938,0.00099694,0.0074041
"M917.49T1360.024",-0.03712,0.0043726,-0.00049371,0.0095566,0.0025422,-0.0082554,0.016375,0.0092613
"M875.467T1241.171",-0.044398,0.015079,0.004264,0.006181,-0.02125,0.021681,-0.014889,0.022389
"M1085.513T1348.399",-0.048352,0.01213,0.021581,-0.0028436,-0.015425,0.014585,-0.0065862,0.015385
"M466.978T106.664",-0.035465,0.0051508,-0.0044096,-0.0040043,0.019205,0.0042312,-0.0074841,-0.005064
"M851.519T1328.051",-0.049031,0.0021223,0.025396,-0.0027017,-0.012691,0.0083607,-0.0010111,0.013066
"M861.451T1062.153",-0.027752,0.0094819,-0.016672,0.020664,0.0068807,-0.014461,0.00529,0.015693
"M559.975T1203.448",-0.037985,-0.010943,0.05391,0.00058085,0.013914,-0.031203,0.01329,-6.477e-05
"M545.297T1155.639",-0.030251,0.0059393,0.0089414,-0.015136,0.017199,-0.015597,-0.012052,-0.0036574
"M1059.606T1053.565",-0.04058,-0.0042812,-0.024293,0.0061623,0.019333,-0.00080615,0.0097411,0.025116
"M1096.195T893.605",-0.042952,0.015612,-0.0099285,0.0072892,0.0072882,-0.0023659,-0.0076211,0.012268
"M180.067T785.272",-0.024241,0.042694,-0.02454,0.0063737,-0.011386,0.01389,0.0046393,-0.015687
"M849.51T1359.918",-0.03814,0.0020927,0.001239,0.014369,0.0049355,-0.0077777,0.0064811,0.013625
"M633.053T106.254",-0.036637,0.010159,-0.0012762,0.0014126,0.011923,-0.0082417,0.0065093,-0.00547
"M1014.89T1344.191",-0.045655,0.012877,0.019862,-0.002463,-0.015139,0.017672,-0.00016004,0.016879
"M473.173T806.642",-0.038876,0.011087,-0.021182,-0.00099914,-0.0021727,0.0019279,0.0084055,0.003932
"M1269.507T907.7",-0.045445,0.0076928,0.038032,-0.010942,-0.01084,0.0022316,-0.009291,-0.0071625
"M985.574T1225.672",-0.050092,0.012188,0.020669,-0.00099022,-0.016588,0.016127,-0.0083072,0.0062276
"M1030.586T1195.906",-0.045362,0.011281,0.0083422,0.0012414,-0.0050165,0.0048867,0.00069163,0.0066863
"M1097.549T894.492",-0.045897,0.01453,0.0058094,0.00071379,-0.0029468,0.011443,-0.0030511,-0.0021009
"M901.267T743.636",-0.033388,0.0066025,0.020431,0.018251,0.0080006,0.0052484,0.034617,0.0043989
"M779.462T1401.836",-0.043341,-0.0056237,0.017579,0.0018357,-0.0049805,-0.0015951,0.007657,0.014379
"M917.503T1359.918",-0.040851,0.0042578,0.0097737,0.0080221,0.0001563,-0.0027515,0.0055096,0.010748
"M851.912T1326.892",-0.048394,0.0056236,0.019589,5.4539e-05,-0.0034646,-0.0021281,-0.0070401,0.025109
"M705.267T1050.095",-0.039252,0.0027222,-0.0038168,0.014567,0.0052833,0.00019748,0.0073135,-0.020513
"M983.568T1252.43",-0.040525,0.011626,0.016294,0.0095397,-0.016794,0.0053775,0.0011726,0.028947
"M457.19T799.683",-0.028583,0.022222,-0.0046634,0.018228,0.00087619,0.00012351,-0.013799,-0.0042869
"M846.46T1187.467",-0.044248,0.0058361,0.028008,-0.0019322,0.0034497,0.0041178,-0.0046452,0.013658
"M821.506T1329.663",-0.012902,0.011528,-0.025829,0.048139,0.0082462,-0.019902,-0.0027382,0.026763
"M347.184T1141.626",-0.033613,0.014576,-0.010456,0.0034248,0.01537,-0.012084,-0.0055845,-0.012187
"M768.448T1315.096",-0.036617,0.013286,0.0057421,0.013827,0.004602,-0.0027101,-0.0056255,-0.0013906
"M531.078T845.355",-0.03704,0.0057647,0.029162,-0.0018282,-0.0010464,-0.0072745,0.022768,0.0042022
