"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"X16.C9.3.neg",-4.1218,-11.686,-5.7337,-1.455,-5.4283,1.708,-0.35218,2.3856
"X19.C9.2.neg",-0.6975,-36.708,9.9511,-4.9153,5.0125,-9.2116,3.2184,-0.73979
"X21.C9.4.neg",-12.336,-15.071,-3.867,13.081,-6.5517,-1.7784,1.0716,-4.626
"X45.C9.1.neg",-6.9599,-13.616,-3.1301,-6.6191,7.4411,3.9688,-8.0736,4.6483
"X13.D9.4.neg",-4.1144,2.7632,-3.9458,-5.4269,-6.5875,-5.7799,-5.0852,-1.2294
"X20.D9.1.neg",-24.628,12.651,-6.1465,0.73552,12.385,-5.8347,0.25539,7.4237
"X49.D9.2.neg",-1.9225,-8.09,-4.3121,-1.3775,5.8229,15.364,-2.1088,-8.8889
"X48.D9.3.neg",5.3045,-0.92557,-6.0842,-6.5551,-15.395,0.4544,5.1632,3.5679
"X26.F9.1.neg",1.2658,1.061,-0.73913,1.4416,-7.1812,-0.20377,0.40859,2.7307
"X36.F9.3.neg",-15.2,16.87,-1.7032,-5.9134,4.6073,-7.4721,5.3037,-9.2733
"X14.X9.2.neg",2.7793,1.0685,3.4083,-1.3685,4.6798,10.725,9.4271,5.1786
"X23.X9.1.neg",-10.466,3.2244,4.7353,18.861,-0.74647,0.88974,-1.2741,2.6365
"X27.X9.3.neg",5.2773,5.5173,3.9123,-2.2625,-4.7809,-0.2386,-3.2767,-0.54071
"X40.X9.4.neg",-3.134,10.484,2.6922,-0.22096,-0.034717,1.2104,2.4219,-4.3735
"X53.Blank.neg",45.959,-0.053404,-8.105,6.2711,9.2603,-6.0996,0.79233,-0.69554
"X10.QC1.neg",7.2025,10.08,7.274,-0.23425,-1.4082,-0.26902,-5.5725,-3.1122
"X24.QC.2.neg",7.7044,10.679,5.6069,-1.8065,0.81683,3.4206,0.87404,2.6311
"X39.QC3.neg",8.087,11.75,6.1866,-2.2355,-1.9124,-0.85276,-3.1933,2.2768
