"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"M463.02T875.074",3.7065,3.3492,3.0594,3.0145,3.0036,2.9961,2.9965,2.9964
"M387.034T831.689",3.3229,2.757,2.5634,2.5613,2.5524,2.5458,2.5453,2.5453
"M516.992T825.04",3.2934,3.0039,2.6884,2.6467,2.6372,2.6311,2.6319,2.6318
"M433.038T831.69",3.2643,3.2901,2.949,2.9293,2.9201,2.9126,2.9122,2.9121
"M593.306T1591.72",3.2477,2.907,2.8523,2.8052,2.7951,2.7904,2.7895,2.7895
"M469.036T876.272",3.1931,3.2213,2.9165,2.8838,2.8803,2.8745,2.8739,2.8738
"M379.335T877.312",2.9897,2.9857,2.7134,2.6762,2.6719,2.6684,2.6674,2.6673
"M379.565T877.71",2.937,2.8864,2.6179,2.5858,2.577,2.5705,2.5711,2.5711
"M433.122T384.02",2.8881,2.5395,2.2754,2.2406,2.2358,2.2302,2.2293,2.2293
"M461.223T1572.372",2.8592,2.5185,2.3884,2.3502,2.3466,2.3441,2.3437,2.3437
"M365.528T823.98",2.8174,2.7144,2.4275,2.429,2.4211,2.4149,2.416,2.416
"M1712.298T909.092",2.8028,2.6273,2.4245,2.3854,2.377,2.3733,2.3727,2.3727
"M463.021T778.363",2.7565,2.3133,2.0926,2.0594,2.0521,2.0512,2.0513,2.0513
"M299.652T1305.804",2.7472,2.5513,2.5244,2.4916,2.4865,2.4804,2.4794,2.4794
"M433.039T456.919",2.7329,2.7055,2.4771,2.4463,2.4418,2.4356,2.4351,2.4351
"M683.185T619.574",2.7276,2.4019,2.1825,2.1743,2.1686,2.1631,2.1624,2.1623
"M449.004T832.738",2.7011,2.7,2.4971,2.503,2.4957,2.4893,2.4895,2.4895
"M435.234T1304.756",2.672,2.2397,2.0027,1.973,1.9732,1.9685,1.968,1.9679
"M365.052T459.24",2.6419,2.5412,2.2767,2.2702,2.2638,2.2581,2.2574,2.2574
"M374.109T731.372",2.5888,2.2458,2.0885,2.0609,2.0536,2.0493,2.0488,2.0487
"M437.29T1178.675",2.5858,2.2462,2.2837,2.2497,2.2421,2.2382,2.2376,2.2375
"M455.021T825.04",2.5039,2.3072,2.1212,2.0888,2.0819,2.077,2.077,2.077
"M531.009T876.272",2.5029,2.2492,2.1228,2.1209,2.1132,2.1079,2.1072,2.1072
"M771.203T760.252",2.4704,1.5884,1.6736,1.6463,1.6404,1.6362,1.6356,1.6357
"M354.093T750.969",2.4684,1.5451,1.3816,1.3592,1.3563,1.3547,1.3542,1.3542
"M392.288T1179.554",2.4195,2.1098,2.0442,2.0133,2.0061,2.0037,2.0031,2.0031
"M684.191T618.708",2.3952,1.6778,1.6206,1.6179,1.6121,1.608,1.6078,1.6078
"M380.071T778.258",2.3951,2.6411,2.367,2.3337,2.3257,2.3206,2.3197,2.3196
"M1059.606T1053.565",2.3408,1.4965,1.3765,1.3619,1.3602,1.3568,1.3566,1.3567
"M661.142T919.275",2.3395,2.476,2.219,2.1956,2.2025,2.1989,2.1987,2.1987
"M751.251T911.327",2.3313,1.9705,1.7709,1.7497,1.7553,1.7509,1.7519,1.752
"M272.073T418.674",2.3216,2.4245,2.2252,2.2405,2.2324,2.2266,2.226,2.226
"M338.196T1226.316",2.2935,2.3471,2.1804,2.1466,2.14,2.1363,2.1364,2.1364
"M1168.035T908.053",2.2876,2.2521,2.1708,2.1689,2.1636,2.158,2.1573,2.1573
"M511.046T749.487",2.2739,1.4233,1.2748,1.256,1.2545,1.2531,1.2526,1.2526
"M1701.804T908.08",2.247,2.5006,2.3214,2.2868,2.2786,2.2731,2.2729,2.2729
"M379.067T781.128",2.2384,2.2778,2.0727,2.0517,2.0455,2.042,2.0416,2.0415
"M365.135T389.484",2.2334,2.241,2.0083,2.009,2.0023,1.9976,1.9968,1.9967
"M339.098T806.181",2.2226,1.4986,1.5357,1.5121,1.5084,1.5126,1.5126,1.5126
"M1130.437T924.326",2.1943,2.4884,2.2572,2.22,2.2121,2.207,2.2062,2.2061
"M685.993T90.522",2.1759,1.3855,1.2556,1.2615,1.2571,1.259,1.2588,1.2588
"M469.019T418.674",2.1757,1.9329,1.7949,1.7814,1.7772,1.7739,1.7733,1.7733
"M381.071T774.821",2.1651,2.1112,1.8963,1.9002,1.8988,1.9041,1.9053,1.9053
"M759.145T875.232",2.1401,2.1233,1.9056,1.8743,1.8682,1.8662,1.8671,1.8671
"M698.988T986.183",2.1354,1.3403,1.209,1.2013,1.1991,1.1961,1.196,1.196
"M431.674T89.564",2.135,1.3536,1.2487,1.2281,1.2243,1.2285,1.2281,1.2281
"M159.978T67.84",2.1178,1.3351,1.2247,1.2154,1.2231,1.22,1.2195,1.2195
"M1192.252T906.01",2.101,2.1574,2.1855,2.1495,2.1544,2.1491,2.1486,2.1486
"M343.871T91.064",2.1007,1.348,1.2055,1.1858,1.1815,1.187,1.1866,1.1866
"M681.357T1600.324",2.0953,1.8715,1.8408,1.8146,1.8082,1.8065,1.8067,1.8067
"M1395.427T994.378",2.0879,1.3152,1.2184,1.1983,1.1952,1.1922,1.192,1.192
"M869.904T1310.035",2.0878,1.3117,1.1733,1.1641,1.1641,1.1631,1.1632,1.1632
"M503.141T271.391",2.0847,1.6393,1.4934,1.47,1.4665,1.463,1.4625,1.4625
"M402.053T876.272",2.0735,2.1889,1.9573,1.932,1.9255,1.9206,1.9204,1.9204
"M779.462T1401.836",2.0721,1.2968,1.216,1.1959,1.1917,1.1886,1.1883,1.1882
"M1176.528T983.06",2.0606,2.4354,2.1781,2.1581,2.151,2.1478,2.147,2.147
"M272.216T1223.783",2.0366,1.9686,1.9786,1.9513,1.9443,1.9444,1.9452,1.9452
"M573.017T749.518",2.0343,1.2772,1.1427,1.1246,1.1234,1.1214,1.121,1.121
"M421.069T767.549",2.0103,1.2744,1.1404,1.1236,1.1201,1.1172,1.1173,1.1173
"M297.126T1110.971",2.008,1.8469,1.8226,1.8633,1.8597,1.866,1.8691,1.8691
"M1075.647T1193.908",2.0009,1.2943,1.2143,1.2067,1.2024,1.1996,1.1992,1.1992
"M184.986T90.923",1.9954,1.2864,1.242,1.2239,1.2207,1.2175,1.2171,1.2171
"M656.69T947.865",1.9952,1.2702,1.1386,1.122,1.118,1.1151,1.1147,1.1147
"M308.078T802.991",1.9808,2.0609,2.0713,2.0403,2.0352,2.0306,2.0301,2.0301
"M380.147T1368.008",1.9715,1.2786,1.2287,1.2606,1.2665,1.2633,1.2629,1.2628
"M231.895T92.025",1.9589,1.2369,1.132,1.131,1.1275,1.125,1.1246,1.1246
"M836.522T1479.692",1.9532,1.2678,1.2825,1.2646,1.2604,1.2584,1.2579,1.2579
"M1093.54T895.081",1.9466,1.3584,1.2556,1.2385,1.234,1.2321,1.232,1.232
"M1023.175T89.251",1.9457,1.2569,1.1986,1.1833,1.1792,1.1778,1.1773,1.1773
"M593.947T757.746",1.9403,1.2141,1.0856,1.077,1.0745,1.0725,1.0731,1.0732
"M1333.355T942.499",1.9347,1.2105,1.2266,1.2073,1.2033,1.2002,1.1998,1.1998
"M535.313T1217.431",1.9304,1.2303,1.1006,1.127,1.1233,1.1204,1.12,1.12
"M1074.113T1194.359",1.9278,2.4505,2.2702,2.2394,2.2366,2.2316,2.2308,2.2307
"M353.461T751.667",1.9118,1.2301,1.1201,1.1038,1.103,1.1004,1.1002,1.1001
"M401.05T875.074",1.9065,2.013,1.8088,1.7958,1.7924,1.789,1.7889,1.7889
"M675.158T785.506",1.8952,1.2069,1.1931,1.1915,1.1883,1.1867,1.1862,1.1862
"M1007.203T89.251",1.8944,1.215,1.4517,1.4443,1.4398,1.4377,1.4372,1.4372
"M698.005T988.342",1.8917,1.2264,1.1366,1.1275,1.1256,1.1229,1.1225,1.1225
"M1032.826T1226.065",1.8875,1.1856,1.0648,1.0551,1.0557,1.0553,1.055,1.055
