"",f.value,p.value,-log10(p),FDR,Fisher's LSD (top 1000)
M531.009T876.272,7.5367,9.7267e-05,4.012,0.1206,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Other - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; First-tp_Drought - Second-tp_Control; Second-tp_Fusarium - First-tp_Drought; First-tp_Drought - Second-tp_Xanthomonas; First-tp_Fusarium - Second-tp_Control; First-tp_Fusarium - Second-tp_Xanthomonas; Second-tp_Fusarium - First-tp_Xanthomonas; First-tp_Xanthomonas - Second-tp_Xanthomonas; Other - Second-tp_Control; Second-tp_Fusarium - Other; Other - Second-tp_Xanthomonas; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Drought - Second-tp_Xanthomonas; Second-tp_Fusarium - Second-tp_Xanthomonas
M467.051T320.771,6.6522,0.00023151,3.6354,0.1206,First-tp_Fusarium - First-tp_Control; First-tp_Control - Other; Second-tp_Fusarium - First-tp_Control; First-tp_Fusarium - First-tp_Drought; First-tp_Drought - Other; Second-tp_Fusarium - First-tp_Drought; First-tp_Fusarium - Other; First-tp_Xanthomonas - Other; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Control - Other; Second-tp_Drought - Other; Second-tp_Fusarium - Other; Second-tp_Xanthomonas - Other; Second-tp_Fusarium - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought
M204.085T413.719,6.4468,0.00028605,3.5436,0.1206,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Other - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; First-tp_Drought - Second-tp_Control; First-tp_Fusarium - Second-tp_Control; First-tp_Xanthomonas - Second-tp_Control; Other - Second-tp_Control; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control
M240.933T64.89,6.3765,0.00030782,3.5117,0.1206,Second-tp_Fusarium - First-tp_Control; First-tp_Control - Second-tp_Xanthomonas; First-tp_Drought - Second-tp_Xanthomonas; Second-tp_Fusarium - First-tp_Fusarium; First-tp_Fusarium - Second-tp_Xanthomonas; First-tp_Xanthomonas - Second-tp_Xanthomonas; Other - Second-tp_Xanthomonas; Second-tp_Fusarium - Second-tp_Control; Second-tp_Control - Second-tp_Xanthomonas; Second-tp_Drought - Second-tp_Xanthomonas; Second-tp_Fusarium - Second-tp_Xanthomonas
M387.034T831.689,6.1878,0.00037569,3.4252,0.1206,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Other - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; First-tp_Drought - Second-tp_Control; First-tp_Fusarium - Second-tp_Control; First-tp_Xanthomonas - Second-tp_Control; Second-tp_Fusarium - First-tp_Xanthomonas; Other - Second-tp_Control; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control
M463.02T875.074,6.1811,0.00037839,3.4221,0.1206,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Other - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; First-tp_Fusarium - First-tp_Drought; Other - First-tp_Drought; Second-tp_Drought - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; First-tp_Fusarium - Second-tp_Control; First-tp_Fusarium - Second-tp_Xanthomonas; Other - Second-tp_Control; Other - Second-tp_Xanthomonas; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Drought - Second-tp_Xanthomonas; Second-tp_Fusarium - Second-tp_Xanthomonas
M481.183T769.795,6.0946,0.00041507,3.3819,0.1206,First-tp_Control - Other; Second-tp_Fusarium - First-tp_Control; First-tp_Drought - Other; First-tp_Drought - Second-tp_Control; Second-tp_Fusarium - First-tp_Drought; First-tp_Fusarium - Other; First-tp_Fusarium - Second-tp_Control; First-tp_Xanthomonas - Other; First-tp_Xanthomonas - Second-tp_Control; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Drought - Other; Second-tp_Fusarium - Other; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought; Second-tp_Fusarium - Second-tp_Xanthomonas
M469.036T876.272,5.8741,0.00052744,3.2778,0.1206,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Other - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Fusarium - First-tp_Drought; First-tp_Fusarium - Second-tp_Control; First-tp_Xanthomonas - Second-tp_Control; Other - Second-tp_Control; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Fusarium - Second-tp_Xanthomonas
M471.046T618.546,5.8471,0.00054334,3.2649,0.1206,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Control - Second-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; First-tp_Drought - Second-tp_Control; First-tp_Fusarium - Second-tp_Control; First-tp_Xanthomonas - Second-tp_Control; Other - Second-tp_Control; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control
M365.052T459.24,5.7461,0.00060755,3.2164,0.1206,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Other - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Fusarium - First-tp_Drought; First-tp_Fusarium - Second-tp_Control; First-tp_Fusarium - Second-tp_Xanthomonas; First-tp_Xanthomonas - Second-tp_Control; Second-tp_Fusarium - First-tp_Xanthomonas; Other - Second-tp_Control; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Drought - Second-tp_Xanthomonas; Second-tp_Fusarium - Second-tp_Xanthomonas
M455.021T825.04,5.7412,0.00061086,3.2141,0.1206,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Other - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; First-tp_Drought - Second-tp_Control; Second-tp_Fusarium - First-tp_Drought; First-tp_Fusarium - Second-tp_Control; First-tp_Xanthomonas - Second-tp_Control; Second-tp_Fusarium - First-tp_Xanthomonas; Other - Second-tp_Control; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control
M516.992T825.04,5.6671,0.00066355,3.1781,0.1206,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Other - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; First-tp_Drought - Second-tp_Control; First-tp_Fusarium - Second-tp_Control; First-tp_Fusarium - Second-tp_Xanthomonas; First-tp_Xanthomonas - Second-tp_Control; Other - Second-tp_Control; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Drought - Second-tp_Xanthomonas; Second-tp_Fusarium - Second-tp_Xanthomonas
M581.283T805.632,5.3678,0.00093263,3.0303,0.15647,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Fusarium - First-tp_Drought; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Xanthomonas - First-tp_Xanthomonas; Second-tp_Fusarium - Other; Second-tp_Xanthomonas - Other; Second-tp_Fusarium - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought
M410.078T615.621,5.0599,0.0013382,2.8735,0.16007,First-tp_Drought - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; First-tp_Control - Second-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; First-tp_Drought - Second-tp_Control; First-tp_Fusarium - Second-tp_Control; First-tp_Xanthomonas - Second-tp_Control; Other - Second-tp_Control; Second-tp_Fusarium - Other; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control
M1613.665T937.741,5.0378,0.0013739,2.8621,0.16007,First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Fusarium - First-tp_Drought; First-tp_Fusarium - Second-tp_Control; First-tp_Xanthomonas - Other; First-tp_Xanthomonas - Second-tp_Control; Second-tp_Fusarium - Other; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought; Second-tp_Fusarium - Second-tp_Xanthomonas
M915.823T68.606,4.9858,0.0014622,2.835,0.16007,First-tp_Control - Second-tp_Drought; Second-tp_Fusarium - First-tp_Control; First-tp_Drought - Second-tp_Drought; Second-tp_Fusarium - First-tp_Drought; First-tp_Fusarium - Other; First-tp_Fusarium - Second-tp_Drought; First-tp_Xanthomonas - Second-tp_Drought; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Fusarium - Other; Second-tp_Control - Second-tp_Drought; Second-tp_Fusarium - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought; Second-tp_Xanthomonas - Second-tp_Drought; Second-tp_Fusarium - Second-tp_Xanthomonas
M1130.437T924.326,4.9707,0.001489,2.8271,0.16007,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Other - First-tp_Control; Second-tp_Control - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Fusarium - First-tp_Drought; Second-tp_Fusarium - Other; Second-tp_Fusarium - Second-tp_Control
M453.17T879.981,4.8842,0.0016529,2.7818,0.16007,First-tp_Drought - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Other - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; First-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium; Second-tp_Drought - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Fusarium - Other; Second-tp_Fusarium - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought
M1130.433T884.599,4.8101,0.001809,2.7426,0.16007,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Other - First-tp_Control; Second-tp_Control - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Fusarium - First-tp_Drought; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Fusarium - Other; Second-tp_Fusarium - Second-tp_Control
M401.05T875.074,4.7837,0.0018684,2.7285,0.16007,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Other - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Fusarium - First-tp_Drought; First-tp_Fusarium - Second-tp_Control; Second-tp_Fusarium - First-tp_Xanthomonas; Other - Second-tp_Control; Second-tp_Fusarium - Other; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Fusarium - Second-tp_Xanthomonas
M449.004T832.738,4.7376,0.0019772,2.7039,0.16007,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Other - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; First-tp_Drought - Second-tp_Control; First-tp_Fusarium - Second-tp_Control; First-tp_Fusarium - Second-tp_Xanthomonas; First-tp_Xanthomonas - Second-tp_Control; Other - Second-tp_Control; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Drought - Second-tp_Xanthomonas; Second-tp_Fusarium - Second-tp_Xanthomonas
M379.067T781.128,4.6454,0.0022161,2.6544,0.16007,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Other - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Fusarium - First-tp_Drought; First-tp_Fusarium - Second-tp_Control; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Fusarium - Other; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought; Second-tp_Fusarium - Second-tp_Xanthomonas
M401.027T415.826,4.6234,0.0022778,2.6425,0.16007,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; Other - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; First-tp_Drought - Second-tp_Control; First-tp_Fusarium - Second-tp_Control; Second-tp_Drought - First-tp_Xanthomonas; Other - Second-tp_Control; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control
M643.245T813.714,4.6043,0.0023327,2.6321,0.16007,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; First-tp_Drought - Other; Second-tp_Fusarium - First-tp_Drought; First-tp_Xanthomonas - Other; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Fusarium - Other; Second-tp_Fusarium - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought
M642.242T817.768,4.6,0.0023453,2.6298,0.16007,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Second-tp_Control - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Fusarium - Other; Second-tp_Fusarium - Second-tp_Control
M924.351T839.79,4.5976,0.0023523,2.6285,0.16007,First-tp_Fusarium - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Fusarium - First-tp_Drought; Second-tp_Fusarium - First-tp_Fusarium; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Fusarium - Other; Second-tp_Xanthomonas - Other; Second-tp_Fusarium - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought
M279.139T1150.344,4.5882,0.0023803,2.6234,0.16007,First-tp_Fusarium - First-tp_Control; Second-tp_Fusarium - First-tp_Control; First-tp_Fusarium - First-tp_Drought; Second-tp_Fusarium - First-tp_Drought; First-tp_Fusarium - First-tp_Xanthomonas; First-tp_Fusarium - Second-tp_Control; Second-tp_Fusarium - First-tp_Xanthomonas; Other - Second-tp_Control; Second-tp_Fusarium - Other; Second-tp_Fusarium - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought; Second-tp_Fusarium - Second-tp_Xanthomonas
M687.305T1181.604,4.5618,0.0024602,2.609,0.16007,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control; Other - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; First-tp_Drought - Second-tp_Control; First-tp_Fusarium - Second-tp_Control; First-tp_Xanthomonas - Second-tp_Control; Other - Second-tp_Control; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control
M493.136T809.014,4.5575,0.0024735,2.6067,0.16007,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; Second-tp_Drought - First-tp_Control; Second-tp_Fusarium - First-tp_Control; Second-tp_Xanthomonas - First-tp_Control; Second-tp_Fusarium - First-tp_Xanthomonas; Second-tp_Fusarium - Other; Second-tp_Fusarium - Second-tp_Control; Second-tp_Fusarium - Second-tp_Xanthomonas
