"","X16.C9.3.neg","X19.C9.2.neg","X21.C9.4.neg","X45.C9.1.neg","X13.D9.4.neg","X20.D9.1.neg","X49.D9.2.neg","X48.D9.3.neg","X26.F9.1.neg","X36.F9.3.neg","X14.X9.2.neg","X23.X9.1.neg","X27.X9.3.neg","X40.X9.4.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M375.07T470.729"," 0.00431233","-0.75151184"," 0.22747033","-0.30110775"," 0.21896629"," 1.06696465","-0.41787342","-0.07178096","-0.33370836"," 0.64682464","-0.28464096"," 0.55322986","-0.02900643"," 0.22969974","-2.09027228","-0.46662198","-0.36940999","-0.28442117","-0.08838911","-0.70031753","-0.24174363","-0.15194568"," 0.08741848","-0.53678031"," 0.53912548"," 1.37212667"," 0.63277147"," 0.54061550"," 0.30665787"," 0.69334808"
"M562.053T1195.871"," 0.126326094","-0.257090130"," 0.125812458","-0.016759500"," 0.264654935"," 1.275145019"," 0.018230954","-0.599718881","-0.393262500"," 1.111206770","-0.320673323"," 0.550431586","-0.247996349"," 0.388973874","-1.674837446","-0.312693735","-0.511460411","-0.191240198"," 0.048458513","-0.197878887","-0.009010689","-0.001445564","-0.006315550","-0.453653299"," 0.252312543"," 0.591879038","-0.002883350"," 0.389864577","-0.142658475"," 0.196281925"
"M943.502T1194.413","-0.2226597106","-0.3565840763"," 0.1010272766"," 0.1695273566"," 0.2298143595"," 1.7598819768","-0.1104001122","-0.5921890032","-0.2819875461"," 0.3606822145"," 0.0006868588"," 0.4434823154","-0.5230720630"," 0.4357717203","-1.6496395590","-0.3520444695","-0.2568808348","-0.2261221428","-0.3203852690","-0.1265852614"," 0.0007605940"," 0.2575612327"," 0.1063847696","-0.2299566947"," 0.3596076271"," 0.3536329945"," 0.1468756392"," 0.2500882001"," 0.0496853531"," 0.2230362537"
"M1096.565T894.076"," 0.191692212","-0.291189070"," 0.988291306","-0.550984531"," 0.576745521"," 1.716476346","-0.893442171","-0.712032533","-1.250195891","-0.618658412"," 0.007258046"," 0.861870649","-0.610919690"," 0.384698299","-0.857692660"," 0.402311787","-0.048582046","-0.423673155"," 0.381857963"," 0.653914326","-0.093520758"," 0.199893969","-0.104457271","-0.126200868","-0.324937790"," 1.869776020"," 0.513821935","-0.365841770","-0.844444287","-0.631835472"
"M354.093T469.671"," 0.050098310","-0.668594624"," 0.231206993","-0.287823902"," 0.250067882"," 1.061288285","-0.364930357","-0.084405012","-0.277980068"," 0.636043329","-0.189235652"," 0.478354106","-0.002395588"," 0.189055466","-2.571236571","-0.334202052","-0.344607215","-0.286130917","-0.098330489","-0.654684902","-0.213173633","-0.104553624"," 0.076805880","-0.502000395"," 0.552538672"," 1.290336063"," 0.652238805"," 0.502890268"," 0.326180619"," 0.687180323"
"M437.041T470.729","-0.04356270","-0.72663957"," 0.27111676","-0.35622633"," 0.18311154"," 1.23916862","-0.47942113","-0.15060733","-0.39460609"," 0.70339069","-0.45935426"," 0.52684214","-0.32430727"," 0.10489902","-0.62422700","-0.57583574","-0.55365756","-0.52033958","-0.15583543","-0.77254850","-0.26995698","-0.26248353","-0.07017675","-0.62030797"," 0.60617097"," 1.41019728"," 0.74235576"," 0.56026779"," 0.26830708"," 0.74426605"
"M444.996T106.721","-0.040056232","-0.107940454"," 0.132958617"," 0.066603283"," 0.002815814"," 1.452523529","-0.064568987","-0.533353946","-0.302566101"," 0.928400598","-0.304148270"," 0.792142230","-0.240555997","-0.013481101","-1.562322318","-0.540847779","-0.566872677","-0.435454444","-0.443398154","-0.387544924","-0.011051826"," 0.010509001"," 0.422252696","-0.230699183"," 0.282659985"," 1.052397002"," 0.327013189"," 0.225929530"," 0.138959354","-0.050302436"
"M808.155T1200.534"," 0.085072836"," 0.449943675"," 0.356692231"," 0.290610816"," 0.671463969"," 1.009980263","-0.170409577","-1.090262498","-0.681397066"," 0.971634799"," 0.634203053"," 0.428959638","-0.013126929"," 0.157412178","-2.222283651"," 0.051764085"," 0.021271365","-0.256540396"," 0.020966445"," 0.346950717","-0.033478496"," 0.354821616","-0.001264594","-0.449584083"," 0.102948715","-0.442380179","-0.122876121"," 0.047415675","-0.939167682"," 0.420659196"
"M631.151T795.429","-0.49784705","-0.50811536","-0.26489182","-0.55798425","-0.11765858"," 1.11665961","-0.36897002","-0.35140590","-0.39871491"," 0.47363799","-0.54447732"," 0.28099103","-0.44046882","-0.14372645","-1.01886576","-0.30708539","-0.24447956","-0.13270838"," 0.11247141","-0.27447410"," 0.01657335","-0.23807642"," 0.53587192","-0.20155946"," 0.53982874"," 1.40507331"," 0.65827685"," 0.39539585"," 0.22875896"," 0.84797049"
