"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30"
"M375.07T470.729",0.027055,0.0069281,-0.0029463,0.010054,-0.011978,0.0061706,-0.013196,-0.02232,-0.002398,-0.0050012,0.012142,-0.007896,-0.0086566,-0.0044977,-0.0030024,-0.011165,-0.0037955,-0.0053066,0.0021993,-0.0095622,-0.0041,0.0034346,0.0006561,0.0012569,0.026633,0.0071869,0.0072436,-0.017886,0.0016257,0.36578
"M562.053T1195.871",0.020532,-0.0096942,-0.0095794,0.017265,0.013739,0.0088981,-0.013336,0.0036196,-0.022022,-0.0031675,0.0049192,-0.010233,0.0082195,-0.0042842,-0.0085331,0.0058777,-2.187e-05,-0.0083221,-0.010597,-8.754e-05,-0.00039731,-0.014248,-0.0081159,-0.0098326,0.0040006,0.021887,0.0078705,-0.030757,0.00031351,-0.54002
"M943.502T1194.413",0.020205,-0.013844,-0.0079221,0.010309,0.0078366,0.018433,-0.0065166,5.4496e-05,-0.00037473,0.012815,0.0045388,-0.032259,0.020026,0.00053912,-0.0068723,0.003625,-0.0058201,0.00063888,0.0021761,0.01107,-0.0065725,0.0037929,-0.030442,0.0036449,-0.017675,-1.2344e-05,0.0021734,0.01141,0.0078717,0.07712
"M1096.565T894.076",0.016648,-0.001944,0.010925,0.03738,0.019338,0.0071698,0.059909,0.0032204,0.043347,-0.010378,0.076129,-0.042656,-0.0078751,0.017544,-0.068939,0.0071495,0.0032623,-0.0031816,-0.0048825,0.025755,0.003952,-0.036848,0.010533,0.020972,-0.037346,0.014038,0.0043914,0.0025931,0.0066824,-0.18701
"M354.093T469.671",0.028594,0.0045922,-0.013133,0.0089506,-0.015688,0.0025705,-0.012261,-0.020329,-0.0016332,-0.0062582,0.013082,-0.0085841,-0.010133,-0.0017402,-0.00094065,-0.0074492,-0.0054207,-0.0036701,0.0030816,-0.0088522,-0.0026932,0.0096664,0.0053374,0.0059465,0.02282,0.0057848,0.0087563,-0.014895,-0.0023446,-0.0081593
"M437.041T470.729",0.021472,0.010827,0.026239,0.017802,-0.0010803,0.018722,-0.021006,-0.021498,-0.0094342,0.0046857,0.008139,-0.010465,-0.0094572,-0.005821,-0.0063393,-0.0090994,0.0040579,-0.0053201,0.010162,-0.0044277,-0.0033982,0.0063345,0.0045901,0.001813,0.016814,0.0076351,0.0094698,-0.020371,0.0022915,0.065567
"M444.996T106.721",0.022133,-0.012264,0.001834,0.022207,-0.0042414,0.0088486,-0.014218,-0.0054138,-0.0002473,0.02039,-0.00061149,-0.0039321,0.0096587,0.0030566,-0.0043588,0.0061052,0.0064016,-0.014346,-0.02055,-0.001491,0.006447,-0.022266,0.0064627,-0.0211,0.0033713,0.011342,0.010826,0.003313,-0.00040065,-0.11094
"M808.155T1200.534",0.01528,-0.021884,-0.037556,0.023222,0.023364,-0.0047845,-0.020094,0.031955,-0.013531,-0.023427,0.040408,-0.021875,0.026698,-0.012103,-0.019667,0.0061143,-0.012087,-0.01368,-0.0083738,0.011673,0.030651,0.031145,-0.011211,0.014609,0.0070458,0.004974,-0.0055036,0.019113,-0.0026405,-0.0076829
"M631.151T795.429",0.020546,0.0029345,0.01872,0.012775,-0.010028,0.0096745,-0.0013081,-0.022358,0.0074606,-0.027209,-0.0273,-0.0054793,-0.005083,0.0070221,-0.0053709,-0.0039797,-0.010167,-0.017779,0.0088292,0.011779,0.021765,0.0051926,-0.0040202,0.0054526,0.001899,0.014924,-0.00068262,0.00069641,0.0052141,0.015462
"M757.441T1176.453",0.022457,0.007542,-0.023265,0.029151,-0.0058233,-0.011945,0.014602,-0.016173,0.0077673,0.0046549,-0.014751,-0.010168,-0.010253,0.006256,-0.0082165,-0.010574,0.03218,-0.011506,-0.004095,-0.036927,-0.028095,-0.003543,-0.025209,0.012719,0.018873,0.0043241,0.015878,-0.0060152,0.0093232,-0.17652
"M881.515T1351.787",0.021243,0.0034752,0.0072232,0.025699,-0.0011744,0.020126,-0.001015,-0.0097567,0.0045888,0.022113,-0.009361,-0.01736,-0.00020475,-0.0079645,-0.020996,-0.0032804,-0.0017306,-0.0059926,-0.0071966,-0.0021217,-0.0038045,-0.00047505,-0.0014085,-0.0011247,0.014274,-0.010636,-0.00053122,-0.017047,0.028919,-0.10453
"M967.577T1245.908",0.026876,-0.0087427,-0.03206,0.0081566,-0.012039,0.0030166,0.0082486,-0.010917,0.01409,-0.0011568,-0.0073377,0.0018987,0.0037054,0.007562,-0.013615,-0.0016714,0.0090465,-0.013288,4.7944e-05,-0.0047217,-0.0091761,-0.0029931,-0.0063106,-0.00061765,0.0022937,0.00064242,0.0044685,0.0041111,0.00018955,-0.18222
"M511.24T944.134",0.028418,-0.0076121,-0.028324,0.012912,-0.013412,-0.0052157,-0.010609,-0.015368,0.015362,-0.00013955,-0.0010828,-0.0001848,-0.0034859,-0.011207,-0.015124,-0.00834,-0.0065885,-0.0072026,-0.001649,0.0034959,-0.010309,-0.0074118,0.021927,0.019459,0.00055055,0.0038848,-0.0025287,-0.0096065,-0.0002977,0.17716
"M557.187T899.436",0.021524,-0.012995,-0.0061235,-0.005878,-0.0055601,0.029417,0.0014324,-0.021071,-0.00090801,0.015013,-0.015449,0.0054205,0.0063522,-0.0095812,-0.00081692,-0.0075909,-0.00090671,0.0044482,-0.051161,0.0035468,0.0025251,-0.0069921,-0.0061902,0.023634,0.023066,-0.0065881,-0.015298,-0.011079,-0.020481,-0.14351
"M1029.931T1194.947",0.022623,-0.0001334,-0.007056,0.019531,0.009424,0.01903,-0.015574,-0.002731,-0.015501,-0.011015,0.031388,-0.015457,-0.012296,-0.0028516,-0.0015069,0.0037669,-0.0073925,-0.001754,-0.0029676,-0.012155,-0.023551,0.0072203,-0.0058929,-0.020653,0.017683,0.021786,-0.0013881,-0.014991,0.0062528,-0.03019
"M563.252T904.514",0.025765,-0.0088838,-0.037118,0.004627,-0.0076992,-0.0042446,-0.0023901,-0.0081329,0.016019,-0.0021709,-0.0021002,-0.007098,-0.0072511,-0.0054436,-0.0054223,-4.5691e-06,-0.0021317,0.0072754,-0.013166,-0.0029207,0.0078474,-0.025847,0.0077147,0.014341,0.0012236,-0.000998,-0.0039338,0.0085733,-0.0049008,0.14664
"M337.092T724.593",0.030165,-2.4371e-05,-0.022973,0.0085451,-0.004673,0.008694,-0.0011761,-0.010639,-0.0044252,-0.0096096,0.030814,0.0038144,-0.020386,0.00066349,-0.014702,-0.012876,-0.015693,-0.009284,0.014132,-0.018403,-0.0047377,0.01121,-0.0059299,0.0011685,0.035935,0.005745,0.013731,-0.026199,0.0046985,0.010368
"M758.447T1173.243",0.020091,0.0051763,0.004892,0.030999,-0.0016277,0.0004039,-0.001357,-0.021915,0.0088407,0.001954,-0.01339,0.0063847,-0.011121,-0.0099281,-0.033306,-0.0033632,0.001611,-0.032322,-0.001556,-0.032858,-0.022418,-0.011328,-0.032214,0.019847,0.013683,0.010999,0.00070359,0.014815,0.011625,-0.098179
"M852.114T1329.753",0.02463,-0.0047913,-0.026846,0.021227,-0.015694,0.00079985,0.0028322,-0.0098244,0.011171,-0.00022601,-0.021004,0.018149,-0.0057237,0.0045055,-0.018671,0.0053112,0.018889,-0.014804,-0.016697,-0.017816,-0.00018706,-0.011936,-0.00081973,0.011661,-0.0048923,-0.0072407,0.0080959,-0.022184,-0.0070233,0.11872
"M854.516T1290.85",0.028191,-0.00020383,-0.024118,0.0045061,-0.013491,-0.010953,0.0096374,0.001721,0.0030236,-0.0019568,0.0022819,-0.0065912,0.014624,-0.00091924,-0.0061528,-0.0010909,0.010858,-0.013806,0.0033453,-0.0041255,-0.0052286,0.0028092,-0.02115,0.0013614,0.0035914,-0.0048391,0.00025051,-0.0039011,-0.0042268,-0.16507
"M1013.86T1346.532",0.028166,-0.0035305,-0.027647,0.0091744,-0.022157,-0.0056769,0.0082648,-0.012582,0.0074639,-0.0086746,-0.005654,-0.0051935,0.0047651,0.0041687,-0.0055145,0.0068016,-0.00088514,-0.0065836,-0.022745,-0.0043576,-0.0081328,0.0034068,-0.0091631,0.009878,0.0019897,-0.003706,0.0072583,0.0098873,0.0039813,0.2249
"M852.067T1329.714",0.026233,-0.0074409,-0.033344,0.020872,-0.013067,-0.0049358,0.0060155,-0.00074011,0.006768,-0.0081406,-0.0086917,0.0086259,0.013537,0.017508,7.1845e-05,0.0081103,0.0074706,-0.015176,-0.0087732,-0.0023495,0.0086827,-0.0075734,-0.0097682,0.0052056,-0.0035406,0.0011542,0.0048788,-0.001102,0.0049989,-0.018183
"M627.643T1193.32",0.022394,-0.011679,-0.016638,0.025721,0.0014531,0.0050987,-0.0060996,0.01337,-0.03295,-0.013923,0.017977,-0.014314,-0.011941,-0.012307,0.0057728,-0.0098056,-0.016176,0.0059915,-0.01201,-0.0017119,-0.024139,0.018161,0.012222,0.0032978,-0.0038055,0.010955,-0.00036509,-0.0161,0.011122,-0.21643
"M941.508T1318.851",0.022353,-0.0060353,-0.0059318,0.026855,-0.0094742,0.0051401,-0.0020115,-0.0078681,0.0098168,0.012003,-0.00082829,0.0035044,0.00061173,-0.0019853,0.0024388,-0.00097652,-0.0078214,0.0039567,0.00035365,-0.0020429,0.0018166,-0.01101,-0.0075009,5.8776e-05,0.00010937,-0.0056164,0.024302,0.005351,0.0056842,-0.026147
"M701.418T1268.098",0.020481,-0.0023215,-0.0003743,0.037001,-0.0071124,0.0035028,0.0073288,-0.011299,0.010562,0.014376,-0.0022795,0.012125,0.0020948,0.01593,-0.0081474,0.0059934,0.019796,-0.022624,-0.013059,-0.0097331,-0.020726,0.011324,0.00089701,0.0058715,-0.0024089,0.0083047,0.01474,-0.015957,0.017521,-0.066832
"M1013.583T1248.821",0.025695,-0.0089837,-0.024383,0.0083886,-0.013634,0.0076797,0.0092263,-0.009247,0.012388,0.004758,-0.0042158,0.0011763,0.0057776,0.0078122,-0.0029508,0.0020413,0.0033338,-0.0082506,-0.0030427,0.0011348,-0.0088555,-0.0055145,-0.0091982,-0.0029611,0.00061525,-0.001598,0.0091944,0.0019871,-0.0033005,0.27111
"M968.577T1247.645",0.024136,-0.0026234,0.00023965,-0.0076918,-0.0016963,0.032082,0.015207,-0.0014755,0.0086067,0.0084674,0.0030554,0.010848,0.0097395,0.0014155,-0.011676,-0.002324,0.015898,-0.021353,0.0037262,-0.0066389,-0.0081873,-0.0057885,-0.017016,-0.00047038,0.0046002,-0.00010825,0.00049595,-0.0077313,-0.012751,0.1011
"M559.618T1204.987",0.020238,-0.010878,-0.027429,0.01868,0.0075617,0.018172,-0.0073534,-0.028408,0.0050837,-0.015836,0.025588,0.0019841,-0.027652,-0.035828,-0.0099833,0.019347,0.014493,-0.052618,-0.05381,0.022326,0.032974,0.0093962,0.0095428,-0.0085014,0.026972,0.029916,-0.016589,-0.0074922,0.043279,-0.090911
"M923.451T1327.672",0.021246,-0.0043311,-0.0022442,0.026986,-0.0069365,0.008784,-0.0048039,-0.0059158,0.01285,0.009195,-0.012906,0.0027071,0.010065,0.014681,0.00038934,0.0015994,0.01301,-0.016357,-0.0056457,-0.0081257,-0.013018,0.0041055,-0.0071823,-0.0082164,-0.012525,-0.0068583,0.0029152,-0.0071842,0.0035399,-0.030543
"M917.49T1360.024",0.021861,-0.0022306,-0.0018421,0.02856,-0.013414,0.0016588,0.0061342,-0.014679,0.0097199,0.010263,-0.0103,0.0062051,0.0011749,0.010424,0.0026007,-0.012508,0.02066,-0.024105,0.0053517,0.015971,-0.017303,0.012706,-0.014481,-0.023237,-0.00065467,-0.00064849,-0.0025048,-0.004278,0.0054047,-0.0014567
"M875.467T1241.171",0.027522,0.010232,-0.020968,0.0062535,-0.014621,0.0031597,0.019166,-0.0025933,0.0064722,0.0075075,-0.0055179,-0.0072862,0.015469,0.010087,-0.0013402,-0.00064247,8.6431e-05,-0.01934,-0.0005221,-0.0076965,-0.010035,0.0089205,-0.0073694,0.018929,0.0058806,0.00099988,0.012777,-0.0045913,0.0053177,0.0010847
"M1085.513T1348.399",0.028238,-0.0030838,-0.02644,0.0052541,-0.022438,0.0023689,4.9468e-06,-0.0075785,0.011602,0.0034306,-0.00054821,-0.0091993,-0.0010317,0.0050304,0.002164,-0.0042582,-0.006377,0.0037974,-0.0051873,0.0056308,-0.0020551,0.0028283,-0.0030091,0.0016145,0.00021035,-0.0003744,0.0063266,0.0053028,-0.0024571,0.0060742
"M466.978T106.664",0.020281,-0.0099999,-0.0028435,0.017319,9.3591e-05,-0.0051913,-4.7984e-05,-0.0051336,-0.0064134,0.029299,0.0031876,0.014381,0.022858,0.0041377,0.00033107,0.0031723,-0.016225,0.0064721,-0.012947,0.020789,-0.017046,-0.021246,-0.0028344,0.0021752,0.0018779,-0.014163,0.0029786,0.0032715,-0.012602,0.0019005
"M851.519T1328.051",0.025435,-0.0074789,-0.033337,0.021985,-0.018312,-0.0011265,0.0085268,-0.012872,0.013098,-0.00038697,-0.013152,0.0023607,0.0019769,0.01361,0.0013483,0.0004299,0.013809,-0.014119,-0.0040642,-0.010863,-0.0085623,-0.0051551,-0.0098232,-0.0029834,-0.00078266,-0.002617,0.0050992,-0.003858,0.0045196,-0.0036068
"M861.451T1062.153",0.018875,0.0024523,0.013059,0.023887,0.0048843,-0.0063306,0.027878,-0.0078559,0.01688,0.016212,-0.010954,-0.011199,0.0068323,0.015814,-0.00069176,0.016147,0.0049889,-0.030051,0.0042087,-0.0034685,-0.025895,-0.020332,-0.034325,-0.0026417,-0.019958,-0.019321,0.0057871,-0.012773,0.0067241,0.003133
"M559.975T1203.448",0.015626,-0.021783,-0.0187,0.045001,-0.014895,-0.012325,-0.032277,-0.028476,0.0067947,-0.027176,0.051468,-0.024231,-0.0096855,-0.0022656,-0.0058815,-0.0010437,-0.0072277,0.0049488,-0.046316,0.0076509,0.052039,0.019821,0.0069183,0.011773,0.046506,0.013889,0.0092948,-0.011948,0.020941,-0.00083825
"M545.297T1155.639",0.015796,-0.018803,-0.010148,0.0069887,0.012315,0.007467,-0.0138,-0.02605,0.010221,1.9889e-05,-0.0096767,-0.016237,-0.014465,-0.015277,-0.0088941,-0.00047268,-0.030437,0.014549,0.011782,-0.028308,0.02207,-0.0084987,0.024611,0.02803,0.0029759,0.035377,-0.0045814,-0.011115,-0.016772,0.001047
"M1059.606T1053.565",0.011378,-0.023324,-0.036192,0.0053811,0.019011,0.060395,-0.043805,-0.012297,-0.01047,0.010111,-0.024794,-0.020479,0.021951,-0.017,-0.0011433,-0.005203,0.030312,-0.037012,-0.0028219,-0.039098,0.043342,-0.072869,-0.03354,0.0039051,0.095916,-0.046411,-0.054106,0.060828,0.047843,-0.024001
"M1096.195T893.605",0.025266,0.0015318,-0.0011919,0.0228,0.00045394,-0.00057947,0.014167,0.024727,-0.018412,0.022708,9.8689e-05,-0.0050835,0.030776,0.011596,0.017335,-0.031486,0.0027207,-0.024726,0.01647,0.0033173,-0.029793,0.0011591,0.014123,0.014184,0.0021603,-7.7619e-05,0.030573,0.011263,0.041748,0.0081625
"M180.067T785.272",0.025707,0.013692,0.019379,-0.027655,0.024676,-0.019169,0.013002,-0.0048936,0.010251,-0.00098077,-0.011174,0.015721,0.0083668,0.025774,-0.0070984,0.015267,-0.0073966,-0.010442,-0.023264,-0.0065966,-0.040701,-0.034712,0.0083595,-0.0066008,0.026194,-0.017818,0.010242,0.0051246,0.015779,0.002166
"M849.51T1359.918",0.021453,-0.0041486,-0.004894,0.029585,-0.013239,0.010402,0.0037905,-0.011344,0.010253,0.009048,-0.0095655,0.002138,0.00020561,0.009292,0.0024995,-0.00054871,0.015365,-0.016204,-0.004811,-0.007069,-0.01385,-0.010631,-0.01547,-0.0065157,-0.0015881,0.0010879,0.0073709,-0.0031234,0.0010202,0.012341
"M633.053T106.254",0.022449,-0.0070029,-0.0010931,0.014195,0.00090002,-0.0012624,-0.009409,-0.0088655,0.0013838,0.011915,-0.014267,-0.0060849,2.2496e-05,0.0063215,-0.0058792,-0.0032529,-0.0023318,0.0041092,-0.0062572,0.019202,-0.0034946,-0.0058719,-0.0019889,-0.014578,0.0053703,-0.0051947,0.0039701,0.003493,-0.0028047,0.0097903
"M1014.89T1344.191",0.027323,-0.00091845,-0.023947,0.0042106,-0.022028,0.0039784,0.0035154,-0.0088966,0.0019314,-0.0092533,0.010408,-0.014459,-0.0069206,0.016218,-0.0084021,0.0080647,-0.010178,0.0032697,-0.0061024,0.0064105,-0.0096964,-0.0041261,-0.0096845,0.0080668,-0.0049864,-0.005575,0.013476,0.011216,0.0024078,0.0017335
"M473.173T806.642",0.024139,0.0053188,-0.0052208,0.014201,0.0017027,0.0071622,-0.016324,-0.0045443,-0.0016443,0.0054148,0.0082754,0.004961,0.014583,-0.0101,-0.026541,0.029251,-0.011222,-0.026639,0.0026618,0.023074,-0.0081914,0.016786,0.0021591,-0.022259,0.051463,-0.016334,0.016009,0.0069032,0.035383,0.0067982
"M1269.507T907.7",0.02511,-0.0044208,-0.027278,0.026334,-0.0040461,-0.021002,0.017208,0.011498,-0.00059836,-0.016777,0.0021848,0.013486,0.0042825,8.3446e-05,0.014088,-0.010808,-0.014198,0.003649,-0.00081672,0.0090218,-0.025455,-0.010385,0.0055705,0.0039211,0.010967,-0.012362,0.016044,-0.0076021,-0.00303,0.0038286
"M985.574T1225.672",0.028122,-0.0020097,-0.033552,0.0047584,-0.013606,0.0075784,-0.0051688,-0.0028703,0.0070215,-0.0061762,0.0013496,-0.00017442,0.0036601,0.0099402,-0.0027515,0.0042147,0.00076892,0.010648,-0.0087152,0.00043329,-0.00086709,-0.0075855,-7.5118e-05,-0.0018122,-0.0060029,0.010694,0.0095483,-0.0023621,-0.016763,-0.004271
"M1030.586T1195.906",0.02608,-0.0051165,-0.018982,0.011654,-0.010022,0.0058297,0.0016032,-0.0035467,0.0023723,0.0020861,-0.00036103,-0.0030088,-0.00015947,0.0055039,-0.0066022,0.0020708,0.0085277,-0.0074015,-0.0005343,0.0019405,-0.0027108,-0.0063932,-0.0048167,-0.0002886,-0.0063114,0.0075063,0.0084142,-0.0018538,-0.0025745,-0.00092328
"M1097.549T894.492",0.027889,0.00067911,-0.014115,0.016089,0.006965,-0.01433,0.023031,0.0027041,-0.00038034,0.0090835,-0.014835,0.0060089,0.0011746,0.013758,-0.017278,-0.0066733,0.0018551,-0.00042141,0.0045601,-0.0067524,-0.0058108,0.0072472,-0.0076564,0.0016145,-0.0027184,0.0044089,0.010457,0.0034597,0.013482,-0.0040277
"M901.267T743.636",0.021899,0.0097884,-0.0010677,0.034275,-0.0043412,-0.032979,0.03221,-0.0078801,0.0042844,-0.0039708,-0.036382,0.030624,0.033924,0.00066293,0.029769,0.018848,0.05015,-0.061205,-0.021593,-0.026814,-0.019211,-0.0079538,-0.016643,0.053984,-0.022494,0.022776,-0.063018,0.017275,-0.032307,-0.0029869
"M779.462T1401.836",0.022299,-0.0047064,-0.020241,0.039662,-0.012399,-0.0096254,0.019335,-0.016656,0.01604,0.0064789,-0.01629,0.010362,-0.0026465,0.022531,0.0068166,0.0065031,0.0054509,-0.0086074,0.015785,-0.026419,-0.014781,-0.01159,-0.01741,0.0017207,-0.012706,0.0061952,0.0030338,-0.0024438,0.004962,0.017162
"M917.503T1359.918",0.023349,-0.0035336,-0.0091778,0.02616,-0.016676,0.0045107,0.0032675,-0.014177,0.0060126,0.0040708,-0.0094941,0.0026797,-0.0026787,0.012761,0.0052957,-0.0040742,0.0086064,-0.0092153,-0.0060813,-0.0099063,-0.014188,-0.005393,-0.0090742,-0.0046896,-0.00086741,0.0078294,0.0080677,-0.0041644,0.0085449,0.010976
"M851.912T1326.892",0.025963,-0.0055183,-0.025592,0.024356,-0.01165,0.00044581,0.012191,0.0014163,0.0023111,-0.011541,-0.005819,-0.0034462,0.022388,0.0037996,0.003488,0.020952,0.022357,0.0025613,-0.0033931,-0.021712,0.017391,-0.0072619,0.013665,0.0039761,0.0053331,-0.00040445,-0.012964,0.011595,0.0248,-0.00046619
"M705.267T1050.095",0.019963,-0.010885,-0.01698,0.01417,0.0087742,0.016335,-0.016369,-0.0051183,0.0017192,0.013049,0.0057499,0.017212,-0.020492,-0.00083892,-0.021354,-0.00069744,0.020365,-0.024388,-0.016688,-0.027687,0.0060936,-0.039272,0.0022326,0.0075309,-0.015456,-0.0087653,-0.010956,0.0069118,0.008679,0.0021474
"M983.568T1252.43",0.026564,0.011382,-0.0092803,0.015349,-0.019981,-0.0012995,0.020149,-0.018778,0.01349,-0.015403,-0.011315,-0.011051,-0.0090809,-0.012031,-0.027372,-0.0014604,0.0062318,-0.010528,0.0044484,0.0085809,-0.013156,0.00069691,-0.013878,0.020034,-0.005152,-0.025857,0.021273,0.016083,0.00068662,-0.0037161
"M457.19T799.683",0.022703,0.0095595,0.009343,0.0058083,0.0057026,0.010862,-0.00055236,-0.0010715,0.01207,-0.007383,-0.0046238,0.021329,0.0050905,-0.011173,-0.0018512,-0.020972,-0.012354,0.0090698,-0.011715,0.00062416,-0.022671,-0.010011,0.00032931,-0.0026902,0.010838,0.0012112,0.012383,-0.0020652,-0.034166,0.0037399
"M846.46T1187.467",0.024554,-0.011371,-0.021417,0.024872,-0.002252,0.00052512,0.016119,-0.017543,0.024683,-0.0096408,0.0026275,0.007054,-0.0018336,-0.0051456,-0.010694,-0.017829,-0.015795,-0.032146,-0.00030317,0.0029773,-0.0086791,0.012016,-0.0030895,0.0038251,0.0076939,-0.013106,0.0037643,0.023843,0.002793,-0.0015184
