"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30"
"X16.C9.3.neg",-8.7981,4.3706,-5.4011,1.7495,-5.0257,4.5464,-1.1675,2.8216,-3.1657,1.5532,4.7521,-0.16491,-1.0201,-0.55041,-3.2359,9.9074,0.70464,0.75027,1.0078,-7.7748,-0.27424,-2.8296,1.8905,3.0578,1.7336,2.4522,0.26828,-1.9048,1.5069,-3.4694e-15
"X19.C9.2.neg",-39.271,-17.183,-6.464,23.766,-7.8101,-9.0003,-6.4307,-3.1093,-0.56452,-1.692,-2.0976,-4.2765,-1.0176,0.31327,-0.18099,0.086,0.19917,1.1337,-0.52972,1.4507,-0.34843,-0.0996,1.1358,-0.12799,-0.99143,-0.60674,0.34611,-0.14762,0.24547,-5.1029e-14
"X21.C9.4.neg",1.327,13.029,-8.4888,10.879,13.113,0.80427,-1.7622,-2.0761,4.286,6.6497,6.1863,0.017266,-5.1091,3.5914,3.6438,-4.0558,0.73256,-2.5427,0.58657,-1.7612,2.1535,-2.0601,0.39938,2.567,-1.3859,-2.3537,-0.98097,0.014643,0.19568,-1.519e-15
"X45.C9.1.neg",-7.9711,-12.581,-5.5371,3.9312,-0.07236,4.4152,3.5727,-1.9816,-2.5869,6.4788,-0.011834,7.0263,10.237,-4.3561,-1.6423,-5.1273,-0.93278,2.4992,2.247,-4.1984,-0.21355,1.8223,0.5865,0.083623,-0.55649,-2.3803,-0.33367,-0.069074,-0.33096,-2.0678e-14
"X13.D9.4.neg",3.3277,-2.5523,-2.3424,-4.396,1.9046,2.5097,-3.4135,2.7635,-0.032724,-0.71566,6.9487,-2.5534,-1.3839,0.0047849,-4.4527,-0.71403,-4.968,3.624,4.262,4.2241,3.7752,0.79471,1.3342,-4.8046,1.5211,-2.3846,4.877,-3.0777,1.1952,5.1625e-15
"X20.D9.1.neg",43.579,-17.934,8.961,3.9323,4.1895,7.2604,4.2577,-3.2052,-1.5103,3.6565,0.7913,-10.79,4.8686,2.3762,2.8152,2.853,1.2794,-1.8842,0.88459,2.2225,-0.76562,0.709,-0.015172,1.3992,-0.055467,1.4171,0.44673,0.15669,-0.12095,2.1816e-14
"X49.D9.2.neg",-9.9138,-0.32486,-6.6864,-2.5212,-0.24395,2.0384,1.3393,2.1127,-9.2365,8.1113,-5.4745,2.7213,-2.8536,7.4903,-2.4771,0.71335,-5.5345,-1.3878,-5.4975,3.6784,-0.4719,1.3668,-0.79414,-0.048959,0.83023,1.2786,-0.90559,-0.62852,0.19945,-1.2341e-14
"X48.D9.3.neg",-13.121,12.027,-3.5019,-7.7204,-6.7858,-5.9301,2.6623,-4.0102,-0.61987,4.8307,-0.97499,-3.5725,-0.61189,1.5302,-1.8755,-2.5869,5.2136,-5.9867,6.2726,-0.82159,-4.1061,1.9019,0.73238,-4.0425,2.1811,0.65708,-0.40632,-1.6672,-0.35573,-6.6613e-16
"X26.F9.1.neg",-5.5212,6.8266,-1.356,-1.8802,-6.7231,0.0016727,0.37664,4.1657,-0.53125,1.3721,-0.090942,2.0108,1.985,4.7123,12.233,2.7685,3.4035,6.7202,1.2668,0.52559,1.3829,0.26025,-3.0698,-2.7489,-0.92836,-0.73542,0.40058,-1.0541,-0.8658,2.498e-15
"X36.F9.3.neg",32.234,-15.79,5.71,-1.7647,9.5437,-6.6179,-8.3977,4.9102,-7.5798,-1.9778,-1.3945,5.5315,-1.9533,-0.9567,2.0016,-1.2499,4.981,-2.0447,0.84182,-1.4342,1.6048,-0.46188,2.7445,-1.9994,1.5732,2.6684,-0.44678,-1.0884,0.040051,2.7867e-14
