"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"M375.07T470.729",0.033094,-0.016498,-0.0075464,0.0084128,-0.012624,-0.018681,0.012952,-0.0054672
"M562.053T1195.871",0.022552,-0.0343,-0.0034797,0.002999,0.0082703,-0.014489,-0.014244,-0.0089284
"M943.502T1194.413",0.022222,-0.033081,0.0055905,-0.0018088,0.0064864,0.00022581,0.012241,0.014778
"M1096.565T894.076",0.019014,-0.022065,-0.013436,0.00092652,0.038049,-0.039765,0.020552,0.040548
"M354.093T469.671",0.034249,-0.02356,-0.0056736,0.014225,-0.020734,-0.010534,0.014251,-0.0071241
"M437.041T470.729",0.027859,0.00023204,-0.01307,-0.0084366,0.021558,-0.03805,0.015762,-0.0030921
"M444.996T106.721",0.024891,-0.031687,0.002935,-0.0043263,0.010427,-0.026713,0.015946,-0.00085473
"M808.155T1200.534",0.013107,-0.056826,0.00011139,0.019508,0.018944,0.019494,-0.011267,0.0060371
"M631.151T795.429",0.026646,0.0014459,0.017519,0.0050334,0.014688,-0.031404,0.015224,-0.0011449
"M757.441T1176.453",0.02585,-0.027956,-0.014268,0.03306,-0.0098694,-0.026373,0.0050378,0.0046858
"M881.515T1351.787",0.025667,-0.015756,-0.0079136,0.0059704,0.016577,-0.032505,0.017032,-0.0046196
"M967.577T1245.908",0.030113,-0.03919,0.010843,0.023762,-0.03167,0.00032887,0.0099886,0.0056083
"M511.24T944.134",0.032187,-0.038523,0.010612,0.025027,-0.021815,-0.0035723,0.010223,-0.0036411
"M557.187T899.436",0.025105,-0.022281,0.022054,-0.0022645,-0.014882,0.0065348,0.015077,0.0019206
"M1029.931T1194.947",0.026053,-0.027967,-0.013736,0.0063562,0.0040978,-0.019564,-0.00091369,-0.0014123
"M563.252T904.514",0.028604,-0.039758,0.012011,0.027646,-0.028952,0.013045,0.0040424,0.0044205
"M337.092T724.593",0.034989,-0.034661,-0.0070447,0.015915,-0.025141,-0.0057543,0.00011769,-0.0081475
"M758.447T1173.243",0.024519,-0.012569,-0.00090555,0.018324,0.024085,-0.035004,0.014622,0.0033027
"M852.114T1329.753",0.027777,-0.034457,0.0087666,0.030693,-0.017453,-0.015458,0.010683,-0.010709
"M854.516T1290.85",0.032742,-0.031892,-0.003613,0.01712,-0.023076,0.0064712,0.0072115,-0.0035032
"M1013.86T1346.532",0.032451,-0.033611,0.0077709,0.025165,-0.025928,0.0023915,0.019165,-0.0055539
"M852.067T1329.714",0.028856,-0.04315,0.0040429,0.029789,-0.018579,-0.0067743,0.011372,-0.0022458
"M627.643T1193.32",0.023991,-0.042588,-0.003466,0.011334,0.015983,-0.0074849,-0.00030014,-0.027415
"M941.508T1318.851",0.025473,-0.029224,0.0022834,0.011935,0.0087897,-0.024592,0.021385,-0.0035453
"M701.418T1268.098",0.023396,-0.026676,-0.0063252,0.011695,0.013903,-0.044195,0.02039,0.00044699
"M1013.583T1248.821",0.028971,-0.035935,0.0094657,0.016346,-0.026314,-0.0028148,0.01553,0.0034313
"M968.577T1247.645",0.029387,-0.015274,0.0059446,-0.0067289,-0.019053,-0.0016142,0.0094748,0.010858
"M559.618T1204.987",0.021771,-0.037065,0.012246,0.026008,-0.010729,-0.010525,-0.0018964,-8.57e-05
"M923.451T1327.672",0.024511,-0.025249,0.0014748,0.010301,0.0075489,-0.031578,0.020012,0.0066177
"M917.49T1360.024",0.025453,-0.024083,-0.0004941,0.01167,0.0055612,-0.034498,0.023981,0.0015094
"M875.467T1241.171",0.033044,-0.022413,-0.014085,0.02088,-0.027011,-0.00027733,0.014263,-0.00041069
"M1085.513T1348.399",0.032635,-0.032964,0.0045962,0.020047,-0.030908,0.0048039,0.021541,-0.0050453
"M466.978T106.664",0.022592,-0.031115,-0.0023876,-0.0022758,0.016573,-0.0068645,0.013398,0.00025191
"M851.519T1328.051",0.02797,-0.041806,0.0062734,0.030703,-0.02658,-0.014157,0.017642,0.00063435
"M861.451T1062.153",0.023018,-0.012162,-0.0067217,0.00057992,0.023888,-0.034235,0.0098667,0.017381
"M559.975T1203.448",0.014481,-0.048444,0.0106,0.018141,0.01019,-0.03758,0.02907,-0.0054169
"M545.297T1155.639",0.017003,-0.028042,0.026393,0.0056889,-0.00025608,-0.0078861,-0.0080905,0.011966
"M1059.606T1053.565",0.0095527,-0.043187,0.019997,0.015766,-0.023153,0.012966,0.0071992,0.037448
"M1096.195T893.605",0.029218,-0.030625,-0.025542,-0.0019697,0.015068,-0.017444,0.0069046,-0.0070206
"M180.067T785.272",0.03439,0.0096269,-0.0050208,-0.017375,-0.0036281,0.0067106,-0.038317,0.027785
"M849.51T1359.918",0.024597,-0.026817,0.0011839,0.013268,0.0029412,-0.034455,0.025535,0.0010433
"M633.053T106.254",0.02613,-0.024466,0.0061939,0.0033904,0.010886,-0.013176,0.0053602,0.0015432
"M1014.89T1344.191",0.031846,-0.029733,0.0017124,0.018511,-0.0278,0.0072352,0.023056,-0.0058366
"M473.173T806.642",0.028952,-0.019837,-0.010982,0.010395,0.0027349,-0.012908,0.0021691,-0.006513
"M1269.507T907.7",0.027744,-0.04056,-0.0030663,0.028838,0.0013178,-0.01031,-0.0042811,-0.012401
"M985.574T1225.672",0.032167,-0.035836,0.001578,0.025352,-0.03525,0.007053,0.009742,-0.002033
"M1030.586T1195.906",0.029841,-0.033093,0.0022194,0.014615,-0.014841,-0.0051408,0.01152,-0.0034148
"M1097.549T894.492",0.032547,-0.030346,-0.0063374,0.017119,0.0072958,-0.0057228,-0.0086628,7.9388e-05
"M901.267T743.636",0.026619,-0.014959,-0.0086581,0.026981,0.033207,-0.023711,0.016572,0.017451
"M779.462T1401.836",0.024483,-0.037243,-0.00019879,0.030188,0.00099708,-0.03612,0.020748,0.0057735
"M917.503T1359.918",0.026865,-0.028383,0.0014453,0.015469,-0.0042913,-0.029891,0.02285,-0.003926
"M851.912T1326.892",0.028949,-0.03951,0.00070015,0.025809,-0.0092554,-0.012748,0.015415,-0.00071358
"M705.267T1050.095",0.021796,-0.034066,0.0059329,0.011635,0.00089814,-0.0030509,0.0028844,0.0088705
"M983.568T1252.43",0.03302,-0.011347,0.0019322,0.029132,-0.0041549,-0.01054,0.024638,-0.0047135
"M457.19T799.683",0.029075,-0.0024883,-0.0013289,0.0058115,0.0091884,-0.015015,-0.0016061,0.0057812
"M846.46T1187.467",0.027249,-0.03777,0.016222,0.02638,0.00029013,-0.014695,0.015954,0.017693
"M821.506T1329.663",0.022826,0.016903,-0.011128,0.0020232,0.026561,-0.044939,0.032591,0.0013423
"M347.184T1141.626",0.021749,-0.031738,-0.0099773,-0.019185,0.015056,-0.023692,0.0080373,-0.0023479
"M768.448T1315.096",0.030187,-0.012369,0.0049737,0.01164,0.0092123,-0.01473,0.018358,-0.011619
"M531.078T845.355",0.027019,-0.02114,-0.0077696,0.02814,0.037788,-0.013004,0.0027829,-0.006074
"M309.118T727.508",0.032495,-0.014491,-0.025717,0.011324,-0.0016085,-0.013283,-0.0084203,0.0069938
"M345.183T1137.887",0.027376,-0.0383,-0.0060354,0.0019998,-0.012013,-0.0012724,0.0075214,0.011931
"M1076.649T1193.389",0.017151,-0.05942,0.0041701,0.022152,-0.014071,0.025975,-0.032269,-0.014947
"M919.515T1328.715",0.027859,-0.038828,0.0060449,0.024871,-0.017817,-0.015776,0.016305,0.0018857
"M277.217T1196.341",0.011053,-0.029798,-0.018283,-0.0013786,0.045864,-0.0017449,-0.016823,-0.029849
"M655.999T943.196",0.029414,-0.03242,-0.0018921,0.0065267,0.00013785,-0.0065035,0.0035658,0.0095909
"M565.05T98.887",0.019101,-0.025394,-0.011539,0.023582,0.046058,-0.037663,-0.0204,0.048532
"M277.129T811.716",0.028295,0.0037956,-0.007865,-0.003268,-0.0071082,-0.03117,0.014674,0.0052852
"M655.038T106.771",0.023843,-0.041533,0.0071267,0.0069896,0.00475,5.5362e-05,1.2995e-05,0.0029157
"M1075.647T1193.908",0.016151,-0.05642,-0.022735,0.024089,0.0073271,0.051766,-0.030566,-0.057289
"M649.026T106.128",0.029183,-0.042935,0.0074064,0.0099647,-0.020545,0.00085811,0.014573,-0.014881
"M1097.561T894.34",0.030819,-0.040728,-0.020241,0.0099061,0.027734,-0.022724,-0.018474,0.01387
"M1014.585T1248.122",0.028482,-0.033303,0.010428,0.012644,-0.022288,-0.0023804,0.012678,0.0088682
"M868.517T1202.592",0.028609,-0.039936,0.011115,0.035164,-0.026335,-0.010387,0.013268,0.0078047
"M1015.588T1248.088",0.030485,-0.042347,0.008919,0.023751,-0.039535,0.0022035,0.013623,0.00040623
"M921.374T936.829",0.036505,-0.015612,-0.010628,0.0072137,-0.018715,0.0088966,0.009641,0.011648
"M851.794T1356.146",0.028335,-0.040647,0.0087937,0.027679,-0.011226,-0.0074292,0.011503,-0.0039902
"M451.007T107.467",0.025307,-0.038954,0.004312,0.00083216,0.0074238,-0.010463,0.0091715,0.0022055
"M808.919T1196.341",0.015366,-0.025496,-0.0058735,0.0038287,0.024487,0.032804,0.017412,0.018337
"M1013.97T1244.591",0.030795,-0.033843,0.013086,0.015802,-0.021194,-0.00023989,0.017841,-0.0055647
"M1100.582T1225.322",0.032554,-0.032495,0.0044952,0.022704,-0.025103,0.00095397,0.017164,-0.0010191
