"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"X16.C9.3.neg",-9.0808,-4.0407,-7.7071,-0.86261,-4.767,-1.9738,1.1239,-5.755
"X19.C9.2.neg",-41.767,-16.882,4.7022,9.2903,4.8905,-9.0847,5.5007,-3.6827
"X21.C9.4.neg",-2.3599,-7.6281,-14.519,7.4673,3.6282,-0.50275,-0.84768,10.273
"X45.C9.1.neg",-14.089,-13.773,-0.30013,-2.5894,0.050907,1.2327,3.8322,0.8105
"X13.D9.4.neg",0.3689,-4.5803,-3.0636,-5.3136,-3.6928,-0.3587,-4.5698,-3.9643
"X20.D9.1.neg",27.425,-15.312,0.66325,-14.377,1.9122,-4.6916,3.9741,6.2998
"X49.D9.2.neg",-11.118,-5.8493,-5.0531,-0.82335,0.86432,7.4783,-0.86065,-6.8154
"X48.D9.3.neg",-7.2904,5.6374,-8.9625,-4.0753,-10.555,-2.4177,-0.50258,0.20176
"X26.F9.1.neg",-3.2725,1.781,-6.2504,-2.3931,-4.3059,0.0083599,3.6114,-1.1408
"X36.F9.3.neg",19.999,-11.671,2.5228,-10.277,5.0037,-0.98162,-12.56,-3.0338
"X14.X9.2.neg",-10.523,-4.6166,-0.5328,-1.57,2.6415,10.444,5.4557,5.3751
"X23.X9.1.neg",12.812,0.55117,-6.8887,3.1501,-2.508,-5.5753,2.8837,-2.5556
"X27.X9.3.neg",-6.8549,1.0196,-0.55962,-1.8617,-3.9964,1.9531,0.39174,-1.342
"X40.X9.4.neg",5.6644,-2.3063,0.20214,-3.9026,-1.6047,1.1814,-3.5163,-2.1518
"X53.Blank.neg",-47.706,24.361,-1.5246,-15.356,9.1341,-6.03,-0.38175,1.3346
"X10.QC1.neg",-6.3859,1.3319,3.0388,-0.86732,-1.9991,1.1719,-3.4768,-0.51696
"X24.QC.2.neg",-6.445,1.3439,2.3952,-2.6354,-0.60471,3.9243,-0.9616,1.1733
"X39.QC3.neg",-5.9803,2.0222,3.3396,-1.6737,-2.9763,-0.3164,-6.5248,2.0265
"X02.C12.2.neg",-6.3622,3.9938,-0.47925,11.488,-2.6786,-2.4414,-3.1475,4.7858
"X18.C12.3.neg",-13.105,-5.1706,7.8843,10.735,4.1737,-1.8981,-5.1646,-2.0091
"X33.C12.4.neg",-0.17174,2.3552,-1.0271,5.9117,0.10298,4.0378,2.6746,-1.3775
"X12.D12.2.neg",5.5793,-0.33119,4.9037,-1.6675,4.0224,9.9199,1.7939,4.1355
"X28.D12.3.neg",2.7478,1.6243,11.101,-0.52926,-6.2388,-7.2398,1.9205,6.6979
"X52.D12.4.neg",-2.0145,5.6825,4.1017,-0.90225,-0.34992,8.8501,-1.3747,-0.24091
"X05.F12.4.neg",19.269,5.6687,0.58471,3.0819,3.6837,2.9691,1.9145,-4.1253
"X22.F12.1.neg",39.34,4.227,0.61538,-2.7709,6.2552,-7.9581,5.4644,-4.487
"X38.F12.2.neg",25.132,9.6039,-2.532,0.88728,1.3099,-0.75413,4.6283,1.7023
"X43.F12.3.neg",18.272,8.5698,-4.1024,13.353,3.4165,-3.043,-9.3376,2.8607
"X32.X12.2.neg",4.3627,3.8706,15.742,1.3335,-7.079,-0.94652,2.1984,0.3441
"X41.X12.1.neg",13.552,8.5177,1.7054,7.7482,2.2666,3.0428,5.858,-4.8229
