"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"M661.142T919.275",2.8715,2.1578,1.8054,1.7386,1.7259,1.7164,1.7147,1.7147
"M1130.437T924.326",2.7602,1.9628,1.6611,1.5843,1.5718,1.5677,1.5652,1.5653
"M453.17T879.981",2.7483,2.5272,2.138,2.0365,2.0177,2.006,2.007,2.0065
"M1176.528T983.06",2.6173,1.7074,1.4381,1.4049,1.3942,1.4,1.398,1.3976
"M420.228T902.138",2.5876,1.9268,1.6715,1.5938,1.5817,1.5792,1.5821,1.5832
"M311.104T1075.82",2.5605,2.2263,1.9528,1.8722,1.8549,1.8445,1.8422,1.8417
"M469.036T876.272",2.5516,1.7567,1.4515,1.4751,1.4631,1.456,1.4562,1.4571
"M433.038T831.69",2.5138,1.719,1.4306,1.5108,1.5013,1.4961,1.4972,1.4971
"M463.02T875.074",2.4669,1.9213,1.6145,1.6021,1.5948,1.5856,1.5837,1.586
"M354.082T204.227",2.454,3.2434,2.6825,2.6366,2.6122,2.597,2.5954,2.5952
"M1130.433T884.599",2.45,1.6732,1.415,1.3505,1.338,1.3312,1.3294,1.329
"M379.335T877.312",2.4254,1.8008,1.4967,1.5065,1.493,1.4854,1.4834,1.4831
"M387.034T831.689",2.3834,1.9918,1.6992,1.8388,1.8218,1.8113,1.8127,1.8122
"M1712.298T909.092",2.3774,1.9916,1.6864,1.6224,1.6192,1.6103,1.6221,1.6223
"M399.202T993.604",2.3464,1.4863,1.2612,1.209,1.2021,1.1968,1.1949,1.1948
"M374.109T731.372",2.3347,2.1747,1.8178,1.746,1.7424,1.7356,1.7334,1.7329
"M380.071T778.258",2.3219,1.4919,1.2329,1.1992,1.1973,1.1928,1.1981,1.1977
"M759.145T875.232",2.3117,1.7912,1.4888,1.4331,1.4278,1.4256,1.4237,1.4247
"M365.528T823.98",2.3082,1.6657,1.3757,1.4624,1.449,1.4418,1.4408,1.4414
"M647.255T794.469",2.2905,1.4685,1.3819,1.3407,1.3309,1.3239,1.3231,1.3228
"M821.606T900.199",2.2904,1.4609,1.2072,1.1762,1.1669,1.1603,1.1596,1.1595
"M950.342T882.081",2.2857,1.3173,1.1078,1.0572,1.0536,1.061,1.0593,1.0589
"M431.769T791.594",2.2841,1.5079,1.3157,1.2535,1.2436,1.2364,1.2356,1.2352
"M1624.518T315.279",2.2763,1.7731,1.4701,1.4004,1.3875,1.3899,1.3881,1.3877
"M950.337T882.881",2.2578,1.3055,1.0961,1.0501,1.0448,1.0535,1.0518,1.0515
"M287.071T1080.355",2.2285,1.6006,1.322,1.2904,1.2832,1.3012,1.3106,1.3119
"M633.256T842.527",2.2262,1.4468,1.2449,1.1885,1.1846,1.186,1.1843,1.1841
"M982.374T904.236",2.2259,1.3718,1.1575,1.1035,1.096,1.0896,1.0879,1.0876
"M402.053T876.272",2.2227,1.6059,1.4117,1.3663,1.3586,1.351,1.3532,1.3556
"M453.101T88.055",2.2161,1.8302,1.9522,1.879,1.8623,1.8545,1.854,1.8544
"M541.425T1223.783",2.2053,1.7671,1.8908,1.8019,1.8208,1.8176,1.8156,1.8162
"M1462.52T939.973",2.2024,1.4298,1.1869,1.133,1.134,1.1308,1.1338,1.1334
"M206.082T164.917",2.1937,3.096,2.5911,2.4749,2.4519,2.4378,2.4342,2.4336
"M981.364T901.259",2.1501,1.2521,1.0342,0.9852,0.97688,0.9787,0.97772,0.97747
"M990.329T838.789",2.1416,1.2479,1.0797,1.0538,1.0484,1.0436,1.0419,1.0416
"M430.136T769.014",2.1336,1.2077,1.2167,1.1595,1.1495,1.1434,1.1429,1.1427
"M703.247T844.715",2.1198,1.3026,1.1638,1.1557,1.1456,1.1396,1.138,1.1378
"M790.016T1120.766",2.1171,1.632,1.3993,1.425,1.4661,1.4624,1.4602,1.4601
"M1197.439T886.215",2.1107,1.2718,1.0506,1.0023,0.99639,0.99564,0.99413,0.99381
"M467.156T971.498",2.1084,1.4121,1.1852,1.1765,1.2051,1.2037,1.2022,1.202
"M951.343T881.927",2.0996,1.2612,1.0416,0.99337,0.99557,0.99767,0.99604,0.99575
"M1014.419T974.744",2.0918,1.1819,1.0551,1.0546,1.053,1.0486,1.0472,1.047
"M276.196T919.68",2.0892,3.4219,3.1935,3.0923,3.0652,3.049,3.044,3.0438
"M861.166T878.352",2.0779,1.2181,1.0463,1.0028,1.0305,1.0247,1.0232,1.0229
"M805.362T924.937",2.0703,1.2871,1.0706,1.0889,1.1307,1.1291,1.1317,1.1337
"M644.248T900.496",2.0675,1.211,1.086,1.0736,1.0663,1.0629,1.0611,1.0608
"M968.4T974.568",2.0569,1.1373,0.99674,0.96843,0.96708,0.97575,0.97451,0.97448
"M947.338T316.358",2.049,1.4081,1.1632,1.1145,1.1057,1.1325,1.1307,1.1303
"M1057.411T880.24",2.0428,1.1553,0.95539,0.91369,0.91351,0.91604,0.91482,0.91452
"M1143.444T941.11",2.0383,1.1515,0.97681,0.93663,0.92943,0.92903,0.92752,0.92728
"M642.242T817.768",2.0383,1.3172,1.1123,1.0848,1.0749,1.0711,1.0703,1.0699
"M379.067T781.128",2.0369,1.4071,1.1649,1.1213,1.1211,1.1172,1.119,1.1188
"M428.2T856.891",2.0347,1.243,1.0582,1.0094,1.0019,0.99784,0.99696,0.99679
"M1144.448T942.538",2.0309,1.1473,1.0175,0.99176,0.98412,0.98853,0.98793,0.98768
"M1230.792T836.99",2.008,1.8357,1.5287,1.4706,1.4936,1.5057,1.5074,1.5074
"M927.398T981.461",2.0079,1.2516,1.0375,1.0799,1.0761,1.0728,1.0732,1.0731
"M731.11T823.98",2.005,1.5554,1.2939,1.233,1.2368,1.235,1.2369,1.2365
"M989.364T928.413",2.0029,1.2115,1.1618,1.1855,1.1745,1.17,1.1685,1.1681
"M433.624T805.348",2.0013,1.3155,1.1511,1.1004,1.0984,1.0932,1.0939,1.0935
"M1323.606T888.291",2.0012,1.6068,1.7783,1.6943,1.6787,1.669,1.6707,1.671
"M418.218T902.438",1.9951,1.1739,1.0613,1.0466,1.0448,1.0389,1.0386,1.0383
"M1143.426T942.716",1.9902,1.1296,0.9531,0.91182,0.90398,0.90961,0.90821,0.90794
"M419.218T842.905",1.99,1.1944,1.1423,1.1382,1.1279,1.1245,1.1227,1.1223
"M365.143T832.741",1.9874,1.2473,1.0322,1.0106,1.0132,1.0077,1.0146,1.0161
"M401.18T764.21",1.9839,1.1521,0.98384,0.95449,0.94563,0.94406,0.94301,0.9427
"M322.894T87.737",1.9795,1.5512,1.8694,1.7816,1.7651,1.76,1.7593,1.7605
"M890.319T900.562",1.979,1.135,0.97024,0.94099,0.93409,0.93993,0.93865,0.93838
"M427.038T293.27",1.9779,1.1565,0.95597,0.91563,0.90747,0.90484,0.90336,0.90306
"M625.024T106.841",1.9748,1.1332,1.1295,1.1104,1.1026,1.0966,1.0949,1.0949
"M1058.433T882.742",1.9704,1.0889,0.90016,0.85824,0.85465,0.86622,0.8648,0.86454
"M621.125T857.148",1.9699,1.2078,1.0496,1.0182,1.0098,1.0092,1.0091,1.0089
