"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Second-tp_Control","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M375.07T470.729","-0.3070536","-0.9487789","-0.4678755","-0.3737050","-0.1226854","-0.7772785"," 0.3510168"," 1.2245796"," 0.4492227"," 0.3525793"," 0.1072295"," 0.5127490"
"M562.053T1195.871","-0.009670086","-0.352219111","-0.089584947","-0.079065123","-0.085837173","-0.707890945"," 0.273802903"," 0.745993371","-0.081064463"," 0.465078428","-0.275431346"," 0.195888492"
"M943.502T1194.413","-0.63329589","-0.33366323","-0.13677482"," 0.26026261"," 0.02652988","-0.49348499"," 0.41803573"," 0.40879840"," 0.08913249"," 0.24870862","-0.06113264"," 0.20688382"
"M1096.565T894.076"," 0.2931529"," 0.5702157","-0.1909737"," 0.1078404","-0.2021115","-0.2242552","-0.4266493"," 1.8084518"," 0.4275453","-0.4683060","-0.9557158","-0.7391946"
"M354.093T469.671","-0.3404745","-0.9555900","-0.4674471","-0.3473549","-0.1468405","-0.7867792"," 0.3791382"," 1.1948603"," 0.4893685"," 0.3242460"," 0.1288727"," 0.5280005"
"M437.041T470.729","-0.32241695","-0.91152794","-0.43143080","-0.42429183","-0.24059208","-0.76610121"," 0.40548451"," 1.17352520"," 0.53557410"," 0.36163580"," 0.08274231"," 0.53739889"
"M444.996T106.721","-0.6576796","-0.5914683","-0.1451534","-0.1195941"," 0.3685087","-0.4055350"," 0.2030281"," 1.1155152"," 0.2556068"," 0.1357769"," 0.0326778","-0.1916831"
"M808.155T1200.534"," 0.10074295"," 0.51706789"," 0.03120957"," 0.52712006"," 0.07235098","-0.50021218"," 0.20544513","-0.49101184","-0.08296300"," 0.13452210","-1.12547500"," 0.61120334"
"M631.151T795.429","-0.23340482","-0.63833590","-0.33376031","-0.60024642"," 0.20967571","-0.56203212"," 0.21381644"," 1.11927834"," 0.33777012"," 0.06267019","-0.11171213"," 0.53628090"
