"","X16.C9.3.neg","X19.C9.2.neg","X21.C9.4.neg","X45.C9.1.neg","X13.D9.4.neg","X20.D9.1.neg","X49.D9.2.neg","X48.D9.3.neg","X26.F9.1.neg","X34.F9.2.neg","X36.F9.3.neg","X46.F9.4.neg","X14.X9.2.neg","X23.X9.1.neg","X27.X9.3.neg","X40.X9.4.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X44.D12.1.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X09.X12.3.neg","X32.X12.2.neg","X41.X12.1.neg","X15.C15.4.neg","X31.C15.3.neg","X47.C15.1.neg","X50.C15.2.neg","X04.D15.4.neg","X06.D15.2.neg","X35.D15.1.neg","X37.D15.3.neg","X17.F15.3.neg","X25.F15.1.neg","X30.F15.2.neg","X51.F15.4.neg","X08.X15.4.neg","X11.X15.3.neg","X29.X15.1.neg","X42.X15.2.neg"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Third-tp_Control","Third-tp_Control","Third-tp_Control","Third-tp_Control","Third-tp_Drought","Third-tp_Drought","Third-tp_Drought","Third-tp_Drought","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Xanthomonas","Third-tp_Xanthomonas","Third-tp_Xanthomonas","Third-tp_Xanthomonas"
"sodium_formate","37106.320","43639.211","25870.119","34384.970","27087.456"," 5727.026","40636.144","59326.395","32934.746"," 6850.879"," 9559.067"," 3838.165","42465.827","16454.016","40000.417","24862.349"," 9733.550","40652.917","44568.976","42179.903","36356.684","36475.958","38037.102","24379.503","24067.497"," 4791.110","46229.059","15034.764"," 5203.543","13165.026","18752.098"," 5376.874","26380.925","21733.087"," 7990.931","46746.525","10849.895","31844.353"," 6961.449","16961.893"," 6872.474"," 5832.336"," 6212.932"," 5060.171"," 7169.999","34151.483","29823.955","25789.824","32798.433"," 6535.424"
"M375.07T470.729"," 63114.1340"," 24045.7246"," 61377.3149"," 37088.4552"," 63455.5976"," 47516.7016"," 36826.2951"," 90083.2517"," 33838.4357","   929.4902"," 42386.1871","   780.0000"," 46943.4044"," 63454.5958"," 64738.7051"," 59182.8020","   728.3991"," 34258.2139"," 43417.6251"," 46642.6188"," 53854.7379"," 21693.2307"," 44825.5197"," 32847.4290"," 46337.6789","   876.2880"," 35087.2430"," 56774.4485"," 68054.6405"," 57164.8254"," 70969.4114","  1040.0000"," 70434.6155","103290.8089"," 25658.3234"," 16637.9530"," 24847.7828"," 32952.3043","   683.7704"," 18700.0000","   693.7202","   895.5258","   766.3622","   623.0682","  3491.1656"," 16591.9568"," 30394.6040"," 14812.9288"," 23712.2376","  1080.0000"
"M562.053T1195.871","10982.664"," 8068.882"," 7652.168"," 8538.426"," 9500.441"," 6940.600","10533.390"," 7204.384"," 5152.574","    0.000"," 9473.714","    0.000"," 7262.605"," 8194.801"," 7479.061","10157.048","    0.000"," 7020.967"," 6031.352"," 8455.390"," 9780.212"," 7252.654"," 9535.555"," 6168.717"," 6053.488","    0.000"," 6715.875"," 5193.915"," 2726.799"," 3325.259"," 7669.197","    0.000"," 5613.159"," 7009.077"," 8043.122"," 9069.458"," 8872.577"," 9485.940","    0.000"," 1580.000","    0.000","    0.000","    0.000","    0.000"," 4912.510"," 4384.524"," 8020.934"," 1877.652"," 4896.489","    0.000"
"M943.502T1194.413","10326.291","10307.572","10700.944","15467.447","13118.284","18058.543","12974.939","10501.219"," 8523.187","    0.000"," 5433.954","    0.000","15534.783","10351.494"," 7705.674","15494.338","    0.000"," 9655.732","11894.094","11688.556"," 8976.627","11418.071","13915.930","12214.864","10020.826","    0.000","12750.618"," 8535.435"," 2932.588"," 5760.049"," 9309.786","    0.000","10247.350","10438.206","10557.949","10933.112","12979.668","11899.936","    0.000"," 2360.000","    0.000","    0.000","    0.000","    0.000"," 9889.920"," 8553.861","10292.457"," 7696.045"," 7239.144","    0.000"
"M1096.565T894.076","20013.1855","10295.9764","54579.5147"," 5199.6191","28246.7125","42038.7333"," 3418.6826"," 6809.1540"," 1504.2264","    0.0000"," 1287.3454","    0.0000","16701.6716","27957.2778"," 5458.8195","18660.9046","  870.5654","31447.0489","15930.5030"," 7931.9341","27155.8049","43410.0480","12588.8818","13334.9727"," 7817.6840","    0.0000","14467.4962"," 3348.0444","49661.0025","12326.2366"," 3893.3877","    0.0000"," 2413.6365"," 2861.5566","28189.4171"," 8416.1807","12266.9930","14290.8174","    0.0000"," 4210.0000","    0.0000","    0.0000","    0.0000","    0.0000","    0.0000"," 1034.8719"," 6206.4414"," 9495.4647"," 9474.6201","    0.0000"
"M354.093T469.671","42683.2003","16162.4812","39594.5156","23214.5676","42709.1777","32450.7784","24294.0610","55200.8784","22583.3083","    0.0000","27700.8837","    0.0000","33492.4648","37184.3951","42356.9372","35605.1163","  179.4435","25510.7259","27513.0066","28553.3410","33093.7363","13809.0422","28888.2772","21974.7847","28875.5319","    0.0000","22265.5727","38193.4389","42310.9145","39137.3024","44049.5636","    0.0000","46899.3489","68268.3430","17109.8772","10310.6311","17230.8551","21536.8350","    0.0000","11600.0000","    0.0000","    0.0000","    0.0000","    0.0000","  440.8911"," 9594.6000","19696.2135"," 9800.4290","17896.6579","    0.0000"
"M437.041T470.729","12642.6803"," 5875.5150","13519.0410"," 7659.3813","12559.3147","11156.3056"," 7656.2356","17476.3400"," 6963.4375","  783.2885"," 8989.4990"," 1420.0000"," 8222.1977","12172.3600"," 9305.3236","10365.0361"," 1506.2419"," 6718.6296"," 7591.2533"," 7517.1654","10634.0974"," 4613.9787"," 9527.0293"," 6168.5989"," 7908.8229","  212.7569"," 7192.0376","12388.7509","12789.3672","13053.9787","14517.2379","  158.0000","13733.4267","21605.7946"," 5341.3948"," 3624.0437"," 3656.2730"," 6639.8742","  529.9144"," 4040.0000","  646.0269"," 1156.9973"," 1080.2269"," 1151.2534","  578.8851"," 3337.9123"," 6003.0133"," 2747.3094"," 4913.3948"," 1200.0000"
"M444.996T106.721","21176.1054","22788.6240","18512.5350","22560.4365","16349.9700","23018.9391","22458.8700","17760.7832","13333.7324","  450.8803","19358.8440","  525.0000","17156.8818","27883.2620","17562.3465","14690.4317","  758.6653","12051.7333","12770.5260","14352.4108","12243.1075","13214.1037","22546.5238","14864.2560","25142.7120"," 1155.5006","20560.4000","13085.5417","12393.4074","12142.5143","15153.8540","  889.0000","19026.8017","12237.7046","31760.7303","17086.7960","20907.8800","48240.3040","  764.5218","11400.0000"," 1436.7347","  247.5623","  547.4676"," 1618.5958","16031.0709"," 8832.5440","13763.4600"," 2798.0310"," 6608.7000","  439.0000"
"M808.155T1200.534"," 8242.8431","16593.4714"," 8574.3237","10339.3583","14274.1179"," 4969.1346"," 6195.7402"," 2333.1349"," 2365.5037","    0.0000"," 7838.5375","    0.0000","21182.7556"," 6066.0704"," 7688.9848"," 6144.0030","    0.0000"," 8598.2710"," 9012.4719"," 5664.7780"," 7348.5298","11917.2455"," 7095.6420"," 8058.0423"," 4707.8704","    0.0000"," 4671.8616"," 3428.9575","  531.4750"," 2152.8443"," 3940.8265","    0.0000"," 1296.1252"," 7914.9217"," 5109.1262","15225.7301","15545.6420","10198.7160","    0.0000","  694.0000","    0.0000","    0.0000","  361.1641","    0.0000"," 3176.9596"," 6738.8949"," 8006.4944"," 4912.4327"," 3545.1012","  493.0000"
