"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"M375.07T470.729",0.028479,0.0021675,-0.008727,-0.024276,0.007019,0.014071,0.0018655,-0.0086671,0.0030375,0.015255,-0.0011533,0.65392
"M562.053T1195.871",0.01518,0.010054,0.0089829,-0.01394,0.0040258,0.016524,0.0050126,0.0046568,-0.021966,0.0031871,0.0032452,-0.23285
"M943.502T1194.413",0.013648,-0.0046437,-0.0046485,-0.0021888,-0.016981,0.0052682,0.012391,0.0092189,-0.02479,0.0073956,-0.0021584,0.035712
"M1096.565T894.076",0.016221,-0.0047738,0.061731,0.017008,0.026758,-0.013959,-0.032394,0.021459,0.026078,-0.01655,0.033007,-0.4801
"M354.093T469.671",0.028596,0.0016012,-0.010043,-0.024726,0.0048696,0.012326,0.0026728,-0.0068507,0.0040643,0.015658,-0.0019073,-0.061767
"M437.041T470.729",0.028576,0.00491,-0.0088546,-0.024479,0.0033836,0.009623,0.0036454,-0.0088114,0.0071334,0.014334,-0.0045739,-0.045875
"M444.996T106.721",0.021217,-0.014573,0.00057692,0.00063349,0.00091158,0.014473,-0.0076136,-0.010155,-0.011571,-0.018315,0.0012352,-0.17046
"M808.155T1200.534",-0.003921,0.018948,0.01747,0.0010023,-0.034635,-0.005337,-0.01328,0.028647,-0.041381,0.046586,0.014881,-0.11457
"M631.151T795.429",0.02256,-0.00085913,0.00066396,-0.022837,0.0056596,0.0082164,-0.017779,-0.025514,-0.0012781,0.017243,-0.0015414,-0.094803
"M757.441T1176.453",0.021759,0.0084118,0.023312,-0.0037759,0.011581,0.02186,0.012249,0.0027239,0.0081241,0.017525,-0.038152,-0.37577
"M881.515T1351.787",0.024121,-0.00037248,0.0063641,-0.0063423,-0.0051048,0.011484,0.013325,-0.0066638,0.0040715,0.013126,-0.0093995,-0.24124
"M967.577T1245.908",0.017971,-0.014592,0.010927,-0.0091425,0.002807,0.021099,-0.0072428,0.0025286,0.00030571,-0.0048827,-0.014962,0.003599
"M511.24T944.134",0.024305,-0.0084333,-0.007395,-0.0084621,-0.0063235,0.012077,0.0016481,-0.012425,0.015873,-0.0087119,0.0014915,0.00057134
