"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"X02.C12.2.neg",-20.676,14.755,2.8976,-7.5589,11.776,3.3374,-6.0986,5.4353,3.3612,0.64573,-0.33366,-2.0057e-14
"X18.C12.3.neg",-25.234,-3.3633,20.672,2.0465,-6.8145,-0.94809,3.9081,-1.3582,2.9582,2.5121,-1.7624,-1.6931e-14
"X33.C12.4.neg",-11.711,6.3909,-0.13852,-5.5397,-4.6257,-6.0664,-0.58459,-2.5901,-4.6642,-11.02,4.4615,-4.6629e-15
"X12.D12.2.neg",-3.9476,-8.0396,-2.7977,6.3794,-0.6513,-1.2534,3.7201,12.64,-4.3633,2.0633,5.903,-1.131e-15
"X28.D12.3.neg",-7.4893,-14.33,-1.5997,1.0014,-2.7487,10.373,-11.766,-3.5711,-5.1724,0.77701,-0.17398,6.3838e-15
"X52.D12.4.neg",-16.648,-1.3531,-6.9142,14.68,8.043,-8.7203,-1.1193,-5.8084,1.218,0.53593,-1.6652,8.8818e-16
"X05.F12.4.neg",13.576,2.1663,-1.9722,-2.6237,-2.5194,-4.0298,0.48254,4.3489,-5.5509,-0.46674,-12.108,1.249e-16
"X22.F12.1.neg",45.429,-7.0851,11.873,-0.60498,9.136,-1.5565,-0.012433,-2.1823,-0.37808,-1.444,2.4621,2.6645e-15
"X38.F12.2.neg",20.244,3.1833,-4.9583,2.71,-9.6334,-1.9804,-6.7183,2.7227,11.158,-0.86245,0.70229,3.9056e-14
"X43.F12.3.neg",10.612,18.336,-2.3386,7.9744,-1.7629,12.068,7.545,-2.9388,-1.6265,-0.51113,0.39039,7.0603e-15
"X32.X12.2.neg",-8.5212,-16.563,-9.2078,-8.6735,2.9602,4.3156,9.5377,-1.5241,5.8669,-2.4409,-1.5552,-6.7168e-15
"X41.X12.1.neg",4.3663,5.902,-5.5164,-9.7904,-3.1592,-5.539,1.1061,-5.1736,-2.8065,10.211,3.6793,-5.3013e-15
