"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"M375.07T470.729",0.031847,0.0015854,0.013664,-0.0023775,-0.0061117,0.01946,-0.0092119,0.00016234
"M562.053T1195.871",0.01551,-0.014969,0.013916,-0.0047417,-0.01571,0.012619,0.010735,0.0025467
"M943.502T1194.413",0.015488,0.0027761,-0.00059691,0.0016834,-0.0092303,0.0014935,0.02695,-0.0057673
"M1096.565T894.076",0.01204,-0.069209,-0.024562,0.025681,-0.0023117,0.0030708,-0.026629,0.0032958
"M354.093T469.671",0.032114,0.0030738,0.013316,-0.0025958,-0.0061812,0.019888,-0.0077741,-0.00034926
"M437.041T470.729",0.031876,0.00097428,0.017557,-0.0038024,-0.0059784,0.019003,-0.0095088,9.4729e-05
"M444.996T106.721",0.023259,-0.0060644,-0.020015,0.0057249,-0.0093678,-0.0025984,-0.0030353,-0.0050987
"M808.155T1200.534",-0.0064794,-0.022092,0.018832,-0.0038055,0.01133,0.024491,0.041989,-0.026082
"M631.151T795.429",0.024709,-0.0048323,0.0066166,0.004303,0.0021421,0.026089,-0.024726,-0.0044228
"M757.441T1176.453",0.021968,-0.024254,0.024787,0.017887,-0.0031797,0.0094194,0.015937,0.012111
"M881.515T1351.787",0.026143,-0.007854,0.013573,0.012021,-0.0082558,0.0032849,0.0055734,-0.0040398
"M967.577T1245.908",0.019392,-0.0084193,-0.01359,0.015478,-0.01164,0.013676,0.0053279,-0.0031102
"M511.24T944.134",0.0274,0.0027645,-0.0033882,0.0031029,-0.010129,0.0001034,-0.011098,-0.012919
"M557.187T899.436",0.017312,0.028041,-0.010809,0.016187,-0.0012945,0.0074353,-0.0026176,0.010952
"M1029.931T1194.947",0.021869,-0.0079637,0.020484,-0.0037665,-0.038174,0.022392,0.012113,-0.007739
"M563.252T904.514",0.018406,0.0063396,-0.013144,0.0068789,-0.0063304,-0.017466,-0.0071653,0.00011706
"M337.092T724.593",0.029757,-0.0074349,0.01379,0.01333,-0.020365,0.03402,-0.0018126,0.00063623
"M758.447T1173.243",0.025983,-0.0176,0.011212,0.01537,-0.0058289,0.014218,0.0056796,0.0016386
"M852.114T1329.753",0.02077,-0.011899,-0.0081024,0.019105,-0.0018763,0.017862,0.0068949,0.007857
"M854.516T1290.85",0.024442,-0.022858,0.00082806,0.0041003,0.0094493,0.0088113,0.015177,0.0037167
"M1013.86T1346.532",0.026901,-0.010801,-0.0043999,0.0044197,-0.00070272,0.011087,0.0092676,0.00805
"M852.067T1329.714",0.018009,-0.028071,-0.0084521,0.0075984,0.0019537,0.023884,0.0039116,-0.0064532
"M627.643T1193.32",0.02079,-0.013512,0.023985,0.00042146,-0.045217,0.020364,0.012189,0.0062048
"M941.508T1318.851",0.024738,-0.012042,-0.002388,0.014229,-0.01326,0.0028814,-0.0047797,3.7583e-05
"M701.418T1268.098",0.023522,-0.024354,-0.00061261,0.017858,-0.0080009,0.01775,0.0042677,-0.0055003
"M1013.583T1248.821",0.020264,-0.0074895,-0.015783,0.01514,-0.015346,0.010217,0.0016814,-0.00069106
"M968.577T1247.645",0.019253,-0.0031344,-0.0186,0.017365,-0.012955,0.024017,0.0019023,0.0020958
"M559.618T1204.987",0.0038854,0.0079054,0.012228,0.019037,-0.018209,0.024156,-0.013568,0.021632
"M923.451T1327.672",0.022281,-0.012023,-0.0073452,0.0089491,-0.011173,0.015298,0.014325,-0.013646
"M917.49T1360.024",0.023427,-0.019703,-0.0017309,0.016762,-0.015316,0.018917,-0.0026452,-0.0043463
"M875.467T1241.171",0.026382,-0.021618,0.01277,-0.00084499,0.0045865,0.013622,0.0034332,-0.0031692
"M1085.513T1348.399",0.027533,0.0030771,-0.0047856,0.0048652,-0.0090768,0.0051089,-0.0056936,-0.004473
"M466.978T106.664",0.022117,-0.022076,-0.015276,0.00083799,-0.0043308,-0.012956,0.0029221,-0.0038133
"M851.519T1328.051",0.01984,-0.014873,-0.0077045,0.017121,-0.015441,0.019296,0.0045077,-1.4297e-05
"M861.451T1062.153",0.020283,-0.037868,-0.010495,0.0153,-0.0046282,-0.003738,0.018619,0.0068893
"M559.975T1203.448",0.019974,0.0036913,0.004703,0.018911,0.02203,0.039117,-0.016621,-0.0058121
"M545.297T1155.639",0.01147,0.027396,0.0068108,0.013401,-0.009734,-0.01631,-0.027455,-0.011556
"M1059.606T1053.565",-0.022013,0.053337,-0.0091687,0.0016168,-0.0066259,0.029976,0.031578,-0.010973
"M1096.195T893.605",0.025455,-0.03597,0.010376,-0.0045095,-0.015837,0.011398,0.0031964,-0.0073498
"M180.067T785.272",0.027777,-0.027135,-0.021142,-0.013157,0.011821,-0.026811,0.030489,-0.0065262
"M849.51T1359.918",0.022086,-0.014777,-0.0058563,0.016624,-0.018638,0.017556,-0.00069276,-0.00071722
"M633.053T106.254",0.023632,-0.0067107,-0.0040218,0.0055952,-0.0047385,-0.0083238,0.0050073,-0.0057501
"M1014.89T1344.191",0.026718,-0.0062867,-0.0086969,-0.0036816,-0.010692,0.018017,0.0014145,0.009263
"M473.173T806.642",0.023912,-0.020143,0.013351,-0.0045278,0.0006236,0.0085507,0.028887,-0.02048
"M1269.507T907.7",0.020912,-0.045644,0.0094958,0.008519,-0.026938,0.0075134,0.0074704,-0.0045754
"M985.574T1225.672",0.023104,-0.0010764,-0.0023868,-0.0077674,-0.01256,0.010627,-0.0037924,-0.009646
"M1030.586T1195.906",0.023001,-0.010695,-0.0051239,0.0066291,-0.011724,0.011683,-0.002882,0.0033646
"M1097.549T894.492",0.025063,-0.037767,0.01043,0.014709,0.0019483,-0.0070767,0.0077829,0.0028925
"M901.267T743.636",0.021379,-0.059405,0.008147,0.0022292,0.019564,0.00995,-0.00075741,-0.0030254
"M779.462T1401.836",0.021545,-0.032889,-0.0019009,0.022911,-0.019106,0.0098512,-0.0060549,-0.0031499
"M917.503T1359.918",0.024976,-0.012222,-0.0025063,0.012505,-0.018211,0.017086,-0.0061077,0.00018898
"M851.912T1326.892",0.019512,-0.032473,0.0025882,0.0042112,-0.00025044,0.012279,0.0011148,-0.0062002
"M705.267T1050.095",0.012681,0.0086408,-0.031098,0.0095142,-0.020638,0.010032,0.010654,0.015697
"M983.568T1252.43",0.028409,-0.023549,0.012116,0.006357,-0.0011071,0.013673,0.0036071,0.023627
"M457.19T799.683",0.026629,-0.014243,0.0082017,-0.00053818,-0.017892,0.0034407,-0.0011184,-0.014167
"M846.46T1187.467",0.020033,-0.022004,-0.005988,0.024949,-0.02504,0.020383,0.003538,-0.0080073
"M821.506T1329.663",0.028693,-0.015317,0.01158,2.233e-05,-0.012352,0.020286,-0.0025596,0.010166
"M347.184T1141.626",0.023131,-0.021545,-0.018174,0.0041235,-0.030129,0.02953,0.019405,-0.023447
"M768.448T1315.096",0.029142,-0.0024679,0.0066448,0.0042166,-0.00049175,0.014565,-0.0035806,0.0070775
"M531.078T845.355",0.024325,-0.047334,0.02429,0.0066219,0.013363,0.003137,0.0080836,0.003597
"M309.118T727.508",0.026939,-0.03979,0.015328,-0.0028842,-0.0036461,-0.010376,0.0066142,0.018642
"M345.183T1137.887",0.022222,-0.0043857,-0.0015397,-0.0019345,-0.030838,0.013516,0.013759,0.0029494
"M1076.649T1193.389",-0.0082417,0.0057347,0.024415,-0.0092719,-0.024902,-0.0042114,0.036184,0.026388
"M919.515T1328.715",0.020797,-0.016482,-0.0069667,0.016339,-0.010968,0.016567,0.0052886,0.00019667
"M277.217T1196.341",0.0087465,-0.022152,0.033887,-0.00093466,0.004726,0.0049181,0.024165,0.045596
"M655.999T943.196",0.019986,-0.04078,-0.023858,0.0090713,-0.020254,-0.013542,0.018154,0.0022169
"M565.05T98.887",0.012571,-0.036865,0.029611,-0.0049744,-0.020166,0.01086,0.0010618,-0.0048338
"M277.129T811.716",0.028009,0.0010166,0.014975,-0.011537,-0.011718,0.013472,-0.010151,-0.013044
"M655.038T106.771",0.017852,-0.0067806,-0.018286,-0.006265,-0.014306,-0.0043206,0.0034763,-0.016373
"M1075.647T1193.908",0.00067196,0.004657,0.066235,-0.012245,-0.051028,-0.03075,0.01352,0.076889
"M649.026T106.128",0.026677,0.0045232,-0.010802,0.0071536,-0.0029661,0.0081798,0.010087,-0.0020271
"M1097.561T894.34",0.02154,-0.058506,0.016795,0.0096376,-0.0041897,0.0073225,0.022937,8.868e-05
"M1014.585T1248.122",0.019153,-0.0065627,-0.017561,0.011795,-0.017847,0.012181,0.005277,-0.0015968
"M868.517T1202.592",0.016366,-0.018698,-0.012816,0.021231,-0.017352,0.02552,0.010387,-0.0018957
"M1015.588T1248.088",0.019532,-0.0051823,-0.014431,0.017002,-0.0068413,0.01523,0.0048585,-0.00019719
"M921.374T936.829",0.03366,-0.0055235,-0.0061161,-0.014399,0.010256,-0.0068745,0.0016936,0.0034551
"M851.794T1356.146",0.020351,-0.019918,0.010994,0.017489,-0.0017748,0.0054416,0.0066064,0.0097872
"M451.007T107.467",0.022824,-0.01281,-0.022923,0.0036679,-0.0092401,-0.0070869,0.0094925,-0.0027689
"M808.919T1196.341",0.013603,0.022326,0.020762,-0.015002,0.0012325,0.036486,0.024293,0.015912
"M1013.97T1244.591",0.021451,-0.0038258,-0.010889,0.011204,-0.026285,0.029722,0.015719,-0.00032701
"M1100.582T1225.322",0.025319,-0.0089088,-0.004413,0.0037495,-0.012679,0.0064327,-0.015638,0.0023071
"M649.302T900.549",0.027204,-0.0048336,0.001579,0.0049849,-0.00051717,0.0025754,-0.010317,0.0026519
"M575.766T1053.433",0.014737,0.013659,0.0040697,0.023854,0.010568,0.002432,0.027246,-0.01114
"M1161.883T894.146",0.020686,-0.039825,0.010085,-0.002717,-0.017049,0.018177,0.0075655,-0.0088712
"M286.972T107.919",0.023347,-0.017054,-0.016649,0.0078243,-0.0034121,-0.0084637,0.0094869,0.0049682
"M581.318T900.123",0.027268,-0.0033391,0.011679,-0.0019662,-0.022248,0.0005079,-0.0054155,0.0052462
"M1014.585T1348.471",0.027318,0.0025169,-0.0018921,-0.00019371,-0.0099813,0.0066956,-0.0060365,0.0033999
"M799.289T814.54",0.019105,0.0050421,0.01995,-0.00021827,-0.0054112,0.018482,0.017417,-0.0060979
"M883.503T1155.003",0.020917,-0.015558,-0.0055568,0.016106,-0.012943,0.018191,-0.0066724,-0.00073557
"M527.103T89.251",0.026635,0.0094122,-0.074528,0.050331,-0.0054742,0.023004,0.00073854,-0.0016283
"M1053.272T316.465",0.026527,0.0047155,0.0072135,-0.00035937,-0.010016,0.00033249,0.0065727,-0.0050942
"M1097.037T893.528",0.025563,-0.041103,0.012064,0.017489,0.0028736,-0.0037926,-3.6841e-05,0.0054481
"M987.494T1327.158",0.022236,-0.012903,-0.009938,0.01516,-0.0090587,0.013004,0.0021407,-0.0033134
"M863.484T1242.374",0.021212,-0.023417,-0.006059,0.022503,-0.015478,0.022899,-0.0027887,-0.00031258
"M869.849T1307.413",0.026206,-0.017462,-0.00095977,0.0016161,-0.014455,0.014341,0.0083165,0.007605
"M867.515T1204.699",0.014235,-0.011677,-0.018835,0.025252,-0.0239,0.028064,0.011972,-0.00042766
