"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"X02.C12.2.neg",-22.174,-6.4917,4.1401,-8.0918,2.143,9.4182,-2.3413,4.5951
"X18.C12.3.neg",-27.541,-9.3102,4.6323,17.241,-3.7584,-0.17254,1.5041,-3.3273
"X33.C12.4.neg",-12.517,-4.0836,-4.4385,-13.537,-10.765,-1.9725,-4.9289,-0.10883
"X12.D12.2.neg",-2.904,1.089,-8.64,-1.5327,-0.38648,-3.1442,10.252,-0.32267
"X28.D12.3.neg",-5.5388,2.3428,-11.805,2.5671,4.0259,5.0489,0.37121,-8.0437
"X52.D12.4.neg",-14.325,2.5017,-2.8058,0.67532,11.925,-11.131,-5.3441,7.0409
"X05.F12.4.neg",12.627,0.10112,1.0944,-1.9906,1.8482,6.4365,9.5368,8.7516
"X22.F12.1.neg",37.442,-11.775,-4.2459,7.6698,-3.1128,-0.52751,-5.5131,5.2869
"X38.F12.2.neg",18.343,-1.2051,-1.0384,-4.8377,4.8079,0.60258,-2.2054,-10.73
"X43.F12.3.neg",8.4796,-2.1057,13.36,-5.1677,-1.4083,-10.956,4.7357,-4.1665
"X32.X12.2.neg",0.56697,19.811,-1.5161,5.292,-8.3629,-1.5591,-2.1704,2.8353
"X41.X12.1.neg",7.5411,9.1254,11.262,1.7128,3.0443,7.9559,-3.8963,-1.8103
