"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"M413.179T861.909",2.4212,2.0636,2.0267,2.0246,2.0218,2.0217,2.0217,2.0217
"M969.698T320.725",2.1275,1.9692,1.8918,1.8747,1.8822,1.882,1.882,1.882
"M293.118T1042.937",2.0398,1.5386,1.4781,1.462,1.4615,1.4614,1.4614,1.4614
"M237.04T858.99",2.038,1.6151,1.5769,1.5595,1.5592,1.5591,1.5591,1.5591
"M204.085T413.719",2.0378,1.8225,1.7657,1.7619,1.762,1.762,1.762,1.762
"M279.139T1150.344",2.0306,1.5656,1.5045,1.4931,1.4915,1.4914,1.4914,1.4914
"M775.338T1039.594",2.009,1.6144,1.552,1.5353,1.5332,1.5331,1.5331,1.5331
"M410.078T615.621",1.9789,1.6345,1.5758,1.5823,1.5895,1.5894,1.5894,1.5894
"M895.29T938.858",1.9747,1.5237,1.4671,1.4623,1.4609,1.4608,1.4608,1.4608
"M387.034T831.689",1.9504,1.4868,1.4517,1.4375,1.4407,1.4407,1.4407,1.4407
"M367.058T823.98",1.9329,1.6878,1.6283,1.6198,1.6176,1.6174,1.6174,1.6174
"M1014.419T974.744",1.9165,1.5263,1.476,1.4619,1.4616,1.4615,1.4615,1.4615
"M1162.58T906.276",1.9138,3.3946,3.2723,3.2414,3.2374,3.2372,3.2372,3.2372
"M773.832T1687.362",1.9098,2.6479,2.5812,2.553,2.5496,2.5497,2.5497,2.5497
"M246.097T864.37",1.907,1.5244,1.4867,1.4791,1.4774,1.4774,1.4774,1.4774
"M471.117T721.976",1.9035,1.4579,1.4872,1.4895,1.4875,1.4878,1.4878,1.4878
"M401.218T1013.762",1.9002,1.4896,1.4442,1.4419,1.4399,1.4398,1.4398,1.4398
"M1005.407T928.554",1.8595,1.4295,1.4807,1.4881,1.4867,1.4867,1.4866,1.4866
"M1176.528T983.06",1.8525,1.436,1.4174,1.4172,1.4158,1.4156,1.4156,1.4156
"M591.353T1163.856",1.8478,2.2105,2.2158,2.21,2.2096,2.21,2.21,2.21
"M489.058T766.222",1.8427,1.44,1.3919,1.3771,1.3751,1.375,1.375,1.375
"M679.277T1051.577",1.8116,1.6046,1.5722,1.5554,1.5535,1.5537,1.5537,1.5537
"M957.274T935.63",1.8071,1.3625,1.4231,1.4362,1.4351,1.435,1.435,1.435
"M942.303T939.917",1.8056,1.3603,1.3882,1.4202,1.4209,1.421,1.421,1.421
"M529.184T941.182",1.8043,1.5057,1.4912,1.475,1.4734,1.4734,1.4734,1.4734
"M487.146T735.656",1.8028,1.6915,1.6406,1.6285,1.6269,1.6269,1.6269,1.6269
"M1230.792T836.99",1.8017,1.6859,1.6622,1.6447,1.6438,1.6441,1.6441,1.6441
"M455.021T825.04",1.7913,1.3623,1.3729,1.3624,1.3676,1.3675,1.3675,1.3675
"M311.104T1075.82",1.7803,1.7976,1.7277,1.7087,1.7063,1.7064,1.7063,1.7063
"M440.855T1728.569",1.7794,1.8027,1.7378,1.7257,1.7255,1.7254,1.7254,1.7254
"M1611.697T937.933",1.7686,1.3968,1.3509,1.3396,1.3379,1.3378,1.3378,1.3378
"M1462.085T939.347",1.7684,1.3541,1.3213,1.3552,1.3535,1.3534,1.3534,1.3534
"M343.103T489.112",1.7684,1.64,1.6003,1.5906,1.5891,1.589,1.589,1.589
"M319.076T917.392",1.7608,1.3282,1.3206,1.306,1.3102,1.31,1.31,1.31
"M260.967T89.826",1.7523,1.4871,1.4285,1.4318,1.4302,1.4301,1.4301,1.4301
"M964.359T921.966",1.7514,1.3217,1.4296,1.4382,1.4363,1.4362,1.4362,1.4362
"M990.329T838.789",1.742,1.3159,1.2731,1.2634,1.2617,1.2616,1.2616,1.2616
"M367.103T818.837",1.7392,1.3811,1.3472,1.3323,1.3305,1.3304,1.3304,1.3304
"M502.199T804.61",1.7373,1.434,1.3897,1.3804,1.3785,1.3784,1.3784,1.3784
"M1143.426T942.716",1.7349,1.3266,1.2854,1.2791,1.2774,1.2772,1.2772,1.2772
"M1063.398T908.83",1.7345,1.3608,1.3111,1.2968,1.2951,1.2952,1.2951,1.2951
"M428.2T856.891",1.7342,1.357,1.3226,1.3082,1.3063,1.3062,1.3062,1.3062
"M505.029T765.672",1.722,1.3928,1.3735,1.3595,1.3576,1.3575,1.3575,1.3575
"M455.193T892.238",1.7139,1.3439,1.291,1.2783,1.2766,1.2765,1.2765,1.2765
"M391.157T830.263",1.7116,1.3411,1.3605,1.3732,1.3716,1.3715,1.3715,1.3715
"M431.497T89.496",1.7042,1.457,1.4034,1.4232,1.4229,1.4228,1.4228,1.4228
"M848.315T857.496",1.7011,1.2935,1.258,1.2574,1.2557,1.2556,1.2556,1.2556
"M1044.425T908.907",1.6992,1.2868,1.2366,1.2231,1.2215,1.2215,1.2215,1.2215
"M791.126T833.266",1.699,1.2798,1.2765,1.3181,1.3172,1.3172,1.3171,1.3171
"M723.445T946.073",1.6975,1.2768,1.2347,1.2734,1.2774,1.2775,1.2775,1.2775
"M804.318T962.853",1.6963,1.2748,1.4131,1.4429,1.4427,1.4426,1.4426,1.4426
"M389.108T489.956",1.6945,1.5039,1.4466,1.4445,1.4446,1.4446,1.4446,1.4446
"M469.208T948.545",1.6938,1.3843,1.3585,1.3442,1.3441,1.344,1.344,1.344
"M1109.422T909.522",1.6918,1.3123,1.2633,1.2502,1.2494,1.2495,1.2495,1.2495
"M726.284T1051.577",1.6868,2.3348,2.2435,2.2556,2.2583,2.2581,2.2581,2.2581
"M333.191T983.058",1.6783,1.454,1.4051,1.3952,1.3952,1.3951,1.3951,1.3951
"M951.397T1014.118",1.6742,1.2767,1.3754,1.3743,1.3736,1.3735,1.3735,1.3735
"M950.342T882.081",1.674,1.2864,1.2544,1.2465,1.2448,1.2447,1.2447,1.2447
"M333.062T954.304",1.6739,1.3353,1.3454,1.3349,1.3335,1.3338,1.3338,1.3338
"M449.205T834.832",1.6725,1.3458,1.3155,1.3164,1.3146,1.3146,1.3146,1.3146
"M950.337T882.881",1.6668,1.2639,1.2371,1.2303,1.2287,1.2287,1.2287,1.2287
"M821.606T900.199",1.6609,1.2652,1.2233,1.2101,1.2089,1.2088,1.2088,1.2088
"M923.402T931.508",1.6597,1.2634,1.235,1.2239,1.2236,1.2235,1.2235,1.2235
"M471.046T618.546",1.6591,1.27,1.2285,1.2262,1.2258,1.2262,1.2262,1.2262
"M649.307T1120.24",1.6577,1.3593,1.3095,1.3112,1.3115,1.3117,1.3117,1.3117
