"",F.stat,p.value,-log10(p),FDR
M238.069T801.926,57.473,9.3429e-06,5.0295,0.016829
M776.814T66.22,45.65,2.2324e-05,4.6512,0.016829
M402.053T876.272,42.135,3.0144e-05,4.5208,0.016829
M463.02T875.074,41.869,3.0865e-05,4.5105,0.016829
M727.283T864.823,36.785,4.996e-05,4.3014,0.017299
M970.001T316.098,36.286,5.2552e-05,4.2794,0.017299
M531.009T876.272,35.313,5.8106e-05,4.2358,0.017299
M365.528T823.98,34.48,6.3453e-05,4.1975,0.017299
M365.136T768.138,30.196,0.00010317,3.9864,0.023566
M401.05T875.074,29.816,0.00010805,3.9664,0.023566
M398.263T1317.762,28.539,0.00012666,3.8974,0.025113
M621.037T758.225,26.252,0.00017125,3.7664,0.029135
M289.12T769.482,25.808,0.00018207,3.7398,0.029135
M1134.038T907.684,25.317,0.00019503,3.7099,0.029135
M999.268T316.316,24.903,0.00020689,3.6843,0.029135
M1614.109T935.709,24.677,0.00021374,3.6701,0.029135
M847.188T757.14,24.023,0.00023525,3.6285,0.030141
M469.095T760.602,23.521,0.00025359,3.5959,0.030141
M395.28T1470.273,22.243,0.00030905,3.51,0.030141
M1014.782T1351.411,22.135,0.00031439,3.5025,0.030141
M799.852T67.938,21.987,0.00032193,3.4922,0.030141
M1014.811T1344.847,21.975,0.00032256,3.4914,0.030141
M852.339T915.443,21.594,0.00034303,3.4647,0.030141
M702.255T837.404,21.467,0.00035022,3.4557,0.030141
M982.374T904.236,21.454,0.00035101,3.4547,0.030141
M821.606T900.199,21.311,0.00035931,3.4445,0.030141
M969.939T315.438,20.582,0.00040594,3.3915,0.032197
M703.247T844.715,20.476,0.00041335,3.3837,0.032197
M1095.01T894.541,20.105,0.00044054,3.356,0.033132
M1167.557T907.179,19.702,0.00047276,3.3254,0.034369
M769.419T945.253,19.063,0.00053002,3.2757,0.035997
M204.085T413.719,18.913,0.00054474,3.2638,0.035997
M469.036T876.272,18.794,0.00055677,3.2543,0.035997
M963.275T732.778,18.648,0.00057189,3.2427,0.035997
M447.05T875.673,18.534,0.00058418,3.2335,0.035997
M341.088T439.204,18.381,0.00060111,3.221,0.035997
M447.151T677.76,18.297,0.00061067,3.2142,0.035997
M387.034T831.689,18.071,0.00063729,3.1957,0.036157
M1197.439T886.215,17.995,0.00064655,3.1894,0.036157
M645.252T899.393,17.133,0.0007648,3.1164,0.038679
M674.842T67.64,17.027,0.00078122,3.1072,0.038679
M413.104T602.912,16.902,0.00080104,3.0963,0.038679
M1130.433T884.599,16.684,0.00083718,3.0772,0.038679
M455.021T825.04,16.651,0.00084277,3.0743,0.038679
M864.188T806.912,16.578,0.0008555,3.0678,0.038679
M481.183T769.795,16.509,0.00086753,3.0617,0.038679
M180.067T785.272,16.488,0.00087141,3.0598,0.038679
M508.215T930.69,16.28,0.00090956,3.0412,0.038679
M384.092T841.195,16.24,0.00091723,3.0375,0.038679
M357.576T759.445,16.208,0.00092336,3.0346,0.038679
M564.929T1201.416,16.162,0.00093237,3.0304,0.038679
M1162.522T896.44,16.14,0.00093654,3.0285,0.038679
M240.933T64.89,16.044,0.00095558,3.0197,0.038679
M549.174T847.493,16.034,0.00095767,3.0188,0.038679
M729.273T847.264,15.848,0.00099615,3.0017,0.038799
M1084.663T1198.774,15.791,0.0010081,2.9965,0.038799
M473.173T881.847,15.59,0.0010527,2.9777,0.038799
M1053.272T316.465,15.509,0.0010711,2.9702,0.038799
M617.247T870.852,15.49,0.0010757,2.9683,0.038799
M281.07T709.104,15.484,0.001077,2.9678,0.038799
M1087.412T876.684,15.449,0.0010852,2.9645,0.038799
M428.2T856.891,15.052,0.0011839,2.9267,0.039555
M751.173T317.266,15.04,0.0011871,2.9255,0.039555
M1162.58T906.276,14.951,0.0012108,2.9169,0.039555
M1071.559T892.477,14.916,0.0012203,2.9135,0.039555
M937.334T882.127,14.913,0.0012212,2.9132,0.039555
M1163.085T907.707,14.837,0.0012423,2.9058,0.039555
M643.245T813.714,14.833,0.0012434,2.9054,0.039555
M799.289T814.54,14.746,0.001268,2.8969,0.039555
M819.254T316.358,14.698,0.0012818,2.8922,0.039555
M919.334T939.971,14.548,0.0013262,2.8774,0.039555
M863.184T809.21,14.544,0.0013274,2.877,0.039555
M505.029T765.672,14.478,0.0013475,2.8705,0.039555
M915.823T68.606,14.47,0.0013501,2.8696,0.039555
M521.224T935.29,14.43,0.0013625,2.8656,0.039555
M1045.593T1289.364,14.325,0.001396,2.8551,0.039555
M851.338T916.834,14.215,0.001432,2.8441,0.039555
M429.504T310.912,14.153,0.0014527,2.8378,0.039555
M653.861T317.501,14.147,0.001455,2.8371,0.039555
M289.056T250.757,14.119,0.0014644,2.8343,0.039555
M824.341T916.725,14.106,0.001469,2.833,0.039555
