"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"M375.07T470.729",0.028479,0.0021647,-0.0087256,-0.024278,0.0070121,0.014088,0.0018553,-0.0086403,0.0030247,0.015258,-0.0011587,-0.82491
"M562.053T1195.871",0.01518,0.010059,0.0090006,-0.01393,0.0040175,0.016521,0.0050386,0.0046642,-0.02196,0.0031777,0.0032477,-0.11075
"M943.502T1194.413",0.013648,-0.004649,-0.004642,-0.0021874,-0.016987,0.0052647,0.012404,0.0092225,-0.024785,0.0073712,-0.0021634,-0.33379
"M1096.565T894.076",0.016219,-0.0047435,0.061801,0.017032,0.02678,-0.014002,-0.032329,0.021424,0.02611,-0.016519,0.033026,0.38136
"M354.093T469.671",0.028597,0.0015976,-0.010043,-0.024728,0.0048627,0.012343,0.002661,-0.0068245,0.0040517,0.01566,-0.0019147,-0.063622
"M437.041T470.729",0.028576,0.0049077,-0.0088588,-0.024479,0.0033771,0.0096379,0.0036291,-0.0087892,0.0071207,0.014339,-0.0045805,0.079985
"M444.996T106.721",0.021217,-0.014575,0.00060464,0.00063327,0.00091412,0.014473,-0.0076091,-0.01016,-0.011573,-0.018309,0.001249,-0.082219
"M808.155T1200.534",-0.0039214,0.01895,0.017485,0.001018,-0.034634,-0.0053601,-0.013234,0.028695,-0.041392,0.046555,0.014884,-0.029608
"M631.151T795.429",0.02256,-0.00085815,0.00067897,-0.022837,0.0056626,0.0082289,-0.01779,-0.025477,-0.0013059,0.017271,-0.0015266,-0.10537
"M757.441T1176.453",0.021759,0.0084277,0.023334,-0.0037548,0.011572,0.021847,0.012264,0.0027049,0.0081321,0.017525,-0.038156,-0.012735
"M881.515T1351.787",0.024121,-0.00036746,0.0063707,-0.0063347,-0.0051116,0.011479,0.013324,-0.0066675,0.004078,0.013131,-0.0094035,0.0060878
"M967.577T1245.908",0.017971,-0.014587,0.010972,-0.0091335,0.0028057,0.021093,-0.0072293,0.0025191,0.00030744,-0.0048853,-0.01496,0.0012157
"M511.24T944.134",0.024306,-0.0084362,-0.0073905,-0.0084647,-0.0063263,0.012082,0.0016243,-0.012428,0.015871,-0.0087001,0.0014891,0.0023904
"M557.187T899.436",0.013182,-0.023273,-0.01817,-0.014189,0.019404,0.014567,0.014039,0.0021236,0.016115,0.020388,-0.0057814,0.0010644
"M1029.931T1194.947",0.020346,0.0084542,0.0079411,-0.033143,-0.0033508,0.026649,0.018447,0.0124,-0.0121,0.0050355,0.017301,0.0047595
"M563.252T904.514",0.015905,-0.014251,-0.0082943,0.0065209,0.0075189,0.0064048,0.011922,-0.0040917,0.013353,-0.01121,0.01106,0.0019472
"M337.092T724.593",0.027325,-0.0025441,0.011131,-0.034646,0.0054139,0.018346,0.0049618,-0.00099611,-0.0024611,0.023999,-0.0028073,0.0024932
"M758.447T1173.243",0.024748,-4.6565e-05,0.016028,-0.0093974,0.0026503,0.020225,-0.00010385,-0.013951,-0.013427,0.014016,-0.022088,0.00035029
"M852.114T1329.753",0.019513,-0.012015,0.01378,-0.0079947,0.010247,0.017671,-0.0086988,0.0020812,0.0013748,0.0049473,-0.032101,0.0027347
"M854.516T1290.85",0.023743,0.0023575,0.010404,0.0045381,-0.0024924,-0.0040386,-0.0089167,0.0082414,-0.019305,0.013365,-0.0108,7.8386e-05
"M1013.86T1346.532",0.024946,-0.0049559,0.0026747,-0.0056505,0.0077833,0.011346,-0.0048614,0.0053327,-0.0082977,0.0012316,-0.018765,0.00057786
"M852.067T1329.714",0.018348,-0.001928,0.020859,-0.0057444,-0.001533,0.013948,-0.030333,-0.0012689,-0.016092,-0.00069476,-0.018253,0.00071494
"M627.643T1193.32",0.019843,0.0097989,0.016114,-0.033897,-0.010627,-0.0025918,0.031027,0.017432,-0.0070927,-0.001644,0.0075757,0.00019639
"M941.508T1318.851",0.023113,-0.0081511,0.011385,-0.005735,-0.0021214,0.010264,0.0018865,-0.017603,-0.0024403,-0.0093676,-0.016131,-0.0013072
"M701.418T1268.098",0.023024,-0.0048359,0.023379,-0.0078981,1.3586e-05,0.024051,-0.012707,-0.0044557,0.0042227,-0.0018219,-0.029082,0.0017486
"M1013.583T1248.821",0.018665,-0.01613,0.010152,-0.0091242,0.0019832,0.016675,-0.0045683,-0.0023627,-0.0027083,-0.011331,-0.013312,0.0024429
"M968.577T1247.645",0.017392,-0.019632,0.0090111,-0.018171,0.0010554,0.0067135,-0.0086594,0.0060793,-0.0028898,0.0011156,-0.012324,0.00045898
"M559.618T1204.987",0.0028971,-0.0063119,0.0094932,-0.031263,0.033919,0.034701,0.0096911,-0.033403,-0.033254,0.025506,-0.0059,0.006528
"M923.451T1327.672",0.020887,-0.0080146,0.009685,-0.0085196,-0.011333,0.02267,-0.0097175,0.0028618,-0.0091753,-0.0033006,-0.01513,-0.00038385
"M917.49T1360.024",0.022558,-0.006751,0.02093,-0.014407,-0.00078798,0.016571,-0.00804,-0.0091432,-0.0047389,-0.0004934,-0.012638,-0.00045753
"M875.467T1241.171",0.025448,0.0094341,0.0085333,-0.0050856,-0.0087477,0.0020739,-0.011074,-0.0052452,-0.001142,0.0037206,-0.024752,0.00089738
"M1085.513T1348.399",0.024391,-0.0099864,-0.0066193,-0.010794,-0.0048072,0.0042192,0.003209,-0.0076415,0.0049981,-0.0020859,-0.0016129,0.0020791
"M466.978T106.664",0.021513,-0.0047997,0.0088091,0.014301,-3.5426e-05,0.0067715,-0.0074386,0.0022204,-0.002478,-0.026735,8.8595e-05,-0.00064768
"M851.519T1328.051",0.018922,-0.010802,0.018251,-0.013812,0.004236,0.02371,-0.0080618,-0.0029688,-0.0069422,-0.0040137,-0.020683,-0.0013835
"M861.451T1062.153",0.02116,-0.0037722,0.029923,0.01542,0.0035386,0.011144,-0.0074381,0.0026862,-0.026365,-0.013106,-0.01912,0.0013672
"M559.975T1203.448",0.017612,-0.0088098,0.00027899,-0.022621,0.02442,0.026685,-0.024673,-0.014091,-0.0026999,0.063915,0.0080766,0.005447
"M545.297T1155.639",0.0080963,-0.012517,-0.01658,-0.0065945,0.0091559,0.021298,0.024752,-0.036541,0.016938,0.016393,0.030771,-3.943e-05
"M1059.606T1053.565",-0.024073,-0.018543,-0.029337,-0.028416,-0.01781,0.017778,0.0066644,0.012805,-0.03413,0.036259,-0.0024687,0.0064515
"M1096.195T893.605",0.025764,0.012954,0.021646,-0.0070535,-0.031923,-0.016668,-0.0094985,-0.0026415,0.0047059,-0.031788,-0.034094,-0.0041163
"M180.067T785.272",0.026969,8.2088e-05,-0.0016748,0.035716,0.0074112,0.030604,-0.014207,0.029505,0.0045586,-0.038839,-0.016088,-0.002274
"M849.51T1359.918",0.020938,-0.0102,0.017838,-0.015413,0.00050239,0.017231,-0.0049699,-0.0076482,-0.0055877,-0.0062031,-0.01643,0.0027097
"M633.053T106.254",0.021689,-0.0060428,0.00019335,0.0052286,-0.00035309,0.013852,0.0053461,-0.00059601,0.0043084,-0.0053963,-0.00066488,0.0018077
"M1014.89T1344.191",0.0244,-0.0056368,-0.0023117,-0.017444,0.005486,-0.00019314,-0.005135,0.01341,-0.001889,-0.0095078,-0.00766,-0.00038665
"M473.173T806.642",0.023122,0.011049,0.0062946,0.0016487,-0.019906,0.029822,-0.009285,0.0011627,-0.019805,0.0038943,-0.023175,-0.0026469
"M1269.507T907.7",0.02246,0.0098272,0.03899,-0.004509,-0.0095975,0.0069685,-1.5528e-05,0.0080366,0.0020265,-0.023136,-0.010529,-0.00079033
"M985.574T1225.672",0.020778,-0.0017896,-0.0071768,-0.015406,-0.00014846,0.016596,-0.0044693,0.0052296,0.010007,-0.010998,0.005423,0.0011051
"M1030.586T1195.906",0.021438,-0.0064156,0.0073881,-0.011637,0.0016847,0.0041688,-0.0029266,-0.0015116,-0.0014715,-0.0069945,-0.008638,-0.0019146
"M1097.549T894.492",0.025546,0.0066426,0.027622,0.014625,0.0037557,0.005974,0.0020298,0.0012487,0.0068413,0.0012119,-0.016148,0.0031294
"M901.267T743.636",0.023986,0.018648,0.036924,0.015684,0.0019738,-0.0015231,-0.036322,-0.0083836,-0.025886,0.0060185,-0.0078812,0.0059666
"M779.462T1401.836",0.02193,-0.0054324,0.034676,-0.0058449,0.0061378,0.024376,-0.0077457,-0.016388,-0.0068618,-0.0091677,-0.010663,0.00095762
"M917.503T1359.918",0.023341,-0.007912,0.012962,-0.018016,0.003895,0.017828,-0.0037494,-0.0098193,-0.00049174,-0.0066263,-0.013569,0.0014889
"M851.912T1326.892",0.02011,0.0061058,0.021947,-0.00067975,0.0012563,0.0056222,-0.015812,0.0077773,-0.0015176,0.0031036,0.0028699,0.0021451
"M705.267T1050.095",0.010492,-0.025357,-0.0024434,-0.012883,0.0096923,0.0068154,0.0030806,0.014308,-0.016538,-0.018661,-0.0090876,0.0019256
"M983.568T1252.43",0.027412,0.0059568,0.014243,-0.0084808,0.01074,-0.0074438,0.0028054,0.0046977,0.002965,0.0022855,-0.034591,-7.0216e-05
"M457.19T799.683",0.02505,0.0035409,0.0063523,-0.0095079,-0.006346,0.019594,0.0034825,0.00016718,0.015453,-0.012214,0.001125,0.00052555
"M846.46T1187.467",0.019675,-0.011812,0.029788,-0.015612,-0.0046469,0.023684,-0.0055482,-0.0092584,-0.013865,-0.0019153,-0.011184,-0.00080288
"M821.506T1329.663",0.027004,0.0051614,0.0075648,-0.020764,0.0029571,0.004335,-0.00077735,-0.0042213,-0.0014289,-0.004223,-0.023905,0.0050617
"M347.184T1141.626",0.022361,-0.0099819,0.018721,-0.020872,-0.019225,0.018994,-0.015885,0.031563,-0.0062049,-0.015191,0.0085555,0.0005038
"M768.448T1315.096",0.026341,-0.0021713,-0.0034344,-0.014609,0.0063107,0.0058161,0.0006012,-0.0082658,-0.0028741,0.013094,-0.01323,0.00036667
"M531.078T845.355",0.025736,0.020542,0.030428,0.012216,0.0043365,-0.0046167,-0.005343,0.0054401,-0.0060109,0.022978,-0.0038147,0.0012674
"M309.118T727.508",0.027427,0.016628,0.020638,0.010873,0.015029,-0.0021565,0.0088009,0.012177,0.0042962,-0.01429,-0.010977,0.00077454
"M345.183T1137.887",0.020255,-0.0038916,0.002475,-0.021587,0.0043998,0.023733,0.011347,0.020714,0.003092,-0.018514,-0.0066634,0.0016314
"M1076.649T1193.389",-0.0077113,0.014204,-0.00086865,-0.009613,0.013705,0.0096212,0.044281,0.014774,-0.066042,0.020032,0.023761,-0.00031719
"M919.515T1328.715",0.019915,-0.0094592,0.017623,-0.0098545,0.0057522,0.021788,-0.0081416,8.3066e-05,-0.0043354,-0.0010535,-0.018155,0.0034165
"M277.217T1196.341",0.0098032,0.02285,0.014759,-0.001293,0.029679,-0.019062,0.029752,0.024723,-0.036185,0.041059,0.002656,-0.00022351
"M655.999T943.196",0.021061,-0.007729,0.030501,0.018085,0.002231,0.012584,-0.0045831,0.023636,0.0017537,-0.048412,-0.01257,0.0019785
"M565.05T98.887",0.014395,0.024635,0.028231,-0.011854,0.016943,0.040254,0.00017192,0.0074547,0.011711,-0.0079567,0.0010127,0.0016287
"M277.129T811.716",0.025099,0.0071821,-0.011164,-0.021989,-0.0082955,0.015923,-0.00095755,-0.0098535,0.017368,-0.0071074,-0.0072055,0.0017394
"M655.038T106.771",0.016447,-0.0078674,-0.0024575,0.0011508,-0.013052,0.013104,-0.0090827,0.005729,0.0072408,-0.036112,-0.0015737,0.0010146
"M1075.647T1193.908",0.00058651,0.034069,0.00095613,-0.018375,0.028408,-0.055945,0.11646,0.038918,0.018401,-0.00037592,0.01539,7.2911e-06
"M649.026T106.128",0.023474,-0.013923,-0.0077383,-0.0068465,-0.0078622,0.0016203,0.0017231,0.0069011,1.7898e-05,0.004282,-0.011292,0.003397
"M1097.561T894.34",0.024099,0.018104,0.044752,0.0098097,0.0041309,0.013909,-0.0064915,0.020431,-0.012435,0.0059646,-0.0071592,-0.0030533
"M1014.585T1248.122",0.017588,-0.015873,0.0086335,-0.01096,-0.0012818,0.01617,-0.0055323,0.0027156,-0.0032239,-0.016312,-0.015293,0.0027256
"M868.517T1202.592",0.016088,-0.013659,0.025038,-0.014956,0.0033537,0.027198,-0.013282,0.0014177,-0.017719,-0.00063837,-0.018705,0.0019429
"M1015.588T1248.088",0.01783,-0.016358,0.0083879,-0.0090492,0.0026243,0.016448,-0.008242,0.0012324,0.0015694,-0.00096103,-0.021439,0.00016219
"M921.374T936.829",0.030578,0.00055134,-0.017202,0.0061574,0.0084318,0.0020643,-0.0048494,0.0090106,0.0027067,-0.0080609,0.0024909,-0.00011616
"M851.794T1356.146",0.019887,0.00078501,0.019027,-0.00056988,0.011118,0.020711,0.003153,-0.0074006,0.0060452,0.0044629,-0.037219,0.0021139
"M451.007T107.467",0.021357,-0.013028,0.0040427,0.0080397,-0.0011188,0.011937,-0.00595,0.0085187,-0.0019225,-0.028618,-0.0083723,-0.00041106
"M808.919T1196.341",0.010507,0.0079121,-0.024956,-0.034476,-0.0019446,-0.0092725,0.013019,0.029839,-0.012238,0.038993,-0.014421,-7.6626e-05
"M1013.97T1244.591",0.019462,-0.014129,0.0091591,-0.02712,-0.0054108,0.014654,-0.00024688,0.016682,-0.011508,-0.0014713,-0.012056,0.00058838
"M1100.582T1225.322",0.023376,-0.0057026,0.0036771,-0.011735,0.00276,0.0015902,-0.0027988,-0.012624,0.0046908,-0.014255,-0.003504,0.0028084
"M649.302T900.549",0.024769,-0.0039266,-0.0019799,-0.0054953,0.0030531,-0.002424,0.0020234,-0.009806,0.0056605,0.0046685,-0.0010202,0.0015476
"M575.766T1053.433",0.01211,-0.013697,-0.0049407,0.0036201,0.0026722,0.028878,0.01654,0.024117,0.030633,0.043176,-0.011899,0.0010286
"M1161.883T894.146",0.0218,0.013727,0.027886,-0.0098569,-0.026029,-0.017479,-0.0091695,0.01786,0.0083824,-0.018208,-0.013204,0.00010049
"M286.972T107.919",0.022199,-0.010122,0.0082956,0.011271,0.0056159,0.0042187,-0.00072642,0.010159,-0.0046149,-0.013941,-0.0032587,-0.0037512
"M581.318T900.123",0.024763,0.0023368,-0.0020097,-0.015409,-0.0022779,-0.00040977,0.019857,-0.0055021,0.0062613,-0.011023,-0.00066393,0.0017462
"M1014.585T1348.471",0.024262,-0.0062542,-0.0082034,-0.013711,0.0027369,0.0051302,0.0043066,-0.0043014,0.0053979,-0.0061439,-0.005791,0.0033075
"M799.289T814.54",0.016818,0.0052798,-0.0063748,-0.018525,-0.0098574,0.013324,0.011323,0.013635,0.012895,0.020627,-0.018605,0.00082756
"M883.503T1155.003",0.019955,-0.0090913,0.017544,-0.014116,0.0019412,0.015493,-0.010856,-0.014601,-0.0058931,-0.0046729,-0.018041,-0.0001523
"M527.103T89.251",0.022676,-0.065975,0.0092904,-0.0055592,-0.038985,-0.058692,-0.019468,-0.0043236,-0.036034,0.0087923,-0.0032658,0.0011666
"M1053.272T316.465",0.023425,-0.0020945,-0.010004,-0.0087132,-0.011906,-0.00039953,0.016687,0.0079289,0.018573,0.0004558,-0.005456,0.0013002
"M1097.037T893.528",0.026271,0.0072012,0.031757,0.012775,0.0022118,0.015304,-0.0082618,-0.019167,0.01742,-0.018109,-0.05755,0.0062783
"M987.494T1327.158",0.0209,-0.011552,0.012952,-0.0076403,-0.00084275,0.01468,-0.0086477,-0.0039329,-0.0029085,-0.0033489,-0.015783,-0.0023326
"M863.484T1242.374",0.020846,-0.010001,0.027626,-0.014919,0.0056125,0.019341,-0.011664,-0.0043226,0.0012124,-0.0017544,-0.019352,0.0024072
"M869.849T1307.413",0.02488,-0.00084761,0.0098266,-0.012328,-0.0059178,-0.0024906,-0.0011799,0.0053883,-0.010304,-0.012692,-0.020847,-0.00012359
"M867.515T1204.699",0.013579,-0.020576,0.023678,-0.019724,0.0049898,0.033309,-0.010809,0.00099289,-0.020154,-0.003631,-0.021758,-0.00010929
