"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"M375.07T470.729",0.031846,0.001595,0.013646,-0.0023544,-0.0061145,0.019458,-0.0091964,0.0001443
"M562.053T1195.871",0.015511,-0.014974,0.013904,-0.0047022,-0.015746,0.012628,0.010733,0.0025625
"M943.502T1194.413",0.015487,0.0027828,-0.00060753,0.0016867,-0.0092539,0.0015052,0.02694,-0.0057156
"M1096.565T894.076",0.012045,-0.069225,-0.024607,0.025696,-0.0022705,0.0030499,-0.026685,0.0032484
"M354.093T469.671",0.032113,0.0030841,0.013298,-0.0025752,-0.0061806,0.019887,-0.0077625,-0.00036251
"M437.041T470.729",0.031875,0.00098321,0.017537,-0.0037734,-0.0059784,0.019005,-0.0095002,8.3189e-05
"M444.996T106.721",0.023259,-0.0060601,-0.020011,0.0056871,-0.0093695,-0.0025952,-0.002991,-0.0051066
"M808.155T1200.534",-0.0064779,-0.022105,0.018827,-0.0037381,0.011284,0.024482,0.041959,-0.026016
"M631.151T795.429",0.024709,-0.0048242,0.0065928,0.0043241,0.0021568,0.026074,-0.024691,-0.0044612
"M757.441T1176.453",0.02197,-0.024254,0.024714,0.018005,-0.0032116,0.0094232,0.015928,0.012118
"M881.515T1351.787",0.026144,-0.0078435,0.013517,0.012079,-0.0082817,0.0032932,0.0055719,-0.0040279
"M967.577T1245.908",0.019393,-0.0084131,-0.013621,0.015484,-0.011633,0.01368,0.0053538,-0.0031093
"M511.24T944.134",0.027399,0.0027752,-0.0034022,0.0030898,-0.01013,0.00011532,-0.01106,-0.012932
"M557.187T899.436",0.01731,0.028068,-0.010844,0.016172,-0.0012679,0.0074197,-0.0026228,0.010927
"M1029.931T1194.947",0.021869,-0.0079591,0.020442,-0.0037148,-0.038223,0.02242,0.012097,-0.0077077
"M563.252T904.514",0.018405,0.0063514,-0.013152,0.0068448,-0.0063321,-0.017464,-0.0071561,9.8833e-05
"M337.092T724.593",0.029758,-0.0074203,0.013717,0.013393,-0.020368,0.034023,-0.0018295,0.00064141
"M758.447T1173.243",0.025984,-0.017595,0.011156,0.015441,-0.0058548,0.014217,0.0057008,0.0016419
"M852.114T1329.753",0.020771,-0.011894,-0.0081415,0.019136,-0.0018572,0.017856,0.00691,0.0078546
"M854.516T1290.85",0.024442,-0.022863,0.00082263,0.004124,0.0094511,0.0088005,0.015163,0.0037376
"M1013.86T1346.532",0.0269,-0.0108,-0.0044042,0.0044266,-0.00069382,0.011084,0.0092778,0.0080544
"M852.067T1329.714",0.01801,-0.028081,-0.0084566,0.0076179,0.0019627,0.023877,0.0039529,-0.0064557
"M627.643T1193.32",0.020791,-0.013504,0.023912,0.00048403,-0.045233,0.020406,0.012098,0.0062799
"M941.508T1318.851",0.024738,-0.012034,-0.0024335,0.014253,-0.013264,0.0028926,-0.0047612,4.3659e-05
"M701.418T1268.098",0.023524,-0.024354,-0.00066015,0.017913,-0.0080058,0.017756,0.0043053,-0.0055017
"M1013.583T1248.821",0.020264,-0.0074819,-0.015814,0.015137,-0.015334,0.010225,0.0017021,-0.0006857
"M968.577T1247.645",0.019253,-0.0031223,-0.018638,0.017355,-0.012914,0.024017,0.0018936,0.0021101
"M559.618T1204.987",0.0038858,0.0079224,0.012152,0.019107,-0.018242,0.024137,-0.013549,0.021595
"M923.451T1327.672",0.022281,-0.012022,-0.0073641,0.0089635,-0.011184,0.015309,0.014365,-0.013628
"M917.49T1360.024",0.023428,-0.019698,-0.0017852,0.016803,-0.015318,0.018924,-0.0026278,-0.0043428
"M875.467T1241.171",0.026382,-0.021624,0.012761,-0.0008019,0.0045868,0.013627,0.0034508,-0.0031579
"M1085.513T1348.399",0.027532,0.0030896,-0.0048045,0.0048521,-0.0090656,0.0051161,-0.0056837,-0.0044702
"M466.978T106.664",0.022117,-0.022083,-0.015258,0.00081145,-0.0043383,-0.012948,0.0029498,-0.0038141
"M851.519T1328.051",0.019841,-0.014868,-0.0077486,0.017151,-0.01544,0.019302,0.0045334,-9.9673e-06
"M861.451T1062.153",0.020285,-0.037877,-0.010519,0.015332,-0.004649,-0.0037363,0.018628,0.006912
"M559.975T1203.448",0.019974,0.003708,0.0046609,0.018959,0.022035,0.039059,-0.016577,-0.0058923
"M545.297T1155.639",0.011469,0.027425,0.0067561,0.013411,-0.0097794,-0.016317,-0.027417,-0.011613
"M1059.606T1053.565",-0.022016,0.053359,-0.0091679,0.0015872,-0.0066245,0.029972,0.031588,-0.010928
"M1096.195T893.605",0.025457,-0.035983,0.010359,-0.0044757,-0.015817,0.011442,0.0031854,-0.0072851
