"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"X02.C12.2.neg",-22.176,-6.4958,4.1689,-8.0568,2.1496,9.4159,-2.3434,4.5784
"X18.C12.3.neg",-27.533,-9.2948,4.5916,17.229,-3.7619,-0.16735,1.4948,-3.3151
"X33.C12.4.neg",-12.519,-4.0869,-4.4269,-13.53,-10.754,-1.9585,-4.9339,-0.099088
"X12.D12.2.neg",-2.9066,1.0875,-8.6467,-1.5526,-0.38968,-3.1477,10.242,-0.30907
"X28.D12.3.neg",-5.5412,2.3391,-11.816,2.5362,4.0195,5.0429,0.40136,-8.0501
"X52.D12.4.neg",-14.327,2.4985,-2.798,0.65802,11.924,-11.148,-5.3469,7.0213
"X05.F12.4.neg",12.626,0.09688,1.1038,-1.9749,1.8604,6.4434,9.5335,8.7705
"X22.F12.1.neg",37.449,-11.76,-4.2745,7.6441,-3.1054,-0.53177,-5.5249,5.2757
"X38.F12.2.neg",18.343,-1.2074,-1.0245,-4.8344,4.812,0.60579,-2.1961,-10.73
"X43.F12.3.neg",8.4796,-2.1085,13.395,-5.1153,-1.4441,-10.953,4.7553,-4.1657
"X32.X12.2.neg",0.56366,19.804,-1.5408,5.2657,-8.3524,-1.551,-2.1747,2.8341
"X41.X12.1.neg",7.5412,9.1269,11.268,1.7309,3.0415,7.9502,-3.9073,-1.811
