"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"M413.179T861.909",2.4213,2.0637,2.0266,2.0246,2.0218,2.0217,2.0216,2.0216
"M969.698T320.725",2.1276,1.9697,1.8924,1.8752,1.8827,1.8825,1.8825,1.8825
"M293.118T1042.937",2.0398,1.5383,1.4781,1.462,1.4615,1.4613,1.4613,1.4613
"M237.04T858.99",2.038,1.6151,1.5771,1.5596,1.5593,1.5592,1.5592,1.5592
"M204.085T413.719",2.0379,1.8227,1.7662,1.7623,1.7623,1.7624,1.7624,1.7624
"M279.139T1150.344",2.0307,1.5654,1.5044,1.4931,1.4914,1.4913,1.4913,1.4913
"M775.338T1039.594",2.0091,1.6143,1.5522,1.5354,1.5333,1.5333,1.5333,1.5333
"M410.078T615.621",1.9789,1.6345,1.576,1.5825,1.5896,1.5896,1.5896,1.5896
"M895.29T938.858",1.9747,1.5237,1.4671,1.4624,1.461,1.4609,1.4609,1.4609
"M387.034T831.689",1.9504,1.4868,1.4516,1.4374,1.4405,1.4405,1.4405,1.4405
"M367.058T823.98",1.933,1.6881,1.6287,1.6202,1.618,1.6178,1.6178,1.6178
"M1014.419T974.744",1.9166,1.5263,1.4761,1.4621,1.4618,1.4616,1.4616,1.4616
"M1162.58T906.276",1.9138,3.396,3.2739,3.2428,3.2389,3.2387,3.2387,3.2387
"M773.832T1687.362",1.9099,2.6488,2.5821,2.5538,2.5504,2.5505,2.5505,2.5505
"M246.097T864.37",1.9071,1.5244,1.4867,1.4792,1.4774,1.4774,1.4774,1.4774
"M471.117T721.976",1.9036,1.4577,1.4869,1.4892,1.4873,1.4875,1.4875,1.4875
"M401.218T1013.762",1.9003,1.4895,1.4443,1.4421,1.44,1.44,1.44,1.44
"M1005.407T928.554",1.8596,1.4294,1.4801,1.4878,1.4865,1.4864,1.4864,1.4864
"M1176.528T983.06",1.8526,1.436,1.4173,1.4172,1.4158,1.4157,1.4157,1.4157
"M591.353T1163.856",1.8479,2.211,2.2161,2.2104,2.2099,2.2103,2.2103,2.2103
"M489.058T766.222",1.8427,1.4399,1.3919,1.3771,1.3751,1.375,1.375,1.375
"M679.277T1051.577",1.8117,1.6048,1.5726,1.5557,1.5538,1.554,1.554,1.554
"M957.274T935.63",1.8072,1.3624,1.4225,1.4358,1.4347,1.4347,1.4346,1.4346
"M942.303T939.917",1.8057,1.36,1.3877,1.4199,1.4206,1.4208,1.4207,1.4207
"M529.184T941.182",1.8044,1.5059,1.4913,1.4751,1.4735,1.4735,1.4735,1.4735
"M487.146T735.656",1.8028,1.6918,1.641,1.6289,1.6272,1.6273,1.6273,1.6273
"M1230.792T836.99",1.8017,1.6861,1.6625,1.6449,1.644,1.6443,1.6443,1.6443
"M311.104T1075.82",1.7804,1.798,1.7283,1.7092,1.7069,1.7069,1.7069,1.7069
"M440.855T1728.569",1.7794,1.8032,1.7385,1.7264,1.7262,1.7261,1.7261,1.7261
"M455.021T825.04",1.7696,1.3445,1.3494,1.3381,1.3434,1.3434,1.3434,1.3434
"M1611.697T937.933",1.7687,1.3966,1.3508,1.3395,1.3378,1.3377,1.3377,1.3377
"M1462.085T939.347",1.7685,1.3539,1.321,1.3552,1.3535,1.3534,1.3534,1.3534
"M343.103T489.112",1.7685,1.6402,1.6006,1.5909,1.5894,1.5892,1.5892,1.5892
"M319.076T917.392",1.7608,1.328,1.3204,1.3057,1.3099,1.3098,1.3098,1.3098
"M260.967T89.826",1.7523,1.4872,1.4287,1.4321,1.4305,1.4303,1.4303,1.4303
"M964.359T921.966",1.7515,1.3215,1.4287,1.4375,1.4357,1.4356,1.4356,1.4356
"M990.329T838.789",1.7421,1.3158,1.273,1.2634,1.2617,1.2616,1.2616,1.2616
"M367.103T818.837",1.7392,1.3811,1.3472,1.3323,1.3305,1.3304,1.3304,1.3304
"M502.199T804.61",1.7373,1.434,1.3899,1.3806,1.3787,1.3786,1.3786,1.3786
"M1143.426T942.716",1.735,1.3265,1.2854,1.2792,1.2774,1.2773,1.2773,1.2773
"M1063.398T908.83",1.7345,1.3608,1.3112,1.2968,1.2951,1.2952,1.2952,1.2952
"M428.2T856.891",1.7342,1.3569,1.3226,1.3082,1.3063,1.3062,1.3062,1.3062
"M505.029T765.672",1.722,1.3928,1.3735,1.3595,1.3576,1.3575,1.3575,1.3575
"M455.193T892.238",1.7139,1.3438,1.2911,1.2783,1.2767,1.2766,1.2766,1.2766
"M391.157T830.263",1.7117,1.3411,1.3602,1.3732,1.3716,1.3714,1.3714,1.3714
"M431.497T89.496",1.7042,1.457,1.4037,1.4235,1.4233,1.4232,1.4232,1.4232
"M848.315T857.496",1.7012,1.2934,1.258,1.2574,1.2557,1.2556,1.2556,1.2556
"M1044.425T908.907",1.6993,1.2866,1.2367,1.2231,1.2215,1.2215,1.2215,1.2215
"M791.126T833.266",1.699,1.2796,1.276,1.3181,1.3172,1.3171,1.3171,1.3171
"M723.445T946.073",1.6976,1.2767,1.2347,1.2735,1.2775,1.2775,1.2775,1.2775
"M804.318T962.853",1.6963,1.2746,1.4119,1.4423,1.4421,1.4419,1.4419,1.4419
"M389.108T489.956",1.6946,1.5041,1.4469,1.4448,1.4449,1.4448,1.4448,1.4448
"M469.208T948.545",1.6939,1.3843,1.3586,1.3442,1.3442,1.3441,1.3441,1.3441
"M1109.422T909.522",1.6919,1.3123,1.2634,1.2503,1.2495,1.2495,1.2495,1.2495
"M726.284T1051.577",1.6869,2.3356,2.2447,2.2566,2.2593,2.2591,2.2591,2.2591
"M333.191T983.058",1.6783,1.4541,1.4052,1.3953,1.3953,1.3952,1.3952,1.3952
"M951.397T1014.118",1.6743,1.2766,1.3748,1.3738,1.3732,1.373,1.373,1.373
"M950.342T882.081",1.674,1.2863,1.2544,1.2465,1.2449,1.2448,1.2448,1.2448
"M333.062T954.304",1.674,1.3354,1.3453,1.3349,1.3335,1.3337,1.3337,1.3337
"M449.205T834.832",1.6726,1.3459,1.3156,1.3165,1.3148,1.3147,1.3147,1.3147
"M950.337T882.881",1.6669,1.2638,1.237,1.2303,1.2287,1.2286,1.2286,1.2286
"M821.606T900.199",1.6609,1.2651,1.2233,1.2101,1.2089,1.2088,1.2088,1.2088
"M923.402T931.508",1.6598,1.2633,1.2349,1.2238,1.2235,1.2234,1.2234,1.2234
"M471.046T618.546",1.6591,1.2698,1.2286,1.2262,1.2258,1.2262,1.2262,1.2262
"M649.307T1120.24",1.6578,1.3593,1.3097,1.3114,1.3117,1.3119,1.3119,1.3119
"M857.325T1034.658",1.657,1.2472,1.3556,1.3539,1.3542,1.3542,1.3542,1.3542
"M833.365T968.818",1.6546,1.2481,1.2048,1.1955,1.1941,1.194,1.194,1.194
"M430.136T769.014",1.653,1.2699,1.22,1.2128,1.2117,1.2116,1.2116,1.2116
"M601.173T930.747",1.6493,1.2543,1.3213,1.3613,1.3597,1.3596,1.3596,1.3596
"M705.205T926.435",1.6433,1.2649,1.225,1.221,1.2193,1.2192,1.2192,1.2192
"M354.093T469.671",1.643,1.2563,1.2163,1.203,1.2013,1.2012,1.2012,1.2012
"M807.007T938.915",1.6364,1.2479,1.1991,1.1859,1.1845,1.1844,1.1844,1.1844
"M1144.448T942.538",1.636,1.2339,1.2023,1.1953,1.1937,1.1936,1.1936,1.1936
"M361.323T326.759",1.6345,1.2351,1.1928,1.1796,1.1781,1.178,1.178,1.178
"M1143.444T941.11",1.6343,1.2322,1.1874,1.1775,1.176,1.1759,1.1759,1.1759
"M1601.548T315.256",1.6343,1.5227,1.5663,1.6176,1.6153,1.6152,1.6152,1.6152
"M925.329T1121.023",1.6261,1.4376,1.3916,1.3831,1.3827,1.3827,1.3827,1.3827
"M483.183T857.732",1.6236,1.2598,1.2103,1.1975,1.1958,1.1957,1.1957,1.1957
"M501.195T803.697",1.6227,1.3258,1.2738,1.2655,1.2639,1.2638,1.2638,1.2638
"M399.065T319.722",1.6218,1.3461,1.3747,1.391,1.3901,1.39,1.39,1.39
"M437.041T470.729",1.6181,1.2338,1.2015,1.1885,1.1869,1.1868,1.1868,1.1868
"M813.108T834.298",1.6155,1.2137,1.2089,1.2506,1.2494,1.2495,1.2495,1.2495
"M206.081T834.983",1.6152,1.2151,1.2087,1.2096,1.2228,1.2227,1.2227,1.2227
"M1163.085T907.707",1.615,3.1758,3.0529,3.0208,3.0168,3.0165,3.0165,3.0165
"M547.234T852.079",1.6141,1.2586,1.211,1.2007,1.199,1.1989,1.1989,1.1989
"M1027.543T1140.732",1.6079,1.3046,1.4824,1.5313,1.5297,1.5296,1.5296,1.5296
"M727.283T864.823",1.6074,1.4714,1.4407,1.4252,1.4234,1.4233,1.4233,1.4233
"M951.343T881.927",1.6073,1.3562,1.3029,1.2932,1.2922,1.2921,1.2921,1.2921
"M723.751T1120.766",1.6064,1.382,1.3547,1.343,1.3449,1.3448,1.3448,1.3448
"M375.07T470.729",1.6058,1.2218,1.1842,1.1712,1.1696,1.1695,1.1695,1.1695
"M421.069T767.549",1.6056,1.2173,1.2291,1.2171,1.2155,1.2154,1.2154,1.2154
"M508.215T930.69",1.6035,1.4436,1.3884,1.373,1.3716,1.3714,1.3714,1.3714
"M323.187T1016.246",1.6033,1.3767,1.3373,1.327,1.3253,1.3252,1.3252,1.3252
"M495.025T292.616",1.6013,1.2548,1.2072,1.1956,1.1941,1.194,1.194,1.194
"M851.276T990.376",1.6,1.2454,1.1971,1.1852,1.1864,1.1863,1.1863,1.1863
"M1222.302T834.324",1.5986,1.2009,1.157,1.2346,1.2334,1.2334,1.2334,1.2334
"M507.209T930.4",1.5976,1.4013,1.3473,1.3328,1.3322,1.3321,1.332,1.332
"M735.222T927.83",1.5929,1.2227,1.18,1.1669,1.1654,1.1653,1.1653,1.1653
"M759.145T875.232",1.5895,1.2372,1.2193,1.2076,1.2119,1.2119,1.2119,1.2119
"M427.038T293.27",1.5872,1.2591,1.2102,1.1978,1.1966,1.1965,1.1965,1.1965
"M723.784T1121.279",1.5844,1.375,1.3229,1.3105,1.3112,1.3113,1.3113,1.3113
"M641.302T1183.734",1.5785,1.3418,1.3082,1.3004,1.3044,1.3045,1.3045,1.3045
