"",f.value,p.value,-log10(p),FDR,Fisher's LSD (top 1000)
M238.069T801.926,35.419,3.1806e-06,5.4975,0.0069368,Other - Second-tp_Control; Other - Second-tp_Xanthomonas; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control; Second-tp_Drought - Second-tp_Xanthomonas; Second-tp_Fusarium - Second-tp_Xanthomonas
M799.852T67.938,29.158,8.4116e-06,5.0751,0.0091728,Second-tp_Fusarium - Other; Second-tp_Xanthomonas - Other; Second-tp_Fusarium - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought; Second-tp_Xanthomonas - Second-tp_Drought; Second-tp_Fusarium - Second-tp_Xanthomonas
M531.009T876.272,25.732,1.5562e-05,4.8079,0.011314,Other - Second-tp_Control; Second-tp_Fusarium - Other; Other - Second-tp_Xanthomonas; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Drought - Second-tp_Xanthomonas; Second-tp_Fusarium - Second-tp_Xanthomonas
M463.02T875.074,22.619,2.9095e-05,4.5362,0.015864,Other - Second-tp_Control; Second-tp_Fusarium - Other; Other - Second-tp_Xanthomonas; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Drought - Second-tp_Xanthomonas; Second-tp_Fusarium - Second-tp_Xanthomonas
M445.095T115.802,21.124,4.0373e-05,4.3939,0.017611,Second-tp_Drought - Other; Second-tp_Fusarium - Other; Second-tp_Xanthomonas - Other; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought
M467.051T320.771,18.475,7.6052e-05,4.1189,0.022456,Second-tp_Control - Other; Second-tp_Drought - Other; Second-tp_Fusarium - Other; Second-tp_Xanthomonas - Other; Second-tp_Fusarium - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought
M447.05T875.673,18.23,8.095e-05,4.0918,0.022456,Other - Second-tp_Control; Second-tp_Fusarium - Other; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought; Second-tp_Fusarium - Second-tp_Xanthomonas
M769.419T945.253,17.044,0.00011065,3.956,0.022456,Second-tp_Drought - Other; Second-tp_Fusarium - Other; Second-tp_Xanthomonas - Other; Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought; Second-tp_Fusarium - Second-tp_Xanthomonas
M387.034T831.689,16.879,0.00011573,3.9365,0.022456,Other - Second-tp_Control; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control; Second-tp_Fusarium - Second-tp_Xanthomonas
M703.247T844.715,16.808,0.00011801,3.9281,0.022456,Second-tp_Drought - Other; Second-tp_Fusarium - Other; Second-tp_Xanthomonas - Other; Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought; Second-tp_Fusarium - Second-tp_Xanthomonas
M643.245T813.714,16.647,0.00012336,3.9088,0.022456,Second-tp_Drought - Other; Second-tp_Fusarium - Other; Second-tp_Xanthomonas - Other; Second-tp_Fusarium - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought; Second-tp_Fusarium - Second-tp_Xanthomonas
M915.823T68.606,16.642,0.00012355,3.9082,0.022456,Second-tp_Fusarium - Other; Second-tp_Control - Second-tp_Drought; Second-tp_Fusarium - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought; Second-tp_Xanthomonas - Second-tp_Drought; Second-tp_Fusarium - Second-tp_Xanthomonas
M437.041T470.729,15.34,0.00017927,3.7465,0.02706,Second-tp_Fusarium - Other; Second-tp_Xanthomonas - Other; Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought; Second-tp_Xanthomonas - Second-tp_Drought
M481.183T769.795,15.067,0.00019446,3.7112,0.02706,Second-tp_Drought - Other; Second-tp_Fusarium - Other; Second-tp_Drought - Second-tp_Control; Second-tp_Fusarium - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought; Second-tp_Fusarium - Second-tp_Xanthomonas
M173.008T106.871,14.972,0.00020013,3.6987,0.02706,Second-tp_Fusarium - Other; Second-tp_Xanthomonas - Other; Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought; Second-tp_Fusarium - Second-tp_Xanthomonas
M778.832T66.858,14.483,0.00023238,3.6338,0.02706,Second-tp_Fusarium - Other; Second-tp_Xanthomonas - Other; Second-tp_Fusarium - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought; Second-tp_Fusarium - Second-tp_Xanthomonas
M776.814T66.22,14.445,0.00023519,3.6286,0.02706,Second-tp_Fusarium - Other; Second-tp_Xanthomonas - Other; Second-tp_Fusarium - Second-tp_Control; Second-tp_Xanthomonas - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought; Second-tp_Xanthomonas - Second-tp_Drought
M1461.92T936.679,14.166,0.00025661,3.5907,0.02706,Second-tp_Drought - Other; Second-tp_Fusarium - Other; Second-tp_Fusarium - Second-tp_Control; Second-tp_Fusarium - Second-tp_Drought; Second-tp_Fusarium - Second-tp_Xanthomonas
