"","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Other","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M375.07T470.729","-1.86365806","-0.38247054","-0.29378814","-0.21625643","-0.03742467","-0.59566111","-0.17732352","-0.09540465"," 0.12295717","-0.44647301"," 0.53503037"," 1.29494215"," 0.62045965"," 0.53638966"," 0.32295999"," 0.67572113"
"M562.053T1195.871","-1.59133066","-0.19129147","-0.39558795","-0.06645903"," 0.17990824","-0.07328241"," 0.12084021"," 0.12861580"," 0.12361033","-0.33617261"," 0.38943361"," 0.73844704"," 0.12713802"," 0.53081242","-0.01652573"," 0.33184418"
"M943.502T1194.413","-1.64078111","-0.27709940","-0.17708907","-0.14476384","-0.24382779","-0.04015753"," 0.09367407"," 0.36355359"," 0.20467769","-0.14879368"," 0.47079722"," 0.46451830"," 0.24723077"," 0.35569996"," 0.14509057"," 0.32727025"
"M1096.565T894.076","-0.91326838"," 0.40907097","-0.06412947","-0.45777708"," 0.38760525"," 0.67312078","-0.11129139"," 0.19663914","-0.12276896","-0.14558825","-0.35415708"," 1.94913356"," 0.52609774","-0.39708466","-0.89936458","-0.67623759"
"M354.093T469.671","-2.25062609","-0.24271019","-0.25204966","-0.19956253","-0.03099673","-0.53036901","-0.13407757","-0.03658249"," 0.12620208","-0.39332254"," 0.55321005"," 1.21544183"," 0.64269884"," 0.50864667"," 0.35003572"," 0.67406163"
"M437.041T470.729","-0.59021594","-0.54402748","-0.52285885","-0.49105753","-0.14314583","-0.73178575","-0.25207250","-0.24493924","-0.06138639","-0.58647530"," 0.58417359"," 1.35160014"," 0.71415916"," 0.54035995"," 0.26168946"," 0.71598249"
"M444.996T106.721","-1.44033591","-0.42690927","-0.45272913","-0.32234630","-0.33022742","-0.27481424"," 0.09871258"," 0.12010354"," 0.52860323","-0.11920424"," 0.39011033"," 1.15378283"," 0.43411409"," 0.33382683"," 0.24754187"," 0.05977122"
"M808.155T1200.534","-2.02850923"," 0.24556571"," 0.21507259","-0.06274276"," 0.21476767"," 0.54075616"," 0.16032202"," 0.54862716"," 0.19253634","-0.25578895"," 0.29675100","-0.24858495"," 0.07092324"," 0.24121724","-0.74537885"," 0.61446559"
"M631.151T795.429","-1.13507807","-0.44101404","-0.37996648","-0.27097731","-0.03190006","-0.40921446","-0.12541121","-0.37372271"," 0.38096195","-0.33811467"," 0.38482028"," 1.22852881"," 0.50032020"," 0.24398234"," 0.08149307"," 0.68529235"
