"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16"
"M375.07T470.729",0.027853,0.0071513,-0.00059469,0.0070612,-0.018399,-0.011595,-0.0055178,-0.002367,-0.010174,0.0047883,-0.014561,-0.0067065,-0.01426,0.0044601,0.00090442,0.65849
"M562.053T1195.871",0.019757,-0.0030065,-0.012879,-0.009135,-0.010226,-0.0035482,-0.0064492,-0.0030074,-0.0086296,0.013825,0.0053134,-0.010737,0.0023564,-0.00018356,-0.016826,-0.57358
"M943.502T1194.413",0.019458,-0.010504,-0.0055008,0.0021243,-0.0061723,0.01125,-0.00017913,0.003431,-0.0053975,0.009904,0.014121,-0.010071,-0.00079158,-0.005908,0.0050014,-0.046774
"M1096.565T894.076",0.014493,0.0079295,0.017663,-0.067088,0.025411,-0.022699,0.0010482,-0.029889,0.027699,-0.036789,0.0046533,0.022717,0.012994,-0.028501,-0.029412,-0.12737
"M354.093T469.671",0.030364,-0.00062997,-0.0041628,0.006279,-0.016097,-0.010221,-0.001413,-0.0037275,-0.0076103,0.003696,-0.014022,-0.001734,-0.017122,0.0059659,-0.0013594,0.072763
"M437.041T470.729",0.019122,0.031692,0.009359,0.011479,-0.02718,-0.0067253,-0.0097814,0.006386,-0.010104,-0.0010837,-0.0067898,-0.0042334,-0.013345,0.0058507,-0.0031512,0.047629
"M444.996T106.721",0.021991,0.00082812,0.010978,0.0015016,-0.0096536,0.0047926,-0.018253,-0.0040055,0.0091762,0.0098138,0.0031372,-0.0086347,0.022447,-0.002995,-0.0054044,-0.057272
"M808.155T1200.534",0.016204,-0.02427,-0.030901,-0.020414,0.0064956,0.019339,0.023373,-0.025841,-0.001388,0.0172,0.027449,-0.0097284,-0.03984,-0.023283,0.004424,-0.13426
"M631.151T795.429",0.020162,0.013821,0.0067481,0.00085226,-0.022588,-0.0077993,-0.0062433,-0.011354,0.0095967,0.012287,-0.019001,-0.020405,-0.012347,0.0033199,-0.0021755,-0.18525
"M757.441T1176.453",0.026451,-0.0046828,-0.01149,-0.020985,-0.00024454,-0.0077252,-0.013572,0.0032774,-0.014576,-0.0059485,-0.0077246,-0.025082,-0.0087128,0.03343,0.0062415,-0.13667
"M881.515T1351.787",0.021323,0.01384,0.004951,-0.0043243,-0.014461,0.0069094,-0.01558,0.01341,-0.003531,-0.003255,0.0023243,-0.0117,-0.0074476,5.4558e-06,0.015291,0.16418
"M967.577T1245.908",0.02889,-0.024717,-0.0075184,-0.0095262,-0.0083717,-0.00097073,-0.0084036,-0.010805,0.0074251,-0.0015538,-0.0013507,-0.008315,0.0028664,0.0077247,-0.00042656,-0.11614
"M511.24T944.134",0.031439,-0.017199,-0.0066035,0.0019224,-0.0088382,0.0037437,-0.0051234,-0.0032602,0.011408,-0.0039678,-0.013347,0.0078716,-0.00088927,0.0021704,-0.0059643,-0.1169
"M557.187T899.436",0.020917,-0.015009,0.007593,0.014656,-0.019528,-0.011072,-0.017838,0.010783,-0.0021123,-0.01553,-0.0013545,-0.016574,-0.010259,0.0001771,-0.013276,0.17301
"M1029.931T1194.947",0.022021,0.0047117,-0.0088719,-0.010582,-0.024905,-0.0068081,-0.0071133,-0.0019121,-0.034621,0.013745,-8.9225e-05,0.013089,-0.0095752,-0.012366,0.0032055,-0.015366
"M563.252T904.514",0.028195,-0.028476,-0.010739,0.0010878,0.00067705,-0.0016951,-0.0034793,0.0029089,0.0079377,-0.006166,-0.011312,-0.0083076,0.0085128,-0.0061827,-0.0051543,0.0065564
"M337.092T724.593",0.031903,-0.00918,-0.0045769,-0.012422,-0.019392,-0.012658,-1.9017e-05,-0.0080794,-0.016699,0.0082206,-0.013751,-0.0065323,-0.022619,0.0074437,0.0016505,0.0029852
"M758.447T1173.243",0.022177,0.014062,0.0052814,-0.012774,-0.014222,0.00074759,-0.020088,0.0010768,-0.006545,0.014937,-0.0012977,-0.032221,-0.0016305,0.017552,0.0087288,0.0026104
"M852.114T1329.753",0.028011,-0.016511,-0.0038673,-0.011311,-0.011585,-0.001687,-0.013777,-0.0077857,0.013058,-0.0054302,0.0072728,-0.01372,-0.0014365,0.021656,-0.019994,0.0068135
"M854.516T1290.85",0.029819,-0.013547,-0.010129,-0.009891,0.0055764,0.0005354,0.0068605,-0.0093874,0.0060679,0.0062703,0.0081907,-0.014456,-0.0070006,0.0046884,-0.0016061,0.00035063
"M1013.86T1346.532",0.03125,-0.017327,-0.0075257,-0.004887,-0.0010946,-0.0074605,-0.002019,-0.0098895,0.0028146,0.0034754,0.0017626,-0.0047428,-0.003915,0.012553,0.0051518,0.0079627
"M852.067T1329.714",0.029059,-0.020088,-0.011902,-0.016228,-0.0041344,0.00032363,-0.0024723,-0.023611,0.015541,0.0073557,0.0022384,-0.014074,0.0010359,0.010227,0.0002507,0.0039707
"M627.643T1193.32",0.023415,-0.0040508,-0.011293,-0.020032,-0.014957,-0.0057146,0.021492,0.0092299,-0.029936,0.0084066,-0.000232,0.028541,-0.013137,0.0014766,0.0036674,-0.0050554
"M941.508T1318.851",0.024057,0.00073236,0.0058561,-0.0090594,-0.010268,0.0043613,-0.011235,0.0033499,0.0064719,0.0077076,-0.0071337,-0.0094406,0.010337,0.014478,0.0041616,-0.00034393
"M701.418T1268.098",0.022097,0.0076977,0.0083158,-0.021936,-0.011766,0.0019087,-0.022055,-0.016074,0.008737,-0.00074121,0.0056887,0.0093352,-0.0079306,0.029123,0.0046574,-0.00011354
"M1013.583T1248.821",0.027163,-0.019845,-0.0024594,-0.0087781,-0.0096289,-0.0001324,-0.0086026,-0.0076552,0.0076458,0.0015617,-0.0010653,-0.0058377,0.0073033,0.0086202,-0.0019967,0.00063414
"M968.577T1247.645",0.022204,-0.0087147,0.0086182,-0.0071445,-0.021264,0.0010852,-0.0066979,-0.0071112,0.0070119,-0.004125,0.010813,-0.011851,0.0039459,0.0067157,-0.013686,0.0046932
"M559.618T1204.987",0.020665,-0.021859,-0.011585,-0.012071,-0.030746,-0.025246,-0.030659,0.0019863,0.033263,0.029204,0.017238,0.010711,-0.037173,-0.014672,0.030038,-0.0074178
"M923.451T1327.672",0.022206,0.0010299,0.0050115,-0.008022,-0.014492,0.011163,-0.015907,-0.014043,0.00024303,0.0054908,0.010738,-0.00071322,0.0021366,0.012324,-0.0032593,0.0052336
"M917.49T1360.024",0.023457,0.0040896,0.0063869,-0.01824,-0.019136,0.0015004,-0.015884,-0.0081131,0.011353,0.0056259,0.0059174,-0.00097433,-0.0024337,0.0065706,0.008387,-0.0018031
"M875.467T1241.171",0.029567,-0.0063322,-0.012034,-0.0091927,0.00023358,0.0029631,0.0062816,-0.011667,0.0069411,0.0033325,-0.0062725,-0.0054552,-0.0068467,0.022357,0.0026697,-0.0007899
"M1085.513T1348.399",0.030707,-0.017332,-0.0046514,0.0017397,-0.0073041,0.00069628,0.0018291,-0.0020902,0.0054896,0.00060196,-0.010229,0.00047233,-0.0023394,0.0027741,-3.2945e-05,0.0016484
"M466.978T106.664",0.021553,0.0043237,0.0055168,-0.0062741,0.0048244,0.0059932,-0.013188,-0.0039789,0.008952,-0.0024786,0.0070541,-0.0027877,0.029417,-0.0021528,-0.00068756,0.0029283
"M851.519T1328.051",0.029043,-0.021466,-0.0072875,-0.014676,-0.010741,-0.002595,-0.0099007,-0.012068,0.0062253,0.0047645,-0.0018223,-0.010083,0.0022525,0.013402,0.0010183,0.0041453
"M861.451T1062.153",0.018458,0.011958,0.011458,-0.027587,0.01055,0.0048212,-0.018016,-0.0062059,0.0010676,0.017672,0.022231,-0.015575,0.021976,0.018363,-0.0037357,-0.0011326
"M559.975T1203.448",0.02235,-0.0081467,0.0041815,-0.0021755,-0.012859,-0.028177,-0.01511,-0.029528,0.0035912,0.011154,-0.014188,-0.014106,-0.065103,-0.01296,0.019238,0.005407
"M545.297T1155.639",0.015923,-0.016471,-0.0002529,0.01267,-0.0066115,-0.0035588,-0.017006,0.017585,-0.0082218,0.0090164,-0.047752,-0.005378,-0.01324,-0.011843,-0.031887,9.0245e-05
"M1059.606T1053.565",0.0077611,-0.038503,-0.018682,0.028305,-0.050465,0.014567,-0.012296,0.0069588,-0.017066,0.0028594,0.018947,-0.11733,0.026205,-0.049268,0.081355,0.0057087
"M1096.195T893.605",0.024419,0.011395,-0.0048309,-0.021883,0.0031312,0.018205,0.030455,-0.010628,-0.00084328,0.0015132,-0.012115,0.0097294,0.022942,0.03941,0.041868,-0.00082021
"M180.067T785.272",0.0232,0.010727,0.006342,0.0052907,0.035218,-0.0011328,-0.029604,-0.023383,-0.026108,-0.015362,0.0077139,-0.0030258,0.049066,0.019465,0.02419,0.0061237
"M849.51T1359.918",0.022956,-0.00010257,0.0065125,-0.014796,-0.019395,0.001613,-0.014925,-0.0054148,0.003933,0.0058716,0.0015626,-0.010894,0.0087411,0.013588,-0.001581,-0.00059431
"M633.053T106.254",0.022675,0.00050577,0.0025623,0.00072315,-0.0040641,0.0051014,-0.016204,0.004251,0.00019925,-0.0053561,0.00059113,-0.0096477,0.01103,-0.00347,0.0013522,-0.00099204
"M1014.89T1344.191",0.029861,-0.014492,-0.005305,-0.001303,-0.0077644,-0.0094899,0.0076457,-0.0095605,-0.0010139,-0.0022893,0.00090304,-0.0008088,0.0048772,0.0065432,0.0024603,0.0023567
"M473.173T806.642",0.024722,0.010326,-0.009521,-0.0044246,-0.012589,0.017601,-0.024703,-0.012,0.0078814,0.0088036,0.025487,-0.010049,-0.0017328,-0.00086101,0.045775,0.0016217
"M1269.507T907.7",0.028492,-0.0087413,-0.012738,-0.034875,0.0040443,0.0029803,0.0061204,-0.010421,-0.0076899,0.00079761,-0.0094678,0.0043448,0.014902,0.017201,0.0054223,0.0015241
"M985.574T1225.672",0.030164,-0.02074,-0.014117,0.00028447,-0.0099173,-0.0011971,-0.0028443,-0.010195,0.004441,-0.0049963,-0.0078252,0.001262,0.0044616,0.0017448,-0.017857,-0.0011538
"M1030.586T1195.906",0.026997,-0.01247,-0.0045934,-0.0073467,-0.0098336,-0.0013702,-0.001416,-0.0041608,0.0093044,3.1818e-05,0.00037615,-0.0036,0.0040273,0.006266,-0.0073061,-5.7904e-05
"M1097.549T894.492",0.028802,-0.0040068,-0.0072688,-0.024524,0.014847,-0.00086881,-0.0048562,-0.0015998,0.0013402,-0.0053676,-0.0055221,-0.0075731,-0.0010668,0.01515,0.0064181,-0.0059053
