"","comp 1","comp 2","comp 3","comp 4","comp 5"
"M445.095T115.802",-0.51537,0,0,0,0
"M643.245T813.714",-0.46724,0,0,0,0
"M769.419T945.253",-0.45986,0,0,0,0
"M703.247T844.715",-0.45152,0,0,0,0
"M581.283T805.632",-0.21556,0,0,0,0
"M881.515T1351.787",-0.15674,0,0,0,0
"M617.247T870.852",-0.1457,0,0,0,0
"M708.241T861.396",-0.083125,0,0,0,0
"M375.104T216.821",-0.038844,0,0,0,0
"M657.109T89.959",-0.0075544,0,0,0,0
"M238.069T801.926",0,0.54438,0,0,0
"M433.122T384.02",0,0.50304,0,0,0
"M469.019T418.674",0,0.46811,0,0,0
"M204.085T413.719",0,0.26077,0,0,0
"M401.027T415.826",0,0.23965,0,0,0
"M684.191T618.708",0,0.23481,0,0,0
"M339.058T415.891",0,0.17476,0,0,0
"M516.992T825.04",0,0.090709,0,0,0
"M299.07T414.239",0,0.084067,0,0,0
"M455.021T825.04",0,0.071227,0,0,0
"M375.07T470.729",0,0,0,0,0
"M562.053T1195.871",0,0,0,0,0
"M943.502T1194.413",0,0,0,0,0
"M1096.565T894.076",0,0,0,0,0
"M354.093T469.671",0,0,0,0,0
"M437.041T470.729",0,0,0,0,0
"M444.996T106.721",0,0,0,0,0
"M808.155T1200.534",0,0,0,0,0
"M631.151T795.429",0,0,0,0,0
"M757.441T1176.453",0,0,0,0,0
"M967.577T1245.908",0,0,0,0,0
"M511.24T944.134",0,0,0,0,0
"M557.187T899.436",0,0,0,0,0
"M1029.931T1194.947",0,0,0,0,0
"M563.252T904.514",0,0,0,0,0
"M337.092T724.593",0,0,0,0,0
"M758.447T1173.243",0,0,0,0,0
"M852.114T1329.753",0,0,0,0,0
"M854.516T1290.85",0,0,0,0,0
"M1013.86T1346.532",0,0,0,0,0
"M852.067T1329.714",0,0,0,0,0
"M627.643T1193.32",0,0,0,0,0
"M941.508T1318.851",0,0,0,0,0
"M701.418T1268.098",0,0,0,0,0
"M1013.583T1248.821",0,0,0,0,0
"M968.577T1247.645",0,0,0,0,0
"M559.618T1204.987",0,0,0,0,0
"M923.451T1327.672",0,0,0,0,0
"M917.49T1360.024",0,0,0,0,0
"M875.467T1241.171",0,0,0,0,0
"M1085.513T1348.399",0,0,0,0,0
"M466.978T106.664",0,0,0,0,0
"M851.519T1328.051",0,0,0,0,0
"M861.451T1062.153",0,0,0,0,0
"M559.975T1203.448",0,0,0,0,0
"M545.297T1155.639",0,0,0,0,0
"M1059.606T1053.565",0,0,0.53165,0,0
"M1096.195T893.605",0,0,0,0,0
"M180.067T785.272",0,0,0,0,0
"M849.51T1359.918",0,0,0,0,0
"M633.053T106.254",0,0,0,0,0
"M1014.89T1344.191",0,0,0,0,0
"M473.173T806.642",0,0,0,0,0
"M1269.507T907.7",0,0,0,0,0
"M985.574T1225.672",0,0,0,0,0
"M1030.586T1195.906",0,0,0,0,0
"M1097.549T894.492",0,0,0,0,0
"M901.267T743.636",0,0,0,0,0
"M779.462T1401.836",0,0,0,0,0
"M917.503T1359.918",0,0,0,0,0
"M851.912T1326.892",0,0,0,0,0
"M705.267T1050.095",0,0,0,0,0
"M983.568T1252.43",0,0,0,0,0
"M457.19T799.683",0,0,0,0,0
"M846.46T1187.467",0,0,0,0,0
"M821.506T1329.663",0,0,0,0,0
"M347.184T1141.626",0,0,0,0,0
"M768.448T1315.096",0,0,0,0,0
"M531.078T845.355",0,0,0,0,0
"M309.118T727.508",0,0,0,0,0
"M345.183T1137.887",0,0,0,0,0
"M1076.649T1193.389",0,0,0,0,0
"M919.515T1328.715",0,0,0,0,0
"M277.217T1196.341",0,0,0,0,0
"M655.999T943.196",0,0,0,0,0
"M565.05T98.887",0,0,0,0,0
"M277.129T811.716",0,0,0,0,0
"M655.038T106.771",0,0,0,0,0
