"","comp 1","comp 2","comp 3","comp 4","comp 5"
"X53.Blank.neg",4.1838,1.2462,-3.3525,2.6028,3.1937
"X10.QC1.neg",2.8155,1.4113,-1.7734,-0.17626,-1.787
"X24.QC.2.neg",1.9499,1.4624,-0.49596,-0.035686,-1.9209
"X39.QC3.neg",1.5476,1.8781,-0.18342,-0.86266,-1.8043
"X02.C12.2.neg",1.1201,-4.7734,0.0065472,-0.20391,1.2425
"X18.C12.3.neg",2.5924,-2.848,0.35622,-2.4971,-2.6442
"X33.C12.4.neg",0.85735,-4.2329,1.1768,-1.5701,0.40602
"X12.D12.2.neg",0.3751,3.4122,2.0058,-1.5572,-1.6166
"X28.D12.3.neg",0.11417,0.93972,2.966,-0.78752,2.8739
"X52.D12.4.neg",0.18307,3.0127,2.1954,-0.95286,3.3442
"X05.F12.4.neg",-2.3445,-0.57604,-1.527,-0.13501,1.4779
"X22.F12.1.neg",-4.9937,0.85136,-1.6117,-0.90868,-1.2378
"X38.F12.2.neg",-3.239,0.60373,-1.856,-0.67784,-0.59205
"X43.F12.3.neg",-2.7306,-0.82299,-0.95961,-1.518,1.6312
"X32.X12.2.neg",-1.0275,-0.29675,2.2921,4.6243,-2.1107
"X41.X12.1.neg",-1.4037,-1.2676,0.76084,4.6558,-0.45572
