"",f.value,p.value,-log10(p),FDR,Fisher's LSD (top 1000)
M467.051T320.771,12.019,0.00018482,3.7333,0.10496,First-tp - Other; Second-tp - Other
M771.203T760.252,11.897,0.00019717,3.7052,0.10496,First-tp - Other; Second-tp - Other
M511.046T749.487,11.028,0.00031559,3.5009,0.10496,First-tp - Other; Second-tp - Other
M1009.554T1308.282,10.014,0.00055781,3.2535,0.10496,First-tp - Other; Second-tp - Other
M159.978T67.84,9.7746,0.00064062,3.1934,0.10496,First-tp - Other; Second-tp - Other
M553.164T782.325,8.8242,0.0011247,2.949,0.10496,First-tp - Other; Second-tp - Other
M485.178T783.442,8.7334,0.0011883,2.9251,0.10496,First-tp - Other; Second-tp - Other
M354.093T750.969,8.6937,0.0012173,2.9146,0.10496,First-tp - Other; Second-tp - Other
M415.167T872.593,8.6565,0.0012452,2.9048,0.10496,First-tp - Other; Second-tp - Other
M647.255T794.469,8.5434,0.0013343,2.8748,0.10496,Second-tp - First-tp; Second-tp - Other
M728.286T863.521,8.2871,0.0015625,2.8062,0.10496,First-tp - Other; Second-tp - First-tp; Second-tp - Other
M563.307T901.93,8.2263,0.0016225,2.7898,0.10496,First-tp - Other; Second-tp - Other
M805.515T1328.497,8.1651,0.0016855,2.7733,0.10496,First-tp - Other; Second-tp - Other
M473.173T806.642,8.0478,0.0018137,2.7414,0.10496,First-tp - Other; Second-tp - Other
M852.114T1329.753,7.9857,0.0018857,2.7245,0.10496,First-tp - Other; Second-tp - Other
M1009.607T1323.757,7.858,0.0020438,2.6896,0.10496,First-tp - Other; Second-tp - Other
M1014.009T1346.556,7.8519,0.0020517,2.6879,0.10496,First-tp - Other; Second-tp - Other
M341.275T746.97,7.8259,0.0020857,2.6807,0.10496,First-tp - Other; Second-tp - Other
M1333.355T942.499,7.6644,0.0023111,2.6362,0.10496,First-tp - Other; Second-tp - Other
M361.512T316.902,7.6272,0.0023667,2.6259,0.10496,First-tp - Other; Second-tp - Other
M675.158T785.506,7.5692,0.0024562,2.6097,0.10496,First-tp - Other; Second-tp - Other
M221.066T891.624,7.564,0.0024644,2.6083,0.10496,First-tp - Other; Second-tp - Other
M433.661T789.942,7.5264,0.0025245,2.5978,0.10496,First-tp - Other; Second-tp - First-tp; Second-tp - Other
M999.727T1404.686,7.5029,0.0025629,2.5913,0.10496,First-tp - Other; Second-tp - Other
M377.193T1206.958,7.4172,0.0027084,2.5673,0.10496,First-tp - Other; Second-tp - Other
M483.183T857.732,7.3313,0.0028631,2.5432,0.10496,First-tp - Other; Second-tp - Other
M983.568T1252.43,7.3263,0.0028723,2.5418,0.10496,First-tp - Other; Second-tp - First-tp; Second-tp - Other
M397.075T138.684,7.2944,0.0029325,2.5328,0.10496,First-tp - Other; Second-tp - Other
M656.69T947.865,7.2774,0.0029649,2.528,0.10496,First-tp - Other; Second-tp - Other
M727.283T864.823,7.2576,0.0030035,2.5224,0.10496,First-tp - Other; Second-tp - Other
M559.066T758.189,7.1734,0.0031729,2.4985,0.10496,First-tp - Other; Second-tp - Other
M346.113T762.425,7.1647,0.0031908,2.4961,0.10496,First-tp - Other; Second-tp - Other
M655.038T106.771,7.1595,0.0032018,2.4946,0.10496,First-tp - Other; Second-tp - Other
M435.217T805.716,7.1291,0.0032661,2.486,0.10496,Second-tp - First-tp; Second-tp - Other
M869.904T1310.035,7.1217,0.0032819,2.4839,0.10496,First-tp - Other; Second-tp - Other
M997.89T1398.741,7.118,0.0032898,2.4828,0.10496,First-tp - Other; Second-tp - Other
M1045.593T1289.364,7.096,0.0033375,2.4766,0.10496,First-tp - Other; Second-tp - Other
M799.289T814.54,7.0699,0.0033953,2.4691,0.10496,Second-tp - First-tp; Second-tp - Other
M316.508T323.984,7.0286,0.0034886,2.4574,0.10496,First-tp - Other; Second-tp - Other
M836.743T1479.398,7.0128,0.0035251,2.4528,0.10496,First-tp - Other; Second-tp - Other
M459.959T106.348,7.0012,0.0035521,2.4495,0.10496,First-tp - Other; Second-tp - Other
M1047.564T1087.659,6.9116,0.0037684,2.4238,0.10496,First-tp - Other; Second-tp - Other
M501.195T803.697,6.8859,0.0038331,2.4165,0.10496,First-tp - Other; Second-tp - Other
M868.517T1202.592,6.8808,0.003846,2.415,0.10496,First-tp - Other; Second-tp - Other
M470.098T771.956,6.868,0.0038787,2.4113,0.10496,First-tp - Other; Second-tp - Other
M991.585T1378.099,6.8062,0.0040412,2.3935,0.10496,First-tp - Other; Second-tp - Other
M1015.588T1248.088,6.7783,0.004117,2.3854,0.10496,First-tp - Other; Second-tp - Other
M847.188T757.14,6.7733,0.0041307,2.384,0.10496,First-tp - Other; Second-tp - Other
M581.318T900.123,6.7569,0.004176,2.3792,0.10496,First-tp - Other; Second-tp - Other
M331.103T255.151,6.7548,0.004182,2.3786,0.10496,First-tp - Other; Second-tp - Other
M920.512T1327.64,6.7489,0.0041984,2.3769,0.10496,First-tp - Other; Second-tp - Other
M307.192T1165.654,6.7259,0.0042633,2.3703,0.10496,First-tp - Other; Second-tp - Other
M419.228T901.259,6.7242,0.0042682,2.3698,0.10496,First-tp - Other; Second-tp - Other
M723.577T942.094,6.7186,0.004284,2.3681,0.10496,First-tp - Other; Second-tp - Other
M361.481T320.767,6.6946,0.0043535,2.3612,0.10496,First-tp - Other; Second-tp - Other
M457.207T887.727,6.6788,0.0043995,2.3566,0.10496,Second-tp - First-tp; Second-tp - Other
M1100.582T1225.322,6.6707,0.0044237,2.3542,0.10496,First-tp - Other; Second-tp - Other
M851.519T1328.051,6.6589,0.0044588,2.3508,0.10496,First-tp - Other; Second-tp - Other
M985.574T1225.672,6.6478,0.0044918,2.3476,0.10496,First-tp - Other; Second-tp - Other
M698.988T986.183,6.6245,0.0045627,2.3408,0.10496,First-tp - Other; Second-tp - Other
M485.199T845.365,6.5911,0.004666,2.3311,0.10496,Second-tp - First-tp; Second-tp - Other
M997.575T1403.78,6.5655,0.0047472,2.3236,0.10496,First-tp - Other; Second-tp - Other
M469.171T990.382,6.5601,0.0047645,2.322,0.10496,Second-tp - First-tp; Second-tp - Other
M418.218T902.438,6.5517,0.0047915,2.3195,0.10496,Second-tp - First-tp; Second-tp - Other
M883.503T1155.003,6.5512,0.004793,2.3194,0.10496,First-tp - Other; Second-tp - Other
M581.283T805.632,6.542,0.0048229,2.3167,0.10496,Second-tp - First-tp; Second-tp - Other
M309.206T1205.9,6.5393,0.0048316,2.3159,0.10496,First-tp - Other; Second-tp - Other
M437.29T1178.675,6.5352,0.0048449,2.3147,0.10496,Other - First-tp; Second-tp - First-tp
M443.191T791.98,6.5223,0.0048874,2.3109,0.10496,First-tp - Other; Second-tp - Other
M867.513T1306.189,6.5189,0.0048986,2.3099,0.10496,First-tp - Other; Second-tp - Other
M535.313T1217.431,6.5153,0.0049104,2.3089,0.10496,First-tp - Other; Second-tp - Other
M919.515T1328.715,6.4985,0.0049663,2.304,0.10496,First-tp - Other; Second-tp - Other
M1030.586T1195.906,6.4879,0.005002,2.3009,0.10496,First-tp - Other; Second-tp - Other
M511.24T944.134,6.4781,0.0050354,2.298,0.10496,First-tp - Other; Second-tp - Other
M1013.583T1248.821,6.4748,0.0050464,2.297,0.10496,First-tp - Other; Second-tp - Other
M392.288T1179.554,6.4697,0.005064,2.2955,0.10496,Other - First-tp; Other - Second-tp
M1031.994T1223.73,6.4675,0.0050716,2.2949,0.10496,First-tp - Other; Second-tp - Other
M807.166T938.699,6.4378,0.0051746,2.2861,0.10496,First-tp - Other; Second-tp - Other
M849.51T1359.918,6.4339,0.0051881,2.285,0.10496,First-tp - Other; Second-tp - Other
M466.978T106.664,6.4315,0.0051965,2.2843,0.10496,First-tp - Other; Second-tp - Other
M649.302T900.549,6.423,0.0052265,2.2818,0.10496,First-tp - Other; Second-tp - Other
M314.995T91.028,6.4178,0.0052452,2.2802,0.10496,First-tp - Other; Second-tp - Other
M865.489T1291.829,6.4073,0.0052824,2.2772,0.10496,First-tp - Other; Second-tp - Other
M705.267T1050.095,6.397,0.0053196,2.2741,0.10496,First-tp - Other; Second-tp - Other
M1013.97T1244.591,6.3964,0.0053216,2.274,0.10496,First-tp - Other; Second-tp - Other
M967.577T1245.908,6.3933,0.0053329,2.273,0.10496,First-tp - Other; Second-tp - Other
M402.996T97.474,6.3909,0.0053415,2.2723,0.10496,First-tp - Other; Second-tp - Other
M357.576T759.445,6.3797,0.0053823,2.269,0.10496,First-tp - Other; Second-tp - Other
M1015.586T1347.819,6.3774,0.0053909,2.2683,0.10496,First-tp - Other; Second-tp - Other
M487.255T1194.268,6.3711,0.0054137,2.2665,0.10496,First-tp - Other; Second-tp - Other
M1144.448T942.538,6.3403,0.0055285,2.2574,0.10496,Second-tp - First-tp; Second-tp - Other
M461.152T871.999,6.336,0.0055445,2.2561,0.10496,Second-tp - First-tp; Second-tp - Other
M533.158T89.204,6.319,0.0056091,2.2511,0.10496,First-tp - Other; Second-tp - Other
M836.522T1479.692,6.3105,0.0056417,2.2486,0.10496,First-tp - Other; Second-tp - Other
M341.233T1044.4,6.3101,0.0056432,2.2485,0.10496,First-tp - Other; Second-tp - Other
M451.007T107.467,6.308,0.0056514,2.2478,0.10496,First-tp - Other; Second-tp - Other
M455.193T892.238,6.3051,0.0056627,2.247,0.10496,Second-tp - First-tp; Second-tp - Other
M1013.583T1347.533,6.3038,0.0056676,2.2466,0.10496,First-tp - Other; Second-tp - Other
M575.926T1053.198,6.282,0.0057527,2.2401,0.10496,First-tp - Other; Second-tp - Other
M751.392T1268.098,6.2745,0.0057819,2.2379,0.10496,First-tp - Other; Second-tp - Other
M1097.514T1402.931,6.2637,0.0058249,2.2347,0.10496,First-tp - Other; Second-tp - Other
M443.165T1058.069,6.2453,0.0058987,2.2292,0.10496,First-tp - Other; Second-tp - Other
M917.49T1360.024,6.2436,0.0059054,2.2287,0.10496,First-tp - Other; Second-tp - Other
M1014.585T1348.471,6.2298,0.0059613,2.2247,0.10496,First-tp - Other; Second-tp - Other
M437.065T776.272,6.2184,0.0060082,2.2213,0.10496,First-tp - Other; Second-tp - Other
M403.16T816.749,6.2166,0.0060153,2.2207,0.10496,First-tp - Other; Second-tp - Other
M1033.603T1229.397,6.2126,0.006032,2.2195,0.10496,First-tp - Other; Second-tp - Other
M946.478T931.796,6.2118,0.0060355,2.2193,0.10496,Second-tp - First-tp; Second-tp - Other
M537.695T1290.37,6.2014,0.0060784,2.2162,0.10496,First-tp - Other; Second-tp - Other
M851.794T1356.146,6.1955,0.0061029,2.2145,0.10496,First-tp - Other; Second-tp - Other
M852.067T1329.714,6.1865,0.0061407,2.2118,0.10496,First-tp - Other; Second-tp - Other
M696.291T1183.733,6.1688,0.0062158,2.2065,0.10496,First-tp - Other; Second-tp - Other
M1014.043T1346.26,6.1674,0.006222,2.2061,0.10496,First-tp - Other; Second-tp - Other
M415.233T929.494,6.1647,0.0062336,2.2053,0.10496,First-tp - Other; Second-tp - Other
M633.053T106.254,6.1629,0.006241,2.2047,0.10496,First-tp - Other; Second-tp - Other
M1203.469T868.759,6.1611,0.006249,2.2042,0.10496,First-tp - Other; Second-tp - Other
M784.154T761.471,6.1593,0.0062564,2.2037,0.10496,First-tp - Other; Second-tp - Other
M941.508T1318.851,6.1571,0.006266,2.203,0.10496,First-tp - Other; Second-tp - Other
M431.759T791.911,6.1548,0.0062759,2.2023,0.10496,First-tp - Other; Second-tp - Other
M573.017T749.518,6.1486,0.0063027,2.2005,0.10496,First-tp - Other; Second-tp - Other
M649.026T106.128,6.1288,0.0063889,2.1946,0.10496,First-tp - Other; Second-tp - Other
M867.515T1204.699,6.1253,0.0064044,2.1935,0.10496,First-tp - Other; Second-tp - Other
M563.052T1148.286,6.1177,0.0064383,2.1912,0.10496,First-tp - Other; Second-tp - Other
M445.135T747.805,6.1125,0.0064614,2.1897,0.10496,First-tp - Other; Second-tp - Other
M1014.585T1248.122,6.1041,0.0064988,2.1872,0.10496,First-tp - Other; Second-tp - Other
M701.195T940.853,6.0994,0.0065195,2.1858,0.10496,First-tp - Other; Second-tp - Other
M455.098T785.732,6.0944,0.0065422,2.1843,0.10496,First-tp - Other; Second-tp - Other
M576.012T1055.395,6.0699,0.0066538,2.1769,0.10496,First-tp - Other; Second-tp - Other
M483.209T897.853,6.0631,0.0066851,2.1749,0.10496,First-tp - Other; Second-tp - Other
M563.252T904.514,6.0623,0.0066886,2.1747,0.10496,First-tp - Other; Second-tp - Other
M355.571T782.72,6.0205,0.0068844,2.1621,0.10496,First-tp - Other; Second-tp - Other
M265.093T134.502,6.0058,0.006955,2.1577,0.10496,First-tp - Other; Second-tp - Other
M465.141T849.089,6.0026,0.0069704,2.1567,0.10496,First-tp - Other; Second-tp - Other
M225.002T107.866,5.9889,0.0070368,2.1526,0.10496,First-tp - Other; Second-tp - Other
M1395.427T994.378,5.9862,0.0070498,2.1518,0.10496,First-tp - Other; Second-tp - Other
M327.108T784.235,5.9848,0.0070569,2.1514,0.10496,First-tp - Other; Second-tp - Other
M593.306T1591.72,5.9844,0.0070588,2.1513,0.10496,Other - First-tp
M1048.594T1092.833,5.9823,0.0070689,2.1507,0.10496,First-tp - Other; Second-tp - Other
M1085.513T1348.399,5.967,0.0071446,2.146,0.10496,First-tp - Other; Second-tp - Other
M1031.84T1213.333,5.9575,0.0071916,2.1432,0.10496,First-tp - Other; Second-tp - Other
M727.414T1292.189,5.9501,0.0072289,2.1409,0.10496,First-tp - Other; Second-tp - Other
M549.147T750.744,5.9332,0.007314,2.1358,0.10496,First-tp - Other; Second-tp - Other
M244.992T90.87,5.9288,0.0073363,2.1345,0.10496,First-tp - Other; Second-tp - Other
M362.298T315.255,5.9057,0.0074552,2.1275,0.10496,First-tp - Other; Second-tp - Other
M924.454T1327.66,5.8993,0.0074886,2.1256,0.10496,First-tp - Other; Second-tp - Other
M517.099T802.454,5.8992,0.0074892,2.1256,0.10496,First-tp - Other; Second-tp - Other
M605.318T1288.774,5.8802,0.0075887,2.1198,0.10496,First-tp - Other; Second-tp - Other
M349.186T846.471,5.879,0.0075951,2.1195,0.10496,First-tp - Other; Second-tp - Other
M1133.773T914.148,5.8715,0.0076347,2.1172,0.10496,First-tp - Other; Second-tp - Other
M1032.826T1226.065,5.8646,0.0076716,2.1151,0.10496,First-tp - Other; Second-tp - Other
M579.301T894.416,5.8608,0.0076923,2.1139,0.10496,First-tp - Other; Second-tp - Other
M575.798T1046.832,5.8491,0.007755,2.1104,0.10496,First-tp - Other; Second-tp - Other
M724.387T1161.184,5.8404,0.0078022,2.1078,0.10496,First-tp - Other; Second-tp - Other
M469.095T760.602,5.8361,0.007826,2.1065,0.10496,First-tp - Other; Second-tp - Other
M657.266T958.998,5.8329,0.007843,2.1055,0.10496,First-tp - Other; Second-tp - Other
M433.624T805.348,5.8303,0.0078575,2.1047,0.10496,Second-tp - First-tp; Second-tp - Other
M335.137T198.47,5.8227,0.0078996,2.1024,0.10496,First-tp - Other; Second-tp - Other
M231.895T92.025,5.8037,0.0080049,2.0966,0.10496,First-tp - Other; Second-tp - Other
M987.494T1327.158,5.7997,0.0080276,2.0954,0.10496,First-tp - Other; Second-tp - Other
M569.181T807.905,5.7981,0.0080365,2.0949,0.10496,Second-tp - Other
M699.398T1124.853,5.7924,0.0080684,2.0932,0.10496,First-tp - Other; Second-tp - Other
M447.222T1194.448,5.7894,0.0080856,2.0923,0.10496,First-tp - Other; Second-tp - Other
M575.708T1045.732,5.7804,0.0081363,2.0896,0.10496,First-tp - Other; Second-tp - Other
M415.086T168.579,5.7614,0.0082453,2.0838,0.10496,First-tp - Other; Second-tp - Other
M809.433T1339.33,5.7566,0.0082734,2.0823,0.10496,First-tp - Other; Second-tp - Other
M543.282T933.008,5.7531,0.0082937,2.0812,0.10496,First-tp - Other; Second-tp - Other
M591.167T896.642,5.7519,0.0083005,2.0809,0.10496,First-tp - Other; Second-tp - Other
M447.152T782.273,5.7453,0.0083389,2.0789,0.10496,First-tp - Other; Second-tp - Other
M621.037T758.225,5.7444,0.0083442,2.0786,0.10496,First-tp - Other; Second-tp - Other
M333.191T983.058,5.7257,0.0084546,2.0729,0.10496,First-tp - Other; Second-tp - Other
M444.996T106.721,5.7175,0.0085035,2.0704,0.10496,First-tp - Other; Second-tp - Other
M651.317T893.83,5.7172,0.0085052,2.0703,0.10496,First-tp - Other; Second-tp - Other
M206.082T164.917,5.7168,0.0085079,2.0702,0.10496,First-tp - Other; First-tp - Second-tp
M1132.537T923.907,5.7145,0.0085217,2.0695,0.10496,First-tp - Other; Second-tp - Other
M653.691T320.692,5.7109,0.0085428,2.0684,0.10496,First-tp - Other; Second-tp - Other
M415.744T872.34,5.6976,0.0086234,2.0643,0.10496,First-tp - Other; Second-tp - Other
M615.152T88.13,5.6822,0.0087169,2.0596,0.10496,First-tp - Other; Second-tp - Other
M509.218T928.864,5.6721,0.0087793,2.0565,0.10496,First-tp - Other; Second-tp - Other
M204.975T113.721,5.6625,0.0088388,2.0536,0.10496,First-tp - Other; Second-tp - Other
M184.986T90.923,5.6339,0.0090188,2.0449,0.10496,First-tp - Other; Second-tp - Other
M465.105T746.988,5.6319,0.0090316,2.0442,0.10496,First-tp - Other; Second-tp - Other
M768.448T1315.096,5.6281,0.0090557,2.0431,0.10496,First-tp - Other; Second-tp - Other
M1091.545T907.712,5.6249,0.0090764,2.0421,0.10496,First-tp - Other; Second-tp - Other
M344.099T126.621,5.6187,0.0091164,2.0402,0.10496,First-tp - Other; Second-tp - Other
M309.207T1042.166,5.6182,0.0091198,2.04,0.10496,First-tp - Other; Second-tp - Other
M387.02T108.554,5.6156,0.0091363,2.0392,0.10496,First-tp - Other; Second-tp - Other
M399.065T319.722,5.5946,0.0092729,2.0328,0.10496,First-tp - Other; Second-tp - Other
M352.831T96.52,5.5873,0.0093212,2.0305,0.10496,First-tp - Other; Second-tp - Other
M698.005T988.342,5.5678,0.0094503,2.0246,0.10496,First-tp - Other; Second-tp - Other
M311.104T1075.82,5.5643,0.0094738,2.0235,0.10496,Second-tp - First-tp
M523.18T894.843,5.5559,0.0095303,2.0209,0.10496,First-tp - Other; Second-tp - Other
M355.067T660.488,5.553,0.0095498,2.02,0.10496,First-tp - Other; Second-tp - Other
M518.153T824.178,5.5493,0.0095753,2.0188,0.10496,First-tp - Other; Second-tp - Other
M591.303T1064.285,5.5445,0.0096079,2.0174,0.10496,Second-tp - Other
M1099.581T1224.487,5.5279,0.0097217,2.0123,0.10496,First-tp - Other; Second-tp - Other
M553.051T758.396,5.5228,0.0097568,2.0107,0.10496,First-tp - Other; Second-tp - Other
M421.069T767.549,5.5197,0.0097783,2.0097,0.10496,First-tp - Other; Second-tp - Other
M525.195T888.058,5.5057,0.0098761,2.0054,0.10496,First-tp - Other; Second-tp - Other
M575.826T1054.493,5.5025,0.0098985,2.0044,0.10496,First-tp - Other; Second-tp - Other
M806.809T940.953,5.4948,0.0099524,2.0021,0.10496,First-tp - Other; Second-tp - Other
M203.286T106.975,5.4889,0.0099941,2.0003,0.10496,First-tp - Other; Second-tp - Other
M845.458T1184.78,5.4878,0.010002,1.9999,0.10496,First-tp - Other; Second-tp - Other
M603.339T1194.269,5.4871,0.010007,1.9997,0.10496,First-tp - Other; Second-tp - Other
M644.248T900.496,5.4854,0.010019,1.9992,0.10496,Second-tp - First-tp; Second-tp - Other
M653.783T316.318,5.4852,0.010021,1.9991,0.10496,First-tp - Other; Second-tp - Other
M329.088T474.939,5.453,0.010253,1.9891,0.10496,First-tp - Other; Second-tp - Other
M917.503T1359.918,5.4456,0.010307,1.9868,0.10496,First-tp - Other; Second-tp - Other
M481.183T769.795,5.4455,0.010308,1.9868,0.10496,First-tp - Other; Second-tp - Other
M577.137T781.037,5.4346,0.010388,1.9835,0.10496,First-tp - Other; Second-tp - Other
M919.506T1426.463,5.4346,0.010389,1.9834,0.10496,First-tp - Other; Second-tp - Other
M559.124T1193.298,5.4196,0.0105,1.9788,0.10496,First-tp - Other; Second-tp - Other
M567.171T792.05,5.4178,0.010514,1.9782,0.10496,First-tp - Other; Second-tp - Other
M637.331T1596.612,5.415,0.010535,1.9774,0.10496,Other - First-tp; Second-tp - First-tp
M545.298T995.647,5.4147,0.010537,1.9773,0.10496,First-tp - Other; Second-tp - Other
M409.075T744.412,5.406,0.010603,1.9746,0.10496,First-tp - Other; Second-tp - Other
M923.451T1327.672,5.4057,0.010605,1.9745,0.10496,First-tp - Other; Second-tp - Other
M313.093T320.692,5.4042,0.010616,1.974,0.10496,First-tp - Other; Second-tp - Other
M273.038T89.35,5.4036,0.010621,1.9738,0.10496,First-tp - Other; Second-tp - Other
M507.209T930.4,5.3964,0.010675,1.9716,0.10496,First-tp - Other; Second-tp - Other
M621.221T884.304,5.3908,0.010718,1.9699,0.10496,First-tp - Other; Second-tp - Other
M729.216T1004.962,5.3902,0.010723,1.9697,0.10496,First-tp - Other; Second-tp - Other
M811.459T986.188,5.3891,0.010731,1.9693,0.10496,First-tp - Other; Second-tp - Other
M941.462T1306.809,5.3867,0.01075,1.9686,0.10496,First-tp - Other; Second-tp - Other
M524.183T892.811,5.3821,0.010785,1.9672,0.10496,Second-tp - First-tp; Second-tp - Other
M373.167T930.605,5.347,0.01106,1.9563,0.10496,Second-tp - Other
M560.054T1184.801,5.3425,0.011095,1.9549,0.10496,First-tp - Other; Second-tp - Other
M521.224T935.29,5.341,0.011107,1.9544,0.10496,First-tp - Other; Second-tp - Other
M461.223T1572.372,5.3402,0.011113,1.9542,0.10496,Other - First-tp; Second-tp - First-tp
M631.151T795.429,5.3345,0.011159,1.9524,0.10496,Second-tp - First-tp; Second-tp - Other
M575.766T1053.433,5.3285,0.011207,1.9505,0.10496,First-tp - Other; Second-tp - Other
M455.081T704.884,5.3229,0.011252,1.9488,0.10496,First-tp - Other; Second-tp - Other
M451.018T90.59,5.3176,0.011295,1.9471,0.10496,Second-tp - First-tp; Second-tp - Other
M295.104T156.471,5.3071,0.01138,1.9439,0.10496,First-tp - Other; Second-tp - Other
M1095.607T1194.413,5.307,0.011381,1.9438,0.10496,First-tp - Other; Second-tp - Other
M1013.86T1346.532,5.3048,0.011399,1.9431,0.10496,First-tp - Other; Second-tp - Other
M559.895T1194.445,5.283,0.01158,1.9363,0.10496,First-tp - Other; Second-tp - Other
M561.649T1230.897,5.2798,0.011606,1.9353,0.10496,First-tp - Other; Second-tp - Other
M597.052T106.853,5.277,0.01163,1.9344,0.10496,First-tp - Other; Second-tp - Other
M449.202T630.506,5.2729,0.011664,1.9332,0.10496,First-tp - Other; Second-tp - Other
M575.957T1047.31,5.2727,0.011665,1.9331,0.10496,First-tp - Other; Second-tp - Other
M351.085T316.423,5.265,0.01173,1.9307,0.10496,First-tp - Other; Second-tp - Other
M523.315T1240.685,5.2646,0.011734,1.9306,0.10496,First-tp - Other; Second-tp - Other
M689.274T1192.785,5.2586,0.011785,1.9287,0.10496,First-tp - Other; Second-tp - Other
M627.83T1193.411,5.2439,0.01191,1.9241,0.10496,First-tp - Other; Second-tp - Other
M1014.89T1344.191,5.2408,0.011936,1.9231,0.10496,First-tp - Other; Second-tp - Other
M337.538T806.181,5.2352,0.011984,1.9214,0.10496,First-tp - Other; Second-tp - Other
M429.486T320.767,5.2341,0.011994,1.921,0.10496,First-tp - Other; Second-tp - Other
M359.098T671.316,5.2296,0.012033,1.9196,0.10496,First-tp - Other; Second-tp - Other
M353.461T751.667,5.229,0.012038,1.9195,0.10496,First-tp - Other; Second-tp - Other
M1395.715T983.057,5.2222,0.012097,1.9173,0.10496,Second-tp - First-tp; Second-tp - Other
M357.108T784.337,5.2109,0.012196,1.9138,0.10496,First-tp - Other; Second-tp - Other
M854.516T1290.85,5.2069,0.012232,1.9125,0.10496,First-tp - Other; Second-tp - Other
M697.753T1005.082,5.2062,0.012238,1.9123,0.10496,First-tp - Other; Second-tp - Other
M399.165T851.906,5.201,0.012283,1.9107,0.10496,First-tp - Other; Second-tp - Other
M393.188T983.065,5.1922,0.012362,1.9079,0.10496,First-tp - Other; Second-tp - Other
M321.17T1088.358,5.1808,0.012464,1.9043,0.10496,First-tp - Other; Second-tp - Other
M621.052T106.9,5.1775,0.012494,1.9033,0.10496,First-tp - Other; Second-tp - Other
M561.985T1245.624,5.1765,0.012503,1.903,0.10496,First-tp - Other; Second-tp - Other
M643.039T106.784,5.1762,0.012506,1.9029,0.10496,First-tp - Other; Second-tp - Other
M268.959T125.12,5.1724,0.01254,1.9017,0.10496,First-tp - Other; Second-tp - Other
M563.233T790.03,5.1672,0.012587,1.9001,0.10496,First-tp - Other; Second-tp - Other
M997.975T1403.846,5.1618,0.012637,1.8984,0.10496,First-tp - Other; Second-tp - Other
M417.498T853.501,5.1596,0.012657,1.8977,0.10496,Second-tp - Other
M617.133T750.744,5.1452,0.012789,1.8932,0.105,Second-tp - Other
M286.972T107.919,5.1436,0.012804,1.8926,0.105,First-tp - Other; Second-tp - Other
M593.947T757.746,5.1368,0.012867,1.8905,0.105,First-tp - Other; Second-tp - Other
M393.176T847.594,5.1287,0.012943,1.888,0.105,First-tp - Other; Second-tp - Other
M551.272T837.928,5.1177,0.013047,1.8845,0.105,First-tp - Other; Second-tp - Other
M554.347T1333.324,5.115,0.013072,1.8837,0.105,First-tp - Other; Second-tp - Other
M456.197T892.811,5.1144,0.013079,1.8834,0.105,Second-tp - Other
M812.842T69.273,5.1117,0.013104,1.8826,0.105,Second-tp - Other
M851.912T1326.892,5.11,0.01312,1.8821,0.105,First-tp - Other; Second-tp - Other
M322.969T105.104,5.1075,0.013143,1.8813,0.105,First-tp - Other; Second-tp - Other
M354.093T469.671,5.0975,0.01324,1.8781,0.1053,First-tp - Other; Second-tp - Other
M655.873T943.419,5.0936,0.013277,1.8769,0.1053,First-tp - Other; Second-tp - Other
M601.172T845.875,5.0839,0.013371,1.8738,0.10538,First-tp - Other; Second-tp - Other
M419.115T799.29,5.0779,0.01343,1.8719,0.10538,First-tp - Other; Second-tp - Other
M359.061T194.361,5.0776,0.013433,1.8718,0.10538,First-tp - Other; Second-tp - Other
M419.218T842.905,5.0721,0.013486,1.8701,0.10542,Second-tp - First-tp; Second-tp - Other
M562.689T1149.325,5.0533,0.013672,1.8642,0.1057,First-tp - Other; Second-tp - Other
M1069.501T1402.821,5.0524,0.01368,1.8639,0.1057,First-tp - Other; Second-tp - Other
M633.074T312.26,5.0418,0.013786,1.8606,0.1057,First-tp - Other; Second-tp - Other
M451.218T291.531,5.0399,0.013806,1.8599,0.1057,First-tp - Other; Second-tp - Other
M487.212T857.117,5.0394,0.013811,1.8598,0.1057,Second-tp - Other
M293.52T1197.459,5.0392,0.013813,1.8597,0.1057,First-tp - Other; Second-tp - Other
M541.046T1246.429,5.031,0.013895,1.8571,0.10596,First-tp - Other; Second-tp - Other
M485.063T759.194,5.0214,0.013993,1.8541,0.1062,Second-tp - Other
