"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30"
"M375.07T470.729",0.027038,0.006906,-0.0027574,0.010155,-0.011962,0.0061375,-0.01332,-0.02227,-0.0023335,-0.005017,0.012022,-0.0079662,-0.008746,-0.0045051,-0.0029752,-0.011075,-0.0038014,-0.0053107,0.002269,-0.0096495,-0.0040423,0.0034628,0.00076929,0.0011289,0.026687,0.0069947,0.0072867,-0.017879,0.00162,-0.10022
"M562.053T1195.871",0.020518,-0.0097086,-0.0093664,0.017368,0.013763,0.0088948,-0.013382,0.0036538,-0.021997,-0.0032013,0.0048527,-0.010302,0.0080764,-0.0043731,-0.0085262,0.0059797,3.6642e-05,-0.0083886,-0.010572,-0.00024723,-0.00029399,-0.014223,-0.0081433,-0.0097705,0.0041268,0.021789,0.0077489,-0.030854,0.00034633,0.013852
"M943.502T1194.413",0.020192,-0.013849,-0.0077908,0.010396,0.0078601,0.01842,-0.0065753,2.9744e-05,-0.00040557,0.012753,0.0042746,-0.032494,0.019831,0.00045176,-0.0069389,0.0037853,-0.0058074,0.00061638,0.0020982,0.010971,-0.0063973,0.0038043,-0.030418,0.0041542,-0.017557,0.00030906,0.0021282,0.011405,0.0078614,-0.077081
"M1096.565T894.076",0.01663,-0.0019943,0.011461,0.037166,0.019403,0.0072566,0.059985,0.002909,0.04314,-0.01066,0.075616,-0.043713,-0.0081601,0.017277,-0.068983,0.0070625,0.0033886,-0.0033782,-0.0051966,0.025267,0.0039573,-0.036784,0.010893,0.020977,-0.037289,0.014311,0.0042355,0.0025763,0.0066547,0.19137
"M354.093T469.671",0.02858,0.0045846,-0.012962,0.0091955,-0.015678,0.0025332,-0.012351,-0.020268,-0.0015764,-0.0062788,0.012952,-0.008651,-0.010218,-0.0017209,-0.00093453,-0.0073827,-0.0054256,-0.003667,0.0031241,-0.0089222,-0.0026864,0.0096868,0.0055037,0.0057862,0.022871,0.0056306,0.0088164,-0.014859,-0.0023824,0.033363
"M437.041T470.729",0.021448,0.010759,0.026521,0.017478,-0.0010445,0.018709,-0.02119,-0.021456,-0.0093389,0.0046327,0.0079547,-0.010493,-0.0095716,-0.0058743,-0.006293,-0.0089851,0.0040288,-0.0053087,0.010217,-0.0044428,-0.0032754,0.0063632,0.0047439,0.0016457,0.016869,0.0075366,0.0095319,-0.02033,0.0023131,0.46742
"M444.996T106.721",0.022114,-0.012299,0.0021018,0.022152,-0.0042037,0.0088822,-0.014234,-0.0053425,-0.00022309,0.020395,-0.00062815,-0.0039641,0.0095596,0.0029868,-0.0044125,0.0061868,0.0064822,-0.014441,-0.020486,-0.0016685,0.0064655,-0.022241,0.0062383,-0.021294,0.0033414,0.011401,0.010645,0.0033311,-0.0004176,0.15186
"M808.155T1200.534",0.015275,-0.021858,-0.037319,0.023653,0.023375,-0.0047814,-0.019914,0.03206,-0.013531,-0.023469,0.040353,-0.022351,0.026425,-0.012234,-0.019578,0.0062083,-0.012179,-0.013785,-0.0084502,0.011459,0.030713,0.031176,-0.010787,0.014729,0.007114,0.0049824,-0.005584,0.019106,-0.0027402,-0.14521
"M631.151T795.429",0.020526,0.0028841,0.018914,0.012548,-0.010009,0.0096848,-0.00144,-0.022355,0.0075291,-0.027218,-0.027442,-0.0049861,-0.0048719,0.0068971,-0.0053961,-0.0039106,-0.010344,-0.017777,0.0088493,0.011748,0.021808,0.0051354,-0.0037551,0.0054506,0.0020364,0.014901,-0.00083391,0.00060649,0.0052669,-0.058668
"M757.441T1176.453",0.022446,0.0075303,-0.02286,0.029481,-0.0057848,-0.011876,0.014601,-0.016191,0.0077202,0.004636,-0.014937,-0.0098749,-0.010146,0.0061379,-0.0081818,-0.01062,0.03226,-0.011613,-0.0037603,-0.037027,-0.027871,-0.0034246,-0.025166,0.013059,0.019028,0.0044062,0.01588,-0.0059633,0.0093219,0.32445
