"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30"
"X16.C9.3.neg",-8.7867,4.3852,-5.37,1.8022,-5.0199,4.5641,-1.1366,2.8338,-3.1684,1.5315,4.7395,-0.1833,-1.0748,-0.57569,-3.2279,9.9086,0.75417,0.76798,1.0234,-7.796,-0.26452,-2.806,1.9651,3.0144,1.7333,2.4082,0.25861,-1.9074,1.502,2.9976e-15
"X19.C9.2.neg",-39.344,-17.225,-6.1783,23.913,-7.8116,-8.993,-6.4229,-3.0631,-0.54361,-1.7011,-2.1543,-4.2183,-1.0187,0.30769,-0.18207,0.096428,0.20781,1.1216,-0.53704,1.4389,-0.34414,-0.10033,1.1217,-0.1331,-0.98504,-0.59844,0.35507,-0.13589,0.24497,-1.6931e-15
"X21.C9.4.neg",1.3294,13.031,-8.3104,10.993,13.126,0.79162,-1.7641,-2.0715,4.2946,6.6422,6.1576,-0.057712,-5.1129,3.6597,3.6165,-4.0612,0.71137,-2.5516,0.61453,-1.7775,2.147,-2.0469,0.43913,2.5527,-1.4018,-2.3556,-0.95521,0.021599,0.18941,2.8311e-15
"X45.C9.1.neg",-7.9664,-12.573,-5.5097,3.9486,-0.054942,4.4388,3.5528,-2.0059,-2.6101,6.5376,0.13002,6.9691,10.258,-4.4046,-1.6204,-5.1227,-0.93637,2.5179,2.2695,-4.1432,-0.23635,1.8157,0.58476,0.073254,-0.5706,-2.3704,-0.30965,-0.060069,-0.33382,6.2728e-15
"X13.D9.4.neg",3.3365,-2.5405,-2.4034,-4.369,1.8965,2.4869,-3.3943,2.7764,-0.02231,-0.73756,6.9215,-2.6485,-1.4345,-0.0074378,-4.4667,-0.69886,-4.9802,3.6385,4.2088,4.2279,3.748,0.80007,1.2909,-4.8416,1.4729,-2.3567,4.9167,-3.0377,1.195,4.2466e-15
"X20.D9.1.neg",43.563,-17.96,9.0006,3.8116,4.2032,7.2549,4.2014,-3.2522,-1.53,3.6181,0.66669,-10.83,4.8336,2.392,2.7892,2.8901,1.277,-1.8911,0.87483,2.2055,-0.75059,0.70597,0.016183,1.4002,-0.033877,1.4195,0.4374,0.15606,-0.1239,-1.8818e-14
"X49.D9.2.neg",-9.899,-0.30352,-6.7122,-2.4588,-0.23764,2.0433,1.3271,2.0953,-9.2446,8.1039,-5.4612,2.7501,-2.8351,7.4787,-2.5503,0.71826,-5.5223,-1.387,-5.5299,3.6399,-0.46653,1.3535,-0.79258,-0.032423,0.84811,1.2621,-0.91635,-0.64181,0.20251,3.6637e-15
"X48.D9.3.neg",-13.103,12.048,-3.5695,-7.6523,-6.793,-5.9353,2.6506,-4.0183,-0.62708,4.8173,-1.0319,-3.5673,-0.63367,1.5023,-1.8902,-2.5571,5.1861,-5.9848,6.3037,-0.78407,-4.1242,1.9236,0.67089,-4.0474,2.1812,0.62698,-0.39981,-1.6675,-0.35638,-1.3878e-15
"X26.F9.1.neg",-5.5075,6.8356,-1.3765,-1.8698,-6.7237,0.011693,0.39076,4.1586,-0.54299,1.3871,-0.058199,1.9963,2.0189,4.8214,12.187,2.7548,3.4068,6.7159,1.2624,0.55152,1.3957,0.26705,-3.1074,-2.7094,-0.94509,-0.71994,0.40743,-1.056,-0.86322,5.8564e-15
"X36.F9.3.neg",32.228,-15.809,5.6533,-1.8456,9.5389,-6.6218,-8.3867,4.9554,-7.5539,-1.9635,-1.3369,5.5815,-1.941,-0.94577,2.016,-1.2583,4.966,-2.0573,0.87694,-1.409,1.5954,-0.45601,2.7303,-2.0489,1.5773,2.6342,-0.47179,-1.1008,0.040814,9.1038e-15
