"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"M375.07T470.729",0.038378,-0.020795,-0.0084703,0.0060979,-0.014255,-0.013812,0.0038068,-0.0058319
"M562.053T1195.871",0.025523,-0.034223,0.00033422,0.0067428,-0.00017636,-0.018331,-0.0051841,-0.023011
"M943.502T1194.413",0.025012,-0.033781,0.008233,0.00178,0.00025038,-0.0011914,0.020094,-0.00893
"M1096.565T894.076",0.022983,-0.015634,0.0018406,-0.00078515,-0.00087084,-0.03187,0.075368,-0.00096005
"M354.093T469.671",0.039552,-0.027145,-0.0062335,0.014368,-0.017365,-0.007446,0.0011411,-0.003237
"M437.041T470.729",0.032683,-0.0051298,-0.013701,-0.015735,0.012996,-0.030967,0.016313,-0.020834
"M444.996T106.721",0.028176,-0.033103,0.0052131,-0.0024598,0.0082853,-0.024082,0.014393,-0.0093691
"M808.155T1200.534",0.013794,-0.052487,0.0050765,0.031035,0.020985,-0.0020164,-0.003648,-0.001536
"M631.151T795.429",0.03179,-0.00051733,0.018362,-0.0043342,0.0066104,-0.025417,0.010568,-0.0080846
"M757.441T1176.453",0.030615,-0.023815,-0.0066451,0.032832,-0.029041,-0.029705,0.01003,0.017355
"M881.515T1351.787",0.03021,-0.015665,-0.0029671,0.0025569,0.0023772,-0.028526,0.026823,-0.023506
"M967.577T1245.908",0.034693,-0.03739,0.015518,0.028533,-0.032028,0.0026353,0.0060502,0.0039511
"M511.24T944.134",0.036936,-0.038402,0.012454,0.028659,-0.013218,-0.0036919,-0.00083627,0.0055301
"M557.187T899.436",0.028426,-0.026133,0.018805,-0.0042583,-0.028296,0.0096392,0.014781,-0.014868
"M1029.931T1194.947",0.029823,-0.029502,-0.011897,0.0066823,-0.0098871,-0.02019,0.0084145,-0.020304
"M563.252T904.514",0.032723,-0.038694,0.014387,0.03326,-0.0214,0.010941,-0.0013584,0.011672
"M337.092T724.593",0.040234,-0.036368,-0.0046929,0.019019,-0.03002,-0.0035388,0.0002777,-0.017943
"M758.447T1173.243",0.029277,-0.010776,0.0040692,0.012145,0.0077446,-0.03818,0.016515,-0.0024157
"M852.114T1329.753",0.032431,-0.030897,0.014793,0.033056,-0.017187,-0.015168,0.0038013,-0.0059247
"M854.516T1290.85",0.037753,-0.032986,-0.00031262,0.02199,-0.018463,0.0038107,-0.0018513,0.0097657
"M1013.86T1346.532",0.037478,-0.033667,0.0099041,0.027702,-0.023742,0.00012117,0.0046555,0.0096287
"M852.067T1329.714",0.033358,-0.039362,0.011138,0.035645,-0.016606,-0.0096299,0.0056398,0.0045329
"M627.643T1193.32",0.026883,-0.042443,-0.0015234,0.015073,0.0081987,-0.019422,0.0035869,-0.0206
"M941.508T1318.851",0.029414,-0.028444,0.0059147,0.01176,0.0029172,-0.024516,0.02108,-0.0059915
"M701.418T1268.098",0.027419,-0.023844,0.00080486,0.010102,-0.0040729,-0.042051,0.026989,-0.004728
"M1013.583T1248.821",0.033271,-0.035268,0.013108,0.020091,-0.028625,0.00073801,0.012157,-0.00091026
"M968.577T1247.645",0.034067,-0.018571,0.0081481,-0.0071888,-0.030257,0.0098279,0.019209,-0.021725
"M559.618T1204.987",0.024848,-0.034706,0.013595,0.025558,-0.029132,-0.011516,0.010581,-0.018726
"M923.451T1327.672",0.028539,-0.023941,0.0064039,0.0095357,0.00020338,-0.028238,0.021208,0.00081185
"M917.49T1360.024",0.029693,-0.023071,0.0038405,0.0095204,-0.0070897,-0.032062,0.023539,0.0049417
"M875.467T1241.171",0.038806,-0.022464,-0.0082356,0.023374,-0.03071,0.001876,0.011687,-0.0016099
"M1085.513T1348.399",0.037463,-0.034583,0.0052318,0.023473,-0.023981,0.0058188,0.0060105,0.0035047
"M466.978T106.664",0.025563,-0.031896,0.0011241,0.0015844,0.014716,-0.012218,0.015282,7.8567e-05
"M851.519T1328.051",0.032364,-0.037964,0.012499,0.034956,-0.029012,-0.012554,0.012128,0.0077035
"M861.451T1062.153",0.027502,-0.01017,0.0024388,-0.0021928,0.0040648,-0.030253,0.030736,0.0095464
"M559.975T1203.448",0.015346,-0.046926,0.0079723,0.019229,0.0052984,-0.044291,0.013772,0.012971
"M545.297T1155.639",0.019163,-0.027305,0.027327,0.0063853,-0.004885,-0.0055127,9.4906e-05,-0.0086145
"M1059.606T1053.565",0.010074,-0.039052,0.023442,0.024364,-0.017169,0.019886,0.018952,-0.019888
"M1096.195T893.605",0.033667,-0.031318,-0.018106,0.0026462,0.0065179,-0.020577,0.018737,-0.0030439
"M180.067T785.272",0.040577,0.0020084,-0.0037142,-0.020783,-0.011376,0.011878,-0.022632,0.029979
"M849.51T1359.918",0.028656,-0.025046,0.0060634,0.011857,-0.0090315,-0.030579,0.02622,-0.0036669
"M633.053T106.254",0.030019,-0.02593,0.0079834,0.003403,0.0077513,-0.015691,0.0043744,0.0020611
"M1014.89T1344.191",0.036703,-0.031185,0.0033542,0.022209,-0.019398,0.0081577,0.0083519,-0.0024812
"M473.173T806.642",0.033762,-0.021049,-0.0070715,0.01145,0.0041574,-0.014034,-0.0015064,-0.021842
"M1269.507T907.7",0.032105,-0.037137,0.0034243,0.032313,-0.0077301,-0.020792,0.00083889,0.014024
"M985.574T1225.672",0.037023,-0.036034,0.0040673,0.03034,-0.029004,0.0076434,-0.0012175,-0.0029493
"M1030.586T1195.906",0.03435,-0.033153,0.0058851,0.018074,-0.014257,-0.0043363,0.0076821,-0.0068621
"M1097.549T894.492",0.038136,-0.028312,0.0025836,0.019653,-0.0051294,-0.013263,0.0037805,0.0041923
"M901.267T743.636",0.032215,-0.010358,0.0018073,0.023345,0.01655,-0.035777,0.023044,0.044387
"M779.462T1401.836",0.028905,-0.030473,0.010632,0.031924,-0.011183,-0.035767,0.026427,0.010163
"M917.503T1359.918",0.03119,-0.027348,0.0053382,0.014735,-0.013087,-0.027027,0.018701,-0.00039372
"M851.912T1326.892",0.033694,-0.035465,0.0093906,0.030809,-0.0087138,-0.012696,0.017547,0.0010913
"M705.267T1050.095",0.024859,-0.032536,0.010433,0.01641,0.0053795,-0.0018862,0.011971,-0.0113
"M983.568T1252.43",0.039428,-0.010534,0.0065868,0.024544,-0.0091166,-0.01067,0.019779,0.0020681
"M457.19T799.683",0.034309,-0.0061182,-0.0016089,-0.0017673,-0.0085618,-0.014715,0.0055118,0.00076471
"M846.46T1187.467",0.031683,-0.033737,0.022119,0.026017,-0.016139,-0.016398,0.027104,0.014334
"M821.506T1329.663",0.028024,0.014853,-0.0086421,-0.011224,0.0040451,-0.035892,0.040381,-0.014233
"M347.184T1141.626",0.024012,-0.035428,-0.0092703,-0.015905,0.006585,-0.02224,0.014325,-0.014516
"M768.448T1315.096",0.035293,-0.015179,0.0044979,0.0066384,0.0063755,-0.016348,0.0092017,-0.0084886
"M531.078T845.355",0.032042,-0.018577,-0.0014084,0.02623,0.031738,-0.031804,0.0026928,0.027412
"M309.118T727.508",0.038602,-0.014205,-0.016227,0.012746,-0.011294,-0.010657,0.011706,0.013627
"M345.183T1137.887",0.030956,-0.039365,-0.0025164,0.0076476,-0.019094,0.0012792,0.017859,-0.011734
"M1076.649T1193.389",0.01841,-0.055797,0.0086712,0.035714,-0.010269,0.011275,-0.024714,-0.027133
"M919.515T1328.715",0.032239,-0.035709,0.012053,0.028133,-0.022683,-0.014701,0.013627,0.0063528
"M277.217T1196.341",0.011858,-0.030114,-0.016587,0.0021331,0.033775,-0.023029,-0.0045617,-0.030062
"M655.999T943.196",0.034097,-0.031117,0.006168,0.010804,-0.0066553,-0.0038666,0.023108,0.006914
"M565.05T98.887",0.023193,-0.017619,0.0019348,0.020933,0.011486,-0.042208,0.030161,0.017764
"M277.129T811.716",0.033233,-0.0024539,-0.011176,-0.012195,-0.023014,-0.020822,0.011679,0.0057023
"M655.038T106.771",0.026746,-0.041153,0.010487,0.013597,0.01017,-0.0060143,-0.00078398,0.00042095
"M1075.647T1193.908",0.017176,-0.054358,-0.019367,0.037945,0.0039225,0.022054,-0.010887,-0.044896
"M649.026T106.128",0.032773,-0.044586,0.0080689,0.017185,-0.0064946,-0.0008016,-0.0035298,0.0005689
"M1097.561T894.34",0.03583,-0.037238,-0.0083798,0.013119,-0.0038367,-0.032553,0.016007,0.0082559
"M1014.585T1248.122",0.032674,-0.033366,0.013247,0.015429,-0.026774,0.0011675,0.012259,0.0039594
"M868.517T1202.592",0.033305,-0.035597,0.017449,0.038328,-0.029778,-0.0091179,0.011174,0.013627
"M1015.588T1248.088",0.034896,-0.041118,0.012648,0.029778,-0.037216,0.0050756,0.0050875,0.0024674
"M921.374T936.829",0.042236,-0.021658,-0.012045,0.0080687,-0.009925,0.010696,0.0020946,0.02663
"M851.794T1356.146",0.032738,-0.037424,0.014279,0.030422,-0.020296,-0.012699,0.0096263,0.0014142
"M451.007T107.467",0.028419,-0.039827,0.0068511,0.0058879,0.01044,-0.013822,0.0069526,0.0081724
"M808.919T1196.341",0.016546,-0.029877,-0.011885,0.0049685,0.018196,0.011479,0.015113,0.022849
"M1013.97T1244.591",0.035392,-0.034129,0.015449,0.018387,-0.020871,0.001109,0.0083027,-0.013967
"M1100.582T1225.322",0.037573,-0.033068,0.0064569,0.025312,-0.021458,0.0021523,0.0088218,0.0043093
"M649.302T900.549",0.036125,-0.013449,0.0016789,0.0096731,0.0011019,-0.0062237,0.012925,0.0017023
"M575.766T1053.433",0.023662,-0.03393,0.0061565,0.003468,-0.0086818,-0.015646,0.0083243,0.0023681
"M1161.883T894.146",0.0334,-0.037499,-0.011304,0.0043218,0.015558,-0.018709,0.0034316,-0.021949
