"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"X16.C9.3.neg",-7.6368,-3.0832,-6.5077,3.2419,-0.35331,0.72707,-1.3349,-9.4676
"X19.C9.2.neg",-36.353,-13.797,5.2239,10.595,5.7112,-14.745,-0.15541,3.664
"X21.C9.4.neg",-0.70474,-4.2072,-12.481,9.6797,1.0812,-0.35225,8.8993,4.8899
"X45.C9.1.neg",-13.057,-12.488,1.6085,0.39416,-0.50388,2.3384,6.7269,-2.0569
"X13.D9.4.neg",-1.1247,-6.3518,-3.4162,-2.528,-0.56325,2.741,-3.8013,-6.6793
"X20.D9.1.neg",20.842,-17.063,2.6729,-13.454,-1.9879,-2.2212,9.6817,-1.3661
"X49.D9.2.neg",-10.073,-5.6823,-4.5108,2.3157,0.61798,3.9791,-3.305,-7.3039
"X48.D9.3.neg",-5.917,4.8305,-9.4333,-1.3363,-5.6507,2.0094,-3.7583,2.6557
"X26.F9.1.neg",-3.572,-0.27891,-8.1957,-1.5304,-2.1844,1.2348,0.58887,2.0767
"X36.F9.3.neg",13.427,-16.089,1.5345,-8.3974,4.9138,-4.4897,-12.382,0.33208
"X14.X9.2.neg",-11.264,-7.8072,-3.4905,-1.1396,1.4255,6.3587,1.4148,4.2623
"X23.X9.1.neg",10.473,-1.0988,-9.4361,0.65298,-4.7389,-6.8811,1.3933,-0.12528
"X27.X9.3.neg",-7.5339,-2.3418,-4.1123,-3.043,-4.0213,2.5011,-0.51666,2.95
"X40.X9.4.neg",2.4697,-6.3573,-2.8982,-4.4219,-1.6513,-0.082385,-5.5333,0.73959
"X53.Blank.neg",-38.545,24.355,-2.7323,-20.197,4.4066,-6.1783,2.9066,-2.1111
"X10.QC1.neg",-5.4163,1.3456,2.9708,-1.3163,-2.5972,1.8429,-1.7875,1.2959
"X24.QC.2.neg",-5.8952,0.55364,1.9297,-2.5858,-0.64762,5.0151,1.2721,4.8131
"X39.QC3.neg",-4.9357,2.1675,3.5462,-2.1435,-3.8494,-0.20303,-5.4385,4.6501
"X02.C12.2.neg",-1.6015,10.274,3.1918,10.36,-5.4007,-0.85089,2.7861,-0.87757
"X18.C12.3.neg",-8.4908,1.4043,12.115,8.7664,-2.2309,-5.5141,1.0139,-4.0702
"X33.C12.4.neg",1.5288,4.939,1.011,8.3009,4.3815,6.8494,3.2407,-3.1757
"X12.D12.2.neg",4.3276,-0.87319,5.7016,0.33561,6.627,10.413,2.0065,4.6519
"X28.D12.3.neg",2.7927,2.539,12.221,-1.6082,-3.3617,-2.5537,-1.241,2.7307
"X52.D12.4.neg",-1.2296,5.6761,4.8004,0.92251,3.1702,9.9673,-2.8659,1.4537
"X05.F12.4.neg",16.962,5.0898,0.17468,2.349,5.0651,1.1666,-1.2206,-1.4919
"X22.F12.1.neg",34.426,4.3273,1.7804,-6.4266,2.3863,-9.8682,6.2008,-0.94513
"X38.F12.2.neg",22.352,8.7238,-2.937,0.2406,4.1875,-0.79253,-0.42641,3.3421
"X43.F12.3.neg",18.685,11.846,-3.2255,9.8904,-1.1232,-7.489,-5.8772,2.3357
"X32.X12.2.neg",2.8361,1.841,13.354,-2.9069,-6.2823,4.2433,1.4245,-2.1676
"X41.X12.1.neg",12.227,7.6073,-0.45912,4.989,3.174,0.8347,0.08767,-5.0052
