"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"M541.425T1223.783",3.1554,2.2104,2.3002,2.2351,2.2493,2.242,2.2382,2.2378
"M276.196T919.68",3.0878,3.5343,2.9784,2.8971,2.8489,2.8385,2.8339,2.834
"M637.331T1596.612",2.9723,2.6006,2.5449,2.4727,2.4314,2.4307,2.4285,2.4283
"M311.104T1075.82",2.9681,2.0267,1.6615,1.6569,1.6306,1.6253,1.6233,1.623
"M354.082T204.227",2.9605,2.8377,2.3038,2.2439,2.2094,2.2011,2.1997,2.1993
"M661.142T919.275",2.8865,1.6488,1.2983,1.2842,1.2637,1.2589,1.2594,1.2603
"M420.228T902.138",2.8099,1.6418,1.3167,1.2801,1.2599,1.2784,1.2837,1.2839
"M1712.298T909.092",2.7983,1.8551,1.4765,1.4367,1.4216,1.4171,1.4259,1.4256
"M402.053T876.272",2.7693,1.7003,1.4858,1.4617,1.4425,1.4375,1.4377,1.4389
"M647.255T794.469",2.7531,1.5152,1.3446,1.3154,1.2934,1.2907,1.2891,1.2889
"M453.17T879.981",2.7367,1.8539,1.4568,1.4208,1.3994,1.3941,1.3926,1.3929
"M206.082T164.917",2.7148,2.7878,2.1923,2.1341,2.1007,2.0928,2.09,2.0896
"M527.103T89.251",2.702,3.0248,2.4205,2.3544,2.3963,2.3878,2.3861,2.3856
"M450.796T96.244",2.652,2.0414,1.8762,1.8286,1.7981,1.794,1.7915,1.7914
"M1323.606T888.291",2.6154,1.7795,1.909,1.8542,1.824,1.8209,1.8282,1.828
"M390.087T116.11",2.5795,1.8549,1.936,1.8827,1.8585,1.8521,1.8495,1.8493
"M901.173T87.737",2.5218,1.955,2.5909,2.5152,2.4743,2.4689,2.4702,2.4702
"M399.202T993.604",2.5165,1.3038,1.0268,0.99898,1.0018,1.0002,0.999,0.99879
"M1624.518T315.279",2.514,1.5274,1.2235,1.1877,1.1697,1.1768,1.1761,1.1759
"M417.197T1560.279",2.4935,1.8932,1.7901,1.7381,1.7108,1.7253,1.7224,1.7225
"M461.223T1572.372",2.487,2.0632,1.9832,1.9504,1.9572,1.9513,1.9486,1.9483
"M698.637T990.954",2.4771,1.3629,1.0721,1.0531,1.0673,1.0711,1.0693,1.0696
"M1130.437T924.326",2.4546,1.2738,1.0035,1.0019,0.98524,0.98721,0.98556,0.98794
"M1130.433T884.599",2.4386,1.291,1.0192,1.0015,0.9848,0.98236,0.98148,0.9816
"M453.101T88.055",2.428,1.5784,1.6297,1.6363,1.6227,1.6243,1.6289,1.6291
"M379.335T877.312",2.4016,1.3603,1.0792,1.099,1.1172,1.1168,1.1152,1.1156
"M805.362T924.937",2.38,1.2623,1.0214,1.0465,1.0654,1.0619,1.0663,1.0674
"M437.29T1178.675",2.376,1.9838,1.9638,1.9155,1.8876,1.8807,1.8798,1.8802
"M365.143T832.741",2.3268,1.2543,1.0007,0.97621,1.0042,1.0011,1.011,1.0117
"M433.624T805.348",2.3123,1.2749,1.0728,1.0466,1.0291,1.0254,1.0245,1.0242
"M581.283T805.632",2.2841,1.2608,1.0388,1.0089,1.0295,1.0256,1.024,1.0238
"M715.392T322.783",2.2821,1.2301,1.0613,1.0303,1.0153,1.0122,1.0105,1.0103
"M287.071T1080.355",2.2785,1.2503,1.0209,1.0015,0.99629,1.0234,1.0314,1.0318
