"","comp 1","comp 2","comp 3","comp 4","comp 5"
"X16.C9.3.neg",-0.52329,-2.3861,1.2417,-0.19089,0.40879
"X19.C9.2.neg",-1.9614,-2.8235,-0.71924,0.35743,0.6926
"X21.C9.4.neg",0.030795,-2.1428,-1.684,-0.36362,-0.50425
"X45.C9.1.neg",0.039543,-2.3124,-0.41284,-1.3451,0.35177
"X13.D9.4.neg",0.65404,-0.51331,-1.4057,0.076423,2.4825
"X20.D9.1.neg",1.6806,1.4575,-3.8355,-0.68103,2.1596
"X49.D9.2.neg",-0.68291,-2.0162,-0.78991,-0.75868,0.52203
"X48.D9.3.neg",-0.51866,-1.3456,1.717,-1.0807,1.2734
"X26.F9.1.neg",0.34873,-0.95645,0.21624,-0.67462,0.98593
"X36.F9.3.neg",2.0817,-0.31921,-3.8237,0.33855,-0.6113
"X14.X9.2.neg",-1.0691,-3.2243,-0.5638,-0.22134,-0.49736
"X23.X9.1.neg",0.023085,-0.089527,-0.51662,-2.9125,-0.32764
"X27.X9.3.neg",-0.43368,-2.8088,-0.21865,-0.20788,0.097559
"X40.X9.4.neg",1.1243,-0.87829,-1.7952,-0.35245,-0.34149
"X53.Blank.neg",-7.0854,1.3418,0.1591,3.2463,0.70207
"X10.QC1.neg",-1.6967,2.3029,-0.94906,-0.7514,-2.5318
"X24.QC.2.neg",-2.0253,2.6279,-0.98377,-1.0444,-0.46645
"X39.QC3.neg",-3.5864,3.209,-1.3744,-1.86,-1.3549
"X02.C12.2.neg",0.20281,-0.89843,4.864,-0.27169,-0.17509
"X18.C12.3.neg",-0.14741,4.0554,2.8069,-0.94922,3.4377
"X33.C12.4.neg",0.34574,-0.877,0.73394,0.46488,-2.0008
"X12.D12.2.neg",-0.16651,2.5459,-0.63687,-0.89241,-0.36211
"X28.D12.3.neg",0.85436,0.14121,-1.1243,6.2893,0.0057935
"X52.D12.4.neg",-0.26633,-1.2068,3.082,0.27993,-1.0909
"X05.F12.4.neg",1.5763,0.85622,0.57175,0.81302,-0.95204
"X22.F12.1.neg",4.1573,2.355,-0.28917,0.519,-0.38266
"X38.F12.2.neg",2.2836,0.98404,0.51358,1.4074,-0.40739
"X43.F12.3.neg",1.8086,0.88897,2.2809,-0.68534,-1.5018
"X32.X12.2.neg",1.1695,1.3099,0.88682,0.65883,0.052116
"X41.X12.1.neg",1.782,0.72284,2.0488,0.79234,0.33613
