"","X12.D12.2.neg","X28.D12.3.neg","X44.D12.1.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X09.X12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Mock","Mock","Mock","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"sodium_formate","24379.503","24067.497"," 4791.110","46229.059","15034.764"," 5203.543","13165.026","18752.098","36356.684","36475.958","38037.102"," 9733.550","40652.917","44568.976","42179.903"," 5376.874","26380.925","21733.087"
"M375.07T470.729"," 32847.4290"," 46337.6789","   876.2880"," 35087.2430"," 56774.4485"," 68054.6405"," 57164.8254"," 70969.4114"," 53854.7379"," 21693.2307"," 44825.5197","   728.3991"," 34258.2139"," 43417.6251"," 46642.6188","  1040.0000"," 70434.6155","103290.8089"
"M354.093T469.671","21974.7847","28875.5319","    0.0000","22265.5727","38193.4389","42310.9145","39137.3024","44049.5636","33093.7363","13809.0422","28888.2772","  179.4435","25510.7259","27513.0066","28553.3410","    0.0000","46899.3489","68268.3430"
"M437.041T470.729"," 6168.5989"," 7908.8229","  212.7569"," 7192.0376","12388.7509","12789.3672","13053.9787","14517.2379","10634.0974"," 4613.9787"," 9527.0293"," 1506.2419"," 6718.6296"," 7591.2533"," 7517.1654","  158.0000","13733.4267","21605.7946"
"M757.441T1176.453"," 6424.290"," 7364.481","    0.000"," 9290.103","14375.400","10234.123"," 7302.800","18034.462","15834.899","15999.738"," 6306.343","    0.000"," 7785.557"," 9466.600","16648.731","    0.000"," 9220.993"," 8761.436"
"M881.515T1351.787"," 8733.3806"," 9050.9379","    0.0000","10541.2193","10906.8216"," 8818.7974"," 9832.0800","14844.9287"," 9063.4097","11624.2264","10161.5365","  756.8807"," 6674.1144","10406.8105"," 8267.5326","    0.0000","12194.5114","13381.0440"
"M511.24T944.134","24487.22","35644.36","    0.00","34855.92","26346.66","26361.98","41936.26","36087.08","24041.29","23298.24","39467.82","    0.00","30310.45","22963.29","22348.81","    0.00","51755.93","34204.71"
"M557.187T899.436"," 6476.040"," 6576.782","    0.000"," 8816.360"," 3991.773"," 2555.994"," 3561.024"," 3869.874"," 6502.081"," 4464.925"," 4205.390","    0.000"," 4704.115"," 4722.341"," 5883.203","    0.000","16238.831"," 6306.588"
"M758.447T1173.243"," 4389.6078"," 8975.8233","  948.2756"," 5979.4080"," 9336.3817"," 8553.5546"," 4893.8414","10497.7268"," 6969.8965"," 7979.8204"," 6176.5764","  400.8869"," 3905.1947"," 5698.8146"," 7765.3444","  228.0000"," 6220.0514"," 8578.6643"
