"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"M375.07T470.729",0.036293,-0.00081754,-0.044302,-0.013395,0.020479,0.020028,0.0095986,0.028393,0.0013591,-0.013047,-0.017159,0.5865
"M354.093T469.671",0.036441,0.00055835,-0.045816,-0.012709,0.017589,0.018693,0.0039008,0.02533,-0.00062245,-0.0067557,-0.015104,-0.36172
"M437.041T470.729",0.036585,-0.0051868,-0.045516,-0.0072953,0.011713,0.01689,0.0073278,0.022502,0.0012361,-0.00078097,-0.0088553,0.18434
"M757.441T1176.453",0.028413,-0.029362,0.0058509,-0.041705,0.0112,0.027282,0.015527,0.072245,0.033926,0.012856,0.056962,0.59532
"M881.515T1351.787",0.030864,-0.0077261,-0.013061,-0.031907,-0.0061913,0.025777,-0.0052091,0.0024464,0.018875,-0.0047115,0.019295,0.29586
"M511.24T944.134",0.031032,0.010505,-0.023517,-0.02478,0.011291,-0.017795,0.0090848,-0.031964,0.030438,0.0022469,-0.016478,-0.10516
"M557.187T899.436",0.016473,0.043882,-0.03679,-0.04191,-0.0073136,-0.0088079,0.0044438,0.054515,0.033325,0.0032163,-0.0081001,-0.015029
"M758.447T1173.243",0.03134,-0.015567,-0.0065585,-0.04827,0.031295,0.041426,0.02861,0.018023,-0.01014,-0.019747,0.028449,-0.029116
"M854.516T1290.85",0.030116,-0.0079161,0.015504,-0.01511,0.01118,0.036792,-0.0089435,0.0074235,-0.059934,0.0075579,0.0011186,0.0060619
"M1013.86T1346.532",0.031724,0.0035452,-0.0037234,-0.031357,0.032002,-0.00025277,0.0054633,0.027572,-0.025834,-0.0009536,0.0085119,-0.039451
"M627.643T1193.32",0.024365,-0.040892,-0.035727,-0.034227,-0.026848,-0.0023001,-0.078075,0.01875,-0.029871,-0.025229,-0.0062178,0.11264
"M941.508T1318.851",0.029122,-0.0050821,-0.0046593,-0.050533,0.012437,-0.0063251,0.031087,-0.0209,-0.0063926,-0.012455,0.01454,-0.0036814
"M701.418T1268.098",0.029095,-0.018029,0.005509,-0.063501,0.05277,0.0079767,0.031442,0.011145,0.0083609,0.027543,0.011187,-0.0069797
"M875.467T1241.171",0.032861,-0.021832,-0.0026396,-0.0077091,0.024055,0.019865,0.016173,-0.0084279,-0.027402,0.033399,0.023481,-0.00069208
"M1085.513T1348.399",0.030805,0.012275,-0.023935,-0.028478,0.0022387,-0.0091834,0.00080987,-0.021735,-0.0051434,0.0012528,-0.011568,0.0027468
"M466.978T106.664",0.027533,5.421e-05,0.027621,-0.022232,0.021834,-0.031855,0.0042664,-0.024694,-0.0032365,-0.016997,-0.0181,0.002175
"M861.451T1062.153",0.02661,-0.016632,0.045933,-0.053822,0.032888,0.0069856,0.013892,0.0022045,-0.040619,-0.030393,0.017682,-0.0061121
"M545.297T1155.639",0.010287,0.028561,-0.039505,-0.019159,-0.03069,0.020987,0.032748,-0.010429,0.094188,-0.073749,-0.02829,-0.0037145
"M1059.606T1053.565",-0.029009,0.043108,-0.055485,-0.027345,0.041041,0.053447,-0.060957,0.0066844,-0.037478,-0.023661,0.034076,-0.0039315
"M1096.195T893.605",0.033038,-0.047768,0.0069713,-0.014485,0.0069379,-0.031942,-0.0031086,-0.073168,-0.057012,0.069024,0.038298,0.0058093
"M180.067T785.272",0.036061,0.012563,0.054805,0.0025228,0.075612,-0.05801,-0.022911,0.013127,0.048858,-0.0081564,0.016064,0.0092554
"M633.053T106.254",0.027881,0.0079744,0.0029081,-0.024352,0.0097839,-0.0068326,-0.0057559,-0.0070105,0.025822,-0.016311,-0.0018212,-0.0002998
"M1014.89T1344.191",0.030611,0.0028191,-0.019333,-0.02485,0.021487,-0.030006,-0.014439,0.020392,-0.045161,0.013179,-0.025095,0.0032048
"M473.173T806.642",0.030177,-0.019271,0.0045688,-0.0096667,0.074623,0.045712,-0.020066,-0.02211,0.0035531,-0.0085784,0.058153,-0.0022803
"M1269.507T907.7",0.028308,-0.05292,0.023369,-0.047949,0.016368,-0.014703,-0.01359,-0.0081473,-0.0073749,0.0091069,-0.0083423,0.0017961
"M985.574T1225.672",0.026475,0.0020429,-0.02523,-0.012924,0.038018,-0.022891,-0.014144,0.0019996,0.018947,-0.00069855,-0.032586,-6.1579e-05
"M1030.586T1195.906",0.026798,-0.0038433,-0.00977,-0.038518,0.015031,-0.012775,0.0083027,0.0010948,-0.025099,0.0031049,-0.013821,-0.0021087
"M1097.549T894.492",0.033078,-0.027371,0.035247,-0.031174,-0.0062205,0.014475,0.015066,0.019242,0.013897,0.0097693,0.0088027,-0.0042729
"M851.912T1326.892",0.025347,-0.025366,0.017638,-0.022697,0.026255,0.022418,0.0021299,0.013508,-0.017567,0.013961,-0.045603,-0.00086268
"M983.568T1252.43",0.035185,-0.022073,-0.00068064,-0.024507,-0.0095088,-0.0087037,0.018519,0.047945,-0.042977,0.032026,0.027321,-0.0054488
"M457.19T799.683",0.032193,-0.016397,-0.012653,-0.023571,0.024978,-0.013969,-0.012934,-0.0086739,0.042947,-0.0016892,-0.015373,-0.0025246
"M821.506T1329.663",0.034359,-0.021191,-0.022918,-0.025927,0.019944,-0.00813,0.015854,0.02023,-0.033028,0.0095779,0.01532,-0.0047293
"M768.448T1315.096",0.033502,0.0026276,-0.026003,-0.021893,0.0099002,0.016537,0.018291,0.021409,-0.022196,-0.0019941,0.0040264,-0.0039187
"M531.078T845.355",0.033262,-0.043418,0.035574,-0.0021778,-0.012134,0.063328,0.0059096,0.036911,-0.023947,0.0075392,-0.015715,-0.0016109
"M309.118T727.508",0.035845,-0.034695,0.029968,-0.0016467,-0.015088,-0.021557,-0.001235,0.048844,-0.0029879,-0.014869,0.0026139,-0.005402
"M655.999T943.196",0.026702,-0.016506,0.055085,-0.058246,0.03336,-0.071702,-0.018434,-0.0042907,0.002961,-0.0019236,-0.011832,-0.0079989
"M277.129T811.716",0.032563,-0.0097154,-0.043223,0.0016254,0.032499,-0.012928,0.003109,-0.013936,0.03033,0.012968,0.0017263,-0.006224
"M649.026T106.128",0.029592,0.020581,-0.015926,-0.0325,0.0057132,-0.0043212,-0.022071,-0.013252,-0.02379,0.024119,0.0047627,-0.0025261
"M1097.561T894.34",0.030789,-0.055102,0.048601,-0.033437,0.02846,0.043773,-0.018142,0.048496,-0.011525,-0.0069658,-0.014523,-0.0082744
