"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"M375.07T470.729",-0.044771,0.049346,0.018103,-0.028949,-0.0098682,0.02064,-0.011024,-0.016723
"M354.093T469.671",-0.044921,0.04965,0.020518,-0.029204,-0.0089393,0.017409,-0.0081083,-0.014456
"M437.041T470.729",-0.044124,0.051601,0.015081,-0.024063,-0.0024158,0.01342,-0.0071523,-0.015037
"M757.441T1176.453",-0.037242,0.033756,-0.025582,0.032797,-0.034474,0.054833,-0.043571,-0.079538
"M881.515T1351.787",-0.041167,0.035874,0.0041778,0.012253,-0.027583,0.01879,0.014208,-0.034769
"M511.24T944.134",-0.043002,0.033345,0.02343,-0.011817,-0.017381,0.034931,0.017394,0.029442
"M557.187T899.436",-0.024225,0.016066,0.071942,-0.0094131,-0.018821,0.051098,-0.03558,-0.013222
"M758.447T1173.243",-0.042,0.035772,-0.01235,-0.0031738,-0.058803,0.022828,-0.0099436,-0.052957
"M854.516T1290.85",-0.046601,0.022372,-0.01956,-0.0014858,-0.034604,-0.031054,0.0051184,-0.018318
"M1013.86T1346.532",-0.047023,0.027896,0.0025059,-0.014631,-0.040124,0.01447,-0.033126,-0.0086633
"M627.643T1193.32",-0.020303,0.051224,-0.013134,0.026214,-0.034158,-0.022292,-0.0024925,-0.0031084
"M941.508T1318.851",-0.040746,0.030193,0.0016868,0.007478,-0.055661,0.016483,-0.0045578,0.0033291
"M701.418T1268.098",-0.040584,0.030023,-0.020436,0.0021787,-0.071076,0.064044,-0.016392,-0.009376
"M875.467T1241.171",-0.044534,0.036335,-0.026538,-0.0091966,-0.020738,-0.0056033,0.0041516,-0.01253
"M1085.513T1348.399",-0.042807,0.032928,0.026429,-0.01099,-0.027058,0.0071785,0.010009,0.022036
"M466.978T106.664",-0.04659,0.012909,-0.015534,0.0075146,-0.03072,0.015586,-0.0052723,0.040327
"M861.451T1062.153",-0.045539,0.011077,-0.039509,0.021229,-0.077618,0.0040193,-0.021865,-0.013303
"M545.297T1155.639",-0.01168,0.016828,0.059056,0.0030998,0.011057,0.050481,0.033071,-0.026679
"M1059.606T1053.565",0.046214,-0.018215,0.064183,-0.078391,-0.041497,-0.011808,0.01635,-0.057486
"M1096.195T893.605",-0.041609,0.042079,-0.053381,0.016122,-0.03573,-0.038483,0.020165,0.050573
"M180.067T785.272",-0.068217,0.003082,-0.029218,-0.01656,-0.0043776,0.072104,-0.044033,0.022295
"M633.053T106.254",-0.043275,0.020907,0.0079957,0.0027984,-0.021238,0.029919,0.0037587,0.0014812
"M1014.89T1344.191",-0.041983,0.033507,0.010633,-0.017625,-0.031176,-0.00032647,-0.035313,0.039677
"M473.173T806.642",-0.043188,0.02879,-0.037936,-0.04112,-0.034217,0.022554,0.023893,-0.057296
"M1269.507T907.7",-0.03634,0.034497,-0.059537,0.042917,-0.05774,0.025418,-0.0024808,0.021927
"M985.574T1225.672",-0.0348,0.031864,0.0093502,-0.028436,-0.010313,0.042303,-0.0074114,0.032575
"M1030.586T1195.906",-0.036703,0.029319,0.0030953,-0.0010772,-0.043848,0.0097023,-0.015213,0.022208
"M1097.549T894.492",-0.050666,0.025245,-0.038414,0.048713,-0.03094,0.025375,-0.0058336,-0.022746
"M851.912T1326.892",-0.03656,0.023542,-0.036494,0.010349,-0.032787,0.020461,0.0064005,0.01121
"M983.568T1252.43",-0.047511,0.039419,-0.016672,0.024843,-0.027019,-0.011886,-0.052547,-0.012685
"M457.19T799.683",-0.042044,0.038872,-0.010388,0.00016885,-0.017852,0.052793,0.0079748,0.015471
"M821.506T1329.663",-0.04226,0.046467,-0.010765,-0.0069013,-0.032773,0.0013165,-0.034637,-0.0013818
"M768.448T1315.096",-0.044801,0.038913,0.015089,-0.015335,-0.02405,0.00082517,-0.01658,-0.017944
"M531.078T845.355",-0.048538,0.029603,-0.060195,0.042703,-0.011321,-0.013689,0.011493,-0.045476
"M309.118T727.508",-0.052667,0.031544,-0.045648,0.047598,0.00042835,0.0014397,-0.047548,-0.0058766
"M655.999T943.196",-0.047298,0.0080635,-0.039666,0.040121,-0.06711,0.049118,-0.039307,0.061055
"M277.129T811.716",-0.038132,0.047958,0.0049484,-0.033875,0.0066238,0.034984,0.0040821,0.012315
"M649.026T106.128",-0.044237,0.025783,0.029856,-0.014542,-0.036114,-0.0011997,0.0068039,0.013843
"M1097.561T894.34",-0.045261,0.026358,-0.079637,0.042776,-0.048879,0.028078,-0.0091881,-0.039124
"M921.374T936.829",-0.062402,0.028486,0.011365,-0.023496,0.016815,-0.0019131,-0.01936,0.025013
"M851.794T1356.146",-0.036356,0.026024,-0.016531,0.020753,-0.042906,0.052431,-0.04237,-0.049453
"M451.007T107.467",-0.045959,0.012802,0.0015185,-0.0043488,-0.04656,0.028398,-0.017299,0.044844
"M1100.582T1225.322",-0.039652,0.033446,0.0072193,0.00011451,-0.032122,0.0080599,-0.011775,0.038583
"M649.302T900.549",-0.044458,0.032222,0.015153,0.0040456,-0.013901,-0.0038777,0.0025212,0.010698
"M1161.883T894.146",-0.033403,0.037204,-0.056016,0.029064,-0.032021,-0.023917,0.025375,0.05522
"M286.972T107.919",-0.047814,0.013034,-0.00046165,0.014742,-0.040112,0.011064,-0.017472,0.024795
"M581.318T900.123",-0.038756,0.04332,0.009934,0.01081,-0.0082508,-0.0077303,-0.0086443,0.012417
"M1014.585T1348.471",-0.041727,0.035076,0.023179,-0.013446,-0.018012,0.0094375,-0.016359,0.019887
"M799.289T814.54",-0.024364,0.034865,0.0094148,-0.015467,-0.00037648,0.028741,0.0032098,-0.041256
"M1053.272T316.465",-0.040361,0.035443,0.022547,0.0044878,0.0028707,0.0062957,0.014741,0.010618
"M1097.037T893.528",-0.051233,0.029744,-0.050335,0.04009,-0.045961,0.054295,-0.037752,-0.024022
"M869.849T1307.413",-0.042222,0.035265,-0.01187,-0.0020691,-0.048242,-0.019531,-0.020358,0.018625
"M1071.559T892.477",-0.049542,0.031174,-0.048723,0.041366,-0.030059,0.024703,-0.027771,-0.01204
"M1000.263T316.358",-0.04492,0.021932,0.0051868,0.0023279,-0.0062086,-0.017225,0.028809,0.011157
"M767.194T317.413",-0.035894,0.044614,-0.0023442,-0.018729,-0.0017388,0.018186,-0.0052329,0.0083456
"M280.961T95.439",-0.048148,0.025138,-0.011691,0.0041198,-0.043626,0.0023913,0.00082878,0.074219
"M650.407T1378.088",-0.054254,0.03886,0.021414,0.004925,-0.013481,0.0072099,-0.0091609,0.019567
"M653.891T318.024",-0.046448,0.027001,0.028408,-0.006474,-0.022991,0.02406,-0.0069329,-0.0070841
"M560.841T1187.938",-0.018474,0.041528,-0.017798,0.054773,0.044722,-0.029139,-0.036025,-0.042886
"M354.957T108.842",-0.049416,0.024899,0.0016736,-0.00016895,-0.034222,0.016142,0.0069435,0.02195
"M206.082T164.917",0.0021796,-0.057639,-0.018177,-0.087173,-0.038993,-0.016838,0.015494,0.017671
"M1161.521T895.466",-0.044513,0.03422,-0.04845,0.047936,-0.045765,0.012402,-0.016927,0.018769
"M418.218T902.438",-0.044776,0.04525,0.009803,-0.037463,-0.017926,-0.0032908,-0.0041538,0.046702
"M632.783T316.499",-0.033804,0.031423,0.013135,-0.010557,-0.011062,-0.065932,-0.017102,-0.043446
"M451.218T291.531",-0.045565,0.048068,-0.010363,-0.015989,-0.010757,0.0044268,-0.014302,0.003186
"M344.099T126.621",-0.04707,0.032796,0.0084727,-0.017695,-0.0070069,-0.01224,-0.012698,0.015707
"M653.691T320.692",-0.040644,0.024098,-0.041805,0.0046727,-0.010783,0.0035009,0.035133,0.00052363
"M385.113T835.894",-0.057469,0.022743,0.023885,-0.058721,0.03554,0.060165,-0.071264,0.0030925
"M627.229T851.009",-0.04765,0.04536,0.012477,-0.027662,-0.0034833,0.036025,-0.026391,0.032554
"M885.489T1408.277",-0.049303,0.035769,0.0022785,-0.0058213,-0.025234,0.0038045,-0.0039177,0.010547
"M645.124T781.203",-0.052038,0.024701,-0.050974,0.033803,-0.049682,0.051115,-0.04539,-0.0094886
"M942.469T1308.469",-0.041331,0.032759,0.010925,0.005178,-0.05579,0.015492,0.0013378,0.017571
"M421.069T767.549",-0.046553,0.05143,0.0050877,-0.0071824,-0.017357,0.015239,0.010731,-0.045823
"M643.245T813.714",-0.04529,0.031129,0.0057747,0.00033016,0.031508,0.021798,-0.026025,0.013697
"M745.161T766.586",-0.044215,0.049676,-0.0042723,0.013792,0.0056641,0.00046993,-0.036612,-0.0071871
"M442.823T96.43",-0.027006,0.035181,-0.023977,-0.0081154,-0.020984,0.068679,-0.026165,0.011002
"M316.508T323.984",-0.043543,0.024702,-0.0037693,0.0083687,-0.031094,0.016709,-0.0018208,-0.0079749
"M729.273T847.264",-0.044378,0.046487,-0.0068248,-0.0087572,-0.0040789,0.030686,0.014912,-0.0044642
"M417.764T850.924",-0.041999,0.037992,0.022693,-0.021361,-0.015323,-0.018243,-0.0039275,0.022832
"M442.938T91.386",-0.042512,0.016695,-0.015105,0.02099,-0.023929,0.056483,-0.049406,0.0030595
"M653.752T320.843",-0.032687,0.036577,-0.017842,-0.0032543,-0.011269,-0.0019788,-0.019437,-0.017922
"M683.129T316.242",-0.043309,0.034837,0.017802,-0.0088269,-0.039433,-0.0088763,0.050649,-0.014392
"M653.783T316.318",-0.040133,0.023599,0.0061118,-0.0032019,0.0020101,0.0036422,0.0098219,-0.0049343
"M489.058T766.222",-0.052553,0.043969,0.03891,-0.0018317,0.0046747,0.038228,-0.00023178,-0.0051184
"M327.108T784.235",-0.044608,0.034395,-0.030622,-0.0052284,-0.03047,0.052977,-0.0045887,-0.017112
"M633.494T312.856",-0.039883,0.015895,-0.028616,0.016577,0.022293,0.013951,-0.017221,0.07642
"M851.819T1425.446",-0.046221,0.041319,0.01729,0.011448,0.0059247,0.038841,-0.039889,-0.042672
"M530.968T106.005",-0.043235,0.037359,0.006697,0.016058,-0.019824,0.006958,0.0011409,0.010411
"M1009.607T1323.757",-0.036272,0.038493,0.013451,-0.0065742,-0.04778,0.024759,-0.016397,0.015097
"M653.717T312.26",-0.032479,0.025369,-0.033068,0.024992,-0.011438,-0.036015,-0.02879,0.040974
"M1031.899T1225.646",-0.028342,0.027865,-0.0034331,-0.023124,-0.010104,0.045193,0.014947,0.029625
"M297.119T136.686",-0.048221,0.035579,-0.0088378,-0.010877,-0.025386,0.027697,-0.0014064,0.0084969
"M769.419T945.253",-0.048322,0.028126,0.0099565,-0.010699,0.026826,0.023567,-0.026266,-0.049968
"M1201.918T909.936",-0.050017,0.023962,-0.044473,-0.0025799,-0.00035876,-0.024065,0.019659,-0.020907
"M864.188T806.912",-0.042951,0.042665,-0.043875,0.041627,-0.028345,0.026871,-0.016386,-0.0078081
"M865.489T1291.829",-0.035654,0.036454,-0.010138,0.0018727,-0.059863,0.030921,-0.0037771,0.0078792
"M799.191T949.166",-0.057147,0.014101,-0.0067143,0.0117,-0.04244,0.02241,-0.019937,-0.0076603
"M1263.489T907.902",-0.045873,0.013562,-0.05057,0.061755,0.004039,-0.023825,-0.014565,0.01047
"M451.174T880.577",-0.058202,0.052374,-0.0086096,-0.036161,0.017718,-0.022822,-0.023839,0.010271
"M405.08T802.267",-0.039047,0.037769,0.0028047,-0.0011023,-0.051858,0.052006,0.00072746,0.0076656
"M309.119T137.634",-0.050568,0.029495,0.023124,-0.039312,0.006236,0.0075942,-0.031056,0.024421
"M385.077T746.611",-0.042756,0.0072031,-0.045901,0.046429,-0.012129,0.011743,-0.014212,0.02602
"M192.103T133.173",-0.042633,-0.0085885,-0.037037,0.03405,-0.066836,0.054326,0.014593,0.017916
"M1030.642T1193.369",-0.028866,0.02903,-0.012771,0.037327,0.033115,-0.042392,-0.01445,-0.016299
"M723.577T942.094",-0.048418,0.015234,-0.017613,0.073381,-0.037941,0.0022972,0.036105,-0.02262
"M1071.439T878.893",-0.048161,0.049386,0.013094,-0.035176,0.031296,-0.026876,-0.040314,0.022906
"M1069.501T1402.821",-0.04115,0.030638,0.019305,-0.01043,-0.043822,0.05883,-0.0085498,-0.044484
"M281.07T709.104",-0.050603,0.016389,-0.021316,0.020552,-0.001843,0.017035,0.020132,-0.0092271
"M577.137T781.037",-0.054267,0.023826,-0.06373,0.050448,-0.031855,0.037117,-0.053327,-0.061925
"M397.075T138.684",-0.048113,0.025921,-0.0020515,-0.0083076,-0.020737,-0.015684,-0.010542,-0.01343
"M653.861T317.501",-0.03824,0.039339,-0.00062469,-0.0069931,-0.0033257,0.0024673,-0.013077,0.0047658
"M375.104T216.821",-0.047094,0.038121,0.012733,-0.0134,-0.02356,-0.0070867,0.01485,0.017581
"M384.097T310.658",-0.047591,0.025007,0.00054079,-0.0015411,-0.023508,-0.0072111,0.016637,0.021331
"M591.094T89.826",-0.040854,0.035811,-0.01573,0.024445,-0.020873,-0.026737,-0.029718,-0.059976
"M351.085T316.423",-0.044914,0.030145,0.010266,-0.0050764,-0.021163,0.015874,0.0067331,0.0077775
"M460.969T105.772",-0.049048,0.027638,0.020555,0.016809,-0.04499,-0.0047552,0.013898,-0.010471
"M241.033T103.182",-0.043582,0.026704,-0.018702,0.005851,-0.058214,0.034149,-0.0013763,0.0075093
"M665.267T889.419",-0.043525,0.048124,-0.010111,-0.0035374,-0.019943,-0.0029224,0.018134,-0.0019935
"M969.939T315.438",-0.037223,0.030397,0.01865,0.0042273,0.030047,0.072827,-0.016389,-0.078063
"M1333.355T942.499",-0.046212,0.018952,-0.030565,0.034892,-0.057586,0.02732,-0.0038909,-0.022099
"M319.083T845.914",-0.052161,-0.0035705,0.036744,0.03399,0.0075419,-0.037139,-0.021369,0.0038906
