"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"X12.D12.2.neg",-4.4532,-12.515,2.2817,0.45322,-0.36316,-1.007,0.76658,0.18374
"X28.D12.3.neg",-0.89925,-9.8051,0.54088,-6.8612,-5.0523,2.0989,1.497,-0.061083
"X52.D12.4.neg",-2.3454,-16.14,2.6275,2.4883,4.63,-2.2916,-1.1851,-0.29064
"X05.F12.4.neg",-5.4877,3.5375,-1.6631,-2.1393,-2.6593,-3.0831,-3.2307,-1.9259
"X22.F12.1.neg",-17.207,8.5171,-0.36549,3.8601,-3.5213,0.3398,-1.6646,1.4019
"X38.F12.2.neg",-9.461,3.7858,-0.80388,-0.50771,4.0244,2.2402,3.2591,3.1229
"X43.F12.3.neg",-5.7729,3.3218,-4.9687,-0.47681,3.2605,1.8137,0.71079,-4.0724
"X02.C12.2.neg",11.177,1.3089,-4.9175,-1.3681,2.9393,2.7243,-3.9044,0.29782
"X18.C12.3.neg",12.036,-3.3393,-3.885,6.588,-4.2594,1.0002,2.4329,-1.1141
"X33.C12.4.neg",9.2925,3.4482,-4.3393,-1.3725,-0.14603,-3.2701,0.043453,4.2631
"X32.X12.2.neg",7.3149,5.4793,11.397,0.93746,-0.31546,2.5201,-1.9251,0.40973
"X41.X12.1.neg",5.8059,12.4,4.0956,-1.6015,1.4626,-3.0854,3.2002,-2.2151
