"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"M531.009T876.272",4.4915,3.0514,3.0294,3.0005,2.9983,2.9978,2.9978,2.9978
"M379.565T877.71",4.3592,2.9763,2.9148,2.8812,2.8788,2.8784,2.8784,2.8784
"M402.053T876.272",4.0475,2.8036,2.7569,2.7203,2.7182,2.7179,2.7179,2.7179
"M449.004T832.738",3.7563,2.5002,2.4805,2.4811,2.4804,2.4801,2.4801,2.4801
"M516.992T825.04",3.7517,2.5945,2.5376,2.5273,2.527,2.5266,2.5266,2.5266
"M463.02T875.074",3.5595,2.3369,2.2808,2.2504,2.2488,2.2485,2.2485,2.2485
"M469.036T876.272",3.505,2.2786,2.2203,2.1924,2.1911,2.1908,2.1908,2.1908
"M433.039T456.919",3.4298,2.2441,2.1905,2.1649,2.1673,2.167,2.167,2.167
"M354.082T204.227",3.4159,2.9139,2.8532,2.8154,2.8134,2.8139,2.8139,2.8139
"M365.528T823.98",3.3506,2.1843,2.1289,2.1223,2.1216,2.1213,2.1213,2.1213
"M1084.663T1198.774",3.3027,2.3948,2.3755,2.3517,2.35,2.3496,2.3496,2.3496
"M333.109T769.719",3.2825,2.2464,2.1968,2.1684,2.1669,2.1665,2.1665,2.1665
"M365.052T459.24",3.2489,2.108,2.0687,2.0495,2.0485,2.0484,2.0484,2.0484
"M407.173T414.983",3.2335,2.2535,2.205,2.1829,2.1812,2.1811,2.1811,2.1811
"M324.072T215.478",3.1072,2.5145,2.4502,2.4189,2.4171,2.4174,2.4174,2.4174
"M299.07T414.239",3.1013,2.1455,2.1758,2.1469,2.1477,2.1475,2.1475,2.1475
"M433.038T831.69",3.0509,2.0011,1.9612,1.9682,1.9689,1.9686,1.9686,1.9686
"M433.122T384.02",3.0394,2.2232,2.2482,2.2305,2.2294,2.229,2.229,2.229
"M206.081T834.983",2.9851,1.9189,1.8997,1.8772,1.8765,1.8764,1.8764,1.8764
"M240.933T64.89",2.8961,2.0988,2.214,2.1879,2.1865,2.1861,2.1861,2.1861
"M271.07T418.897",2.8925,1.9799,2.0212,2.0081,2.0069,2.0067,2.0067,2.0067
"M365.143T832.741",2.7673,1.7961,1.768,1.7447,1.7464,1.7462,1.7462,1.7462
"M384.092T841.195",2.7608,2.0436,1.9924,1.9714,1.9699,1.9695,1.9695,1.9695
"M203.083T418.775",2.6859,1.8171,1.9083,1.8943,1.8928,1.8925,1.8925,1.8925
"M455.021T825.04",2.6472,1.7008,1.657,1.6741,1.6737,1.6734,1.6734,1.6734
"M333.041T419.397",2.5955,1.7596,1.8782,1.8624,1.8609,1.8606,1.8606,1.8606
"M204.085T413.719",2.5831,1.668,1.7718,1.7521,1.7506,1.7503,1.7503,1.7503
"M401.05T875.074",2.5802,1.6565,1.6152,1.5951,1.5949,1.5946,1.5946,1.5946
"M684.191T618.708",2.5353,1.7689,1.8379,1.8183,1.8175,1.8177,1.8177,1.8177
"M365.136T768.138",2.5238,1.6499,1.6087,1.5874,1.5861,1.5859,1.5859,1.5859
"M220.134T731.802",2.5136,1.9777,1.9683,1.9451,1.9447,1.9449,1.9449,1.9449
"M387.034T831.689",2.421,1.5626,1.5309,1.5228,1.5243,1.524,1.524,1.524
"M206.082T164.917",2.4201,2.2857,2.2811,2.3069,2.3057,2.3053,2.3053,2.3053
"M263.13T940.795",2.4173,1.6979,1.6562,1.6818,1.6812,1.681,1.681,1.681
"M279.124T874.724",2.3872,1.7292,1.6894,1.6758,1.6758,1.6755,1.6755,1.6755
"M1162.58T906.276",2.3787,1.7817,1.8428,1.9177,1.9164,1.9162,1.9162,1.9162
"M410.078T615.621",2.3733,1.528,1.6383,1.6284,1.6297,1.6296,1.6296,1.6296
"M272.073T418.674",2.3697,1.6234,1.9247,1.9073,1.9063,1.9059,1.906,1.906
"M289.12T769.482",2.367,1.5548,1.5148,1.4953,1.4941,1.4938,1.4938,1.4938
"M333.062T954.304",2.3358,1.514,1.475,1.5084,1.5072,1.5076,1.5076,1.5076
"M380.071T778.258",2.3356,1.5033,1.4716,1.4526,1.4526,1.4526,1.4526,1.4526
"M292.14T116.338",2.3059,1.5489,1.5705,1.5502,1.5493,1.5492,1.5492,1.5492
"M642.302T1183.207",2.3025,1.5396,1.59,1.5689,1.573,1.5728,1.5728,1.5728
"M379.067T781.128",2.2672,1.4588,1.4379,1.4188,1.4186,1.4184,1.4184,1.4184
"M180.067T785.272",2.2613,1.4521,1.4372,1.4195,1.4185,1.4188,1.4188,1.4188
"M857.325T1034.658",2.2096,1.4269,1.4014,1.3979,1.397,1.3976,1.3976,1.3976
"M339.058T415.891",2.2056,1.4532,1.5572,1.5508,1.5501,1.55,1.55,1.55
"M824.341T916.725",2.1964,1.471,1.4588,1.4401,1.4396,1.4393,1.4393,1.4393
"M491.126T414.484",2.188,1.4298,1.393,1.3806,1.3798,1.3798,1.3798,1.3798
"M238.069T801.926",2.1807,1.4124,1.3835,1.3767,1.3756,1.3754,1.3754,1.3754
"M319.076T917.392",2.1802,1.4072,1.371,1.426,1.425,1.4248,1.4248,1.4248
"M401.027T415.826",2.1698,1.4239,1.5489,1.5414,1.5401,1.5398,1.5398,1.5398
"M850.805T68.208",2.1561,2.1425,2.0888,2.063,2.0627,2.0627,2.0627,2.0627
"M429.141T889.195",2.1466,1.3883,1.3667,1.3488,1.3477,1.3476,1.3476,1.3476
"M640.844T67.188",2.093,2.0988,2.047,2.021,2.0205,2.0202,2.0202,2.0202
"M471.046T618.546",2.0892,1.3522,1.4405,1.4324,1.4312,1.4311,1.4311,1.4311
"M469.019T418.674",2.0875,1.4126,1.5606,1.5499,1.5487,1.5484,1.5484,1.5484
"M489.691T902.138",2.0673,1.541,1.5267,1.5622,1.562,1.5618,1.5618,1.5618
"M641.302T1183.734",2.0637,1.3245,1.4116,1.393,1.3932,1.393,1.393,1.393
"M389.108T489.956",2.0596,2.189,2.1402,2.1158,2.1142,2.1139,2.1139,2.1139
"M1163.085T907.707",2.0206,1.441,1.6148,1.6573,1.656,1.6558,1.6558,1.6558
"M349.057T865.046",2.0081,1.2895,1.2776,1.2681,1.2674,1.2677,1.2677,1.2677
"M409.075T617.585",1.9702,1.2666,1.3277,1.3368,1.3364,1.3362,1.3362,1.3362
