"","X12.D12.2.neg","X28.D12.3.neg","X52.D12.4.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg"
"Label","Drought","Drought","Drought","Mock","Mock","Mock"
"M375.07T470.729"," 0.17816833"," 0.53351966","-0.39314314"," 0.27252211","-0.63592454"," 0.04485757"
"M354.093T469.671"," 0.22823387"," 0.51415360","-0.39835515"," 0.23804486","-0.63906772"," 0.05699055"
"M437.041T470.729"," 0.1404619"," 0.4216354","-0.3827165"," 0.2963931","-0.6053088"," 0.1295349"
"M757.441T1176.453","-0.07436756"," 0.08175144","-0.35743834"," 0.45050479"," 0.45790085","-0.55835117"
"M881.515T1351.787"," 0.2863173"," 0.3573067","-0.3735611","-0.2432833"," 0.1154454","-0.1422250"
"M511.24T944.134"," 0.1422518"," 0.5921701","-0.1900357","-0.3420705","-0.3822405"," 0.1799247"
"M557.187T899.436"," 0.419686234"," 0.450028815"," 0.064614568","-0.004238543","-0.410507369","-0.519583705"
"M758.447T1173.243","-0.10122787"," 0.70058599","-0.46546341","-0.03215948"," 0.11323367","-0.21496890"
"M854.516T1290.85"," 0.4741639"," 0.3426757","-0.2160830","-0.2660083","-0.1969549","-0.1377934"
"M1013.86T1346.532"," 0.2950945"," 0.5765244","-0.2753564","-0.0238369","-0.4131467","-0.1592788"
"M627.643T1193.32"," 0.3807718","-0.3986381","-0.8572301"," 0.1503864"," 0.2364309"," 0.4882791"
"M941.508T1318.851","-0.11737653"," 0.60208494","-0.25896265","-0.40728902"," 0.06142932"," 0.12011396"
"M701.418T1268.098","-0.22079274"," 0.70231239","-0.56341442"," 0.06677433"," 0.26220473","-0.24708428"
"M875.467T1241.171","-0.16587498"," 0.47011290","-0.36278713"," 0.01811446","-0.10170070"," 0.14213545"
"M1085.513T1348.399"," 0.2844937"," 0.5148874","-0.1864207","-0.3850882","-0.3849318"," 0.1570596"
"M466.978T106.664"," 0.27214492"," 0.38798514","-0.08719508","-0.45656470","-0.29257949"," 0.17620921"
"M861.451T1062.153"," 0.1536197"," 0.5229362","-0.3445252","-0.4379025"," 0.2365870","-0.1307151"
"M545.297T1155.639"," 0.05711452"," 0.44800980"," 0.25060871","-0.32681378","-0.26170743","-0.16721183"
"M1059.606T1053.565"," 0.4139270"," 0.7597034","-0.5789571","-0.1238753","-0.1646292","-0.3061688"
"M1096.195T893.605","-0.33436058","-0.07617095","-0.48428077","-0.31022815"," 0.39308060"," 0.81195986"
"M180.067T785.272"," 0.63025639"," 0.54627579"," 0.01411103","-0.16102131","-0.78040119","-0.24922071"
"M633.053T106.254"," 0.37899354"," 0.41990212","-0.11989155","-0.34157193","-0.26079944","-0.07663274"
"M1014.89T1344.191"," 0.38250517"," 0.31439292","-0.40691960"," 0.06499019","-0.55653393"," 0.20156526"
"M473.173T806.642"," 0.090134182"," 0.744503831","-0.605209140","-0.118088249","-0.103646622","-0.007694001"
"M1269.507T907.7","-0.07852199","-0.08701735","-0.79790745"," 0.04868530"," 0.58911340"," 0.32564809"
"M985.574T1225.672"," 0.2175381"," 0.4142496","-0.4392068"," 0.1268051","-0.5015065"," 0.1821204"
"M1030.586T1195.906"," 0.1237541"," 0.4463333","-0.4037403","-0.1311913","-0.1777423"," 0.1425865"
"M1097.549T894.492"," 0.13379767","-0.01111567","-0.16802437","-0.10409320"," 0.52646983","-0.37703427"
"M851.912T1326.892"," 0.12318774"," 0.25088876","-0.56414762"," 0.19137165"," 0.07416425","-0.07546478"
"M983.568T1252.43"," 0.06304856","-0.17668538","-0.22332905"," 0.43803712","-0.01462114","-0.08645011"
"M457.19T799.683"," 0.14939786"," 0.34374264","-0.64529342"," 0.05179139","-0.13003552"," 0.23039704"
"M821.506T1329.663","-0.1187490"," 0.3217692","-0.5406099"," 0.2693292","-0.2344861"," 0.3027465"
"M768.448T1315.096"," 0.17585474"," 0.55292575","-0.18678813"," 0.01009796","-0.48937373","-0.06271659"
"M531.078T845.355"," 0.2308879","-0.3504717","-0.2359775"," 0.2890229"," 0.4129628","-0.3464245"
"M309.118T727.508"," 0.32138292","-0.63267451","-0.07211422"," 0.34007185","-0.06859446"," 0.11192842"
"M655.999T943.196"," 0.3874789"," 0.1997117","-0.5606586","-0.3743115"," 0.2255332"," 0.1222463"
"M277.129T811.716","-0.09626181"," 0.43635851","-0.44026108"," 0.21581860","-0.50207775"," 0.38642352"
"M649.026T106.128"," 0.5054644"," 0.4950941","-0.1822681","-0.4283573","-0.3345831","-0.0553501"
"M1097.561T894.34"," 0.22405914","-0.09187663","-0.77871824"," 0.36181840"," 0.55038015","-0.26566281"
"M921.374T936.829"," 0.56986507"," 0.28120243"," 0.15796995","-0.12188519","-0.96178027"," 0.07462802"
"M851.794T1356.146","-0.2569855"," 0.3862476","-0.1989114"," 0.2090656"," 0.3117414","-0.4511577"
"M451.007T107.467"," 0.34546800"," 0.53617437","-0.20555337","-0.44122615","-0.31773467"," 0.08287182"
"M1100.582T1225.322","-0.04936288"," 0.43845629","-0.22584350","-0.20089835","-0.31579754"," 0.35344597"
"M649.302T900.549"," 0.25469891"," 0.34385118"," 0.03440769","-0.28240509","-0.41971152"," 0.06915883"
"M1161.883T894.146"," 0.022041675","-0.318995627","-0.705294801","-0.009250924"," 0.459091662"," 0.552408015"
"M286.972T107.919"," 0.51420721"," 0.32315453","-0.08124360","-0.41859007","-0.25648491","-0.08104317"
"M581.318T900.123"," 0.27557412","-0.07922679","-0.30674191","-0.15367905","-0.27982364"," 0.54389727"
"M1014.585T1348.471"," 0.2531622"," 0.4157381","-0.1837585","-0.1386721","-0.5439827"," 0.1975131"
"M799.289T814.54"," 0.32395081"," 0.12783849","-0.50506157"," 0.29252287","-0.05322546","-0.18602514"
"M1053.272T316.465"," 0.588456969"," 0.004245741","-0.210990856","-0.276185535","-0.265332565"," 0.159806245"
"M1097.037T893.528","-7.779791e-01"," 3.610363e-01"," 8.490345e-05"," 2.214917e-02"," 6.167845e-01","-2.220757e-01"
"M869.849T1307.413"," 0.1910965"," 0.2845360","-0.5310267","-0.1941776","-0.1328495"," 0.3824212"
"M1071.559T892.477","-0.32583036","-0.03587490","-0.24513382"," 0.10943079"," 0.52859687","-0.03118859"
"M1000.263T316.358"," 0.66230535"," 0.05796462","-0.13798353","-0.54195146","-0.29462784"," 0.25429286"
"M767.194T317.413","-0.66086117"," 0.46117564","-0.02613925"," 0.09451256","-0.23683331"," 0.36814553"
"M280.961T95.439"," 0.2039548"," 0.3476947","-0.3266243","-0.5218801","-0.2408113"," 0.5376661"
"M650.407T1378.088"," 0.61359109"," 0.21827938","-0.15714567","-0.22631326","-0.50020041"," 0.05178887"
"M653.891T318.024"," 0.55316384"," 0.43274720","-0.13034497","-0.09572869","-0.35336207","-0.40647530"
"M560.841T1187.938","-0.07427224","-0.85930069"," 0.10715000"," 0.38878929"," 0.11259945"," 0.32503420"
"M354.957T108.842"," 0.28769172"," 0.55429927","-0.17061342","-0.36493547","-0.25111952","-0.05532258"
"M206.082T164.917"," 0.5437519"," 0.8519642","-0.0911881","-0.6047483","-0.5183193","-0.1814605"
"M1161.521T895.466","-0.18392955","-0.13692412","-0.51152432"," 0.05503909"," 0.56981453"," 0.20752438"
"M418.218T902.438","-0.01450031"," 0.51516547","-0.32381643","-0.15914470","-0.65949807"," 0.64179404"
"M632.783T316.499"," 0.53643062","-0.05513391","-0.07774416","-0.31978673","-0.34847485"," 0.26470903"
"M451.218T291.531","-0.0894032"," 0.3349125","-0.4049522"," 0.1492798","-0.4667039"," 0.4768669"
"M344.099T126.621"," 0.3758031"," 0.2699220","-0.1183604","-0.2251507","-0.6574077"," 0.3551936"
"M653.691T320.692"," 0.386054036"," 0.064160719","-0.515477528","-0.226847947"," 0.002820644"," 0.289290075"
"M385.113T835.894"," 0.3450613"," 0.5281605"," 0.2060497"," 0.2586781","-1.1875314","-0.1504183"
"M627.229T851.009"," 0.37603115"," 0.29370347","-0.51031564"," 0.04343461","-0.68830100"," 0.48544741"
"M885.489T1408.277"," 0.08336582"," 0.55111251","-0.14853719","-0.21882262","-0.42506315"," 0.15794463"
"M645.124T781.203"," 0.2606673"," 0.1737992","-0.6518868"," 0.2937246"," 0.1872430","-0.2635474"
"M942.469T1308.469"," 0.18750482"," 0.52946670","-0.43377073","-0.38786528","-0.05435299"," 0.15901749"
"M421.069T767.549"," 0.03137163"," 0.54911416","-0.45406755"," 0.18286968","-0.11722436","-0.19206357"
"M643.245T813.714"," 0.15316362","-0.01695810"," 0.25483566"," 0.05760808","-0.67137289"," 0.22272363"
"M745.161T766.586"," 0.4144281","-0.3432566","-0.4005868"," 0.4798468","-0.3482093"," 0.1977778"
"M442.823T96.43","-0.02484294"," 0.16751632","-0.67025454"," 0.68012637"," 0.04539763","-0.19794284"
