"","Fold Change","log2(FC)"
"M204.085T413.719",0.0064812,-7.2695
"M684.191T618.708",0.011252,-6.4736
"M272.073T418.674",0.018539,-5.7533
"M516.992T825.04",0.018654,-5.7444
"M433.039T456.919",0.023468,-5.4132
"M410.078T615.621",0.031664,-4.981
"M469.036T876.272",0.036515,-4.7754
"M299.07T414.239",0.036938,-4.7587
"M433.122T384.02",0.038241,-4.7087
"M333.041T419.397",0.038681,-4.6922
"M365.528T823.98",0.038877,-4.685
"M449.004T832.738",0.040252,-4.6348
"M206.081T834.983",0.043133,-4.5351
"M203.083T418.775",0.043999,-4.5064
"M726.284T1051.577",0.048087,-4.3782
"M379.565T877.71",0.054931,-4.1862
"M354.082T204.227",0.054941,-4.186
"M271.07T418.897",0.055325,-4.1759
"M455.021T825.04",0.055676,-4.1668
"M365.052T459.24",0.056075,-4.1565
"M387.034T831.689",0.058055,-4.1064
"M641.302T1183.734",0.060116,-4.0561
"M433.038T831.69",0.060799,-4.0398
"M531.009T876.272",0.061875,-4.0145
"M642.302T1183.207",0.06453,-3.9539
"M319.076T917.392",0.072118,-3.7935
"M471.046T618.546",0.072784,-3.7802
"M463.02T875.074",0.083125,-3.5886
"M339.058T415.891",0.094287,-3.4068
"M401.027T415.826",0.094821,-3.3986
"M679.277T1051.577",0.095344,-3.3907
"M469.019T418.674",0.098825,-3.339
"M333.062T954.304",0.099075,-3.3353
"M687.305T1181.604",0.10368,-3.2698
"M477.061T615.621",0.109,-3.1975
"M263.13T940.795",0.10937,-3.1927
"M407.173T414.983",0.11337,-3.1408
"M824.341T916.725",0.1182,-3.0807
"M614.901T67.494",8.1704,3.0304
"M402.053T876.272",0.12485,-3.0017
"M476.12T661.378",7.8641,2.9753
"M759.145T875.232",0.12891,-2.9556
"M857.325T1034.658",0.12916,-2.9527
"M529.184T941.182",0.13165,-2.9253
"M317.064T416.942",0.13456,-2.8937
"M380.071T778.258",0.13505,-2.8884
"M341.535T617.585",0.13604,-2.8779
"M409.075T617.585",0.13853,-2.8517
"M539.034T616.33",0.14097,-2.8266
"M365.143T832.741",0.14971,-2.7397
"M401.05T875.074",0.15159,-2.7217
"M238.069T801.926",0.1537,-2.7018
"M292.14T116.338",0.15418,-2.6973
"M721.31T972.44",0.1583,-2.6592
"M341.465T625.973",0.15934,-2.6499
"M273.314T67.476",5.9987,2.5846
"M661.142T919.275",0.16864,-2.568
"M969.698T320.725",0.17072,-2.5503
"M349.057T865.046",0.17166,-2.5424
"M279.139T1150.344",0.17282,-2.5326
"M870.809T67.494",5.7403,2.5211
"M384.092T841.195",0.19189,-2.3817
"M683.887T67.591",5.0623,2.3398
"M379.067T781.128",0.20432,-2.2911
"M365.136T768.138",0.20632,-2.277
"M915.823T68.606",4.7675,2.2532
"M429.141T889.195",0.21161,-2.2405
"M951.397T1014.118",0.2128,-2.2324
"M404.916T66.832",4.6286,2.2106
"M863.373T951.624",0.22,-2.1844
"M260.967T89.826",0.22075,-2.1795
"M447.05T875.673",0.22193,-2.1718
"M938.802T67.374",4.3771,2.13
"M393.081T756.691",0.2363,-2.0813
"M988.804T68.066",4.1988,2.07
"M341.31T626.276",0.24847,-2.0088
"M373.167T930.605",0.2558,-1.9669
"M1197.053T906.963",3.9049,1.9653
"M260.048T118.657",0.25868,-1.9508
"M491.126T414.484",0.25961,-1.9456
"M754.827T67.274",3.802,1.9268
"M943.39T965.159",0.26327,-1.9254
"M964.359T921.966",0.26443,-1.919
"M923.402T931.508",0.26577,-1.9118
"M1613.665T937.741",0.26603,-1.9103
"M319.083T845.914",0.27498,-1.8626
"M814.836T68.186",3.6306,1.8602
"M771.811T66.858",3.623,1.8572
"M919.334T939.971",0.27649,-1.8547
"M1014.419T974.744",0.2767,-1.8536
"M341.259T618.637",0.27765,-1.8487
"M206.082T164.917",0.28339,-1.8191
"M1134.038T907.684",3.5206,1.8158
"M333.109T769.719",0.28439,-1.8141
"M407.045T415.442",0.28507,-1.8106
"M293.118T1042.937",0.28642,-1.8038
"M413.179T861.909",0.28652,-1.8033
"M1009.386T967.414",0.28706,-1.8006
"M503.143T589.731",0.28745,-1.7986
"M578.43T1675.044",0.29125,-1.7797
"M324.072T215.478",0.2937,-1.7676
"M728.269T963.544",0.29748,-1.7491
"M712.22T783.012",0.29867,-1.7434
"M187.905T92.369",0.29967,-1.7386
"M937.334T882.127",0.3009,-1.7326
"M269.05T89.726",0.30215,-1.7267
"M538.221T942.724",0.3032,-1.7216
"M1432.595T1048.493",0.30347,-1.7204
"M1163.085T907.707",3.2591,1.7045
"M395.28T1470.273",0.30799,-1.6991
"M481.183T769.795",0.30964,-1.6913
"M1109.422T909.522",0.31085,-1.6857
"M643.245T933.361",0.31106,-1.6847
"M320.919T92.078",0.31112,-1.6844
"M806.978T940.468",0.31472,-1.6679
"M454.144T914.383",0.31848,-1.6507
"M289.12T769.482",0.31925,-1.6472
"M789.663T1119.968",0.32515,-1.6208
"M341.088T304.64",0.32568,-1.6185
"M299.259T1433.689",0.32606,-1.6168
"M461.037T823.98",0.33096,-1.5953
"M1163.56T905.015",3.017,1.5931
"M1463.124T939.772",0.33391,-1.5825
"M559.276T958.275",0.33639,-1.5718
"M1611.697T937.933",0.33992,-1.5567
"M871.351T913.248",0.34275,-1.5448
"M349.056T728.324",0.3514,-1.5088
"M806.921T938.616",0.35542,-1.4924
"M893.38T934.735",0.35755,-1.4838
"M401.18T764.21",2.7411,1.4548
"M1176.528T983.06",0.36685,-1.4467
"M851.276T990.376",0.36805,-1.442
"M967.36T964.868",0.36842,-1.4406
"M824.816T67.434",2.7073,1.4369
"M405.177T839.252",0.37003,-1.4343
"M507.209T930.4",0.37141,-1.4289
"M427.124T881.088",0.37187,-1.4271
"M640.844T67.188",2.6875,1.4263
"M711.218T782.65",0.37428,-1.4178
"M518.153T824.178",0.37622,-1.4104
"M884.8T66.979",2.6419,1.4016
"M1130.437T924.326",0.38057,-1.3938
"M180.067T785.272",0.38122,-1.3913
"M467.156T971.498",0.38137,-1.3907
"M389.108T489.956",2.6069,1.3823
"M747.22T952.211",0.38429,-1.3797
"M555.158T835.854",0.38796,-1.366
"M1162.58T906.276",2.5619,1.3572
"M795.198T1006.041",0.39148,-1.353
"M872.81T67.519",2.5494,1.3502
"M798.851T67.54",2.5494,1.3501
"M279.124T874.724",0.39482,-1.3407
"M1042.422T909.151",0.39614,-1.3359
"M543.282T933.008",0.40212,-1.3143
"M521.224T935.29",0.405,-1.304
"M355.433T783.665",0.40611,-1.3
"M772.809T66.771",2.4597,1.2985
"M728.88T67.591",2.4595,1.2983
"M1044.425T908.907",0.40709,-1.2966
"M895.304T938.238",0.40751,-1.2951
"M732.876T67.374",2.4457,1.2902
"M1462.52T939.973",0.40907,-1.2896
"M225.002T107.866",0.40926,-1.2889
"M823.337T914.416",0.41074,-1.2837
"M361.323T326.759",0.41238,-1.278
"M1163.579T906.602",2.415,1.272
"M852.339T915.443",0.41459,-1.2702
"M886.794T67.143",2.4056,1.2664
"M356.995T88.504",0.41581,-1.266
"M313.119T883.187",0.42026,-1.2506
"M684.885T67.374",2.3787,1.2502
"M611.147T106.977",0.42057,-1.2496
"M475.366T1425.395",0.42137,-1.2469
"M760.823T66.885",2.3704,1.2451
"M562.835T1148.266",0.42363,-1.2391
"M974.806T67.938",2.3597,1.2386
"M942.309T937.647",0.42412,-1.2375
"M549.258T834.983",0.42533,-1.2334
"M1193.041T904.79",2.3484,1.2317
"M698.26T899.18",0.42615,-1.2306
"M272.959T67.281",2.3417,1.2275
"M693.278T872.306",0.42861,-1.2223
"M517.897T66.885",2.3157,1.2114
"M885.822T66.912",2.3107,1.2083
"M821.606T900.199",0.43334,-1.2064
"M591.465T1235.608",0.43449,-1.2026
"M564.929T1201.416",0.43529,-1.2
"M696.3T853.355",0.43816,-1.1905
"M1005.392T917.562",0.43905,-1.1875
"M1132.537T923.907",0.43976,-1.1852
"M369.569T765.536",2.2674,1.181
"M333.06T88.804",0.44216,-1.1774
"M957.374T926.518",0.44362,-1.1726
"M447.222T1194.448",0.44419,-1.1708
"M503.126T874.193",0.44596,-1.165
"M1035.367T890.845",0.4464,-1.1636
"M759.826T66.885",2.2399,1.1635
"M1096.195T893.605",2.2311,1.1578
"M1197.439T886.215",0.44888,-1.1556
"M359.123T830.487",0.44986,-1.1524
"M851.338T916.834",0.45008,-1.1517
"M513.235T964.262",0.45048,-1.1505
"M505.3T1291.082",0.45476,-1.1368
"M220.134T731.802",0.45544,-1.1347
"M631.877T67.938",2.1818,1.1255
"M775.338T1039.594",0.45982,-1.1209
"M927.368T972.44",0.46191,-1.1143
"M809.324T904.082",0.46216,-1.1135
"M1094.211T893.809",0.4633,-1.11
"M1243.514T983.057",0.4637,-1.1087
"M808.342T938.944",0.46425,-1.107
"M771.83T66.444",2.1517,1.1055
"M868.801T68.637",2.1407,1.0981
"M645.252T899.393",0.46768,-1.0964
"M735.222T927.83",0.4689,-1.0926
"M487.212T857.117",0.46933,-1.0913
"M850.805T68.208",2.1291,1.0903
"M807.007T938.915",0.47088,-1.0866
"M357.108T784.337",0.47236,-1.082
"M1043.424T909.662",0.47339,-1.0789
"M385.113T835.894",0.47627,-1.0702
"M617.133T750.744",0.47778,-1.0656
"M1130.433T884.599",0.47795,-1.0651
"M505.029T765.672",0.47964,-1.06
"M311.186T1077.614",0.47991,-1.0592
"M439.083T756.683",0.48246,-1.0515
"M1084.663T1198.774",0.4831,-1.0496
"M941.306T938.915",0.48513,-1.0435
"M483.183T857.732",0.48925,-1.0314
"M493.136T809.014",0.49058,-1.0274
"M1161.883T894.146",2.0321,1.023
"M429.074T115.482",0.49215,-1.0228
"M587.201T848.147",0.49312,-1.02
"M921.374T936.829",0.4932,-1.0197
"M1105.431T888.552",0.49433,-1.0165
"M950.337T882.881",0.49681,-1.0092
"M785.833T68.422",2.0117,1.0084
"M293.177T1099.499",0.49869,-1.0038
"M508.215T930.69",0.4989,-1.0032
"M418.896T66.885",0.49891,-1.0031
"M714.826T66.684",2.0001,1.0001
