"","PC1","PC2","PC3","PC4","PC5","PC6"
"M375.07T470.729",-0.020472,0.045912,0.026964,-0.025099,0.030517,0.32571
"M354.093T469.671",-0.021601,0.045942,0.026933,-0.019813,0.029719,-0.52469
"M437.041T470.729",-0.015996,0.048406,0.020496,-0.020941,0.026799,-0.21969
"M757.441T1176.453",0.018204,-0.021371,0.032058,-0.016434,0.063337,0.027885
"M881.515T1351.787",-0.009625,-0.0039458,0.045956,0.015607,0.0042954,-0.72952
"M511.24T944.134",-0.024587,0.02225,0.032808,-0.0082811,-0.029236,0.00055407
"M557.187T899.436",-0.032381,-0.007784,0.015335,-0.01427,0.042544,0.0011427
"M758.447T1173.243",-0.004064,0.00096472,0.062253,-0.029913,0.0057998,0.001549
"M854.516T1290.85",-0.023502,0.0031826,0.030766,0.019274,0.0094675,0.0061053
"M1013.86T1346.532",-0.025375,0.018244,0.035239,-0.01314,0.020963,-0.00081382
"M627.643T1193.32",0.021617,0.040957,0.027357,0.069175,0.018023,0.0053985
"M941.508T1318.851",-0.0085514,0.0028912,0.047724,-0.013884,-0.043154,0.0061091
"M701.418T1268.098",0.004595,-0.0011255,0.069261,-0.03601,0.01065,0.0017671
"M875.467T1241.171",-0.0017254,0.022523,0.036202,-0.024085,-0.011009,-0.0022993
"M1085.513T1348.399",-0.02712,0.020187,0.030589,0.0047378,-0.024471,0.0064012
"M466.978T106.664",-0.024316,0.012563,0.022429,0.012075,-0.032342,0.00061654
"M861.451T1062.153",-0.0097842,-0.01308,0.057188,0.007608,-0.019072,-0.0023806
"M545.297T1155.639",-0.025023,-0.011073,0.0083586,-0.020903,-0.019793,0.0018376
"M1059.606T1053.565",-0.02376,0.0095358,0.069484,-0.0030459,0.028714,-0.004334
"M1096.195T893.605",0.0263,0.027875,0.026312,0.025758,-0.074232,0.0059734
"M180.067T785.272",-0.047492,0.016844,0.014489,-0.0019181,0.0272,0.0055689
"M633.053T106.254",-0.026282,0.0038753,0.027773,0.010087,-0.0055078,0.0020567
"M1014.89T1344.191",-0.02042,0.045149,0.022039,0.0086561,0.017192,-0.00057236
"M473.173T806.642",-0.01232,0.021028,0.066801,-0.014864,-0.00050287,0.013199
"M1269.507T907.7",0.031231,0.016457,0.047912,0.032051,-0.006033,0.0093703
"M985.574T1225.672",-0.016193,0.044639,0.0281,-0.00658,0.015144,-0.00075465
"M1030.586T1195.906",-0.011013,0.023508,0.039276,-0.0013372,-0.0084582,0.0064068
"M1097.549T894.492",0.0083367,-0.034249,0.027059,0.018175,0.018534,0.0034743
"M851.912T1326.892",0.0038138,0.015748,0.041936,0.0019397,0.030429,0.0048625
"M983.568T1252.43",0.0098326,0.012946,-0.0022288,0.0015759,0.045357,-0.00078888
"M457.19T799.683",-0.0022151,0.036707,0.044905,0.0071426,0.0062724,-0.0045429
"M821.506T1329.663",0.003629,0.045447,0.030345,-0.017615,0.0060514,0.0028823
"M768.448T1315.096",-0.024195,0.02342,0.025489,-0.021824,0.012296,0.007019
"M531.078T845.355",0.01624,-0.018344,0.0063135,0.027835,0.055056,0.0033492
"M309.118T727.508",0.0095053,0.016169,-0.031964,0.041101,0.040281,0.0033307
"M655.999T943.196",-0.0036463,0.0058754,0.051035,0.044188,-0.011345,0.0065141
"M277.129T811.716",-0.0070538,0.055557,0.024083,-0.025549,-0.0028351,-0.0051929
"M649.026T106.128",-0.032512,0.0078607,0.034625,0.017268,-0.0069502,0.0019226
