"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5"
"M375.07T470.729",-0.017151,0.045647,-0.036772,-0.015726,-0.03198
"M354.093T469.671",-0.018242,0.046537,-0.031552,-0.015516,-0.031996
"M437.041T470.729",-0.012416,0.047698,-0.0327,-0.015045,-0.025045
"M757.441T1176.453",0.016434,-0.027183,-0.01785,-0.045901,-0.044221
"M881.515T1351.787",-0.0098916,-0.00031328,0.014571,0.011478,-0.046391
"M511.24T944.134",-0.023014,0.025836,-0.010845,0.040544,-0.025407
"M557.187T899.436",-0.033309,-0.002921,-0.016633,-0.032765,-0.023541
"M758.447T1173.243",-0.0042694,-0.0021315,-0.031319,0.020684,-0.060752
"M854.516T1290.85",-0.023244,0.0099976,0.01656,0.00067847,-0.03286
"M1013.86T1346.532",-0.024187,0.021145,-0.01913,-0.0050923,-0.03841
"M627.643T1193.32",0.025502,0.043207,0.057715,-0.01329,-0.033535
"M941.508T1318.851",-0.0084756,0.0030038,-0.011592,0.059535,-0.036671
"M701.418T1268.098",0.0042176,-0.0067605,-0.037371,0.019338,-0.06838
"M875.467T1241.171",-0.00014074,0.019338,-0.027787,0.026313,-0.032004
"M1085.513T1348.399",-0.025626,0.025858,0.0019063,0.03395,-0.024803
"M466.978T106.664",-0.023349,0.018816,0.011424,0.037503,-0.015425
"M861.451T1062.153",-0.010834,-0.010008,0.010254,0.038257,-0.051949
"M545.297T1155.639",-0.026193,-0.0079326,-0.016987,0.023636,-0.0029896
"M1059.606T1053.565",-0.023196,0.013252,-0.0089723,-0.0006878,-0.073885
"M1096.195T893.605",0.028877,0.025087,0.025688,0.076908,-0.010768
"M180.067T785.272",-0.04644,0.025775,-0.0081331,-0.019766,-0.019973
"M633.053T106.254",-0.026047,0.010302,0.0087589,0.014504,-0.026329
"M1014.89T1344.191",-0.016891,0.048979,-0.0023925,-0.0084423,-0.025686
"M473.173T806.642",-0.010858,0.02091,-0.020129,0.026922,-0.064499
"M1269.507T907.7",0.032935,0.013049,0.027838,0.020382,-0.046799
"M985.574T1225.672",-0.012801,0.045796,-0.017113,-0.0027621,-0.030527
"M1030.586T1195.906",-0.0092264,0.02486,-0.0060981,0.022814,-0.036493
"M1097.549T894.492",0.005779,-0.033255,0.022305,-0.0093459,-0.03106
"M851.912T1326.892",0.0050691,0.0143,-0.004628,-0.012984,-0.047602
"M983.568T1252.43",0.010907,0.010427,-0.0046863,-0.043354,-0.0077203
"M457.19T799.683",0.00072386,0.036737,-0.0016716,0.010367,-0.04555
"M821.506T1329.663",0.0071094,0.041218,-0.027181,0.0076853,-0.030301
"M768.448T1315.096",-0.022648,0.025044,-0.027664,0.00029754,-0.026682
"M531.078T845.355",0.015056,-0.018424,0.026088,-0.052093,-0.019149
"M309.118T727.508",0.011154,0.018479,0.034405,-0.053557,0.020747
"M655.999T943.196",-0.0028749,0.011444,0.041863,0.025236,-0.049171
"M277.129T811.716",-0.0028814,0.052459,-0.036089,0.014538,-0.021972
"M649.026T106.128",-0.03194,0.016291,0.014929,0.017715,-0.033008
"M1097.561T894.34",0.023718,-0.0037429,0.022322,-0.042832,-0.0619
"M921.374T936.829",-0.042182,0.043093,-0.0024456,-0.015774,0.011017
"M851.794T1356.146",0.0063834,-0.026712,-0.036666,-0.0083333,-0.03935
"M451.007T107.467",-0.02724,0.02029,0.0074329,0.033423,-0.030865
"M1100.582T1225.322",-0.009909,0.031574,-0.015236,0.042793,-0.015713
"M649.302T900.549",-0.025312,0.018152,-0.00086826,0.017835,-0.00572
"M1161.883T894.146",0.032481,0.025946,0.045338,0.021601,-0.02598
"M286.972T107.919",-0.028847,0.0092457,0.023403,0.010919,-0.022601
"M581.318T900.123",-0.0022124,0.045222,0.029728,0.018456,-0.0011037
"M1014.585T1348.471",-0.022385,0.037322,-0.008651,0.014537,-0.015512
"M799.289T814.54",-0.00027613,0.016776,0.0024966,-0.039447,-0.041902
"M1053.272T316.465",-0.017757,0.026859,0.041603,-0.0013132,-0.01272
"M1097.037T893.528",0.021301,-0.043793,-0.048085,0.040773,-0.02051
"M869.849T1307.413",-0.0029878,0.037079,0.013985,0.031048,-0.034166
"M1071.559T892.477",0.024413,-0.018166,-0.0044482,0.010549,-0.019514
"M1000.263T316.358",-0.025177,0.027062,0.053562,0.020004,-0.0094954
"M767.194T317.413",0.0061177,0.020371,-0.06226,0.050309,0.0034816
"M280.961T95.439",-0.013324,0.037745,0.021813,0.061375,-0.019847
"M650.407T1378.088",-0.028764,0.031254,0.022678,-0.0071746,-0.015888
"M653.891T318.024",-0.031738,0.0055716,0.00083021,-0.026425,-0.035062
"M560.841T1187.938",0.028227,0.011249,0.026665,-0.035205,0.047259
"M354.957T108.842",-0.025764,0.010921,-0.00041783,0.025484,-0.03303
"M206.082T164.917",-0.049061,0.013566,-0.00025709,0.031634,-0.041804
"M1161.521T895.466",0.030092,-0.0008015,0.018229,0.016918,-0.028767
"M418.218T902.438",-0.014347,0.062218,-0.021979,0.049839,-0.011249
"M632.783T316.499",-0.018923,0.029754,0.040949,0.0058186,0.0022056
"M451.218T291.531",-0.00090502,0.053042,-0.026513,0.020355,-0.014819
"M344.099T126.621",-0.025355,0.047147,0.0069598,0.016597,-0.0019953
"M653.691T320.692",-0.0017735,0.028737,0.038305,0.01542,-0.03242
"M385.113T835.894",-0.04437,0.04408,-0.051422,-0.038615,0.0077902
"M627.229T851.009",-0.014877,0.069456,0.0011412,0.0042668,-0.021701
"M885.489T1408.277",-0.020905,0.026539,-0.019091,0.031436,-0.019825
"M645.124T781.203",0.0069339,0.0070453,0.0037377,-0.035777,-0.058111
"M942.469T1308.469",-0.012754,0.018377,0.0076694,0.043261,-0.045226
"M421.069T767.549",-0.0059305,0.012689,-0.031319,-0.0069175,-0.050298
