"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"M204.085T413.719",3.3553,3.2884,3.2878,3.2878,3.2878
"M272.073T418.674",3.0917,3.0618,3.0614,3.0614,3.0614
"M516.992T825.04",3.0531,2.9943,2.9937,2.9937,2.9937
"M684.191T618.708",3.0323,2.9833,2.9827,2.9827,2.9827
"M433.039T456.919",2.8626,2.8151,2.8146,2.8146,2.8146
"M469.036T876.272",2.8509,2.8216,2.8211,2.8211,2.8211
"M449.004T832.738",2.8265,2.7672,2.7667,2.7667,2.7667
"M365.528T823.98",2.7762,2.7185,2.718,2.718,2.718
"M206.081T834.983",2.7674,2.7211,2.721,2.721,2.721
"M299.07T414.239",2.7542,2.7046,2.7045,2.7045,2.7045
"M410.078T615.621",2.7333,2.7017,2.7012,2.7012,2.7012
"M726.284T1051.577",2.6938,2.6663,2.6658,2.6658,2.6658
"M333.041T419.397",2.6516,2.6112,2.6109,2.6109,2.6109
"M354.082T204.227",2.6428,2.6126,2.6122,2.6122,2.6122
"M455.021T825.04",2.6246,2.5708,2.5703,2.5703,2.5703
"M379.565T877.71",2.6182,2.5633,2.5629,2.5629,2.5629
"M531.009T876.272",2.6048,2.5515,2.5511,2.5511,2.5511
"M203.083T418.775",2.5848,2.5484,2.5482,2.5482,2.5482
"M387.034T831.689",2.583,2.5293,2.5288,2.5288,2.5288
"M365.052T459.24",2.5687,2.5149,2.5145,2.5145,2.5145
"M969.698T320.725",2.5647,2.5113,2.5111,2.5111,2.5111
"M433.122T384.02",2.5275,2.4916,2.4913,2.4913,2.4913
"M433.038T831.69",2.5118,2.4648,2.4643,2.4643,2.4643
"M271.07T418.897",2.4688,2.4365,2.4364,2.4364,2.4364
"M319.076T917.392",2.4361,2.3871,2.3868,2.3868,2.3868
"M333.062T954.304",2.4352,2.3877,2.3873,2.3873,2.3873
"M641.302T1183.734",2.3992,2.3581,2.3576,2.3576,2.3576
"M679.277T1051.577",2.3991,2.349,2.3487,2.3487,2.3487
"M463.02T875.074",2.3879,2.3396,2.3392,2.3392,2.3392
"M642.302T1183.207",2.3859,2.3375,2.337,2.337,2.337
"M471.046T618.546",2.3812,2.3386,2.3385,2.3385,2.3385
"M469.019T418.674",2.2734,2.2575,2.2573,2.2573,2.2573
"M401.027T415.826",2.2728,2.2445,2.2442,2.2442,2.2442
"M339.058T415.891",2.2651,2.2424,2.2422,2.2422,2.2422
"M263.13T940.795",2.2388,2.1916,2.1911,2.1911,2.1911
"M402.053T876.272",2.2061,2.1632,2.1628,2.1628,2.1628
"M857.325T1034.658",2.1923,2.157,2.1566,2.1566,2.1566
"M687.305T1181.604",2.1879,2.1433,2.1429,2.1429,2.1429
"M407.173T414.983",2.1072,2.0646,2.0646,2.0646,2.0646
"M238.069T801.926",2.0936,2.05,2.0496,2.0496,2.0496
"M401.05T875.074",2.0928,2.0494,2.0491,2.0491,2.0491
"M380.071T778.258",2.0904,2.0466,2.0462,2.0462,2.0462
"M317.064T416.942",2.0822,2.0457,2.0454,2.0454,2.0454
"M292.14T116.338",2.0778,2.0429,2.0426,2.0426,2.0426
"M824.341T916.725",2.0759,2.0671,2.0667,2.0667,2.0667
"M529.184T941.182",2.0499,2.0073,2.0069,2.0069,2.0069
"M759.145T875.232",2.0399,1.9968,1.9968,1.9968,1.9968
"M721.31T972.44",2.0131,1.9711,1.9708,1.9708,1.9708
"M341.535T617.585",2.0117,1.975,1.9747,1.9747,1.9747
"M409.075T617.585",1.9282,1.8958,1.8956,1.8956,1.8956
"M661.142T919.275",1.9223,1.8817,1.8815,1.8815,1.8815
"M384.092T841.195",1.9052,1.8711,1.8708,1.8708,1.8708
"M951.397T1014.118",1.8918,1.8742,1.8739,1.8739,1.8739
"M447.05T875.673",1.8806,1.8422,1.8419,1.8419,1.8419
"M429.141T889.195",1.8771,1.8451,1.8448,1.8448,1.8448
"M365.143T832.741",1.8727,1.8339,1.8337,1.8337,1.8337
"M365.136T768.138",1.8706,1.8389,1.8385,1.8385,1.8385
"M404.916T66.832",1.8642,1.8404,1.8401,1.8401,1.8401
"M915.823T68.606",1.8635,1.8488,1.8484,1.8484,1.8484
"M379.067T781.128",1.8583,1.821,1.8207,1.8207,1.8207
"M863.373T951.624",1.8486,1.8164,1.8161,1.8161,1.8161
"M260.967T89.826",1.8128,1.7806,1.7803,1.7803,1.7803
"M341.465T625.973",1.8035,1.7702,1.7701,1.7701,1.7701
"M988.804T68.066",1.8017,1.7859,1.7856,1.7856,1.7856
"M349.057T865.046",1.7688,1.735,1.7347,1.7347,1.7347
"M964.359T921.966",1.7609,1.7647,1.7644,1.7644,1.7644
"M477.061T615.621",1.7439,1.7201,1.72,1.72,1.72
"M393.081T756.691",1.7294,1.6978,1.6976,1.6976,1.6976
"M923.402T931.508",1.7244,1.6976,1.6973,1.6973,1.6973
"M293.118T1042.937",1.7216,1.6856,1.6854,1.6854,1.6854
"M870.809T67.494",1.7215,1.7273,1.727,1.727,1.727
"M1613.665T937.741",1.7176,1.6836,1.6833,1.6833,1.6833
"M373.167T930.605",1.7075,1.6779,1.6777,1.6777,1.6777
"M614.901T67.494",1.7016,1.7706,1.7703,1.7703,1.7703
"M539.034T616.33",1.7004,1.6645,1.6646,1.6646,1.6646
