"","FC","log2(FC)","raw.pval","-log10(p)"
"M516.992T825.04",0.018654,-5.7444,5.57e-06,5.2541
"M447.05T875.673",0.22193,-2.1718,4.3972e-05,4.3568
"M402.053T876.272",0.12485,-3.0017,6.8987e-05,4.1612
"M204.085T413.719",0.0064812,-7.2695,0.00031644,3.4997
"M238.069T801.926",0.1537,-2.7018,0.00032184,3.4924
"M404.916T66.832",4.6286,2.2106,0.00089584,3.0478
"M543.282T933.008",0.40212,-1.3143,0.0010971,2.9598
"M401.05T875.074",0.15159,-2.7217,0.0012451,2.9048
"M463.02T875.074",0.083125,-3.5886,0.0013959,2.8551
"M407.045T415.442",0.28507,-1.8106,0.0014194,2.8479
"M475.366T1425.395",0.42137,-1.2469,0.0014795,2.8299
"M439.083T756.683",0.48246,-1.0515,0.0025118,2.6
"M341.088T304.64",0.32568,-1.6185,0.0029378,2.532
"M365.052T459.24",0.056075,-4.1565,0.0030285,2.5188
"M684.191T618.708",0.011252,-6.4736,0.0030753,2.5121
"M317.064T416.942",0.13456,-2.8937,0.0033689,2.4725
"M289.12T769.482",0.31925,-1.6472,0.0035909,2.4448
"M365.136T768.138",0.20632,-2.277,0.0036715,2.4352
"M365.528T823.98",0.038877,-4.685,0.0037142,2.4301
"M384.092T841.195",0.19189,-2.3817,0.0038413,2.4155
"M564.929T1201.416",0.43529,-1.2,0.0044614,2.3505
"M852.339T915.443",0.41459,-1.2702,0.0050848,2.2937
"M641.302T1183.734",0.060116,-4.0561,0.0051994,2.284
"M455.021T825.04",0.055676,-4.1668,0.0052356,2.281
"M260.967T89.826",0.22075,-2.1795,0.0053911,2.2683
"M333.041T419.397",0.038681,-4.6922,0.0054989,2.2597
"M726.284T1051.577",0.048087,-4.3782,0.005656,2.2475
"M379.067T781.128",0.20432,-2.2911,0.005846,2.2331
"M687.305T1181.604",0.10368,-3.2698,0.00624,2.2048
"M401.027T415.826",0.094821,-3.3986,0.0064369,2.1913
"M263.13T940.795",0.10937,-3.1927,0.0064668,2.1893
"M395.28T1470.273",0.30799,-1.6991,0.006618,2.1793
"M380.071T778.258",0.13505,-2.8884,0.0066189,2.1792
"M919.334T939.971",0.27649,-1.8547,0.0072465,2.1399
"M429.141T889.195",0.21161,-2.2405,0.0074676,2.1268
"M373.167T930.605",0.2558,-1.9669,0.0075699,2.1209
"M721.31T972.44",0.1583,-2.6592,0.0077769,2.1092
"M292.14T116.338",0.15418,-2.6973,0.0079497,2.0996
"M469.036T876.272",0.036515,-4.7754,0.0080955,2.0918
"M449.004T832.738",0.040252,-4.6348,0.0084636,2.0724
"M642.302T1183.207",0.06453,-3.9539,0.0087238,2.0593
"M272.073T418.674",0.018539,-5.7533,0.008804,2.0553
"M387.034T831.689",0.058055,-4.1064,0.0089752,2.047
"M203.083T418.775",0.043999,-4.5064,0.008992,2.0461
"M341.535T617.585",0.13604,-2.8779,0.0090987,2.041
"M433.039T456.919",0.023468,-5.4132,0.0094462,2.0247
"M1134.038T907.684",3.5206,1.8158,0.0095858,2.0184
"M393.081T756.691",0.2363,-2.0813,0.010425,1.9819
"M531.009T876.272",0.061875,-4.0145,0.011076,1.9556
"M354.082T204.227",0.054941,-4.186,0.011552,1.9374
"M824.341T916.725",0.1182,-3.0807,0.011567,1.9368
"M319.076T917.392",0.072118,-3.7935,0.012765,1.894
"M379.565T877.71",0.054931,-4.1862,0.012861,1.8907
"M341.259T618.637",0.27765,-1.8487,0.014262,1.8458
"M311.186T1077.614",0.47991,-1.0592,0.014552,1.8371
"M559.276T958.275",0.33639,-1.5718,0.014708,1.8324
"M271.07T418.897",0.055325,-4.1759,0.014888,1.8272
"M299.259T1433.689",0.32606,-1.6168,0.015057,1.8223
"M433.122T384.02",0.038241,-4.7087,0.015171,1.819
"M339.058T415.891",0.094287,-3.4068,0.015873,1.7993
"M469.019T418.674",0.098825,-3.339,0.016179,1.7911
"M333.062T954.304",0.099075,-3.3353,0.016374,1.7858
"M341.31T626.276",0.24847,-2.0088,0.016426,1.7845
"M789.663T1119.968",0.32515,-1.6208,0.016584,1.7803
"M1132.537T923.907",0.43976,-1.1852,0.017253,1.7631
