"","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg"
"Label","Fusarium","Fusarium","Fusarium","Fusarium","Mock","Mock","Mock"
"M375.07T470.729"," 0.2387832"," 1.0484334"," 0.3298041"," 0.2402315","-0.3711407","-0.9659153","-0.5201963"
"M354.093T469.671"," 0.2690134"," 1.0257538"," 0.3712734"," 0.2180903","-0.3985668","-0.9692056","-0.5163585"
"M437.041T470.729"," 0.2710878"," 0.9899095"," 0.3928408"," 0.2300491","-0.4101670","-0.9615254","-0.5121948"
"M757.441T1176.453"," 0.33288723"," 0.86895440","-0.07178936"," 0.33721715","-0.25155188","-0.24628903","-0.96942851"
"M881.515T1351.787"," 0.2152311"," 0.8794029"," 0.2379802"," 0.2835872","-0.6208564","-0.4286386","-0.5667063"
"M511.24T944.134"," 0.08046027"," 0.87238905"," 0.52626102"," 0.15032257","-0.64655062","-0.67241370","-0.31046860"
"M557.187T899.436"," 0.2189737"," 0.7858479"," 0.2361247","-0.0131769","-0.1450957","-0.4944403","-0.5882334"
"M758.447T1173.243"," 0.3332352"," 1.0420917","-0.0404267"," 0.2577218","-0.5226261","-0.4264761","-0.6435199"
"M854.516T1290.85"," 0.41015094"," 0.89985117"," 0.17692317"," 0.04951855","-0.55075511","-0.51021199","-0.47547673"
"M1013.86T1346.532"," 0.40536614"," 0.97199669"," 0.17150557"," 0.07778842","-0.43111828","-0.67839281","-0.51714573"
"M627.643T1193.32"," 0.24839836"," 0.85837374","-0.09630218"," 0.06167352","-0.51709593","-0.41984635","-0.13520116"
"M941.508T1318.851"," 0.23529670"," 0.99504544"," 0.13365716"," 0.07926296","-0.69391553","-0.39348093","-0.35586581"
"M701.418T1268.098"," 0.26786956"," 1.02550557"," 0.15463500"," 0.01919496","-0.45816817","-0.30519353","-0.70384340"
"M875.467T1241.171"," 0.4164663"," 0.8040696"," 0.3626413"," 0.1215743","-0.5689570","-0.6293301","-0.5064646"
"M1085.513T1348.399"," 0.22783174"," 0.90889026"," 0.41576554"," 0.04625101","-0.65057965","-0.65047782","-0.29768107"
"M466.978T106.664"," 0.07851472"," 0.89908819"," 0.28166149"," 0.11455554","-0.62832495","-0.52312145","-0.22237354"
"M861.451T1062.153"," 0.3020417"," 1.0716841","-0.1786131"," 0.1073120","-0.6462146","-0.2090819","-0.4471282"
"M545.297T1155.639","-0.4546053"," 0.5978531"," 0.1396442"," 0.5105946","-0.3191081","-0.2716382","-0.2027403"
"M1059.606T1053.565"," 0.3543527","-1.0245417","-0.5271506","-0.1738245"," 0.5187966"," 0.4849533"," 0.3674142"
"M1096.195T893.605"," 0.5394426"," 0.6987487"," 0.5420752","-0.1866609","-1.0180430","-0.4553474","-0.1202151"
"M180.067T785.272"," 0.2340563"," 0.9063237"," 0.5419422"," 0.5199181","-0.5629484","-1.0123491","-0.6269428"
"M633.053T106.254"," 0.1040856"," 0.8180315"," 0.3023259"," 0.2514267","-0.5648212","-0.5137487","-0.3972999"
"M1014.89T1344.191"," 0.3706390"," 0.9382606"," 0.2991479","-0.1562979","-0.3739697","-0.7967024","-0.2810775"
"M473.173T806.642"," 0.4306673"," 0.5477554"," 0.2285378"," 0.5765959","-0.6265176","-0.6154123","-0.5416264"
"M1269.507T907.7"," 0.06873051"," 1.04750847"," 0.06504061"," 0.01695616","-0.64019774","-0.16260216","-0.39543585"
"M985.574T1225.672"," 0.07109029"," 0.71599602"," 0.41894432"," 0.12099570","-0.29633927","-0.77663177","-0.25405528"
"M1030.586T1195.906"," 0.23953413"," 0.90998251"," 0.18476902","-0.07800652","-0.46444124","-0.49251704","-0.29932086"
"M1097.549T894.492"," 0.1300267"," 1.0901658"," 0.1758151"," 0.2299113","-0.6016902","-0.2858081","-0.7384207"
"M851.912T1326.892"," 0.014483897"," 0.910851045"," 0.198481478","-0.008875505","-0.289623467","-0.364722410","-0.460595038"
"M983.568T1252.43"," 0.53240818"," 1.07625904"," 0.14635444","-0.05413574","-0.44542109","-0.61433090","-0.64113394"
"M457.19T799.683"," 0.00856424"," 0.87861348"," 0.42579046"," 0.28383750","-0.53159318","-0.64596092","-0.41925159"
"M821.506T1329.663"," 0.43996155"," 1.00906525"," 0.17653695"," 0.03302869","-0.46148242","-0.75510301","-0.44200700"
"M768.448T1315.096"," 0.3666548"," 1.0011747"," 0.2398172"," 0.1131262","-0.4641399","-0.7507153","-0.5059177"
"M531.078T845.355"," 0.1134300"," 1.1121064"," 0.1111434"," 0.2706220","-0.4399283","-0.3702620","-0.7971116"
"M309.118T727.508"," 0.1711193"," 1.1440579"," 0.1103099"," 0.2941027","-0.4541696","-0.6833228","-0.5820974"
"M655.999T943.196"," 0.1098188"," 1.1199628"," 0.1403181","-0.0514489","-0.6806867","-0.2849076","-0.3530566"
"M277.129T811.716"," 0.1807692"," 0.6898165"," 0.5680252"," 0.2824854","-0.4475269","-0.9440356","-0.3295338"
"M649.026T106.128"," 0.41995817"," 0.82106315"," 0.43652779","-0.04320093","-0.65553153","-0.58878482","-0.39003184"
"M1097.561T894.34"," 0.07071495"," 1.16281422","-0.13490514"," 0.28752210","-0.34824368","-0.20157025","-0.83633220"
"M921.374T936.829"," 0.2700127"," 1.0081884"," 0.5603471"," 0.2456525","-0.5413023","-1.1421871","-0.4007112"
"M851.794T1356.146"," 0.30015065"," 0.86160853","-0.02852441"," 0.22218697","-0.32892799","-0.26104102","-0.76545272"
"M451.007T107.467"," 0.22138230"," 0.88856414"," 0.30639638"," 0.02625427","-0.63781007","-0.54802498","-0.25676204"
"M1100.582T1225.322"," 0.14530661"," 0.98750179"," 0.27177404","-0.04661975","-0.53871540","-0.60622115","-0.21302614"
"M649.302T900.549"," 0.18131677"," 0.96894981"," 0.35148281"," 0.06079797","-0.55824444","-0.63013856","-0.37416435"
"M1161.883T894.146"," 0.3142616"," 0.7002638"," 0.5256208","-0.3439985","-0.7116862","-0.2847626","-0.1996989"
"M286.972T107.919"," 0.19305423"," 0.98556339"," 0.20829101"," 0.03405969","-0.58249839","-0.47656130","-0.36190863"
"M581.318T900.123"," 0.2006563"," 0.8953316"," 0.2689540"," 0.1917392","-0.6335443","-0.7094724","-0.2136644"
"M1014.585T1348.471"," 0.26411847"," 0.90056089"," 0.34687683"," 0.06698629","-0.51186537","-0.76367757","-0.30299955"
"M799.289T814.54"," 0.3804925"," 0.3416258"," 0.3810787"," 0.2293609","-0.2429072","-0.4961843","-0.5934664"
"M1053.272T316.465"," 0.2769670"," 0.6677984"," 0.5782118"," 0.1464198","-0.6464186","-0.6398642","-0.3831141"
"M1097.037T893.528"," 0.3803336"," 1.0830467"," 0.2016411"," 0.2199474","-0.7112045","-0.2892622","-0.8845020"
"M869.849T1307.413"," 0.48769184"," 0.91429153"," 0.18168323","-0.08652393","-0.62883546","-0.59140337","-0.27690385"
"M1071.559T892.477"," 0.2596903"," 1.0663194"," 0.1704992"," 0.2107658","-0.6146683","-0.4089124","-0.6836941"
"M1000.263T316.358"," 0.1963719"," 0.6656023"," 0.4037832"," 0.3114851","-0.7980661","-0.6044492","-0.1747273"
"M767.194T317.413"," 0.2426304"," 0.7660111"," 0.4548051"," 0.1697777","-0.5301970","-0.7749662","-0.3280611"
"M280.961T95.439"," 0.16419491"," 0.97681717"," 0.39581534","-0.05958161","-0.80599718","-0.60876366","-0.06248498"
"M650.407T1378.088"," 0.32249853"," 1.06751501"," 0.51876329"," 0.05897745","-0.65670847","-0.81078321","-0.50026260"
