"","X12.D12.2.neg","X28.D12.3.neg","X44.D12.1.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X09.X12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Mock","Mock","Mock","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"sodium_formate","24379.5029","24067.49696","4791.109597","46229.05891","15034.7638","5203.542746","13165.026","18752.09783","36356.68429","36475.958","38037.10154","9733.549522","40652.91743","44568.976","42179.90343","5376.874366","26380.92488","21733.08686"
"M375.07T470.729","32847.429","46337.6789","876.28796","35087.243","56774.4485","68054.6405","57164.8254","70969.4114","53854.7379","21693.2307","44825.5197","728.3991","34258.2139","43417.6251","46642.6188","1040","70434.6155","103290.8089"
"M354.093T469.671","21974.7847","28875.5319","35.8887","22265.5727","38193.4389","42310.9145","39137.3024","44049.5636","33093.7363","13809.0422","28888.2772","179.4435","25510.7259","27513.0066","28553.341","35.8887","46899.3489","68268.343"
"M437.041T470.729","6168.5989","7908.8229","212.75686","7192.0376","12388.7509","12789.3672","13053.9787","14517.2379","10634.0974","4613.9787","9527.0293","1506.2419","6718.6296","7591.2533","7517.1654","158","13733.4267","21605.7946"
"M757.441T1176.453","6424.2897","7364.4812","1261.26858","9290.1025","14375.4","10234.1232","7302.7997","18034.4621","15834.8994","15999.7379","6306.3429","1261.26858","7785.5575","9466.5997","16648.731","1261.26858","9220.993","8761.4365"
"M881.515T1351.787","8733.3806","9050.9379","151.37614","10541.2193","10906.8216","8818.7974","9832.08","14844.9287","9063.4097","11624.2264","10161.5365","756.8807","6674.1144","10406.8105","8267.5326","151.37614","12194.5114","13381.044"
"M511.24T944.134","24487.2196","35644.3567","4469.76128","34855.9237","26346.6644","26361.9751","41936.2581","36087.08","24041.2917","23298.2399","39467.8223","4469.76128","30310.4466","22963.2916","22348.8064","4469.76128","51755.9307","34204.7132"
"M557.187T899.436","6476.0402","6576.7821","511.1987","8816.36","3991.7726","2555.9935","3561.0242","3869.874","6502.0812","4464.9253","4205.3902","511.1987","4704.1154","4722.3411","5883.2034","511.1987","16238.831","6306.588"
"M758.447T1173.243","4389.6078","8975.8233","948.27561","5979.408","9336.3817","8553.5546","4893.8414","10497.7268","6969.8965","7979.8204","6176.5764","400.8869","3905.1947","5698.8146","7765.3444","228","6220.0514","8578.6643"
"M854.516T1290.85","12359.4125","11068.8567","277.58637","14054.9176","14807.034","9505.9905","9660.4676","11716.9908","10652.1187","11247.9577","12254.8289","55.517274","10729.8306","10716.4135","11887.1425","55.517274","6326.649","12855.1496"
"M1013.86T1346.532","11947.0697","15009.2396","997.41797","13897.7766","17322.0249","12872.4715","11065.1606","13889.8695","13557.4861","9744.9439","12630.434","199.483594","12161.6337","13633.6387","12431.3422","199.483594","13456.5735","12174.7846"
"M627.643T1193.32","9012.107","3494.53","33.51626","3873.3003","9497.4291","6278.1324","5769.3131","9717.0238","10195.8319","11340.9382","15995.1621","167.5813","14579.0942","14048.7504","10501.5304","33.51626","9644.2722","13496.5983"
"M941.508T1318.851","4142.6594","7354.4037","477.2467","6998.6446","6579.4997","5987.9729","5062.274","6728.4056","4876.8567","7171.3564","7844.9553","190.2656","4939.0235","5506.8065","6300.0452","38.05312","7337.4545","5644.1179"
"M701.418T1268.098","3169.0862","8069.7583","52.14454","4227.4983","6802.9922","6359.0933","5134.9375","6123.8818","6348.7894","7784.5992","4812.7782","260.7227","6983.6711","5507.2707","3591.5378","52.14454","5006.7945","3903.8724"
"M875.467T1241.171","6600.0097","9915.0243","47.8","10989.5116","16713.569","9612.056","13638.5471","14165.4445","11113.6146","10302.0996","12619.3316","47.8","11570.9075","10302.6886","11809.9936","239","6892.1086","12853.3573"
"M1085.513T1348.399","9760.329","11754.2471","495.29995","12328.5413","10821.3322","9236.5337","12155.7813","10609.9625","8168.5287","8196.433","13642.6838","34.4","10019.3071","10053.1647","10238.0499","172","16637.7843","13513.9376"
"M466.978T106.664","7371.0075","7954.392","77.33716","10603.4923","6055.5164","5602.4466","6763.8393","7886.0581","6277.7143","7144.4957","10682.69","386.6858","6136.5184","6861.4595","7071.7962","77.33716","5925.4991","4177.7098"
