"","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"M375.07T470.729",-0.03536,0.0080418,0.0072666,0.042179,-0.0030246,-0.010087,0.94232
"M354.093T469.671",-0.035596,0.0096123,0.011409,0.035376,-0.0013641,-0.0096437,-0.18363
"M437.041T470.729",-0.035293,0.011233,0.010067,0.031038,0.00089347,-0.0083478,-0.17795
"M757.441T1176.453",-0.025022,-0.04384,-0.0013879,0.062585,0.068369,0.029099,-0.046785
"M881.515T1351.787",-0.029118,-0.026526,-0.009141,0.0031499,0.015446,0.015568,0.16524
"M511.24T944.134",-0.031127,-0.0013377,-0.0049311,-0.020874,-0.016229,-0.022793,0.061933
"M557.187T899.436",-0.023459,-0.011674,0.026649,0.038163,0.02582,-0.026232,0.00042064
"M758.447T1173.243",-0.029465,-0.040067,0.0045692,0.040374,0.011217,0.034109,-0.0016913
"M854.516T1290.85",-0.0285,-0.022603,0.030593,0.010477,0.0013283,0.01935,0.0020094
"M1013.86T1346.532",-0.030617,-0.013208,0.031481,0.031901,0.0013803,0.012024,0.0018765
"M627.643T1193.32",-0.022111,-0.026481,0.014843,0.019194,-0.045529,0.030221,-0.00076403
"M941.508T1318.851",-0.028164,-0.036386,0.010454,-0.0010835,-0.022517,0.014013,-0.0072517
"M701.418T1268.098",-0.027864,-0.044816,0.021854,0.024713,0.023698,-0.0070485,0.0017909
"M875.467T1241.171",-0.03038,-0.0063249,0.025258,-0.0025694,0.014243,0.014755,0.001968
"M1085.513T1348.399",-0.030748,-0.0076579,0.016487,-0.01479,-0.021465,-0.0086335,0.00016181
"M466.978T106.664",-0.027378,-0.016394,-0.0034745,-0.0086754,-0.032682,-0.0075997,-0.0021573
"M861.451T1062.153",-0.025676,-0.05936,0.011763,0.025491,-0.018743,0.039344,0.00061254
"M545.297T1155.639",-0.016388,-0.012458,-0.083821,0.013448,-0.016087,-0.025059,-0.00025332
"M1059.606T1053.565",0.028915,0.019381,0.041734,0.0067648,0.019486,0.075039,0.0045778
"M1096.195T893.605",-0.02884,-0.013771,0.055293,-0.081307,-0.028002,0.023891,0.00092874
"M180.067T785.272",-0.038739,0.019584,-0.022062,0.013262,0.02356,0.0061553,-0.0094616
