"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6"
"M375.07T470.729",-0.035416,0.014181,0.014817,-0.017463,0.033256,0.013742
"M354.093T469.671",-0.035661,0.010182,0.015179,-0.014904,0.03136,0.0070662
"M437.041T470.729",-0.035367,0.0056906,0.015348,-0.01287,0.028578,0.0063914
"M757.441T1176.453",-0.025076,0.0016885,-0.060787,-0.018947,0.069065,0.038527
"M881.515T1351.787",-0.029169,0.008101,-0.032681,-0.00081536,0.0016036,0.010922
"M511.24T944.134",-0.031171,0.014741,0.006325,0.022356,-0.019681,-0.0070862
"M557.187T899.436",-0.023479,0.017048,-0.0078707,0.0068488,0.057616,-0.0012889
"M758.447T1173.243",-0.029476,0.026784,-0.044717,-0.035042,0.02746,0.015902
"M854.516T1290.85",-0.02853,0.017812,-0.024473,-0.021314,0.018272,-0.021874
"M1013.86T1346.532",-0.030649,0.019279,-0.011924,-0.028307,0.035119,-0.012221
"M627.643T1193.32",-0.022063,0.046818,-0.017283,-0.047483,-0.0090576,-0.0097369
"M941.508T1318.851",-0.028144,0.040219,-0.031186,-0.014135,-0.010224,-0.012558
"M701.418T1268.098",-0.027857,0.033849,-0.044247,0.005236,0.040432,-0.0042308
"M875.467T1241.171",-0.030464,-0.005431,-0.012994,-0.0083127,0.014291,-0.021865
"M1085.513T1348.399",-0.030776,0.021564,-0.00042026,0.0036277,-0.010833,-0.023738
"M466.978T106.664",-0.027369,0.034858,-0.0056349,0.0011659,-0.022263,-0.0047827
"M861.451T1062.153",-0.025617,0.054744,-0.05711,-0.040939,0.0046325,-0.0011032
"M545.297T1155.639",-0.016371,0.026385,-0.0020326,0.024993,-0.034286,0.078036
"M1059.606T1053.565",0.028878,-0.049777,-0.0028472,-0.063426,0.018216,-0.03249
"M1096.195T893.605",-0.028902,0.0032551,-0.017345,0.0032609,-0.047908,-0.090835
"M180.067T785.272",-0.038893,-0.027424,0.011298,-0.0011822,0.0087643,0.028154
"M633.053T106.254",-0.027561,0.012527,-0.011953,0.0049245,-0.0091415,0.010857
"M1014.89T1344.191",-0.029232,0.032582,0.015588,-0.019508,0.029543,-0.039263
