"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6"
"M279.139T1150.344",1.9491,1.8566,1.8443,1.8439,1.8439,1.8439
"M469.036T876.272",1.8714,2.1961,2.1868,2.1864,2.1864,2.1864
"M433.039T456.919",1.8436,2.2495,2.2331,2.2329,2.2329,2.2329
"M293.118T1042.937",1.8086,1.7241,1.713,1.7134,1.7134,1.7134
"M365.528T823.98",1.7445,1.8555,1.8449,1.8442,1.8442,1.8442
"M449.004T832.738",1.7439,1.9156,1.9108,1.9101,1.9101,1.9101
"M387.034T831.689",1.7396,1.7647,1.7563,1.7557,1.7557,1.7557
"M206.081T834.983",1.7353,1.6455,1.633,1.6326,1.6327,1.6327
"M531.009T876.272",1.7292,1.7343,1.7247,1.7244,1.7244,1.7244
"M410.078T615.621",1.7113,1.7848,1.7728,1.7736,1.7737,1.7737
"M365.052T459.24",1.6935,1.687,1.6754,1.6747,1.6747,1.6747
"M455.021T825.04",1.6466,1.7292,1.7209,1.7203,1.7203,1.7203
"M516.992T825.04",1.6442,2.7165,2.6951,2.6944,2.6944,2.6944
"M463.02T875.074",1.6343,1.6117,1.599,1.5984,1.5984,1.5984
"M204.085T413.719",1.6273,1.5284,1.5248,1.5243,1.5243,1.5243
"M413.179T861.909",1.601,1.6374,1.6695,1.6689,1.6689,1.6689
"M380.071T778.258",1.5862,1.6414,1.6285,1.6281,1.628,1.628
"M433.038T831.69",1.5607,1.7562,1.7567,1.756,1.756,1.756
"M319.076T917.392",1.5607,1.4706,1.4673,1.4668,1.4668,1.4668
"M1611.697T937.933",1.5368,1.441,1.4353,1.4348,1.4348,1.4348
"M379.067T781.128",1.5206,1.6062,1.5941,1.5935,1.5935,1.5935
"M969.698T320.725",1.4981,1.5269,1.5187,1.5182,1.5182,1.5182
"M964.359T921.966",1.4955,1.4007,1.4108,1.4104,1.4104,1.4104
"M857.325T1034.658",1.4914,1.3936,1.3966,1.3968,1.3968,1.3968
"M1613.665T937.741",1.4881,1.3892,1.3812,1.3807,1.3807,1.3807
"M401.05T875.074",1.483,1.4695,1.4593,1.4591,1.4591,1.4591
"M430.136T769.014",1.4797,1.4079,1.4,1.4,1.4,1.4
"M471.046T618.546",1.4577,1.3721,1.364,1.3646,1.3646,1.3646
"M379.565T877.71",1.4564,1.3945,1.3956,1.3952,1.3952,1.3952
"M402.053T876.272",1.4416,1.465,1.4537,1.4532,1.4532,1.4532
"M447.05T875.673",1.4317,1.3624,1.3538,1.3532,1.3532,1.3532
"M679.277T1051.577",1.4114,1.4994,1.4915,1.4918,1.4918,1.4918
"M759.145T875.232",1.4093,1.3632,1.3636,1.3633,1.3633,1.3633
"M967.36T964.868",1.4063,1.5008,1.4891,1.4914,1.4914,1.4914
"M365.143T832.741",1.3957,1.4892,1.4853,1.4865,1.4865,1.4865
"M641.302T1183.734",1.3915,1.3961,1.3856,1.3857,1.3857,1.3857
"M333.062T954.304",1.3844,1.4941,1.4826,1.4848,1.4849,1.4849
"M1014.419T974.744",1.383,1.3443,1.3434,1.3432,1.3432,1.3432
"M1176.528T983.06",1.351,1.2843,1.2976,1.2981,1.2981,1.2981
"M341.535T617.585",1.338,1.2629,1.2535,1.2536,1.2536,1.2536
"M477.061T615.621",1.3353,1.3269,1.3163,1.3176,1.3176,1.3176
"M529.184T941.182",1.3325,1.2475,1.2398,1.2406,1.2406,1.2406
"M815.832T67.938",1.3303,1.282,1.2762,1.2758,1.2758,1.2758
"M483.129T913.248",1.3282,1.2399,1.2321,1.2318,1.2318,1.2318
"M872.81T67.519",1.3215,1.236,1.2427,1.243,1.243,1.243
"M923.402T931.508",1.3164,1.2392,1.2381,1.2378,1.2378,1.2378
"M481.183T769.795",1.3123,1.3803,1.3757,1.3754,1.3754,1.3754
"M539.034T616.33",1.3057,1.2244,1.2152,1.2147,1.2147,1.2147
"M661.142T919.275",1.3035,1.2393,1.2311,1.2306,1.2306,1.2306
"M821.606T900.199",1.3009,1.2384,1.2288,1.2284,1.2284,1.2284
"M451.174T880.577",1.2873,1.2048,1.204,1.2042,1.2042,1.2042
"M180.067T785.272",1.2805,1.2217,1.2128,1.2124,1.2124,1.2124
"M951.397T1014.118",1.2751,1.1903,1.1973,1.1976,1.1976,1.1976
"M990.329T838.789",1.2749,1.2026,1.2045,1.2043,1.2043,1.2043
"M861.253T1033.436",1.2739,1.2859,1.2829,1.2827,1.2827,1.2827
"M775.338T1039.594",1.2708,1.225,1.2254,1.2254,1.2255,1.2255
"M1094.211T893.809",1.2657,1.2453,1.2357,1.2366,1.2366,1.2366
"M950.337T882.881",1.2651,1.182,1.1916,1.1912,1.1912,1.1912
"M454.144T914.383",1.2579,1.1783,1.1792,1.1788,1.1788,1.1788
