,FC,log2(FC),raw.pval,#NAME?
M289.12T769.482,4.8995,2.2926,7.69E-05,4.1138
M473.173T806.642,3.9531,1.983,0.0001168,3.9326
M1014.782T1351.411,2.9222,1.5471,0.00015344,3.8141
M674.842T67.64,3.4207,1.7743,0.00015728,3.8033
M615.195T761.983,4.1651,2.0583,0.00015938,3.7976
M238.069T801.926,6.6807,2.74,0.00018383,3.7356
M513.129T730.532,2.649,1.4054,0.00019465,3.7107
M1014.811T1344.847,2.8274,1.4995,0.00022682,3.6443
M847.188T757.14,3.589,1.8436,0.00025624,3.5914
M447.151T677.76,4.0222,2.008,0.00027586,3.5593
M631.833T319.717,3.7684,1.9139,0.00031478,3.502
M379.067T781.128,20.495,4.3572,0.00032002,3.4948
M402.053T876.272,15.425,3.9472,0.00032682,3.4857
M970.813T317.253,3.8771,1.955,0.00034257,3.4652
M463.02T875.074,33.695,5.0744,0.00037391,3.4272
M645.252T899.393,5.7006,2.5111,0.00038029,3.4199
M970.001T316.098,3.0216,1.5953,0.00042735,3.3692
M1030.642T1193.369,2.1986,1.1366,0.00043624,3.3603
M365.136T768.138,7.0893,2.8256,0.00043633,3.3602
M799.289T814.54,2.1448,1.1008,0.00049233,3.3077
M365.052T459.24,39.688,5.3106,0.0005155,3.2878
M505.029T765.672,7.0782,2.8234,0.00052218,3.2822
M398.263T1317.762,4.2681,2.0936,0.00055161,3.2584
M824.341T916.725,6.264,2.6471,0.00059552,3.2251
M365.528T823.98,42.562,5.4115,0.00059652,3.2244
M621.037T758.225,5.0775,2.3441,0.00059812,3.2232
M999.268T316.316,3.325,1.7333,0.00061524,3.211
M481.183T769.795,9.2388,3.2077,0.00062389,3.2049
M533.169T900.984,5.9218,2.566,0.00063862,3.1948
M653.783T316.318,2.7111,1.4389,0.0006398,3.194
M568.907T66.858,4.4923,2.1674,0.00066313,3.1784
M401.05T875.074,18.459,4.2063,0.00068084,3.167
M799.852T67.938,3.9618,1.9862,0.00068298,3.1656
M395.28T1470.273,6.0291,2.5919,0.00072233,3.1413
M380.071T778.258,28.306,4.8231,0.00073593,3.1332
M776.814T66.22,3.925,1.9727,0.00077068,3.1131
M472.886T66.482,2.973,1.5719,0.00077538,3.1105
M455.021T825.04,27.324,4.7721,0.00080313,3.0952
M821.606T900.199,9.6883,3.2762,0.00087409,3.0584
M642.242T817.768,4.0552,2.0198,0.00089138,3.0499
M658.83T67.591,3.878,1.9553,0.00092153,3.0355
M431.156T735.48,3.3699,1.7527,0.00092593,3.0334
M447.05T875.673,17.087,4.0949,0.00093507,3.0292
M1614.109T935.709,4.6411,2.2145,0.0010333,2.9858
M387.034T831.689,42.759,5.4181,0.0011025,2.9576
M469.036T876.272,68.345,6.0948,0.0011342,2.9453
M240.933T64.89,2.5165,1.3314,0.0011483,2.94
M641.302T1183.734,14.363,3.8443,0.0011738,2.9304
M508.215T930.69,3.5038,1.8089,0.0012112,2.9168
M341.088T439.204,3.3051,1.7247,0.0012242,2.9122
M433.039T456.919,74.59,6.2209,0.0012302,2.91
M469.095T760.602,3.26,1.7049,0.0012323,2.9093
M963.275T732.778,4.0739,2.0264,0.0012391,2.9069
M852.339T915.443,6.0406,2.5947,0.0013044,2.8846
M751.173T317.266,3.6001,1.848,0.0013152,2.881
M329.088T425.59,3.1053,1.6347,0.0013266,2.8772
M988.312T316.465,2.8595,1.5158,0.0013708,2.863
M180.067T785.272,8.8676,3.1485,0.0013859,2.8583
M702.255T837.404,5.9809,2.5804,0.0013934,2.8559
M373.167T930.605,4.2653,2.0927,0.0014325,2.8439
M778.832T66.858,4.2113,2.0743,0.0014629,2.8348
M653.752T320.843,2.7156,1.4413,0.001502,2.8233
M727.283T864.823,2.8245,1.498,0.001506,2.8222
M819.254T316.358,3.0665,1.6166,0.0016269,2.7886
M221.066T891.624,3.5281,1.8189,0.0016819,2.7742
M1197.439T886.215,6.4167,2.6818,0.0016897,2.7722
M531.009T876.272,38.888,5.2812,0.0017884,2.7475
M703.247T844.715,5.3585,2.4218,0.0017894,2.7473
M279.139T1150.344,294.62,8.2027,0.0018043,2.7437
M729.273T847.264,5.2557,2.3939,0.0018389,2.7355
M1053.272T316.465,3.56,1.8319,0.0018648,2.7294
M418.896T66.885,5.465,2.4502,0.0018934,2.7228
M347.091T1147.321,5.1091,2.3531,0.0019112,2.7187
M769.419T945.253,4.5762,2.1942,0.0019241,2.7158
M969.939T315.438,3.9119,1.9679,0.0019302,2.7144
M508.881T66.935,2.6426,1.402,0.0019437,2.7114
M397.074T474.916,3.4159,1.7723,0.0019782,2.7037
M521.224T935.29,4.0939,2.0335,0.0019901,2.7011
M544.284T936.329,2.8479,1.5099,0.0020133,2.6961
M631.863T318.629,3.3459,1.7424,0.002014,2.6959
M937.334T882.127,6.3753,2.6725,0.002033,2.6919
M429.504T310.912,3.8479,1.9441,0.0020556,2.6871
M875.467T1241.171,3.873,1.9534,0.0020592,2.6863
M449.004T832.738,38.744,5.2759,0.0021037,2.677
M982.374T904.236,7.2361,2.8552,0.0021213,2.6734
M643.245T933.361,5.2261,2.3857,0.0021522,2.6671
M509.218T928.864,4.0578,2.0207,0.0021574,2.6661
M399.165T851.906,3.8264,1.936,0.0022156,2.6545
M409.172T733.287,3.8469,1.9437,0.0022572,2.6464
M433.777T806.208,5.2481,2.3918,0.0022834,2.6414
M1087.412T876.684,4.4739,2.1615,0.0023053,2.6373
M1130.433T884.599,5.6056,2.4869,0.0023076,2.6368
M657.109T89.959,3.3847,1.759,0.0023191,2.6347
M1032.753T1226.13,2.9286,1.5502,0.0023291,2.6328
M1105.431T888.552,3.7281,1.8984,0.0023346,2.6318
M630.654T314.128,2.9733,1.5721,0.0023356,2.6316
M345.119T282.765,3.1339,1.648,0.0023713,2.625
M341.31T626.276,9.3486,3.2247,0.0024057,2.6188
M785.833T68.422,4.8414,2.2754,0.0024297,2.6144
M341.535T617.585,13.133,3.7151,0.0024447,2.6118
M421.069T767.549,6.9232,2.7914,0.0024609,2.6089
M461.152T871.999,4.345,2.1193,0.002463,2.6085
M1463.124T939.772,7.653,2.936,0.0024748,2.6065
M429.646T308.971,3.4994,1.8071,0.002511,2.6001
M549.174T847.493,4.6592,2.2201,0.0025162,2.5993
M564.929T1201.416,2.7318,1.4498,0.0025301,2.5969
M868.801T68.637,4.8018,2.2636,0.0025499,2.5935
M413.104T602.912,2.9951,1.5826,0.0025865,2.5873
M269.103T792.774,4.2295,2.0805,0.0026212,2.5815
M919.334T939.971,5.2129,2.3821,0.0026314,2.5798
M617.247T870.852,5.5369,2.4691,0.0026575,2.5755
M341.259T618.637,8.1278,3.0229,0.0027328,2.5634
M1117.54T932.512,5.3529,2.4203,0.0027414,2.562
M345.37T608.086,3.4589,1.7903,0.0027493,2.5608
M723.346T899.128,3.8322,1.9382,0.0027868,2.5549
M471.897T67.543,2.5459,1.3482,0.0028213,2.5495
M851.338T916.834,4.868,2.2833,0.0029305,2.5331
M487.212T857.117,5.4127,2.4363,0.0029371,2.5321
M991.316T318.206,3.0519,1.6097,0.0029942,2.5237
M319.076T917.392,23.894,4.5786,0.00304,2.5171
M548.179T817.387,5.218,2.3835,0.003054,2.5151
M968.386T889.852,5.4818,2.4547,0.0031012,2.5085
M449.202T630.506,3.1203,1.6417,0.003186,2.4968
M507.209T930.4,4.2084,2.0733,0.0031947,2.4956
M477.061T615.621,12.344,3.6257,0.0032359,2.49
M1323.386T316.247,3.1916,1.6743,0.0032424,2.4891
M428.2T856.891,6.4068,2.6796,0.003251,2.488
M732.876T67.374,6.5734,2.7166,0.0032687,2.4856
M255.115T921.266,3.4515,1.7872,0.0032769,2.4845
M473.173T881.847,5.2183,2.3836,0.0033188,2.479
M367.08T114.463,3.7696,1.9144,0.0033251,2.4782
M539.034T616.33,10.054,3.3297,0.0033411,2.4761
M485.063T759.194,2.718,1.4425,0.003366,2.4729
M743.317T783.373,4.6286,2.2106,0.0034452,2.4628
M1106.454T890.453,4.8679,2.2833,0.0034476,2.4625
M665.267T889.419,4.5325,2.1803,0.0034627,2.4606
M323.187T1016.246,3.668,1.875,0.0034729,2.4593
M1053.286T316.584,3.1194,1.6413,0.0034997,2.456
