"","Fold Change","log2(FC)"
"M1162.58T906.276",121.92,6.9298
"M204.085T413.719",0.023274,-5.4252
"M1163.085T907.707",42.386,5.4055
"M726.284T1051.577",0.050403,-4.3103
"M1163.579T906.602",17.793,4.1532
"M1197.053T906.963",17.608,4.1382
"M618.794T905.184",15.166,3.9228
"M684.191T618.708",0.067774,-3.8831
"M272.073T418.674",0.075039,-3.7362
"M413.179T861.909",0.080186,-3.6405
"M1163.56T905.015",11.091,3.4714
"M410.078T615.621",0.091904,-3.4437
"M529.184T941.182",0.096683,-3.3706
"M279.139T1150.344",0.10477,-3.2547
"M1084.663T1198.774",9.3647,3.2272
"M433.039T456.919",0.1125,-3.152
"M641.302T1183.734",0.13487,-2.8903
"M387.034T831.689",0.13662,-2.8717
"M260.967T89.826",0.13727,-2.8649
"M319.076T917.392",0.14068,-2.8296
"M775.338T1039.594",0.14376,-2.7983
"M311.104T1075.82",0.15628,-2.6778
"M679.277T1051.577",0.15657,-2.6751
"M1134.038T907.684",6.3296,2.6621
"M455.021T825.04",0.15803,-2.6617
"M471.046T618.546",0.16397,-2.6085
"M367.058T823.98",0.16997,-2.5566
"M1014.419T974.744",0.17334,-2.5283
"M642.302T1183.207",0.1744,-2.5195
"M785.833T68.422",0.18098,-2.4661
"M240.933T64.89",5.3931,2.4311
"M1193.041T904.79",5.3845,2.4288
"M516.992T825.04",0.19482,-2.3598
"M1109.422T909.522",0.20098,-2.3149
"M1192.04T901.764",4.9192,2.2984
"M489.691T902.138",0.20683,-2.2735
"M489.058T766.222",0.20781,-2.2667
"M687.305T1181.604",0.20808,-2.2648
"M333.041T419.397",0.20992,-2.2521
"M449.004T832.738",0.21272,-2.233
"M1063.398T908.83",0.21458,-2.2204
"M969.698T320.725",0.2168,-2.2056
"M206.081T834.983",0.22144,-2.175
"M365.052T459.24",0.2223,-2.1694
"M440.855T1728.569",0.22401,-2.1584
"M1044.425T908.907",0.22615,-2.1447
"M850.805T68.208",0.22878,-2.128
"M712.22T783.012",0.23037,-2.118
"M343.103T489.112",0.23069,-2.116
"M469.036T876.272",0.23087,-2.1148
"M293.118T1042.937",0.23429,-2.0936
"M469.208T948.545",0.23473,-2.0909
"M1094.211T893.809",0.23915,-2.064
"M1176.528T983.06",0.23994,-2.0592
"M355.433T783.665",0.23997,-2.0591
"M299.07T414.239",0.24485,-2.03
"M430.136T769.014",0.24757,-2.0141
