"","PC1","PC2","PC3","PC4","PC5"
"M375.07T470.729",0.045462,0.0090947,0.0082557,0.028327,-0.77998
"M354.093T469.671",0.04636,0.0079023,0.006373,0.026107,0.2703
"M437.041T470.729",0.045173,0.011611,0.0047438,0.025342,-0.10335
"M757.441T1176.453",-0.0016232,-0.012035,-0.02465,0.084455,0.54337
"M881.515T1351.787",0.027065,-0.0067225,-0.039747,0.014595,-0.0040933
"M511.24T944.134",0.034711,-0.020116,-0.0037711,-0.02265,-0.002459
"M557.187T899.436",0.033568,-0.045997,0.0075575,0.033628,-0.00048365
"M758.447T1173.243",0.020837,0.0077906,-0.040592,0.035516,-0.0019328
"M854.516T1290.85",0.013939,0.040344,-0.033802,0.011738,-0.0024987
"M1013.86T1346.532",0.02821,-0.002749,0.006462,0.018721,-0.0040971
"M627.643T1193.32",0.022921,0.022441,-0.026197,-0.019382,-0.0027304
"M941.508T1318.851",0.020152,-0.017657,-0.031618,-0.028056,0.0012099
"M701.418T1268.098",-0.0024841,-0.020031,-0.028439,0.043275,-5.9482e-05
"M875.467T1241.171",0.017651,0.038467,-0.023783,0.010846,0.00067119
"M1085.513T1348.399",0.03612,-0.012601,-0.011125,-0.019936,-0.0010113
"M466.978T106.664",0.0025042,-0.003076,0.0065591,-0.060587,0.00078082
"M861.451T1062.153",-0.022219,0.011734,-0.035478,-0.020885,0.0015925
"M545.297T1155.639",0.034268,-0.032784,-0.013289,0.0037613,0.0016434
"M1059.606T1053.565",0.031805,-0.035629,-0.011787,0.024749,-0.0019361
"M1096.195T893.605",-0.0080972,0.040295,-0.037379,-0.075637,-0.0006547
"M180.067T785.272",-0.005957,-0.024776,0.075098,-0.01954,0.0081446
"M633.053T106.254",0.02358,-0.019771,-0.0088548,-0.012184,0.0036097
"M1014.89T1344.191",0.031287,0.0016621,0.02595,-0.00667,0.0033465
"M473.173T806.642",0.013253,0.037477,-0.0274,0.0066858,-0.00010776
"M1269.507T907.7",-0.028327,0.022263,-0.027601,-0.023157,-0.0083335
"M985.574T1225.672",0.028676,-0.0056575,0.030632,-0.0039033,-0.0018118
"M1030.586T1195.906",0.023396,-0.004526,-0.0052997,-0.012488,-0.0023464
