"","Comp 1","Comp 2","Comp 3","Comp 4"
"M375.07T470.729",0.04548,-0.016693,0.013974,0.025654
"M354.093T469.671",0.046477,-0.015447,0.013455,0.022912
"M437.041T470.729",0.045087,-0.018112,0.016537,0.020835
"M757.441T1176.453",0.00029841,0.035457,0.045154,0.050066
"M881.515T1351.787",0.028685,0.01806,0.02817,-0.013393
"M511.24T944.134",0.036142,0.0084931,-0.01981,-0.017177
"M557.187T899.436",0.03676,0.037933,-0.019091,0.03607
"M758.447T1173.243",0.021734,0.0099573,0.047158,0.00019898
"M854.516T1290.85",0.012507,-0.025262,0.053232,-0.017596
"M1013.86T1346.532",0.028697,-0.0029336,0.0028909,0.01868
"M627.643T1193.32",0.022212,-0.01899,0.023285,-0.034228
"M941.508T1318.851",0.021808,0.019212,-0.0030125,-0.039317
"M701.418T1268.098",-0.00037823,0.037408,0.024301,0.017304
"M875.467T1241.171",0.016155,-0.028355,0.045269,-0.011666
"M1085.513T1348.399",0.037298,0.0045464,-0.0090075,-0.020725
"M466.978T106.664",0.0020559,-0.010645,-0.032785,-0.041552
"M861.451T1062.153",-0.022596,0.0041224,0.020728,-0.039922
"M545.297T1155.639",0.036861,0.028479,-0.010278,-0.0015699
"M1059.606T1053.565",0.034688,0.034674,-0.0039054,0.015713
"M1096.195T893.605",-0.010437,-0.034008,0.016625,-0.086345
"M180.067T785.272",-0.0062687,-0.0080906,-0.072965,0.036023
"M633.053T106.254",0.025067,0.014375,-0.011952,-0.012483
"M1014.89T1344.191",0.03093,-0.019542,-0.017876,0.011219
"M473.173T806.642",0.011808,-0.025798,0.045032,-0.017008
"M1269.507T907.7",-0.029568,-0.0076725,0.021344,-0.037933
"M985.574T1225.672",0.02865,-0.013542,-0.024452,0.017214
"M1030.586T1195.906",0.02391,-0.001071,-0.0045228,-0.012337
"M1097.549T894.492",-0.013455,0.014316,0.053196,-0.0097343
"M851.912T1326.892",-0.0084187,-0.026148,0.046133,0.0065544
"M983.568T1252.43",0.019112,-0.0097658,0.037203,0.02285
"M457.19T799.683",0.025654,-0.0023922,-0.011747,-0.002859
"M821.506T1329.663",0.029312,-0.022597,0.012452,0.0078473
"M768.448T1315.096",0.038655,-0.0070757,0.017417,0.010543
"M531.078T845.355",-0.011652,-0.030623,0.089074,0.002694
"M309.118T727.508",-0.010947,-0.039248,0.023364,0.018685
"M655.999T943.196",-0.030996,0.017174,-0.04703,-0.025562
"M277.129T811.716",0.038511,-0.020018,-0.010748,0.0098365
"M649.026T106.128",0.035939,0.013203,-0.0044892,-0.017709
"M1097.561T894.34",-0.033228,-0.019112,0.068266,0.011206
"M921.374T936.829",0.040169,-0.033211,-0.017359,0.013025
"M851.794T1356.146",0.0016179,0.039459,0.021031,0.034898
"M451.007T107.467",0.010724,0.011376,-0.050378,-0.026715
"M1100.582T1225.322",0.027943,-0.0081687,-0.015704,-0.020766
